index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Agartala_0,"POLYGON ((91.23409483841422 23.878134530775082, 91.23409483841422 23.88224160126675, 91.22960326199362 23.88224160126675, 91.22960326199362 23.878134530775082, 91.23409483841422 23.878134530775082))",23.880188066020917,91.23184905020393,,,,176.992,,27.1,90.285,,,,204.092,0.0
Agartala_1,"POLYGON ((91.23409483841422 23.88224160126675, 91.23409483841422 23.886348541410424, 91.22960326199362 23.886348541410424, 91.22960326199362 23.88224160126675, 91.23409483841422 23.88224160126675))",23.884295071338585,91.23184905020392,,,,194.045,,19.607,65.32,,,,213.652,0.0
Agartala_2,"POLYGON ((91.23409483841422 23.886348541410424, 91.23409483841422 23.89045535118913, 91.22960326199362 23.89045535118913, 91.22960326199362 23.886348541410424, 91.23409483841422 23.886348541410424))",23.888401946299776,91.23184905020395,,,,192.682,,29.172,98.541,,,,221.854,0.0
Agartala_3,"POLYGON ((91.23409483841422 23.89045535118913, 91.23409483841422 23.894562030585913, 91.22960326199362 23.894562030585913, 91.22960326199362 23.89045535118913, 91.23409483841422 23.89045535118913))",23.892508690887517,91.23184905020392,,,,190.644,,40.522,136.94,,,,231.166,0.0
Agartala_4,"POLYGON ((91.23409483841422 23.894562030585913, 91.23409483841422 23.89866857958382, 91.22960326199362 23.89866857958382, 91.22960326199362 23.894562030585913, 91.23409483841422 23.894562030585913))",23.896615305084868,91.23184905020392,,,,189.165,,70.432,239.169,,,,259.597,0.0
Agartala_5,"POLYGON ((91.23409483841422 23.89866857958382, 91.23409483841422 23.902774998165896, 91.22960326199362 23.902774998165896, 91.22960326199362 23.89866857958382, 91.23409483841422 23.89866857958382))",23.900721788874854,91.23184905020392,,,,407.629,,0.0,0.0,,,,407.629,0.0
Agartala_6,"POLYGON ((91.23858641483481 23.87402732995238, 91.23858641483481 23.878134530775082, 91.23409483841422 23.878134530775082, 91.23409483841422 23.87402732995238, 91.23858641483481 23.87402732995238))",23.876080930363727,91.23634062662452,,,,185.448,,17.968,59.415,,,,203.416,0.0
Agartala_7,"POLYGON ((91.23858641483481 23.878134530775082, 91.23858641483481 23.88224160126675, 91.23409483841422 23.88224160126675, 91.23409483841422 23.878134530775082, 91.23858641483481 23.878134530775082))",23.880188066020914,91.23634062662452,,,,241.73,,36.863,123.138,,,,278.593,0.0
Agartala_8,"POLYGON ((91.23858641483481 23.88224160126675, 91.23858641483481 23.886348541410424, 91.23409483841422 23.886348541410424, 91.23409483841422 23.88224160126675, 91.23858641483481 23.88224160126675))",23.884295071338585,91.23634062662452,,,,249.118,,3.719,12.435,,,,252.837,0.0
Agartala_9,"POLYGON ((91.23858641483481 23.886348541410424, 91.23858641483481 23.89045535118913, 91.23409483841422 23.89045535118913, 91.23409483841422 23.886348541410424, 91.23858641483481 23.886348541410424))",23.888401946299776,91.23634062662452,,,,243.24,,2.873,9.674,,,,246.113,0.0
