index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Ahmedabad_0,"POLYGON ((72.45173493442063 23.044466522431204, 72.45173493442063 23.04859961362997, 72.44724335800004 23.04859961362997, 72.44724335800004 23.044466522431204, 72.45173493442063 23.044466522431204))",23.046533068030588,72.44948914621034,,,,1396.968,,1.513,6.066,,,,1398.481,0.0
Ahmedabad_1,"POLYGON ((72.45173493442063 23.04859961362997, 72.45173493442063 23.05273257797908, 72.44724335800004 23.05273257797908, 72.44724335800004 23.04859961362997, 72.45173493442063 23.04859961362997))",23.050666095804527,72.44948914621034,,,,1396.968,,2.03,8.133,,,,1398.998,0.0
Ahmedabad_2,"POLYGON ((72.45173493442063 23.05273257797908, 72.45173493442063 23.05686541546091, 72.44724335800004 23.05686541546091, 72.44724335800004 23.05273257797908, 72.45173493442063 23.05273257797908))",23.054798996719995,72.44948914621034,,,,1543.331,,7.362,29.993,,,,1550.693,0.0
Ahmedabad_3,"POLYGON ((72.45173493442063 23.05686541546091, 72.45173493442063 23.060998126057854, 72.44724335800004 23.060998126057854, 72.44724335800004 23.05686541546091, 72.45173493442063 23.05686541546091))",23.05893177075938,72.44948914621033,,,,1475.309,,3.611,14.678,,,,1478.92,0.0
Ahmedabad_4,"POLYGON ((72.45173493442063 23.060998126057854, 72.45173493442063 23.065130709752317, 72.44724335800004 23.065130709752317, 72.44724335800004 23.060998126057854, 72.45173493442063 23.060998126057854))",23.063064417905085,72.44948914621033,,,,1188.196,,54.835,227.261,,,,1243.031,0.0
Ahmedabad_5,"POLYGON ((72.45622651084122 23.040333304400384, 72.45622651084122 23.044466522431204, 72.45173493442063 23.044466522431204, 72.45173493442063 23.040333304400384, 72.45622651084122 23.040333304400384))",23.042399913415796,72.45398072263093,,,,2753.642,,10.078,40.371,,,,2763.72,0.0
Ahmedabad_6,"POLYGON ((72.45622651084122 23.044466522431204, 72.45622651084122 23.04859961362997, 72.45173493442063 23.04859961362997, 72.45173493442063 23.044466522431204, 72.45622651084122 23.044466522431204))",23.046533068030588,72.45398072263092,,,,1494.237,,1.039,4.212,,,,1495.276,0.0
Ahmedabad_7,"POLYGON ((72.45622651084122 23.04859961362997, 72.45622651084122 23.05273257797908, 72.45173493442063 23.05273257797908, 72.45173493442063 23.04859961362997, 72.45622651084122 23.04859961362997))",23.050666095804527,72.45398072263093,,,,1494.237,,1.206,4.871,,,,1495.443,0.0
Ahmedabad_8,"POLYGON ((72.45622651084122 23.05273257797908, 72.45622651084122 23.05686541546091, 72.45173493442063 23.05686541546091, 72.45173493442063 23.05273257797908, 72.45622651084122 23.05273257797908))",23.054798996719995,72.45398072263093,,,,1329.925,,1.749,7.11,,,,1331.674,0.0
Ahmedabad_9,"POLYGON ((72.45622651084122 23.05686541546091, 72.45622651084122 23.060998126057854, 72.45173493442063 23.060998126057854, 72.45173493442063 23.05686541546091, 72.45622651084122 23.05686541546091))",23.05893177075938,72.45398072263093,,,,1289.09,,6.839,27.872,,,,1295.929,0.0
Ahmedabad_10,"POLYGON ((72.45622651084122 23.060998126057854, 72.45622651084122 23.065130709752317, 72.45173493442063 23.065130709752317, 72.45173493442063 23.060998126057854, 72.45622651084122 23.060998126057854))",23.063064417905085,72.45398072263092,,,,1185.477,,80.306,332.865,,,,1265.783,0.0
Ahmedabad_11,"POLYGON ((72.46071808726182 23.040333304400384, 72.46071808726182 23.044466522431204, 72.45622651084122 23.044466522431204, 72.45622651084122 23.040333304400384, 72.46071808726182 23.040333304400384))",23.04239991341579,72.45847229905154,,,,2684.186,,15.166,59.183,,,,2699.352,0.0
Ahmedabad_12,"POLYGON ((72.46071808726182 23.044466522431204, 72.46071808726182 23.04859961362997, 72.45622651084122 23.04859961362997, 72.45622651084122 23.044466522431204, 72.46071808726182 23.044466522431204))",23.046533068030588,72.45847229905154,,,,1461.279,,0.094,0.569,,,,1461.373,0.0
Ahmedabad_13,"POLYGON ((72.46071808726182 23.04859961362997, 72.46071808726182 23.05273257797908, 72.45622651084122 23.05273257797908, 72.45622651084122 23.04859961362997, 72.46071808726182 23.04859961362997))",23.050666095804527,72.45847229905152,,,,1461.279,,0.313,1.096,,,,1461.592,0.0
Ahmedabad_14,"POLYGON ((72.46071808726182 23.05273257797908, 72.46071808726182 23.05686541546091, 72.45622651084122 23.05686541546091, 72.45622651084122 23.05273257797908, 72.46071808726182 23.05273257797908))",23.054798996719992,72.45847229905151,,,,1349.334,,0.934,3.696,,,,1350.268,0.0
Ahmedabad_15,"POLYGON ((72.46071808726182 23.05686541546091, 72.46071808726182 23.060998126057854, 72.45622651084122 23.060998126057854, 72.45622651084122 23.05686541546091, 72.46071808726182 23.05686541546091))",23.05893177075938,72.45847229905152,,,,1140.514,,0.147,0.731,,,,1140.661,0.0
Ahmedabad_16,"POLYGON ((72.46071808726182 23.060998126057854, 72.46071808726182 23.065130709752317, 72.45622651084122 23.065130709752317, 72.45622651084122 23.060998126057854, 72.46071808726182 23.060998126057854))",23.063064417905082,72.45847229905152,,,,1223.18,,50.104,203.192,,,,1273.284,0.0
Ahmedabad_17,"POLYGON ((72.46071808726182 23.077527699244776, 72.46071808726182 23.0816597751533, 72.45622651084122 23.0816597751533, 72.45622651084122 23.077527699244776, 72.46071808726182 23.077527699244776))",23.07959373719904,72.45847229905152,,,,592.47,,4.023,16.748,,,,596.493,0.0
