index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Aizawl_0,"POLYGON ((92.66341011941405 23.708979081795874, 92.66341011941405 23.713091502511872, 92.65891854299345 23.713091502511872, 92.65891854299345 23.708979081795874, 92.66341011941405 23.708979081795874))",23.711035292153873,92.66116433120376,,,,13.96,,0.654,0.365,,,,14.614,0.0
Aizawl_1,"POLYGON ((92.66341011941405 23.713091502511872, 92.66341011941405 23.717203793580868, 92.65891854299345 23.717203793580868, 92.65891854299345 23.713091502511872, 92.66341011941405 23.713091502511872))",23.71514764804637,92.66116433120375,,,,13.96,,0.084,0.0,,,,14.044,0.0
Aizawl_2,"POLYGON ((92.66341011941405 23.717203793580868, 92.66341011941405 23.721315954985776, 92.65891854299345 23.721315954985776, 92.65891854299345 23.717203793580868, 92.66341011941405 23.717203793580868))",23.719259874283324,92.66116433120376,,,,13.359,,0.134,0.0,,,,13.493,0.0
Aizawl_3,"POLYGON ((92.66341011941405 23.721315954985776, 92.66341011941405 23.72542798670949, 92.65891854299345 23.72542798670949, 92.65891854299345 23.721315954985776, 92.66341011941405 23.721315954985776))",23.723371970847637,92.66116433120374,,,,11.95,,0.0,0.0,,,,11.95,0.0
Aizawl_4,"POLYGON ((92.66341011941405 23.72542798670949, 92.66341011941405 23.729539888734926, 92.65891854299345 23.729539888734926, 92.65891854299345 23.72542798670949, 92.66341011941405 23.72542798670949))",23.72748393772221,92.66116433120375,,,,12.224,,1.609,0.905,,,,13.833,0.0
Aizawl_5,"POLYGON ((92.66341011941405 23.729539888734926, 92.66341011941405 23.733651661045, 92.65891854299345 23.733651661045, 92.65891854299345 23.729539888734926, 92.66341011941405 23.729539888734926))",23.731595774889964,92.66116433120374,,,,17.522,,2.292,1.296,,,,19.814,0.0
Aizawl_6,"POLYGON ((92.66341011941405 23.733651661045, 92.66341011941405 23.737763303622625, 92.65891854299345 23.737763303622625, 92.65891854299345 23.733651661045, 92.66341011941405 23.733651661045))",23.73570748233381,92.66116433120378,,,,19.065,,12.148,6.803,,,,31.213,0.0
Aizawl_7,"POLYGON ((92.66341011941405 23.737763303622625, 92.66341011941405 23.74187481645072, 92.65891854299345 23.74187481645072, 92.65891854299345 23.737763303622625, 92.66341011941405 23.737763303622625))",23.739819060036673,92.66116433120374,,,,16.267,,10.167,5.69,,,,26.434,0.0
Aizawl_8,"POLYGON ((92.66341011941405 23.74187481645072, 92.66341011941405 23.745986199512217, 92.65891854299345 23.745986199512217, 92.65891854299345 23.74187481645072, 92.66341011941405 23.74187481645072))",23.74393050798147,92.66116433120375,,,,12.832,,0.0,0.0,,,,12.832,0.0
Aizawl_9,"POLYGON ((92.66341011941405 23.745986199512217, 92.66341011941405 23.750097452790037, 92.65891854299345 23.750097452790037, 92.65891854299345 23.745986199512217, 92.66341011941405 23.745986199512217))",23.748041826151127,92.66116433120375,,,,13.877,,0.0,0.0,,,,13.877,0.0
Aizawl_10,"POLYGON ((92.66341011941405 23.750097452790037, 92.66341011941405 23.7542085762671, 92.65891854299345 23.7542085762671, 92.65891854299345 23.750097452790037, 92.66341011941405 23.750097452790037))",23.752153014528563,92.66116433120375,,,,18.512,,17.078,9.163,,,,35.59,0.0
Aizawl_11,"POLYGON ((92.66341011941405 23.7542085762671, 92.66341011941405 23.758319569926357, 92.65891854299345 23.758319569926357, 92.65891854299345 23.7542085762671, 92.66341011941405 23.7542085762671))",23.75626407309673,92.66116433120376,,,,18.381,,9.826,5.27,,,,28.207,0.0
Aizawl_12,"POLYGON ((92.66341011941405 23.758319569926357, 92.66341011941405 23.76243043375073, 92.65891854299345 23.76243043375073, 92.65891854299345 23.758319569926357, 92.66341011941405 23.758319569926357))",23.760375001838547,92.66116433120376,,,,18.381,,6.516,3.482,,,,24.897,0.0
Aizawl_13,"POLYGON ((92.66341011941405 23.76243043375073, 92.66341011941405 23.766541167723165, 92.65891854299345 23.766541167723165, 92.65891854299345 23.76243043375073, 92.66341011941405 23.76243043375073))",23.764485800736946,92.66116433120376,,,,14.285,,0.0,0.0,,,,14.285,0.0
