index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Amravati_0,"POLYGON ((77.71213538126177 20.84578621269573, 77.71213538126177 20.849983719180294, 77.70764380484117 20.849983719180294, 77.70764380484117 20.84578621269573, 77.71213538126177 20.84578621269573))",20.84788496593801,77.70988959305147,,,,251.891,,0.0,0.0,,,,251.891,0.0
Amravati_1,"POLYGON ((77.71213538126177 20.849983719180294, 77.71213538126177 20.854181108548726, 77.70764380484117 20.854181108548726, 77.70764380484117 20.849983719180294, 77.71213538126177 20.849983719180294))",20.85208241386451,77.70988959305149,,,,553.814,,5.911,20.974,,,,559.725,0.0
Amravati_2,"POLYGON ((77.71213538126177 20.854181108548726, 77.71213538126177 20.858378380781755, 77.70764380484117 20.858378380781755, 77.70764380484117 20.854181108548726, 77.71213538126177 20.854181108548726))",20.856279744665237,77.70988959305149,,,,611.739,,32.234,114.803,,,,643.973,0.0
Amravati_3,"POLYGON ((77.71213538126177 20.866772573764617, 77.71213538126177 20.87096949447595, 77.70764380484117 20.87096949447595, 77.70764380484117 20.866772573764617, 77.71213538126177 20.866772573764617))",20.868871034120286,77.70988959305147,,,,248.906,,0.36,1.096,,,,249.266,0.0
Amravati_4,"POLYGON ((77.71213538126177 20.87096949447595, 77.71213538126177 20.875166297974882, 77.70764380484117 20.875166297974882, 77.70764380484117 20.87096949447595, 77.71213538126177 20.87096949447595))",20.873067896225418,77.70988959305149,,,,212.836,,0.869,3.088,,,,213.705,0.0
Amravati_5,"POLYGON ((77.71213538126177 20.91712788205047, 77.71213538126177 20.92132339494368, 77.70764380484117 20.92132339494368, 77.70764380484117 20.91712788205047, 77.71213538126177 20.91712788205047))",20.919225638497075,77.70988959305147,,,,290.756,,0.0,0.0,,,,290.756,0.0
Amravati_6,"POLYGON ((77.71213538126177 20.92132339494368, 77.71213538126177 20.92551879039378, 77.70764380484117 20.92551879039378, 77.70764380484117 20.92132339494368, 77.71213538126177 20.92132339494368))",20.923421092668733,77.70988959305147,,,,254.271,,0.0,0.0,,,,254.271,0.0
Amravati_7,"POLYGON ((77.71213538126177 20.92551879039378, 77.71213538126177 20.92971406838157, 77.70764380484117 20.92971406838157, 77.70764380484117 20.92551879039378, 77.71213538126177 20.92551879039378))",20.927616429387676,77.70988959305149,,,,253.87,,0.0,0.0,,,,253.87,0.0
Amravati_8,"POLYGON ((77.71662695768238 20.841588589114288, 77.71662695768238 20.84578621269573, 77.71213538126177 20.84578621269573, 77.71213538126177 20.841588589114288, 77.71662695768238 20.841588589114288))",20.84368740090501,77.71438116947208,,,,410.517,,3.473,12.396,,,,413.99,0.0
Amravati_9,"POLYGON ((77.71662695768238 20.84578621269573, 77.71662695768238 20.849983719180294, 77.71213538126177 20.849983719180294, 77.71213538126177 20.84578621269573, 77.71662695768238 20.84578621269573))",20.84788496593801,77.71438116947208,,,,319.157,,0.0,0.0,,,,319.157,0.0
