index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Amritsar_0,"POLYGON ((74.778678383094 31.61852017876917, 74.778678383094 31.62234493583641, 74.7741868066734 31.62234493583641, 74.7741868066734 31.61852017876917, 74.778678383094 31.61852017876917))",31.62043255730279,74.77643259488369,,,,1829.419,,2.192,7.488,,,,1831.611,0.0
Amritsar_1,"POLYGON ((74.778678383094 31.62234493583641, 74.778678383094 31.626169535698825, 74.7741868066734 31.626169535698825, 74.7741868066734 31.62234493583641, 74.778678383094 31.62234493583641))",31.62425723576762,74.77643259488369,,,,4937.763,,26.528,90.089,,,,4964.291,0.0
Amritsar_2,"POLYGON ((74.778678383094 31.626169535698825, 74.778678383094 31.629993978345823, 74.7741868066734 31.629993978345823, 74.7741868066734 31.626169535698825, 74.778678383094 31.626169535698825))",31.62808175702232,74.77643259488369,,,,4080.844,,42.323,143.748,,,,4123.167,0.0
Amritsar_3,"POLYGON ((74.778678383094 31.629993978345823, 74.778678383094 31.633818263766834, 74.7741868066734 31.633818263766834, 74.7741868066734 31.629993978345823, 74.778678383094 31.629993978345823))",31.631906121056332,74.7764325948837,,,,2316.887,,3.75,12.789,,,,2320.637,0.0
Amritsar_4,"POLYGON ((74.7831699595146 31.614695264507677, 74.7831699595146 31.61852017876917, 74.778678383094 31.61852017876917, 74.778678383094 31.614695264507677, 74.7831699595146 31.614695264507677))",31.616607721638427,74.7809241713043,,,,1750.46,,1.244,4.243,,,,1751.704,0.0
Amritsar_5,"POLYGON ((74.7831699595146 31.61852017876917, 74.7831699595146 31.62234493583641, 74.778678383094 31.62234493583641, 74.778678383094 31.61852017876917, 74.7831699595146 31.61852017876917))",31.62043255730279,74.7809241713043,,,,1750.46,,11.605,39.587,,,,1762.065,0.0
Amritsar_6,"POLYGON ((74.7831699595146 31.62234493583641, 74.7831699595146 31.626169535698825, 74.778678383094 31.626169535698825, 74.778678383094 31.62234493583641, 74.7831699595146 31.62234493583641))",31.624257235767615,74.78092417130429,,,,5118.96,,103.685,352.136,,,,5222.645,0.0
Amritsar_7,"POLYGON ((74.7831699595146 31.626169535698825, 74.7831699595146 31.629993978345823, 74.778678383094 31.629993978345823, 74.778678383094 31.626169535698825, 74.7831699595146 31.626169535698825))",31.628081757022322,74.7809241713043,,,,4499.569,,116.905,397.023,,,,4616.474,0.0
Amritsar_8,"POLYGON ((74.7831699595146 31.629993978345823, 74.7831699595146 31.633818263766834, 74.778678383094 31.633818263766834, 74.778678383094 31.629993978345823, 74.7831699595146 31.629993978345823))",31.63190612105633,74.7809241713043,,,,2740.696,,19.712,67.095,,,,2760.408,0.0
Amritsar_9,"POLYGON ((74.7831699595146 31.633818263766834, 74.7831699595146 31.6376423919513, 74.778678383094 31.6376423919513, 74.778678383094 31.633818263766834, 74.7831699595146 31.633818263766834))",31.635730327859065,74.78092417130429,,,,2359.633,,5.07,17.26,,,,2364.703,0.0
Amritsar_10,"POLYGON ((74.78766153593519 31.610870193062524, 74.78766153593519 31.614695264507677, 74.7831699595146 31.614695264507677, 74.7831699595146 31.610870193062524, 74.78766153593519 31.610870193062524))",31.6127827287851,74.7854157477249,,,,1390.915,,3.825,13.015,,,,1394.74,0.0
Amritsar_11,"POLYGON ((74.78766153593519 31.614695264507677, 74.78766153593519 31.61852017876917, 74.7831699595146 31.61852017876917, 74.7831699595146 31.614695264507677, 74.78766153593519 31.614695264507677))",31.616607721638427,74.78541574772488,,,,1939.385,,3.673,12.533,,,,1943.058,0.0
Amritsar_12,"POLYGON ((74.78766153593519 31.61852017876917, 74.78766153593519 31.62234493583641, 74.7831699595146 31.62234493583641, 74.7831699595146 31.61852017876917, 74.78766153593519 31.61852017876917))",31.62043255730279,74.7854157477249,,,,1939.385,,17.365,59.153,,,,1956.75,0.0
Amritsar_13,"POLYGON ((74.78766153593519 31.62234493583641, 74.78766153593519 31.626169535698825, 74.7831699595146 31.626169535698825, 74.7831699595146 31.62234493583641, 74.78766153593519 31.62234493583641))",31.624257235767615,74.7854157477249,,,,5037.842,,86.265,291.704,,,,5124.107,0.0
Amritsar_14,"POLYGON ((74.78766153593519 31.626169535698825, 74.78766153593519 31.629993978345823, 74.7831699595146 31.629993978345823, 74.7831699595146 31.626169535698825, 74.78766153593519 31.626169535698825))",31.628081757022322,74.7854157477249,,,,4924.941,,97.083,328.295,,,,5022.024,0.0
Amritsar_15,"POLYGON ((74.78766153593519 31.629993978345823, 74.78766153593519 31.633818263766834, 74.7831699595146 31.633818263766834, 74.7831699595146 31.629993978345823, 74.78766153593519 31.629993978345823))",31.63190612105633,74.7854157477249,,,,3450.594,,34.736,117.638,,,,3485.33,0.0
Amritsar_16,"POLYGON ((74.78766153593519 31.633818263766834, 74.78766153593519 31.6376423919513, 74.7831699595146 31.6376423919513, 74.7831699595146 31.633818263766834, 74.78766153593519 31.633818263766834))",31.635730327859065,74.7854157477249,,,,2749.959,,0.817,2.685,,,,2750.776,0.0
Amritsar_17,"POLYGON ((74.79215311235579 31.610870193062524, 74.79215311235579 31.614695264507677, 74.78766153593519 31.614695264507677, 74.78766153593519 31.610870193062524, 74.79215311235579 31.610870193062524))",31.6127827287851,74.78990732414549,,,,1836.848,,26.019,88.554,,,,1862.867,0.0
Amritsar_18,"POLYGON ((74.79215311235579 31.614695264507677, 74.79215311235579 31.61852017876917, 74.78766153593519 31.61852017876917, 74.78766153593519 31.614695264507677, 74.79215311235579 31.614695264507677))",31.616607721638427,74.78990732414549,,,,2770.624,,32.53,110.665,,,,2803.154,0.0
Amritsar_19,"POLYGON ((74.79215311235579 31.61852017876917, 74.79215311235579 31.62234493583641, 74.78766153593519 31.62234493583641, 74.78766153593519 31.61852017876917, 74.79215311235579 31.61852017876917))",31.62043255730279,74.78990732414549,,,,2770.624,,25.365,86.309,,,,2795.989,0.0
Amritsar_20,"POLYGON ((74.79215311235579 31.62234493583641, 74.79215311235579 31.626169535698825, 74.78766153593519 31.626169535698825, 74.78766153593519 31.62234493583641, 74.79215311235579 31.62234493583641))",31.62425723576762,74.78990732414549,,,,5533.916,,69.366,234.584,,,,5603.282,0.0
Amritsar_21,"POLYGON ((74.79215311235579 31.626169535698825, 74.79215311235579 31.629993978345823, 74.78766153593519 31.629993978345823, 74.78766153593519 31.626169535698825, 74.79215311235579 31.626169535698825))",31.62808175702232,74.78990732414549,,,,5568.786,,87.449,295.729,,,,5656.235,0.0
Amritsar_22,"POLYGON ((74.79215311235579 31.629993978345823, 74.79215311235579 31.633818263766834, 74.78766153593519 31.633818263766834, 74.78766153593519 31.629993978345823, 74.79215311235579 31.629993978345823))",31.631906121056332,74.78990732414549,,,,3911.458,,112.951,382.465,,,,4024.409,0.0
Amritsar_23,"POLYGON ((74.79215311235579 31.633818263766834, 74.79215311235579 31.6376423919513, 74.78766153593519 31.6376423919513, 74.78766153593519 31.633818263766834, 74.79215311235579 31.633818263766834))",31.63573032785907,74.7899073241455,,,,2722.37,,8.54,28.921,,,,2730.91,0.0
Amritsar_24,"POLYGON ((74.79215311235579 31.6376423919513, 74.79215311235579 31.64146636288862, 74.78766153593519 31.64146636288862, 74.78766153593519 31.6376423919513, 74.79215311235579 31.6376423919513))",31.639554377419962,74.78990732414549,,,,1786.494,,2.29,7.79,,,,1788.784,0.0
Amritsar_25,"POLYGON ((74.79664468877638 31.6070449644443, 74.79664468877638 31.610870193062524, 74.79215311235579 31.610870193062524, 74.79215311235579 31.6070449644443, 74.79664468877638 31.6070449644443))",31.608957578753415,74.79439890056608,,,,1274.937,,1.469,4.997,,,,1276.406,0.0
