index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Bareilly_0,"POLYGON ((79.33327012877092 28.416100840779205, 79.33327012877092 28.420051175396427, 79.32877855235031 28.420051175396427, 79.32877855235031 28.416100840779205, 79.33327012877092 28.416100840779205))",28.418076008087812,79.33102434056062,,,,423.212,,0.651,2.322,,,,423.863,0.0
Bareilly_1,"POLYGON ((79.33327012877092 28.424001362630833, 79.33327012877092 28.427951402469137, 79.32877855235031 28.427951402469137, 79.32877855235031 28.424001362630833, 79.33327012877092 28.424001362630833))",28.42597638254998,79.33102434056062,,,,464.581,,4.906,17.327,,,,469.487,0.0
Bareilly_2,"POLYGON ((79.33327012877092 28.427951402469137, 79.33327012877092 28.431901294898072, 79.32877855235031 28.431901294898072, 79.32877855235031 28.427951402469137, 79.33327012877092 28.427951402469137))",28.429926348683605,79.33102434056062,,,,591.566,,0.0,0.0,,,,591.566,0.0
Bareilly_3,"POLYGON ((79.33327012877092 28.431901294898072, 79.33327012877092 28.435851039904364, 79.32877855235031 28.435851039904364, 79.32877855235031 28.431901294898072, 79.33327012877092 28.431901294898072))",28.433876167401216,79.33102434056062,,,,677.709,,0.0,0.0,,,,677.709,0.0
Bareilly_4,"POLYGON ((79.33327012877092 28.435851039904364, 79.33327012877092 28.439800637474747, 79.32877855235031 28.439800637474747, 79.32877855235031 28.435851039904364, 79.33327012877092 28.435851039904364))",28.43782583868955,79.33102434056062,,,,577.999,,0.0,0.0,,,,577.999,0.0
Bareilly_5,"POLYGON ((79.33327012877092 28.439800637474747, 79.33327012877092 28.44375008759595, 79.32877855235031 28.44375008759595, 79.32877855235031 28.439800637474747, 79.33327012877092 28.439800637474747))",28.441775362535346,79.33102434056062,,,,633.962,,0.0,0.0,,,,633.962,0.0
Bareilly_6,"POLYGON ((79.33776170519153 28.412150358792438, 79.33776170519153 28.416100840779205, 79.33327012877092 28.416100840779205, 79.33327012877092 28.412150358792438, 79.33776170519153 28.412150358792438))",28.414125599785823,79.33551591698122,,,,453.548,,0.0,0.0,,,,453.548,0.0
Bareilly_7,"POLYGON ((79.33776170519153 28.416100840779205, 79.33776170519153 28.420051175396427, 79.33327012877092 28.420051175396427, 79.33327012877092 28.416100840779205, 79.33776170519153 28.416100840779205))",28.418076008087812,79.33551591698121,,,,453.548,,0.0,0.0,,,,453.548,0.0
Bareilly_8,"POLYGON ((79.33776170519153 28.420051175396427, 79.33776170519153 28.424001362630833, 79.33327012877092 28.424001362630833, 79.33327012877092 28.420051175396427, 79.33776170519153 28.420051175396427))",28.422026269013628,79.33551591698122,,,,460.485,,0.0,0.0,,,,460.485,0.0
Bareilly_9,"POLYGON ((79.33776170519153 28.424001362630833, 79.33776170519153 28.427951402469137, 79.33327012877092 28.427951402469137, 79.33327012877092 28.424001362630833, 79.33776170519153 28.424001362630833))",28.42597638254998,79.33551591698122,,,,546.015,,0.0,0.0,,,,546.015,0.0
Bareilly_10,"POLYGON ((79.33776170519153 28.427951402469137, 79.33776170519153 28.431901294898072, 79.33327012877092 28.431901294898072, 79.33327012877092 28.427951402469137, 79.33776170519153 28.427951402469137))",28.429926348683605,79.33551591698122,,,,865.711,,0.523,1.903,,,,866.234,0.0
Bareilly_11,"POLYGON ((79.33776170519153 28.431901294898072, 79.33776170519153 28.435851039904364, 79.33327012877092 28.435851039904364, 79.33327012877092 28.431901294898072, 79.33776170519153 28.431901294898072))",28.433876167401216,79.33551591698121,,,,1108.559,,23.844,85.139,,,,1132.403,0.0
Bareilly_12,"POLYGON ((79.33776170519153 28.435851039904364, 79.33776170519153 28.439800637474747, 79.33327012877092 28.439800637474747, 79.33327012877092 28.435851039904364, 79.33776170519153 28.435851039904364))",28.43782583868955,79.33551591698124,,,,967.909,,0.0,0.0,,,,967.909,0.0
Bareilly_13,"POLYGON ((79.33776170519153 28.439800637474747, 79.33776170519153 28.44375008759595, 79.33327012877092 28.44375008759595, 79.33327012877092 28.439800637474747, 79.33776170519153 28.439800637474747))",28.441775362535346,79.33551591698122,,,,870.199,,0.469,1.797,,,,870.668,0.0
