index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Bhilainagar_0,"POLYGON ((81.30373772549369 21.180853393457376, 81.30373772549369 21.185041480291638, 81.2992461490731 21.185041480291638, 81.2992461490731 21.180853393457376, 81.30373772549369 21.180853393457376))",21.182947436874507,81.30149193728342,,,,7156.809,,57.974,198.873,,,,7214.783,0.0
Bhilainagar_1,"POLYGON ((81.30373772549369 21.210167509076843, 81.30373772549369 21.214354764993598, 81.2992461490731 21.214354764993598, 81.2992461490731 21.210167509076843, 81.30373772549369 21.210167509076843))",21.21226113703522,81.30149193728339,,,,4820.913,,40.925,144.375,,,,4861.838,0.0
Bhilainagar_2,"POLYGON ((81.30373772549369 21.214354764993598, 81.30373772549369 21.21854190213185, 81.2992461490731 21.21854190213185, 81.2992461490731 21.214354764993598, 81.30373772549369 21.214354764993598))",21.216448333562724,81.30149193728339,,,,3696.323,,0.83,2.925,,,,3697.153,0.0
Bhilainagar_3,"POLYGON ((81.30373772549369 21.21854190213185, 81.30373772549369 21.222728920472605, 81.2992461490731 21.222728920472605, 81.2992461490731 21.21854190213185, 81.30373772549369 21.21854190213185))",21.220635411302222,81.30149193728339,,,,3416.844,,65.534,235.217,,,,3482.378,0.0
Bhilainagar_4,"POLYGON ((81.30373772549369 21.222728920472605, 81.30373772549369 21.226915819996876, 81.2992461490731 21.226915819996876, 81.2992461490731 21.222728920472605, 81.30373772549369 21.222728920472605))",21.224822370234744,81.3014919372834,,,,2978.513,,25.569,91.791,,,,3004.082,0.0
Bhilainagar_5,"POLYGON ((81.3082293019143 21.176665187996658, 81.3082293019143 21.180853393457376, 81.30373772549369 21.180853393457376, 81.30373772549369 21.176665187996658, 81.3082293019143 21.176665187996658))",21.17875929072702,81.30598351370398,,,,5047.073,,0.736,2.529,,,,5047.809,0.0
Bhilainagar_6,"POLYGON ((81.3082293019143 21.180853393457376, 81.3082293019143 21.185041480291638, 81.30373772549369 21.185041480291638, 81.30373772549369 21.180853393457376, 81.3082293019143 21.180853393457376))",21.182947436874507,81.30598351370398,,,,6841.631,,279.117,957.533,,,,7120.748,0.0
Bhilainagar_7,"POLYGON ((81.3082293019143 21.185041480291638, 81.3082293019143 21.189229448480422, 81.30373772549369 21.189229448480422, 81.30373772549369 21.185041480291638, 81.3082293019143 21.185041480291638))",21.187135464386028,81.305983513704,,,,6388.69,,316.481,1085.661,,,,6705.171,0.0
Bhilainagar_8,"POLYGON ((81.3082293019143 21.189229448480422, 81.3082293019143 21.193417298004714, 81.30373772549369 21.193417298004714, 81.30373772549369 21.189229448480422, 81.3082293019143 21.189229448480422))",21.19132337324257,81.30598351370399,,,,6315.668,,158.671,546.95,,,,6474.339,0.0
Bhilainagar_9,"POLYGON ((81.3082293019143 21.193417298004714, 81.3082293019143 21.19760502884551, 81.30373772549369 21.19760502884551, 81.30373772549369 21.193417298004714, 81.3082293019143 21.193417298004714))",21.195511163425106,81.30598351370398,,,,6315.668,,77.987,268.858,,,,6393.655,0.0
Bhilainagar_10,"POLYGON ((81.3082293019143 21.210167509076843, 81.3082293019143 21.214354764993598, 81.30373772549369 21.214354764993598, 81.30373772549369 21.210167509076843, 81.3082293019143 21.210167509076843))",21.212261137035217,81.30598351370399,,,,4757.179,,53.262,187.878,,,,4810.441,0.0
Bhilainagar_11,"POLYGON ((81.3082293019143 21.214354764993598, 81.3082293019143 21.21854190213185, 81.30373772549369 21.21854190213185, 81.30373772549369 21.214354764993598, 81.3082293019143 21.214354764993598))",21.216448333562724,81.30598351370398,,,,4421.951,,101.666,358.643,,,,4523.617,0.0
Bhilainagar_12,"POLYGON ((81.3082293019143 21.21854190213185, 81.3082293019143 21.222728920472605, 81.30373772549369 21.222728920472605, 81.30373772549369 21.21854190213185, 81.3082293019143 21.21854190213185))",21.220635411302226,81.30598351370399,,,,3883.617,,91.06,326.845,,,,3974.677,0.0
Bhilainagar_13,"POLYGON ((81.3082293019143 21.222728920472605, 81.3082293019143 21.226915819996876, 81.30373772549369 21.226915819996876, 81.30373772549369 21.222728920472605, 81.3082293019143 21.222728920472605))",21.224822370234744,81.30598351370399,,,,3061.493,,54.844,196.872,,,,3116.337,0.0
Bhilainagar_14,"POLYGON ((81.3082293019143 21.226915819996876, 81.3082293019143 21.231102600685674, 81.30373772549369 21.231102600685674, 81.30373772549369 21.226915819996876, 81.3082293019143 21.226915819996876))",21.229009210341275,81.305983513704,,,,2587.601,,11.399,41.205,,,,2599.0,0.0
Bhilainagar_15,"POLYGON ((81.3082293019143 21.231102600685674, 81.3082293019143 21.235289262520023, 81.30373772549369 21.235289262520023, 81.30373772549369 21.231102600685674, 81.3082293019143 21.231102600685674))",21.23319593160285,81.30598351370399,,,,3015.546,,11.697,42.321,,,,3027.243,0.0
Bhilainagar_16,"POLYGON ((81.31272087833489 21.176665187996658, 81.31272087833489 21.180853393457376, 81.3082293019143 21.180853393457376, 81.3082293019143 21.176665187996658, 81.31272087833489 21.176665187996658))",21.178759290727015,81.3104750901246,,,,5160.094,,9.45,32.207,,,,5169.544,0.0
Bhilainagar_17,"POLYGON ((81.31272087833489 21.180853393457376, 81.31272087833489 21.185041480291638, 81.3082293019143 21.185041480291638, 81.3082293019143 21.180853393457376, 81.31272087833489 21.180853393457376))",21.182947436874507,81.31047509012458,,,,7022.554,,168.259,577.058,,,,7190.813,0.0
Bhilainagar_18,"POLYGON ((81.31272087833489 21.185041480291638, 81.31272087833489 21.189229448480422, 81.3082293019143 21.189229448480422, 81.3082293019143 21.185041480291638, 81.31272087833489 21.185041480291638))",21.18713546438603,81.3104750901246,,,,7101.167,,173.872,596.289,,,,7275.039,0.0
Bhilainagar_19,"POLYGON ((81.31272087833489 21.189229448480422, 81.31272087833489 21.193417298004714, 81.3082293019143 21.193417298004714, 81.3082293019143 21.189229448480422, 81.31272087833489 21.189229448480422))",21.191323373242568,81.31047509012458,,,,7058.835,,146.795,506.706,,,,7205.63,0.0
