index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Bhopal_0,"POLYGON ((77.26490757642061 23.25127527195275, 77.26490757642061 23.255401989565303, 77.260416 23.255401989565303, 77.260416 23.25127527195275, 77.26490757642061 23.25127527195275))",23.253338630759025,77.2626617882103,,,,455.032,,6.94,26.013,,,,461.972,0.0
Bhopal_1,"POLYGON ((77.26490757642061 23.255401989565303, 77.26490757642061 23.259528579450222, 77.260416 23.259528579450222, 77.260416 23.255401989565303, 77.26490757642061 23.255401989565303))",23.25746528450776,77.2626617882103,,,,1027.57,,2.817,10.489,,,,1030.387,0.0
Bhopal_2,"POLYGON ((77.26490757642061 23.259528579450222, 77.26490757642061 23.263655041590052, 77.260416 23.263655041590052, 77.260416 23.259528579450222, 77.26490757642061 23.259528579450222))",23.26159181052014,77.2626617882103,,,,1027.57,,45.002,166.885,,,,1072.572,0.0
Bhopal_3,"POLYGON ((77.26490757642061 23.263655041590052, 77.26490757642061 23.267781375967356, 77.260416 23.267781375967356, 77.260416 23.263655041590052, 77.26490757642061 23.263655041590052))",23.265718208778704,77.26266178821031,,,,1459.79,,3.183,11.797,,,,1462.973,0.0
Bhopal_4,"POLYGON ((77.26490757642061 23.267781375967356, 77.26490757642061 23.271907582564676, 77.260416 23.271907582564676, 77.260416 23.267781375967356, 77.26490757642061 23.267781375967356))",23.269844479266013,77.2626617882103,,,,964.771,,1.406,5.195,,,,966.177,0.0
Bhopal_5,"POLYGON ((77.26490757642061 23.292536698241253, 77.26490757642061 23.296662137792538, 77.260416 23.296662137792538, 77.260416 23.292536698241253, 77.26490757642061 23.292536698241253))",23.294599418016894,77.26266178821031,,,,339.904,,4.371,16.14,,,,344.275,0.0
Bhopal_6,"POLYGON ((77.26490757642061 23.296662137792538, 77.26490757642061 23.300787449441813, 77.260416 23.300787449441813, 77.260416 23.296662137792538, 77.26490757642061 23.296662137792538))",23.29872479361718,77.26266178821031,,,,396.56,,8.225,30.285,,,,404.785,0.0
Bhopal_7,"POLYGON ((77.26490757642061 23.300787449441813, 77.26490757642061 23.30491263317166, 77.260416 23.30491263317166, 77.260416 23.300787449441813, 77.26490757642061 23.300787449441813))",23.302850041306737,77.26266178821031,,,,303.913,,3.124,11.548,,,,307.037,0.0
Bhopal_8,"POLYGON ((77.26490757642061 23.30491263317166, 77.26490757642061 23.309037688964672, 77.260416 23.309037688964672, 77.260416 23.30491263317166, 77.26490757642061 23.30491263317166))",23.306975161068166,77.2626617882103,,,,263.669,,2.303,8.504,,,,265.972,0.0
Bhopal_9,"POLYGON ((77.2693991528412 23.24302145361458, 77.2693991528412 23.247148426630023, 77.26490757642061 23.247148426630023, 77.26490757642061 23.24302145361458, 77.2693991528412 23.24302145361458))",23.245084940122307,77.2671533646309,,,,285.748,,0.0,0.0,,,,285.748,0.0
Bhopal_10,"POLYGON ((77.2693991528412 23.247148426630023, 77.2693991528412 23.25127527195275, 77.26490757642061 23.25127527195275, 77.26490757642061 23.247148426630023, 77.2693991528412 23.247148426630023))",23.249211849291385,77.26715336463091,,,,432.3,,2.684,10.2,,,,434.984,0.0
Bhopal_11,"POLYGON ((77.2693991528412 23.25127527195275, 77.2693991528412 23.255401989565303, 77.26490757642061 23.255401989565303, 77.26490757642061 23.25127527195275, 77.2693991528412 23.25127527195275))",23.253338630759025,77.26715336463091,,,,445.879,,4.228,15.99,,,,450.107,0.0
Bhopal_12,"POLYGON ((77.2693991528412 23.255401989565303, 77.2693991528412 23.259528579450222, 77.26490757642061 23.259528579450222, 77.26490757642061 23.255401989565303, 77.2693991528412 23.255401989565303))",23.257465284507763,77.2671533646309,,,,713.925,,0.636,2.442,,,,714.561,0.0
Bhopal_13,"POLYGON ((77.2693991528412 23.259528579450222, 77.2693991528412 23.263655041590052, 77.26490757642061 23.263655041590052, 77.26490757642061 23.259528579450222, 77.2693991528412 23.259528579450222))",23.261591810520137,77.26715336463093,,,,713.925,,1.122,4.249,,,,715.047,0.0
Bhopal_14,"POLYGON ((77.2693991528412 23.263655041590052, 77.2693991528412 23.267781375967356, 77.26490757642061 23.267781375967356, 77.26490757642061 23.263655041590052, 77.2693991528412 23.263655041590052))",23.265718208778704,77.26715336463091,,,,1391.017,,13.792,51.678,,,,1404.809,0.0
Bhopal_15,"POLYGON ((77.2693991528412 23.267781375967356, 77.2693991528412 23.271907582564676, 77.26490757642061 23.271907582564676, 77.26490757642061 23.267781375967356, 77.2693991528412 23.267781375967356))",23.269844479266016,77.26715336463091,,,,1547.546,,14.144,52.712,,,,1561.69,0.0
Bhopal_16,"POLYGON ((77.2693991528412 23.271907582564676, 77.2693991528412 23.276033661364576, 77.26490757642061 23.276033661364576, 77.26490757642061 23.271907582564676, 77.2693991528412 23.271907582564676))",23.273970621964622,77.26715336463091,,,,858.36,,3.163,11.768,,,,861.523,0.0
Bhopal_17,"POLYGON ((77.2693991528412 23.28428543550237, 77.2693991528412 23.28841113080539, 77.26490757642061 23.28841113080539, 77.26490757642061 23.28428543550237, 77.2693991528412 23.28428543550237))",23.286348283153874,77.26715336463091,,,,340.761,,0.247,0.872,,,,341.008,0.0
Bhopal_18,"POLYGON ((77.2693991528412 23.28841113080539, 77.2693991528412 23.292536698241253, 77.26490757642061 23.292536698241253, 77.26490757642061 23.28841113080539, 77.2693991528412 23.28841113080539))",23.29047391452332,77.2671533646309,,,,566.541,,2.7,9.972,,,,569.241,0.0
Bhopal_19,"POLYGON ((77.2693991528412 23.292536698241253, 77.2693991528412 23.296662137792538, 77.26490757642061 23.296662137792538, 77.26490757642061 23.292536698241253, 77.2693991528412 23.292536698241253))",23.294599418016894,77.26715336463091,,,,794.648,,15.623,57.73,,,,810.271,0.0
Bhopal_20,"POLYGON ((77.2693991528412 23.296662137792538, 77.2693991528412 23.300787449441813, 77.26490757642061 23.300787449441813, 77.26490757642061 23.296662137792538, 77.2693991528412 23.296662137792538))",23.29872479361718,77.26715336463091,,,,886.782,,25.319,93.594,,,,912.101,0.0
Bhopal_21,"POLYGON ((77.2693991528412 23.300787449441813, 77.2693991528412 23.30491263317166, 77.26490757642061 23.30491263317166, 77.26490757642061 23.300787449441813, 77.2693991528412 23.300787449441813))",23.302850041306733,77.26715336463091,,,,495.854,,13.423,49.767,,,,509.277,0.0
Bhopal_22,"POLYGON ((77.2693991528412 23.30491263317166, 77.2693991528412 23.309037688964672, 77.26490757642061 23.309037688964672, 77.26490757642061 23.30491263317166, 77.2693991528412 23.30491263317166))",23.306975161068166,77.2671533646309,,,,301.108,,10.522,39.018,,,,311.63,0.0
Bhopal_23,"POLYGON ((77.27389072926181 23.23889435292387, 77.27389072926181 23.24302145361458, 77.2693991528412 23.24302145361458, 77.2693991528412 23.23889435292387, 77.27389072926181 23.23889435292387))",23.240957903269226,77.2716449410515,,,,185.649,,0.0,0.0,,,,185.649,0.0
Bhopal_24,"POLYGON ((77.27389072926181 23.24302145361458, 77.27389072926181 23.247148426630023, 77.2693991528412 23.247148426630023, 77.2693991528412 23.24302145361458, 77.27389072926181 23.24302145361458))",23.245084940122304,77.27164494105149,,,,230.551,,0.0,0.0,,,,230.551,0.0
Bhopal_25,"POLYGON ((77.27389072926181 23.247148426630023, 77.27389072926181 23.25127527195275, 77.2693991528412 23.25127527195275, 77.2693991528412 23.247148426630023, 77.27389072926181 23.247148426630023))",23.24921184929138,77.27164494105149,,,,413.835,,0.5,1.973,,,,414.335,0.0
Bhopal_26,"POLYGON ((77.27389072926181 23.25127527195275, 77.27389072926181 23.255401989565303, 77.2693991528412 23.255401989565303, 77.2693991528412 23.25127527195275, 77.27389072926181 23.25127527195275))",23.253338630759025,77.27164494105152,,,,486.065,,3.993,15.128,,,,490.058,0.0
Bhopal_27,"POLYGON ((77.27389072926181 23.255401989565303, 77.27389072926181 23.259528579450222, 77.2693991528412 23.259528579450222, 77.2693991528412 23.255401989565303, 77.27389072926181 23.255401989565303))",23.25746528450776,77.2716449410515,,,,544.291,,4.272,15.994,,,,548.563,0.0
Bhopal_28,"POLYGON ((77.27389072926181 23.259528579450222, 77.27389072926181 23.263655041590052, 77.2693991528412 23.263655041590052, 77.2693991528412 23.259528579450222, 77.27389072926181 23.259528579450222))",23.26159181052014,77.27164494105152,,,,544.291,,0.0,0.0,,,,544.291,0.0
Bhopal_29,"POLYGON ((77.27389072926181 23.263655041590052, 77.27389072926181 23.267781375967356, 77.2693991528412 23.267781375967356, 77.2693991528412 23.263655041590052, 77.27389072926181 23.263655041590052))",23.265718208778704,77.2716449410515,,,,1358.174,,16.148,60.508,,,,1374.322,0.0
Bhopal_30,"POLYGON ((77.27389072926181 23.267781375967356, 77.27389072926181 23.271907582564676, 77.2693991528412 23.271907582564676, 77.2693991528412 23.267781375967356, 77.27389072926181 23.267781375967356))",23.269844479266013,77.2716449410515,,,,1786.14,,2.9,10.812,,,,1789.04,0.0
Bhopal_31,"POLYGON ((77.27389072926181 23.271907582564676, 77.27389072926181 23.276033661364576, 77.2693991528412 23.276033661364576, 77.2693991528412 23.271907582564676, 77.27389072926181 23.271907582564676))",23.273970621964626,77.2716449410515,,,,1081.981,,19.979,74.52,,,,1101.96,0.0
Bhopal_32,"POLYGON ((77.27389072926181 23.276033661364576, 77.27389072926181 23.280159612349625, 77.2693991528412 23.280159612349625, 77.2693991528412 23.276033661364576, 77.27389072926181 23.276033661364576))",23.278096636857097,77.27164494105149,,,,732.553,,5.837,21.737,,,,738.39,0.0
Bhopal_33,"POLYGON ((77.27389072926181 23.280159612349625, 77.27389072926181 23.28428543550237, 77.2693991528412 23.28428543550237, 77.2693991528412 23.280159612349625, 77.27389072926181 23.280159612349625))",23.28222252392599,77.2716449410515,,,,621.182,,10.29,38.232,,,,631.472,0.0
Bhopal_34,"POLYGON ((77.27389072926181 23.28428543550237, 77.27389072926181 23.28841113080539, 77.2693991528412 23.28841113080539, 77.2693991528412 23.28428543550237, 77.27389072926181 23.28428543550237))",23.286348283153878,77.27164494105149,,,,681.264,,17.996,66.515,,,,699.26,0.0
Bhopal_35,"POLYGON ((77.27389072926181 23.28841113080539, 77.27389072926181 23.292536698241253, 77.2693991528412 23.292536698241253, 77.2693991528412 23.28841113080539, 77.27389072926181 23.28841113080539))",23.290473914523318,77.2716449410515,,,,897.105,,65.225,241.169,,,,962.33,0.0
