index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Dehradun_0,"POLYGON ((77.9869632598479 30.326665590834075, 77.9869632598479 30.33054246611895, 77.98247168342729 30.33054246611895, 77.98247168342729 30.326665590834075, 77.9869632598479 30.326665590834075))",30.328604028476512,77.98471747163761,,,,1922.499,,54.418,183.346,,,,1976.917,0.0
Dehradun_1,"POLYGON ((77.9869632598479 30.33054246611895, 77.9869632598479 30.33441918793142, 77.98247168342729 30.33441918793142, 77.98247168342729 30.33054246611895, 77.9869632598479 30.33054246611895))",30.332480827025186,77.98471747163758,,,,1799.67,,98.542,332.003,,,,1898.212,0.0
Dehradun_2,"POLYGON ((77.99145483626847 30.280131120821565, 77.99145483626847 30.28400983686362, 77.9869632598479 30.28400983686362, 77.9869632598479 30.280131120821565, 77.99145483626847 30.280131120821565))",30.28207047884259,77.98920904805817,,,,1803.408,,277.059,973.465,,,,2080.467,0.0
Dehradun_3,"POLYGON ((77.99145483626847 30.29952316759395, 77.99145483626847 30.30340111685852, 77.9869632598479 30.30340111685852, 77.9869632598479 30.29952316759395, 77.99145483626847 30.29952316759395))",30.301462142226235,77.98920904805819,,,,1689.519,,269.454,864.447,,,,1958.973,0.0
Dehradun_4,"POLYGON ((77.99145483626847 30.30340111685852, 77.99145483626847 30.307278912732496, 77.9869632598479 30.307278912732496, 77.9869632598479 30.30340111685852, 77.99145483626847 30.30340111685852))",30.3053400147955,77.98920904805819,,,,1686.91,,137.619,441.485,,,,1824.529,0.0
Dehradun_5,"POLYGON ((77.99145483626847 30.307278912732496, 77.99145483626847 30.311156555204164, 77.9869632598479 30.311156555204164, 77.9869632598479 30.307278912732496, 77.99145483626847 30.307278912732496))",30.30921773396833,77.98920904805819,,,,1371.435,,236.462,757.726,,,,1607.897,0.0
Dehradun_6,"POLYGON ((77.99145483626847 30.311156555204164, 77.99145483626847 30.315034044261843, 77.9869632598479 30.315034044261843, 77.9869632598479 30.311156555204164, 77.99145483626847 30.311156555204164))",30.313095299733,77.98920904805819,,,,1371.435,,167.168,535.672,,,,1538.603,0.0
Dehradun_7,"POLYGON ((77.99145483626847 30.322788562088483, 77.99145483626847 30.326665590834075, 77.9869632598479 30.326665590834075, 77.9869632598479 30.322788562088483, 77.99145483626847 30.322788562088483))",30.32472707646128,77.98920904805817,,,,1317.711,,19.735,64.558,,,,1337.446,0.0
Dehradun_8,"POLYGON ((77.99145483626847 30.326665590834075, 77.99145483626847 30.33054246611895, 77.9869632598479 30.33054246611895, 77.9869632598479 30.326665590834075, 77.99145483626847 30.326665590834075))",30.328604028476512,77.9892090480582,,,,1696.294,,350.33,1180.204,,,,2046.624,0.0
Dehradun_9,"POLYGON ((77.99145483626847 30.33054246611895, 77.99145483626847 30.33441918793142, 77.9869632598479 30.33441918793142, 77.9869632598479 30.33054246611895, 77.99145483626847 30.33054246611895))",30.332480827025186,77.9892090480582,,,,1487.432,,150.094,505.69,,,,1637.526,0.0
