index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Dewas_0,"POLYGON ((75.99021859969753 22.918712298824584, 75.99021859969753 22.922849239290596, 75.98572702327694 22.922849239290596, 75.98572702327694 22.918712298824584, 75.99021859969753 22.918712298824584))",22.92078076905759,75.98797281148724,,,,218.255,,0.0,0.0,,,,218.255,0.0
Dewas_1,"POLYGON ((75.99021859969753 22.922849239290596, 75.99021859969753 22.926986053444043, 75.98572702327694 22.926986053444043, 75.98572702327694 22.922849239290596, 75.99021859969753 22.922849239290596))",22.92491764636732,75.98797281148721,,,,218.255,,0.0,0.0,,,,218.255,0.0
Dewas_2,"POLYGON ((75.99021859969753 22.926986053444043, 75.99021859969753 22.931122741267224, 75.98572702327694 22.931122741267224, 75.98572702327694 22.926986053444043, 75.99021859969753 22.926986053444043))",22.92905439735564,75.98797281148721,,,,212.754,,0.0,0.0,,,,212.754,0.0
Dewas_3,"POLYGON ((75.99021859969753 22.931122741267224, 75.99021859969753 22.935259302742427, 75.98572702327694 22.935259302742427, 75.98572702327694 22.931122741267224, 75.99021859969753 22.931122741267224))",22.933191022004827,75.98797281148723,,,,296.498,,0.0,0.0,,,,296.498,0.0
Dewas_4,"POLYGON ((75.99021859969753 22.935259302742427, 75.99021859969753 22.939395737851957, 75.98572702327694 22.939395737851957, 75.98572702327694 22.935259302742427, 75.99021859969753 22.935259302742427))",22.937327520297195,75.98797281148723,,,,304.688,,16.671,55.053,,,,321.359,0.0
Dewas_5,"POLYGON ((75.99021859969753 22.939395737851957, 75.99021859969753 22.943532046578113, 75.98572702327694 22.943532046578113, 75.98572702327694 22.939395737851957, 75.99021859969753 22.939395737851957))",22.94146389221503,75.98797281148723,,,,216.674,,2.489,8.228,,,,219.163,0.0
Dewas_6,"POLYGON ((75.99021859969753 22.943532046578113, 75.99021859969753 22.9476682289032, 75.98572702327694 22.9476682289032, 75.98572702327694 22.943532046578113, 75.99021859969753 22.943532046578113))",22.945600137740655,75.98797281148723,,,,182.112,,0.666,2.251,,,,182.778,0.0
Dewas_7,"POLYGON ((75.99021859969753 22.9476682289032, 75.99021859969753 22.951804284809523, 75.98572702327694 22.951804284809523, 75.98572702327694 22.9476682289032, 75.99021859969753 22.9476682289032))",22.94973625685636,75.98797281148721,,,,168.811,,0.0,0.0,,,,168.811,0.0
Dewas_8,"POLYGON ((75.99471017611813 22.918712298824584, 75.99471017611813 22.922849239290596, 75.99021859969753 22.922849239290596, 75.99021859969753 22.918712298824584, 75.99471017611813 22.918712298824584))",22.92078076905759,75.99246438790783,,,,245.636,,3.096,10.298,,,,248.732,0.0
Dewas_9,"POLYGON ((75.99471017611813 22.922849239290596, 75.99471017611813 22.926986053444043, 75.99021859969753 22.926986053444043, 75.99021859969753 22.922849239290596, 75.99471017611813 22.922849239290596))",22.92491764636732,75.99246438790783,,,,245.636,,0.0,0.0,,,,245.636,0.0
Dewas_10,"POLYGON ((75.99471017611813 22.926986053444043, 75.99471017611813 22.931122741267224, 75.99021859969753 22.931122741267224, 75.99021859969753 22.926986053444043, 75.99471017611813 22.926986053444043))",22.929054397355635,75.99246438790783,,,,368.116,,1.099,3.641,,,,369.215,0.0
Dewas_11,"POLYGON ((75.99471017611813 22.931122741267224, 75.99471017611813 22.935259302742427, 75.99021859969753 22.935259302742427, 75.99021859969753 22.931122741267224, 75.99471017611813 22.931122741267224))",22.93319102200483,75.99246438790782,,,,624.75,,15.721,51.98,,,,640.471,0.0
Dewas_12,"POLYGON ((75.99471017611813 22.935259302742427, 75.99471017611813 22.939395737851957, 75.99021859969753 22.939395737851957, 75.99021859969753 22.935259302742427, 75.99471017611813 22.935259302742427))",22.937327520297195,75.99246438790783,,,,520.447,,50.341,164.758,,,,570.788,0.0
Dewas_13,"POLYGON ((75.99471017611813 22.939395737851957, 75.99471017611813 22.943532046578113, 75.99021859969753 22.943532046578113, 75.99021859969753 22.939395737851957, 75.99471017611813 22.939395737851957))",22.941463892215037,75.99246438790783,,,,280.978,,3.226,10.546,,,,284.204,0.0
Dewas_14,"POLYGON ((75.99471017611813 22.943532046578113, 75.99471017611813 22.9476682289032, 75.99021859969753 22.9476682289032, 75.99021859969753 22.943532046578113, 75.99471017611813 22.943532046578113))",22.94560013774065,75.99246438790782,,,,206.227,,0.0,0.0,,,,206.227,0.0
Dewas_15,"POLYGON ((75.99471017611813 22.9476682289032, 75.99471017611813 22.951804284809523, 75.99021859969753 22.951804284809523, 75.99021859969753 22.9476682289032, 75.99471017611813 22.9476682289032))",22.949736256856358,75.99246438790783,,,,183.255,,0.0,0.0,,,,183.255,0.0
Dewas_16,"POLYGON ((75.99920175253872 22.918712298824584, 75.99920175253872 22.922849239290596, 75.99471017611813 22.922849239290596, 75.99471017611813 22.918712298824584, 75.99920175253872 22.918712298824584))",22.92078076905759,75.99695596432844,,,,347.818,,0.0,0.0,,,,347.818,0.0
Dewas_17,"POLYGON ((75.99920175253872 22.922849239290596, 75.99920175253872 22.926986053444043, 75.99471017611813 22.926986053444043, 75.99471017611813 22.922849239290596, 75.99920175253872 22.922849239290596))",22.92491764636732,75.99695596432842,,,,347.818,,0.045,0.365,,,,347.863,0.0
Dewas_18,"POLYGON ((75.99920175253872 22.926986053444043, 75.99920175253872 22.931122741267224, 75.99471017611813 22.931122741267224, 75.99471017611813 22.926986053444043, 75.99920175253872 22.926986053444043))",22.92905439735564,75.99695596432842,,,,667.626,,3.702,12.266,,,,671.328,0.0
Dewas_19,"POLYGON ((75.99920175253872 22.931122741267224, 75.99920175253872 22.935259302742427, 75.99471017611813 22.935259302742427, 75.99471017611813 22.931122741267224, 75.99920175253872 22.931122741267224))",22.933191022004827,75.99695596432844,,,,1068.02,,46.377,153.293,,,,1114.397,0.0
Dewas_20,"POLYGON ((75.99920175253872 22.935259302742427, 75.99920175253872 22.939395737851957, 75.99471017611813 22.939395737851957, 75.99471017611813 22.935259302742427, 75.99920175253872 22.935259302742427))",22.937327520297195,75.99695596432842,,,,692.977,,7.055,23.098,,,,700.032,0.0
Dewas_21,"POLYGON ((75.99920175253872 22.939395737851957, 75.99920175253872 22.943532046578113, 75.99471017611813 22.943532046578113, 75.99471017611813 22.939395737851957, 75.99920175253872 22.939395737851957))",22.94146389221503,75.99695596432842,,,,309.739,,0.708,2.358,,,,310.447,0.0
Dewas_22,"POLYGON ((75.99920175253872 22.943532046578113, 75.99920175253872 22.9476682289032, 75.99471017611813 22.9476682289032, 75.99471017611813 22.943532046578113, 75.99920175253872 22.943532046578113))",22.945600137740655,75.99695596432844,,,,211.809,,0.0,0.0,,,,211.809,0.0
Dewas_23,"POLYGON ((75.99920175253872 22.9476682289032, 75.99920175253872 22.951804284809523, 75.99471017611813 22.951804284809523, 75.99471017611813 22.9476682289032, 75.99920175253872 22.9476682289032))",22.94973625685636,75.99695596432842,,,,190.943,,0.093,0.365,,,,191.036,0.0
Dewas_24,"POLYGON ((76.00369332895933 22.918712298824584, 76.00369332895933 22.922849239290596, 75.99920175253872 22.922849239290596, 75.99920175253872 22.918712298824584, 76.00369332895933 22.918712298824584))",22.92078076905759,76.00144754074903,,,,630.892,,32.457,107.82,,,,663.349,0.0
Dewas_25,"POLYGON ((76.00369332895933 22.922849239290596, 76.00369332895933 22.926986053444043, 75.99920175253872 22.926986053444043, 75.99920175253872 22.922849239290596, 76.00369332895933 22.922849239290596))",22.92491764636732,76.00144754074901,,,,630.892,,1.324,4.381,,,,632.216,0.0
Dewas_26,"POLYGON ((76.00369332895933 22.926986053444043, 76.00369332895933 22.931122741267224, 75.99920175253872 22.931122741267224, 75.99920175253872 22.926986053444043, 76.00369332895933 22.926986053444043))",22.929054397355635,76.00144754074901,,,,627.574,,0.919,2.972,,,,628.493,0.0
Dewas_27,"POLYGON ((76.00369332895933 22.931122741267224, 76.00369332895933 22.935259302742427, 75.99920175253872 22.935259302742427, 75.99920175253872 22.931122741267224, 76.00369332895933 22.931122741267224))",22.93319102200483,76.00144754074901,,,,975.537,,10.721,35.292,,,,986.258,0.0
Dewas_28,"POLYGON ((76.00369332895933 22.935259302742427, 76.00369332895933 22.939395737851957, 75.99920175253872 22.939395737851957, 75.99920175253872 22.935259302742427, 76.00369332895933 22.935259302742427))",22.937327520297195,76.00144754074901,,,,704.429,,70.444,229.324,,,,774.873,0.0
Dewas_29,"POLYGON ((76.00369332895933 22.939395737851957, 76.00369332895933 22.943532046578113, 75.99920175253872 22.943532046578113, 75.99920175253872 22.939395737851957, 76.00369332895933 22.939395737851957))",22.941463892215037,76.00144754074901,,,,329.535,,0.0,0.0,,,,329.535,0.0
Dewas_30,"POLYGON ((76.00369332895933 22.943532046578113, 76.00369332895933 22.9476682289032, 75.99920175253872 22.9476682289032, 75.99920175253872 22.943532046578113, 76.00369332895933 22.943532046578113))",22.94560013774065,76.00144754074903,,,,227.308,,0.0,0.0,,,,227.308,0.0
Dewas_31,"POLYGON ((76.00369332895933 22.9476682289032, 76.00369332895933 22.951804284809523, 75.99920175253872 22.951804284809523, 75.99920175253872 22.9476682289032, 76.00369332895933 22.9476682289032))",22.949736256856358,76.00144754074901,,,,214.395,,0.0,0.0,,,,214.395,0.0
Dewas_32,"POLYGON ((76.00818490537992 22.91457523206372, 76.00818490537992 22.918712298824584, 76.00369332895933 22.918712298824584, 76.00369332895933 22.91457523206372, 76.00818490537992 22.91457523206372))",22.91664376544415,76.00593911716965,,,,814.633,,11.247,37.364,,,,825.88,0.0
Dewas_33,"POLYGON ((76.00818490537992 22.918712298824584, 76.00818490537992 22.922849239290596, 76.00369332895933 22.922849239290596, 76.00369332895933 22.918712298824584, 76.00818490537992 22.918712298824584))",22.92078076905759,76.00593911716962,,,,913.71,,69.926,232.268,,,,983.636,0.0
Dewas_34,"POLYGON ((76.00818490537992 22.922849239290596, 76.00818490537992 22.926986053444043, 76.00369332895933 22.926986053444043, 76.00369332895933 22.922849239290596, 76.00818490537992 22.922849239290596))",22.92491764636732,76.00593911716962,,,,913.71,,27.426,91.117,,,,941.136,0.0
Dewas_35,"POLYGON ((76.00818490537992 22.926986053444043, 76.00818490537992 22.931122741267224, 76.00369332895933 22.931122741267224, 76.00369332895933 22.926986053444043, 76.00818490537992 22.926986053444043))",22.92905439735564,76.00593911716963,,,,513.118,,1.519,5.006,,,,514.637,0.0
Dewas_36,"POLYGON ((76.00818490537992 22.931122741267224, 76.00818490537992 22.935259302742427, 76.00369332895933 22.935259302742427, 76.00369332895933 22.931122741267224, 76.00818490537992 22.931122741267224))",22.933191022004827,76.00593911716962,,,,901.626,,27.665,91.156,,,,929.291,0.0
Dewas_37,"POLYGON ((76.00818490537992 22.935259302742427, 76.00818490537992 22.939395737851957, 76.00369332895933 22.939395737851957, 76.00369332895933 22.935259302742427, 76.00818490537992 22.935259302742427))",22.937327520297195,76.00593911716962,,,,976.069,,309.0,1005.922,,,,1285.069,0.0
Dewas_38,"POLYGON ((76.00818490537992 22.939395737851957, 76.00818490537992 22.943532046578113, 76.00369332895933 22.943532046578113, 76.00369332895933 22.939395737851957, 76.00818490537992 22.939395737851957))",22.94146389221503,76.00593911716962,,,,511.811,,17.967,58.31,,,,529.778,0.0
Dewas_39,"POLYGON ((76.00818490537992 22.943532046578113, 76.00818490537992 22.9476682289032, 76.00369332895933 22.9476682289032, 76.00369332895933 22.943532046578113, 76.00818490537992 22.943532046578113))",22.945600137740655,76.00593911716963,,,,270.633,,0.0,0.0,,,,270.633,0.0
Dewas_40,"POLYGON ((76.00818490537992 22.9476682289032, 76.00818490537992 22.951804284809523, 76.00369332895933 22.951804284809523, 76.00369332895933 22.9476682289032, 76.00818490537992 22.9476682289032))",22.94973625685636,76.00593911716962,,,,227.122,,4.19,13.627,,,,231.312,0.0
Dewas_41,"POLYGON ((76.00818490537992 22.955940214279405, 76.00818490537992 22.960076017295144, 76.00369332895933 22.960076017295144, 76.00369332895933 22.955940214279405, 76.00818490537992 22.955940214279405))",22.958008115787273,76.00593911716963,,,,233.781,,3.892,12.652,,,,237.673,0.0
Dewas_42,"POLYGON ((76.00818490537992 22.976617964463152, 76.00818490537992 22.98075313494304, 76.00369332895933 22.98075313494304, 76.00369332895933 22.976617964463152, 76.00818490537992 22.976617964463152))",22.978685549703094,76.00593911716962,,,,153.965,,0.0,0.0,,,,153.965,0.0
Dewas_43,"POLYGON ((76.00818490537992 22.98075313494304, 76.00818490537992 22.98488817886275, 76.00369332895933 22.98488817886275, 76.00369332895933 22.98075313494304, 76.00818490537992 22.98075313494304))",22.982820656902895,76.00593911716963,,,,141.443,,0.014,0.0,,,,141.457,0.0
Dewas_44,"POLYGON ((76.00818490537992 22.98488817886275, 76.00818490537992 22.98902309620461, 76.00369332895933 22.98902309620461, 76.00369332895933 22.98488817886275, 76.00818490537992 22.98488817886275))",22.986955637533683,76.00593911716963,,,,206.61,,3.291,10.922,,,,209.901,0.0
Dewas_45,"POLYGON ((76.00818490537992 22.98902309620461, 76.00818490537992 22.993157886950968, 76.00369332895933 22.993157886950968, 76.00369332895933 22.98902309620461, 76.00818490537992 22.98902309620461))",22.99109049157779,76.00593911716963,,,,234.282,,1.075,3.599,,,,235.357,0.0
