index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Durgapur_0,"POLYGON ((87.22117468391933 23.54327018549877, 87.22117468391933 23.547387812673346, 87.21668310749874 23.547387812673346, 87.21668310749874 23.54327018549877, 87.22117468391933 23.54327018549877))",23.54532899908606,87.21892889570903,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_1,"POLYGON ((87.22117468391933 23.547387812673346, 87.22117468391933 23.551505310892022, 87.21668310749874 23.551505310892022, 87.21668310749874 23.547387812673346, 87.22117468391933 23.547387812673346))",23.54944656178268,87.21892889570904,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_2,"POLYGON ((87.22566626033993 23.539152429385524, 87.22566626033993 23.54327018549877, 87.22117468391933 23.54327018549877, 87.22117468391933 23.539152429385524, 87.22566626033993 23.539152429385524))",23.541211307442147,87.22342047212963,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_3,"POLYGON ((87.22566626033993 23.54327018549877, 87.22566626033993 23.547387812673346, 87.22117468391933 23.547387812673346, 87.22117468391933 23.54327018549877, 87.22566626033993 23.54327018549877))",23.54532899908606,87.22342047212962,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_4,"POLYGON ((87.22566626033993 23.547387812673346, 87.22566626033993 23.551505310892022, 87.22117468391933 23.551505310892022, 87.22117468391933 23.547387812673346, 87.22566626033993 23.547387812673346))",23.549446561782684,87.22342047212963,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_5,"POLYGON ((87.22566626033993 23.551505310892022, 87.22566626033993 23.555622680137567, 87.22117468391933 23.555622680137567, 87.22117468391933 23.551505310892022, 87.22566626033993 23.551505310892022))",23.553563995514793,87.22342047212962,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_6,"POLYGON ((87.22566626033993 23.55973992039277, 87.22566626033993 23.563857031640403, 87.22117468391933 23.563857031640403, 87.22117468391933 23.55973992039277, 87.22566626033993 23.55973992039277))",23.561798476016584,87.22342047212963,,,,0.0,,3.744,14.241,,,,3.744,0.0
Durgapur_7,"POLYGON ((87.22566626033993 23.563857031640403, 87.22566626033993 23.56797401386325, 87.22117468391933 23.56797401386325, 87.22117468391933 23.563857031640403, 87.22566626033993 23.563857031640403))",23.565915522751826,87.22342047212963,,,,0.0,,7.596,29.01,,,,7.596,0.0
Durgapur_8,"POLYGON ((87.23015783676053 23.53503454435084, 87.23015783676053 23.539152429385524, 87.22566626033993 23.539152429385524, 87.22566626033993 23.53503454435084, 87.23015783676053 23.53503454435084))",23.537093486868176,87.22791204855024,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_9,"POLYGON ((87.23015783676053 23.539152429385524, 87.23015783676053 23.54327018549877, 87.22566626033993 23.54327018549877, 87.22566626033993 23.539152429385524, 87.23015783676053 23.539152429385524))",23.54121130744215,87.22791204855024,,,,0.0,,3.296,12.47,,,,3.296,0.0
Durgapur_10,"POLYGON ((87.23015783676053 23.54327018549877, 87.23015783676053 23.547387812673346, 87.22566626033993 23.547387812673346, 87.22566626033993 23.54327018549877, 87.23015783676053 23.54327018549877))",23.54532899908606,87.22791204855022,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_11,"POLYGON ((87.23015783676053 23.547387812673346, 87.23015783676053 23.551505310892022, 87.22566626033993 23.551505310892022, 87.22566626033993 23.547387812673346, 87.23015783676053 23.547387812673346))",23.54944656178268,87.22791204855024,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_12,"POLYGON ((87.23015783676053 23.551505310892022, 87.23015783676053 23.555622680137567, 87.22566626033993 23.555622680137567, 87.22566626033993 23.551505310892022, 87.23015783676053 23.551505310892022))",23.55356399551479,87.22791204855024,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_13,"POLYGON ((87.23015783676053 23.555622680137567, 87.23015783676053 23.55973992039277, 87.22566626033993 23.55973992039277, 87.22566626033993 23.555622680137567, 87.23015783676053 23.555622680137567))",23.55768130026517,87.22791204855024,,,,0.0,,0.471,1.793,,,,0.471,0.0
Durgapur_14,"POLYGON ((87.23015783676053 23.55973992039277, 87.23015783676053 23.563857031640403, 87.22566626033993 23.563857031640403, 87.22566626033993 23.55973992039277, 87.23015783676053 23.55973992039277))",23.561798476016588,87.22791204855024,,,,0.0,,3.139,11.863,,,,3.139,0.0
Durgapur_15,"POLYGON ((87.23015783676053 23.563857031640403, 87.23015783676053 23.56797401386325, 87.22566626033993 23.56797401386325, 87.22566626033993 23.563857031640403, 87.23015783676053 23.563857031640403))",23.565915522751826,87.22791204855022,,,,0.0,,3.798,14.431,,,,3.798,0.0
Durgapur_16,"POLYGON ((87.23015783676053 23.56797401386325, 87.23015783676053 23.57209086704411, 87.22566626033993 23.57209086704411, 87.22566626033993 23.56797401386325, 87.23015783676053 23.56797401386325))",23.57003244045368,87.22791204855024,,,,0.0,,61.512,233.901,,,,61.512,0.0
Durgapur_17,"POLYGON ((87.23015783676053 23.57209086704411, 87.23015783676053 23.576207591165765, 87.22566626033993 23.576207591165765, 87.22566626033993 23.57209086704411, 87.23015783676053 23.57209086704411))",23.57414922910494,87.22791204855024,,,,0.0,,95.099,364.004,,,,95.099,0.0
Durgapur_18,"POLYGON ((87.23015783676053 23.576207591165765, 87.23015783676053 23.580324186211012, 87.22566626033993 23.580324186211012, 87.22566626033993 23.576207591165765, 87.23015783676053 23.576207591165765))",23.578265888688385,87.22791204855024,,,,0.0,,52.044,199.255,,,,52.044,0.0
Durgapur_19,"POLYGON ((87.23464941318113 23.53091653041195, 87.23464941318113 23.53503454435084, 87.23015783676053 23.53503454435084, 87.23015783676053 23.53091653041195, 87.23464941318113 23.53091653041195))",23.532975537381397,87.23240362497083,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_20,"POLYGON ((87.23464941318113 23.53503454435084, 87.23464941318113 23.539152429385524, 87.23015783676053 23.539152429385524, 87.23015783676053 23.53503454435084, 87.23464941318113 23.53503454435084))",23.537093486868176,87.23240362497081,,,,0.0,,3.528,13.319,,,,3.528,0.0
Durgapur_21,"POLYGON ((87.23464941318113 23.539152429385524, 87.23464941318113 23.54327018549877, 87.23015783676053 23.54327018549877, 87.23015783676053 23.539152429385524, 87.23464941318113 23.539152429385524))",23.541211307442147,87.23240362497083,,,,0.0,,1.064,4.044,,,,1.064,0.0
Durgapur_22,"POLYGON ((87.23464941318113 23.54327018549877, 87.23464941318113 23.547387812673346, 87.23015783676053 23.547387812673346, 87.23015783676053 23.54327018549877, 87.23464941318113 23.54327018549877))",23.54532899908606,87.2324036249708,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_23,"POLYGON ((87.23464941318113 23.547387812673346, 87.23464941318113 23.551505310892022, 87.23015783676053 23.551505310892022, 87.23015783676053 23.547387812673346, 87.23464941318113 23.547387812673346))",23.549446561782684,87.23240362497083,,,,0.0,,0.78,3.013,,,,0.78,0.0
Durgapur_24,"POLYGON ((87.23464941318113 23.551505310892022, 87.23464941318113 23.555622680137567, 87.23015783676053 23.555622680137567, 87.23015783676053 23.551505310892022, 87.23464941318113 23.551505310892022))",23.553563995514793,87.23240362497081,,,,0.0,,6.155,23.413,,,,6.155,0.0
Durgapur_25,"POLYGON ((87.23464941318113 23.555622680137567, 87.23464941318113 23.55973992039277, 87.23015783676053 23.55973992039277, 87.23015783676053 23.555622680137567, 87.23464941318113 23.555622680137567))",23.55768130026517,87.23240362497081,,,,0.0,,36.851,139.393,,,,36.851,0.0
Durgapur_26,"POLYGON ((87.23464941318113 23.55973992039277, 87.23464941318113 23.563857031640403, 87.23015783676053 23.563857031640403, 87.23015783676053 23.55973992039277, 87.23464941318113 23.55973992039277))",23.561798476016584,87.23240362497081,,,,0.0,,41.121,155.502,,,,41.121,0.0
Durgapur_27,"POLYGON ((87.23464941318113 23.563857031640403, 87.23464941318113 23.56797401386325, 87.23015783676053 23.56797401386325, 87.23015783676053 23.563857031640403, 87.23464941318113 23.563857031640403))",23.565915522751826,87.23240362497081,,,,0.0,,0.426,1.602,,,,0.426,0.0
Durgapur_28,"POLYGON ((87.23464941318113 23.56797401386325, 87.23464941318113 23.57209086704411, 87.23015783676053 23.57209086704411, 87.23015783676053 23.56797401386325, 87.23464941318113 23.56797401386325))",23.570032440453684,87.23240362497083,,,,0.0,,93.024,353.706,,,,93.024,0.0
Durgapur_29,"POLYGON ((87.23464941318113 23.57209086704411, 87.23464941318113 23.576207591165765, 87.23015783676053 23.576207591165765, 87.23015783676053 23.57209086704411, 87.23464941318113 23.57209086704411))",23.574149229104936,87.23240362497083,,,,0.0,,125.207,479.256,,,,125.207,0.0
Durgapur_30,"POLYGON ((87.23464941318113 23.576207591165765, 87.23464941318113 23.580324186211012, 87.23015783676053 23.580324186211012, 87.23015783676053 23.576207591165765, 87.23464941318113 23.576207591165765))",23.57826588868839,87.23240362497083,,,,0.0,,15.32,58.639,,,,15.32,0.0
Durgapur_31,"POLYGON ((87.23464941318113 23.580324186211012, 87.23464941318113 23.584440652162645, 87.23015783676053 23.584440652162645, 87.23015783676053 23.580324186211012, 87.23464941318113 23.580324186211012))",23.582382419186825,87.23240362497083,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_32,"POLYGON ((87.23464941318113 23.584440652162645, 87.23464941318113 23.588556989003468, 87.23015783676053 23.588556989003468, 87.23015783676053 23.584440652162645, 87.23464941318113 23.584440652162645))",23.586498820583056,87.23240362497081,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_33,"POLYGON ((87.23914098960172 23.526798387586087, 87.23914098960172 23.53091653041195, 87.23464941318113 23.53091653041195, 87.23464941318113 23.526798387586087, 87.23914098960172 23.526798387586087))",23.528857458999017,87.23689520139142,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_34,"POLYGON ((87.23914098960172 23.53091653041195, 87.23914098960172 23.53503454435084, 87.23464941318113 23.53503454435084, 87.23464941318113 23.53091653041195, 87.23914098960172 23.53091653041195))",23.532975537381393,87.23689520139142,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_35,"POLYGON ((87.23914098960172 23.53503454435084, 87.23914098960172 23.539152429385524, 87.23464941318113 23.539152429385524, 87.23464941318113 23.53503454435084, 87.23914098960172 23.53503454435084))",23.537093486868176,87.23689520139142,,,,0.0,,0.716,2.718,,,,0.716,0.0
Durgapur_36,"POLYGON ((87.23914098960172 23.539152429385524, 87.23914098960172 23.54327018549877, 87.23464941318113 23.54327018549877, 87.23464941318113 23.539152429385524, 87.23914098960172 23.539152429385524))",23.54121130744215,87.23689520139143,,,,0.0,,0.0,0.0,,,,0.0,0.0
Durgapur_37,"POLYGON ((87.23914098960172 23.54327018549877, 87.23914098960172 23.547387812673346, 87.23464941318113 23.547387812673346, 87.23464941318113 23.54327018549877, 87.23914098960172 23.54327018549877))",23.54532899908606,87.23689520139143,,,,0.0,,2.532,9.578,,,,2.532,0.0
Durgapur_38,"POLYGON ((87.23914098960172 23.547387812673346, 87.23914098960172 23.551505310892022, 87.23464941318113 23.551505310892022, 87.23464941318113 23.547387812673346, 87.23914098960172 23.547387812673346))",23.54944656178268,87.23689520139143,,,,0.0,,2.168,8.192,,,,2.168,0.0
Durgapur_39,"POLYGON ((87.23914098960172 23.551505310892022, 87.23914098960172 23.555622680137567, 87.23464941318113 23.555622680137567, 87.23464941318113 23.551505310892022, 87.23914098960172 23.551505310892022))",23.55356399551479,87.23689520139142,,,,0.0,,5.7,21.577,,,,5.7,0.0
Durgapur_40,"POLYGON ((87.23914098960172 23.555622680137567, 87.23914098960172 23.55973992039277, 87.23464941318113 23.55973992039277, 87.23464941318113 23.555622680137567, 87.23914098960172 23.555622680137567))",23.55768130026517,87.23689520139142,,,,0.0,,18.005,68.048,,,,18.005,0.0
