index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Erode_0,"POLYGON ((77.6443525764148 11.36270571069108, 77.6443525764148 11.367109216513505, 77.6398609999942 11.367109216513505, 77.6398609999942 11.36270571069108, 77.6443525764148 11.36270571069108))",11.364907463602293,77.6421067882045,,,,889.345,,4.446,16.413,,,,893.791,0.0
Erode_1,"POLYGON ((77.6443525764148 11.367109216513505, 77.6443525764148 11.371512654298792, 77.6398609999942 11.371512654298792, 77.6398609999942 11.367109216513505, 77.6443525764148 11.367109216513505))",11.369310935406148,77.6421067882045,,,,836.155,,1.856,6.824,,,,838.011,0.0
Erode_2,"POLYGON ((77.6443525764148 11.371512654298792, 77.6443525764148 11.375916024021977, 77.6398609999942 11.375916024021977, 77.6398609999942 11.371512654298792, 77.6443525764148 11.371512654298792))",11.373714339160385,77.6421067882045,,,,893.002,,5.838,21.653,,,,898.84,0.0
Erode_3,"POLYGON ((77.6488441528354 11.358302136856471, 77.6488441528354 11.36270571069108, 77.6443525764148 11.36270571069108, 77.6443525764148 11.358302136856471, 77.6488441528354 11.358302136856471))",11.360503923773773,77.64659836462509,,,,1373.784,,4.466,16.102,,,,1378.25,0.0
Erode_4,"POLYGON ((77.6488441528354 11.36270571069108, 77.6488441528354 11.367109216513505, 77.6443525764148 11.367109216513505, 77.6443525764148 11.36270571069108, 77.6488441528354 11.36270571069108))",11.364907463602295,77.6465983646251,,,,2457.198,,13.041,48.069,,,,2470.239,0.0
Erode_5,"POLYGON ((77.6488441528354 11.367109216513505, 77.6488441528354 11.371512654298792, 77.6443525764148 11.371512654298792, 77.6443525764148 11.367109216513505, 77.6488441528354 11.367109216513505))",11.369310935406146,77.6465983646251,,,,3341.358,,13.803,50.891,,,,3355.161,0.0
Erode_6,"POLYGON ((77.6488441528354 11.371512654298792, 77.6488441528354 11.375916024021977, 77.6443525764148 11.375916024021977, 77.6443525764148 11.371512654298792, 77.6488441528354 11.371512654298792))",11.373714339160385,77.6465983646251,,,,2259.882,,11.734,43.547,,,,2271.616,0.0
Erode_7,"POLYGON ((77.6488441528354 11.375916024021977, 77.6488441528354 11.380319325658103, 77.6443525764148 11.380319325658103, 77.6443525764148 11.375916024021977, 77.6488441528354 11.375916024021977))",11.378117674840041,77.64659836462509,,,,1258.721,,5.544,20.598,,,,1264.265,0.0
Erode_8,"POLYGON ((77.653335729256 11.35389849503464, 77.653335729256 11.358302136856471, 77.6488441528354 11.358302136856471, 77.6488441528354 11.35389849503464, 77.653335729256 11.35389849503464))",11.356100315945556,77.65108994104568,,,,1365.794,,14.761,52.511,,,,1380.555,0.0
Erode_9,"POLYGON ((77.653335729256 11.358302136856471, 77.653335729256 11.36270571069108, 77.6488441528354 11.36270571069108, 77.6488441528354 11.358302136856471, 77.653335729256 11.358302136856471))",11.360503923773775,77.6510899410457,,,,1180.764,,8.02,28.528,,,,1188.784,0.0
