index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Gaya_0,"POLYGON ((84.93666944131527 24.763916578798597, 84.93666944131527 24.767995049436937, 84.93217786489468 24.767995049436937, 84.93217786489468 24.763916578798597, 84.93666944131527 24.763916578798597))",24.765955814117767,84.93442365310497,,,,1944.675,,115.234,413.602,,,,2059.909,0.0
Gaya_1,"POLYGON ((84.93666944131527 24.767995049436937, 84.93666944131527 24.772073386131268, 84.93217786489468 24.772073386131268, 84.93217786489468 24.767995049436937, 84.93666944131527 24.767995049436937))",24.7700342177841,84.93442365310497,,,,2043.728,,8.324,29.912,,,,2052.052,0.0
Gaya_2,"POLYGON ((84.93666944131527 24.772073386131268, 84.93666944131527 24.77615158886531, 84.93217786489468 24.77615158886531, 84.93217786489468 24.772073386131268, 84.93666944131527 24.772073386131268))",24.774112487498293,84.93442365310499,,,,2513.428,,75.68,271.952,,,,2589.108,0.0
Gaya_3,"POLYGON ((84.93666944131527 24.77615158886531, 84.93666944131527 24.78022965762281, 84.93217786489468 24.78022965762281, 84.93217786489468 24.77615158886531, 84.93666944131527 24.77615158886531))",24.778190623244058,84.93442365310497,,,,1634.408,,105.997,380.398,,,,1740.405,0.0
Gaya_4,"POLYGON ((84.93666944131527 24.78022965762281, 84.93666944131527 24.78430759238752, 84.93217786489468 24.78430759238752, 84.93217786489468 24.78022965762281, 84.93666944131527 24.78022965762281))",24.78226862500517,84.93442365310499,,,,1396.237,,30.326,108.825,,,,1426.563,0.0
Gaya_5,"POLYGON ((84.94116101773588 24.763916578798597, 84.94116101773588 24.767995049436937, 84.93666944131527 24.767995049436937, 84.93666944131527 24.763916578798597, 84.94116101773588 24.763916578798597))",24.76595581411777,84.93891522952556,,,,2186.114,,33.055,118.391,,,,2219.169,0.0
Gaya_6,"POLYGON ((84.94116101773588 24.767995049436937, 84.94116101773588 24.772073386131268, 84.93666944131527 24.772073386131268, 84.93666944131527 24.767995049436937, 84.94116101773588 24.767995049436937))",24.7700342177841,84.93891522952558,,,,2388.154,,0.465,1.712,,,,2388.619,0.0
Gaya_7,"POLYGON ((84.94116101773588 24.772073386131268, 84.94116101773588 24.77615158886531, 84.93666944131527 24.77615158886531, 84.93666944131527 24.772073386131268, 84.94116101773588 24.772073386131268))",24.77411248749829,84.93891522952558,,,,2614.739,,132.379,473.551,,,,2747.118,0.0
Gaya_8,"POLYGON ((84.94116101773588 24.77615158886531, 84.94116101773588 24.78022965762281, 84.93666944131527 24.78022965762281, 84.93666944131527 24.77615158886531, 84.94116101773588 24.77615158886531))",24.778190623244058,84.93891522952556,,,,2187.204,,30.234,107.717,,,,2217.438,0.0
Gaya_9,"POLYGON ((84.94116101773588 24.78022965762281, 84.94116101773588 24.78430759238752, 84.93666944131527 24.78430759238752, 84.93666944131527 24.78022965762281, 84.94116101773588 24.78022965762281))",24.782268625005166,84.93891522952558,,,,1972.998,,3.213,11.498,,,,1976.211,0.0
