index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Guntur_0,"POLYGON ((80.40322773114525 16.28040044296716, 80.40322773114525 16.28471186538779, 80.39873615472465 16.28471186538779, 80.39873615472465 16.28040044296716, 80.40322773114525 16.28040044296716))",16.282556154177477,80.40098194293495,,,,3408.04,,134.388,463.605,,,,3542.428,0.0
Guntur_1,"POLYGON ((80.40322773114525 16.28471186538779, 80.40322773114525 16.289023193035046, 80.39873615472465 16.289023193035046, 80.39873615472465 16.28471186538779, 80.40322773114525 16.28471186538779))",16.28686752921142,80.40098194293495,,,,1849.677,,25.168,86.344,,,,1874.845,0.0
Guntur_2,"POLYGON ((80.40322773114525 16.289023193035046, 80.40322773114525 16.293334425886584, 80.39873615472465 16.293334425886584, 80.39873615472465 16.289023193035046, 80.40322773114525 16.289023193035046))",16.291178809460817,80.40098194293495,,,,1566.108,,0.372,1.097,,,,1566.48,0.0
Guntur_3,"POLYGON ((80.40322773114525 16.293334425886584, 80.40322773114525 16.297645563920096, 80.39873615472465 16.297645563920096, 80.39873615472465 16.293334425886584, 80.40322773114525 16.293334425886584))",16.295489994903342,80.40098194293493,,,,1995.174,,63.457,216.388,,,,2058.631,0.0
Guntur_4,"POLYGON ((80.40322773114525 16.297645563920096, 80.40322773114525 16.301956607113244, 80.39873615472465 16.301956607113244, 80.39873615472465 16.297645563920096, 80.40322773114525 16.297645563920096))",16.29980108551667,80.40098194293496,,,,1995.174,,78.086,266.277,,,,2073.26,0.0
Guntur_5,"POLYGON ((80.40322773114525 16.306267555443714, 80.40322773114525 16.310578408889196, 80.39873615472465 16.310578408889196, 80.39873615472465 16.306267555443714, 80.40322773114525 16.306267555443714))",16.308422982166455,80.40098194293495,,,,1449.502,,23.2,79.447,,,,1472.702,0.0
Guntur_6,"POLYGON ((80.40322773114525 16.310578408889196, 80.40322773114525 16.31488916742737, 80.39873615472465 16.31488916742737, 80.39873615472465 16.310578408889196, 80.40322773114525 16.310578408889196))",16.312733788158283,80.40098194293495,,,,1079.786,,4.916,16.832,,,,1084.702,0.0
Guntur_7,"POLYGON ((80.40322773114525 16.31488916742737, 80.40322773114525 16.31919983103592, 80.39873615472465 16.31919983103592, 80.39873615472465 16.31488916742737, 80.40322773114525 16.31488916742737))",16.317044499231645,80.40098194293495,,,,934.147,,1.568,5.357,,,,935.715,0.0
Guntur_8,"POLYGON ((80.40322773114525 16.31919983103592, 80.40322773114525 16.323510399692555, 80.39873615472465 16.323510399692555, 80.39873615472465 16.31919983103592, 80.40322773114525 16.31919983103592))",16.321355115364238,80.40098194293493,,,,1478.892,,64.864,223.186,,,,1543.756,0.0
Guntur_9,"POLYGON ((80.40322773114525 16.323510399692555, 80.40322773114525 16.327820873374947, 80.39873615472465 16.327820873374947, 80.39873615472465 16.323510399692555, 80.40322773114525 16.323510399692555))",16.32566563653375,80.40098194293495,,,,1747.298,,119.286,412.935,,,,1866.584,0.0
Guntur_10,"POLYGON ((80.40771930756584 16.276088925795474, 80.40771930756584 16.28040044296716, 80.40322773114525 16.28040044296716, 80.40322773114525 16.276088925795474, 80.40771930756584 16.276088925795474))",16.278244684381313,80.40547351935555,,,,2686.339,,18.105,62.501,,,,2704.444,0.0
Guntur_11,"POLYGON ((80.40771930756584 16.28040044296716, 80.40771930756584 16.28471186538779, 80.40322773114525 16.28471186538779, 80.40322773114525 16.28040044296716, 80.40771930756584 16.28040044296716))",16.282556154177477,80.40547351935555,,,,3656.864,,142.293,490.885,,,,3799.157,0.0
Guntur_12,"POLYGON ((80.40771930756584 16.28471186538779, 80.40771930756584 16.289023193035046, 80.40322773114525 16.289023193035046, 80.40322773114525 16.28471186538779, 80.40771930756584 16.28471186538779))",16.286867529211417,80.40547351935555,,,,2246.429,,158.171,542.636,,,,2404.6,0.0
Guntur_13,"POLYGON ((80.40771930756584 16.289023193035046, 80.40771930756584 16.293334425886584, 80.40322773114525 16.293334425886584, 80.40322773114525 16.289023193035046, 80.40771930756584 16.289023193035046))",16.291178809460817,80.40547351935555,,,,1914.142,,45.781,157.061,,,,1959.923,0.0
Guntur_14,"POLYGON ((80.40771930756584 16.293334425886584, 80.40771930756584 16.297645563920096, 80.40322773114525 16.297645563920096, 80.40322773114525 16.293334425886584, 80.40771930756584 16.293334425886584))",16.295489994903342,80.40547351935554,,,,2531.534,,259.455,884.787,,,,2790.989,0.0
Guntur_15,"POLYGON ((80.40771930756584 16.297645563920096, 80.40771930756584 16.301956607113244, 80.40322773114525 16.301956607113244, 80.40322773114525 16.297645563920096, 80.40771930756584 16.297645563920096))",16.29980108551667,80.40547351935555,,,,2531.534,,307.715,1049.353,,,,2839.249,0.0
Guntur_16,"POLYGON ((80.40771930756584 16.301956607113244, 80.40771930756584 16.306267555443714, 80.40322773114525 16.306267555443714, 80.40322773114525 16.301956607113244, 80.40771930756584 16.301956607113244))",16.30411208127848,80.40547351935554,,,,1598.989,,90.122,307.353,,,,1689.111,0.0
Guntur_17,"POLYGON ((80.40771930756584 16.306267555443714, 80.40771930756584 16.310578408889196, 80.40322773114525 16.310578408889196, 80.40322773114525 16.306267555443714, 80.40771930756584 16.306267555443714))",16.308422982166455,80.40547351935557,,,,1694.245,,141.632,484.591,,,,1835.877,0.0
Guntur_18,"POLYGON ((80.40771930756584 16.310578408889196, 80.40771930756584 16.31488916742737, 80.40322773114525 16.31488916742737, 80.40322773114525 16.310578408889196, 80.40771930756584 16.310578408889196))",16.312733788158283,80.40547351935557,,,,1515.014,,117.085,400.579,,,,1632.099,0.0
Guntur_19,"POLYGON ((80.40771930756584 16.31488916742737, 80.40771930756584 16.31919983103592, 80.40322773114525 16.31919983103592, 80.40322773114525 16.31488916742737, 80.40771930756584 16.31488916742737))",16.317044499231645,80.40547351935555,,,,1496.341,,125.553,431.972,,,,1621.894,0.0
Guntur_20,"POLYGON ((80.40771930756584 16.31919983103592, 80.40771930756584 16.323510399692555, 80.40322773114525 16.323510399692555, 80.40322773114525 16.31919983103592, 80.40771930756584 16.31919983103592))",16.321355115364238,80.40547351935554,,,,2114.143,,380.482,1308.908,,,,2494.625,0.0
Guntur_21,"POLYGON ((80.40771930756584 16.323510399692555, 80.40771930756584 16.327820873374947, 80.40322773114525 16.327820873374947, 80.40322773114525 16.323510399692555, 80.40771930756584 16.323510399692555))",16.32566563653375,80.40547351935554,,,,2190.653,,139.753,483.844,,,,2330.406,0.0
Guntur_22,"POLYGON ((80.40771930756584 16.327820873374947, 80.40771930756584 16.3321312520608, 80.40322773114525 16.3321312520608, 80.40322773114525 16.327820873374947, 80.40771930756584 16.327820873374947))",16.329976062717876,80.40547351935554,,,,2810.822,,0.014,0.0,,,,2810.836,0.0
Guntur_23,"POLYGON ((80.41221088398645 16.276088925795474, 80.41221088398645 16.28040044296716, 80.40771930756584 16.28040044296716, 80.40771930756584 16.276088925795474, 80.41221088398645 16.276088925795474))",16.278244684381317,80.40996509577613,,,,2825.12,,13.275,45.551,,,,2838.395,0.0
Guntur_24,"POLYGON ((80.41221088398645 16.28040044296716, 80.41221088398645 16.28471186538779, 80.40771930756584 16.28471186538779, 80.40771930756584 16.28040044296716, 80.41221088398645 16.28040044296716))",16.282556154177477,80.40996509577614,,,,3423.521,,22.287,76.495,,,,3445.808,0.0
Guntur_25,"POLYGON ((80.41221088398645 16.28471186538779, 80.41221088398645 16.289023193035046, 80.40771930756584 16.289023193035046, 80.40771930756584 16.28471186538779, 80.41221088398645 16.28471186538779))",16.28686752921142,80.40996509577614,,,,4172.694,,126.906,431.709,,,,4299.6,0.0
