index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Gurugram_0,"POLYGON ((76.93270670545938 28.428498751032837, 76.93270670545938 28.43244862303409, 76.92821512903878 28.43244862303409, 76.92821512903878 28.428498751032837, 76.93270670545938 28.428498751032837))",28.430473687033462,76.93046091724908,,,,0.0,,1.87,7.099,,,,1.87,0.0
Gurugram_1,"POLYGON ((76.93270670545938 28.43244862303409, 76.93270670545938 28.436398347610858, 76.92821512903878 28.436398347610858, 76.92821512903878 28.43244862303409, 76.93270670545938 28.43244862303409))",28.434423485322473,76.93046091724908,,,,0.0,,20.616,78.701,,,,20.616,0.0
Gurugram_2,"POLYGON ((76.93719828187997 28.424548731620376, 76.93719828187997 28.428498751032837, 76.93270670545938 28.428498751032837, 76.93270670545938 28.424548731620376, 76.93719828187997 28.424548731620376))",28.42652374132661,76.9349524936697,,,,0.0,,10.231,38.985,,,,10.231,0.0
Gurugram_3,"POLYGON ((76.93719828187997 28.428498751032837, 76.93719828187997 28.43244862303409, 76.93270670545938 28.43244862303409, 76.93270670545938 28.428498751032837, 76.93719828187997 28.428498751032837))",28.430473687033462,76.93495249366968,,,,0.0,,8.821,33.583,,,,8.821,0.0
Gurugram_4,"POLYGON ((76.93719828187997 28.43244862303409, 76.93719828187997 28.436398347610858, 76.93270670545938 28.436398347610858, 76.93270670545938 28.43244862303409, 76.93719828187997 28.43244862303409))",28.434423485322473,76.93495249366968,,,,0.0,,17.881,68.118,,,,17.881,0.0
Gurugram_5,"POLYGON ((76.93719828187997 28.436398347610858, 76.93719828187997 28.440347924749883, 76.93270670545938 28.440347924749883, 76.93270670545938 28.436398347610858, 76.93719828187997 28.436398347610858))",28.43837313618037,76.93495249366968,,,,0.0,,146.43,557.945,,,,146.43,0.0
Gurugram_6,"POLYGON ((76.94168985830058 28.424548731620376, 76.94168985830058 28.428498751032837, 76.93719828187997 28.428498751032837, 76.93719828187997 28.424548731620376, 76.94168985830058 28.424548731620376))",28.42652374132661,76.93944407009029,,,,0.0,,32.836,125.092,,,,32.836,0.0
Gurugram_7,"POLYGON ((76.94168985830058 28.428498751032837, 76.94168985830058 28.43244862303409, 76.93719828187997 28.43244862303409, 76.93719828187997 28.428498751032837, 76.94168985830058 28.428498751032837))",28.430473687033462,76.93944407009027,,,,0.0,,13.174,50.175,,,,13.174,0.0
Gurugram_8,"POLYGON ((76.94168985830058 28.43244862303409, 76.94168985830058 28.436398347610858, 76.93719828187997 28.436398347610858, 76.93719828187997 28.43244862303409, 76.94168985830058 28.43244862303409))",28.434423485322473,76.93944407009027,,,,0.0,,1.144,4.416,,,,1.144,0.0
Gurugram_9,"POLYGON ((76.94168985830058 28.436398347610858, 76.94168985830058 28.440347924749883, 76.93719828187997 28.440347924749883, 76.93719828187997 28.436398347610858, 76.94168985830058 28.436398347610858))",28.43837313618037,76.93944407009026,,,,0.0,,5.179,19.745,,,,5.179,0.0
Gurugram_10,"POLYGON ((76.94168985830058 28.440347924749883, 76.94168985830058 28.444297354437893, 76.93719828187997 28.444297354437893, 76.93719828187997 28.440347924749883, 76.94168985830058 28.440347924749883))",28.442322639593886,76.93944407009027,,,,0.0,,75.351,290.034,,,,75.351,0.0
Gurugram_11,"POLYGON ((76.94618143472118 28.424548731620376, 76.94618143472118 28.428498751032837, 76.94168985830058 28.428498751032837, 76.94168985830058 28.424548731620376, 76.94618143472118 28.424548731620376))",28.42652374132661,76.94393564651088,,,,0.0,,36.921,140.651,,,,36.921,0.0
Gurugram_12,"POLYGON ((76.94618143472118 28.428498751032837, 76.94618143472118 28.43244862303409, 76.94168985830058 28.43244862303409, 76.94168985830058 28.428498751032837, 76.94618143472118 28.428498751032837))",28.430473687033462,76.94393564651087,,,,0.0,,17.245,65.7,,,,17.245,0.0
Gurugram_13,"POLYGON ((76.94618143472118 28.43244862303409, 76.94618143472118 28.436398347610858, 76.94168985830058 28.436398347610858, 76.94168985830058 28.43244862303409, 76.94618143472118 28.43244862303409))",28.434423485322473,76.94393564651088,,,,0.0,,3.904,14.814,,,,3.904,0.0
Gurugram_14,"POLYGON ((76.94618143472118 28.436398347610858, 76.94618143472118 28.440347924749883, 76.94168985830058 28.440347924749883, 76.94168985830058 28.436398347610858, 76.94618143472118 28.436398347610858))",28.43837313618037,76.9439356465109,,,,0.0,,12.382,47.134,,,,12.382,0.0
Gurugram_15,"POLYGON ((76.94618143472118 28.440347924749883, 76.94618143472118 28.444297354437893, 76.94168985830058 28.444297354437893, 76.94168985830058 28.440347924749883, 76.94618143472118 28.440347924749883))",28.442322639593886,76.9439356465109,,,,0.0,,12.489,48.072,,,,12.489,0.0
Gurugram_16,"POLYGON ((76.94618143472118 28.444297354437893, 76.94618143472118 28.44824663666163, 76.94168985830058 28.44824663666163, 76.94168985830058 28.444297354437893, 76.94618143472118 28.444297354437893))",28.446271995549758,76.94393564651088,,,,0.0,,7.719,29.712,,,,7.719,0.0
Gurugram_17,"POLYGON ((76.95067301114177 28.424548731620376, 76.95067301114177 28.428498751032837, 76.94618143472118 28.428498751032837, 76.94618143472118 28.424548731620376, 76.95067301114177 28.424548731620376))",28.42652374132661,76.94842722293149,,,,0.0,,7.571,28.858,,,,7.571,0.0
Gurugram_18,"POLYGON ((76.95067301114177 28.428498751032837, 76.95067301114177 28.43244862303409, 76.94618143472118 28.43244862303409, 76.94618143472118 28.428498751032837, 76.95067301114177 28.428498751032837))",28.430473687033462,76.94842722293147,,,,0.0,,29.405,112.018,,,,29.405,0.0
Gurugram_19,"POLYGON ((76.95067301114177 28.43244862303409, 76.95067301114177 28.436398347610858, 76.94618143472118 28.436398347610858, 76.94618143472118 28.43244862303409, 76.95067301114177 28.43244862303409))",28.434423485322473,76.94842722293149,,,,0.0,,8.786,33.46,,,,8.786,0.0
Gurugram_20,"POLYGON ((76.95067301114177 28.436398347610858, 76.95067301114177 28.440347924749883, 76.94618143472118 28.440347924749883, 76.94618143472118 28.436398347610858, 76.95067301114177 28.436398347610858))",28.43837313618037,76.94842722293147,,,,0.0,,6.339,24.07,,,,6.339,0.0
Gurugram_21,"POLYGON ((76.95067301114177 28.440347924749883, 76.95067301114177 28.444297354437893, 76.94618143472118 28.444297354437893, 76.94618143472118 28.440347924749883, 76.95067301114177 28.440347924749883))",28.44232263959389,76.94842722293149,,,,0.0,,3.204,12.325,,,,3.204,0.0
Gurugram_22,"POLYGON ((76.95067301114177 28.444297354437893, 76.95067301114177 28.44824663666163, 76.94618143472118 28.44824663666163, 76.94618143472118 28.444297354437893, 76.95067301114177 28.444297354437893))",28.44627199554976,76.94842722293149,,,,0.0,,0.053,0.365,,,,0.053,0.0
Gurugram_23,"POLYGON ((76.95516458756238 28.42059856480997, 76.95516458756238 28.424548731620376, 76.95067301114177 28.424548731620376, 76.95067301114177 28.42059856480997, 76.95516458756238 28.42059856480997))",28.422573648215174,76.95291879935208,,,,0.0,,5.747,21.8,,,,5.747,0.0
Gurugram_24,"POLYGON ((76.95516458756238 28.424548731620376, 76.95516458756238 28.428498751032837, 76.95067301114177 28.428498751032837, 76.95067301114177 28.424548731620376, 76.95516458756238 28.424548731620376))",28.42652374132661,76.95291879935209,,,,0.0,,4.83,18.414,,,,4.83,0.0
