index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Imphal_0,"POLYGON ((93.88732597886339 24.80774314336137, 93.88732597886339 24.811820173577743, 93.88283440244278 24.811820173577743, 93.88283440244278 24.80774314336137, 93.88732597886339 24.80774314336137))",24.80978165846956,93.88508019065308,,,,827.49,,6.613,22.358,,,,834.103,0.0
Imphal_1,"POLYGON ((93.88732597886339 24.811820173577743, 93.88732597886339 24.815897069675476, 93.88283440244278 24.815897069675476, 93.88283440244278 24.811820173577743, 93.88732597886339 24.811820173577743))",24.813858621626608,93.88508019065307,,,,761.308,,10.542,36.081,,,,771.85,0.0
Imphal_2,"POLYGON ((93.88732597886339 24.815897069675476, 93.88732597886339 24.819973831638336, 93.88283440244278 24.819973831638336, 93.88283440244278 24.815897069675476, 93.88732597886339 24.815897069675476))",24.817935450656904,93.88508019065308,,,,668.183,,0.787,2.651,,,,668.97,0.0
Imphal_3,"POLYGON ((93.88732597886339 24.819973831638336, 93.88732597886339 24.824050459450092, 93.88283440244278 24.824050459450092, 93.88283440244278 24.819973831638336, 93.88732597886339 24.819973831638336))",24.822012145544214,93.88508019065308,,,,529.449,,6.79,23.668,,,,536.239,0.0
Imphal_4,"POLYGON ((93.88732597886339 24.824050459450092, 93.88732597886339 24.828126953094532, 93.88283440244278 24.828126953094532, 93.88283440244278 24.824050459450092, 93.88732597886339 24.824050459450092))",24.826088706272316,93.88508019065308,,,,330.102,,0.0,0.0,,,,330.102,0.0
Imphal_5,"POLYGON ((93.89181755528398 24.803665979042584, 93.89181755528398 24.80774314336137, 93.88732597886339 24.80774314336137, 93.88732597886339 24.803665979042584, 93.89181755528398 24.803665979042584))",24.805704561201978,93.88957176707368,,,,1722.752,,75.47,255.339,,,,1798.222,0.0
Imphal_6,"POLYGON ((93.89181755528398 24.80774314336137, 93.89181755528398 24.811820173577743, 93.88732597886339 24.811820173577743, 93.88732597886339 24.80774314336137, 93.89181755528398 24.80774314336137))",24.809781658469554,93.88957176707368,,,,1375.445,,41.971,141.994,,,,1417.416,0.0
Imphal_7,"POLYGON ((93.89181755528398 24.811820173577743, 93.89181755528398 24.815897069675476, 93.88732597886339 24.815897069675476, 93.88732597886339 24.811820173577743, 93.89181755528398 24.811820173577743))",24.813858621626608,93.88957176707368,,,,916.82,,27.331,93.493,,,,944.151,0.0
Imphal_8,"POLYGON ((93.89181755528398 24.815897069675476, 93.89181755528398 24.819973831638336, 93.88732597886339 24.819973831638336, 93.88732597886339 24.815897069675476, 93.89181755528398 24.815897069675476))",24.817935450656904,93.88957176707368,,,,679.287,,6.899,23.581,,,,686.186,0.0
Imphal_9,"POLYGON ((93.89181755528398 24.819973831638336, 93.89181755528398 24.824050459450092, 93.88732597886339 24.824050459450092, 93.88732597886339 24.819973831638336, 93.89181755528398 24.819973831638336))",24.82201214554421,93.88957176707368,,,,623.054,,33.335,115.958,,,,656.389,0.0
