index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Indore_0,"POLYGON ((75.7730263847534 22.74848629922844, 75.7730263847534 22.7526284184699, 75.76853480833279 22.7526284184699, 75.76853480833279 22.74848629922844, 75.7730263847534 22.74848629922844))",22.750557358849168,75.7707805965431,,,,739.208,,17.558,66.714,2.089,0.0,0.0,758.855,0.0
Indore_1,"POLYGON ((75.7730263847534 22.7526284184699, 75.7730263847534 22.756770412129722, 75.76853480833279 22.756770412129722, 75.76853480833279 22.7526284184699, 75.7730263847534 22.7526284184699))",22.75469941529981,75.77078059654309,,,,788.089,,5.782,22.159,0.582,0.0,0.0,794.453,0.0
Indore_2,"POLYGON ((75.7730263847534 22.756770412129722, 75.7730263847534 22.760912280190055, 75.76853480833279 22.760912280190055, 75.76853480833279 22.756770412129722, 75.7730263847534 22.756770412129722))",22.75884134615989,75.77078059654309,,,,415.783,,4.377,16.798,0.0,0.0,0.0,420.16,0.0
Indore_3,"POLYGON ((75.77751796117398 22.740201684071952, 75.77751796117398 22.744344054423177, 75.7730263847534 22.744344054423177, 75.7730263847534 22.740201684071952, 75.77751796117398 22.740201684071952))",22.742272869247564,75.7752721729637,,,,1544.598,,38.767,143.557,4.387,0.0,0.0,1587.752,0.0
Indore_4,"POLYGON ((75.77751796117398 22.744344054423177, 75.77751796117398 22.74848629922844, 75.7730263847534 22.74848629922844, 75.7730263847534 22.744344054423177, 75.77751796117398 22.744344054423177))",22.746415176825803,75.77527217296368,,,,1260.425,,30.919,115.615,1.734,0.0,0.0,1293.078,0.0
Indore_5,"POLYGON ((75.77751796117398 22.74848629922844, 75.77751796117398 22.7526284184699, 75.7730263847534 22.7526284184699, 75.7730263847534 22.74848629922844, 75.77751796117398 22.74848629922844))",22.75055735884917,75.7752721729637,,,,833.41,,21.709,81.184,16.042,0.069,0.0,871.161,0.069
Indore_6,"POLYGON ((75.77751796117398 22.7526284184699, 75.77751796117398 22.756770412129722, 75.7730263847534 22.756770412129722, 75.7730263847534 22.7526284184699, 75.77751796117398 22.7526284184699))",22.75469941529981,75.77527217296368,,,,1112.348,,23.53,88.769,22.251,0.073,0.0,1158.129,0.073
Indore_7,"POLYGON ((75.77751796117398 22.756770412129722, 75.77751796117398 22.760912280190055, 75.7730263847534 22.760912280190055, 75.7730263847534 22.756770412129722, 75.77751796117398 22.756770412129722))",22.758841346159894,75.7752721729637,,,,693.618,,10.415,39.305,4.662,0.0,0.0,708.695,0.0
Indore_8,"POLYGON ((75.77751796117398 22.760912280190055, 75.77751796117398 22.765054022633073, 75.7730263847534 22.765054022633073, 75.7730263847534 22.760912280190055, 75.77751796117398 22.760912280190055))",22.762983151411564,75.7752721729637,,,,693.618,,1.617,6.12,1.124,0.0,0.0,696.359,0.0
Indore_9,"POLYGON ((75.77751796117398 22.765054022633073, 75.77751796117398 22.76919563944094, 75.7730263847534 22.76919563944094, 75.7730263847534 22.765054022633073, 75.77751796117398 22.765054022633073))",22.76712483103701,75.7752721729637,,,,487.184,,0.0,0.0,1.124,0.0,0.0,488.308,0.0
Indore_10,"POLYGON ((75.77751796117398 22.76919563944094, 75.77751796117398 22.77333713059583, 75.7730263847534 22.77333713059583, 75.7730263847534 22.76919563944094, 75.77751796117398 22.76919563944094))",22.771266385018386,75.7752721729637,,,,448.669,,0.0,0.0,6.578,0.0,0.0,455.247,0.0
Indore_11,"POLYGON ((75.77751796117398 22.77333713059583, 75.77751796117398 22.777478496079915, 75.7730263847534 22.777478496079915, 75.7730263847534 22.77333713059583, 75.77751796117398 22.77333713059583))",22.775407813337875,75.7752721729637,,,,300.519,,0.402,1.462,1.714,0.0,0.0,302.635,0.0
