index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Jabalpur_0,"POLYGON ((79.86591288905112 23.104739496151243, 79.86591288905112 23.10887073536852, 79.86142131263051 23.10887073536852, 79.86142131263051 23.104739496151243, 79.86591288905112 23.104739496151243))",23.10680511575988,79.86366710084081,,,,645.485,,27.837,100.882,,,,673.322,0.0
Jabalpur_1,"POLYGON ((79.86591288905112 23.10887073536852, 79.86591288905112 23.113001847479573, 79.86142131263051 23.113001847479573, 79.86142131263051 23.10887073536852, 79.86591288905112 23.10887073536852))",23.110936291424043,79.86366710084081,,,,726.158,,1.894,6.853,,,,728.052,0.0
Jabalpur_2,"POLYGON ((79.86591288905112 23.113001847479573, 79.86591288905112 23.117132832466837, 79.86142131263051 23.117132832466837, 79.86142131263051 23.113001847479573, 79.86591288905112 23.113001847479573))",23.115067339973205,79.8636671008408,,,,644.171,,16.655,59.686,,,,660.826,0.0
Jabalpur_3,"POLYGON ((79.86591288905112 23.117132832466837, 79.86591288905112 23.12126369031274, 79.86142131263051 23.12126369031274, 79.86142131263051 23.117132832466837, 79.86591288905112 23.117132832466837))",23.11919826138979,79.8636671008408,,,,555.897,,0.0,0.0,,,,555.897,0.0
Jabalpur_4,"POLYGON ((79.86591288905112 23.12126369031274, 79.86591288905112 23.125394420999744, 79.86142131263051 23.125394420999744, 79.86142131263051 23.12126369031274, 79.86591288905112 23.12126369031274))",23.123329055656242,79.86366710084081,,,,1019.406,,0.453,1.586,,,,1019.859,0.0
Jabalpur_5,"POLYGON ((79.86591288905112 23.125394420999744, 79.86591288905112 23.129525024510276, 79.86142131263051 23.129525024510276, 79.86142131263051 23.125394420999744, 79.86591288905112 23.125394420999744))",23.12745972275501,79.86366710084083,,,,1621.411,,25.386,89.414,,,,1646.797,0.0
Jabalpur_6,"POLYGON ((79.86591288905112 23.129525024510276, 79.86591288905112 23.133655500826787, 79.86142131263051 23.133655500826787, 79.86142131263051 23.129525024510276, 79.86591288905112 23.129525024510276))",23.131590262668528,79.86366710084083,,,,1621.411,,42.252,148.818,,,,1663.663,0.0
Jabalpur_7,"POLYGON ((79.86591288905112 23.133655500826787, 79.86591288905112 23.137785849931735, 79.86142131263051 23.137785849931735, 79.86142131263051 23.133655500826787, 79.86591288905112 23.133655500826787))",23.135720675379257,79.86366710084083,,,,1490.05,,11.708,41.135,,,,1501.758,0.0
Jabalpur_8,"POLYGON ((79.86591288905112 23.137785849931735, 79.86591288905112 23.14191607180757, 79.86142131263051 23.14191607180757, 79.86142131263051 23.137785849931735, 79.86591288905112 23.137785849931735))",23.13985096086965,79.8636671008408,,,,1036.832,,6.546,22.988,,,,1043.378,0.0
Jabalpur_9,"POLYGON ((79.86591288905112 23.14191607180757, 79.86591288905112 23.14604616643675, 79.86142131263051 23.14604616643675, 79.86142131263051 23.14191607180757, 79.86591288905112 23.14191607180757))",23.143981119122156,79.86366710084081,,,,943.988,,5.7,19.845,,,,949.688,0.0
