index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Jalandhar_0,"POLYGON ((75.4920221353299 31.336948582310775, 75.4920221353299 31.340784865652598, 75.48753055890931 31.340784865652598, 75.48753055890931 31.336948582310775, 75.4920221353299 31.336948582310775))",31.33886672398169,75.4897763471196,,,,231.372,,7.252,25.706,,,,238.624,0.0
Jalandhar_1,"POLYGON ((75.4920221353299 31.340784865652598, 75.4920221353299 31.34462099257612, 75.48753055890931 31.34462099257612, 75.48753055890931 31.340784865652598, 75.4920221353299 31.340784865652598))",31.342702929114363,75.48977634711962,,,,265.226,,10.706,38.049,,,,275.932,0.0
Jalandhar_2,"POLYGON ((75.4920221353299 31.34462099257612, 75.4920221353299 31.348456963070532, 75.48753055890931 31.348456963070532, 75.48753055890931 31.34462099257612, 75.4920221353299 31.34462099257612))",31.34653897782333,75.4897763471196,,,,265.226,,5.523,19.565,,,,270.749,0.0
Jalandhar_3,"POLYGON ((75.4920221353299 31.348456963070532, 75.4920221353299 31.352292777125015, 75.48753055890931 31.352292777125015, 75.48753055890931 31.348456963070532, 75.4920221353299 31.348456963070532))",31.35037487009777,75.48977634711962,,,,256.661,,0.987,3.572,,,,257.648,0.0
Jalandhar_4,"POLYGON ((75.4920221353299 31.352292777125015, 75.4920221353299 31.356128434728753, 75.48753055890931 31.356128434728753, 75.48753055890931 31.352292777125015, 75.4920221353299 31.352292777125015))",31.354210605926887,75.48977634711962,,,,199.861,,7.109,25.428,,,,206.97,0.0
Jalandhar_5,"POLYGON ((75.49651371175051 31.33311214256147, 75.49651371175051 31.336948582310775, 75.4920221353299 31.336948582310775, 75.4920221353299 31.33311214256147, 75.49651371175051 31.33311214256147))",31.335030362436118,75.4942679235402,,,,217.957,,7.165,25.365,,,,225.122,0.0
Jalandhar_6,"POLYGON ((75.49651371175051 31.336948582310775, 75.49651371175051 31.340784865652598, 75.4920221353299 31.340784865652598, 75.4920221353299 31.336948582310775, 75.49651371175051 31.336948582310775))",31.338866723981685,75.4942679235402,,,,256.255,,15.077,53.427,,,,271.332,0.0
Jalandhar_7,"POLYGON ((75.49651371175051 31.340784865652598, 75.49651371175051 31.34462099257612, 75.4920221353299 31.34462099257612, 75.4920221353299 31.340784865652598, 75.49651371175051 31.340784865652598))",31.34270292911436,75.49426792354019,,,,258.876,,20.2,71.771,,,,279.076,0.0
Jalandhar_8,"POLYGON ((75.49651371175051 31.34462099257612, 75.49651371175051 31.348456963070532, 75.4920221353299 31.348456963070532, 75.4920221353299 31.34462099257612, 75.49651371175051 31.34462099257612))",31.346538977823325,75.4942679235402,,,,258.876,,57.013,202.602,,,,315.889,0.0
Jalandhar_9,"POLYGON ((75.49651371175051 31.348456963070532, 75.49651371175051 31.352292777125015, 75.4920221353299 31.352292777125015, 75.4920221353299 31.348456963070532, 75.49651371175051 31.348456963070532))",31.350374870097774,75.4942679235402,,,,217.411,,2.178,7.753,,,,219.589,0.0
