index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Jalpaiguri_0,"POLYGON ((88.70178355410819 26.52307062791716, 88.70178355410819 26.527089416340978, 88.69729197768758 26.527089416340978, 88.69729197768758 26.52307062791716, 88.70178355410819 26.52307062791716))",26.52508002212907,88.69953776589789,,,,0.0,,187.555,752.773,,,,187.555,0.0
Jalpaiguri_1,"POLYGON ((88.70178355410819 26.527089416340978, 88.70178355410819 26.53110806406199, 88.69729197768758 26.53110806406199, 88.69729197768758 26.527089416340978, 88.70178355410819 26.527089416340978))",26.529098740201484,88.69953776589789,,,,0.0,,165.987,666.229,,,,165.987,0.0
Jalpaiguri_2,"POLYGON ((88.70178355410819 26.53110806406199, 88.70178355410819 26.535126571065373, 88.69729197768758 26.535126571065373, 88.69729197768758 26.53110806406199, 88.70178355410819 26.53110806406199))",26.533117317563676,88.69953776589786,,,,0.0,,761.861,3057.847,,,,761.861,0.0
Jalpaiguri_3,"POLYGON ((88.70178355410819 26.535126571065373, 88.70178355410819 26.53914493733627, 88.69729197768758 26.53914493733627, 88.69729197768758 26.535126571065373, 88.70178355410819 26.535126571065373))",26.53713575420082,88.69953776589787,,,,0.0,,284.625,1141.879,,,,284.625,0.0
Jalpaiguri_4,"POLYGON ((88.7062751305288 26.519051698805395, 88.7062751305288 26.52307062791716, 88.70178355410819 26.52307062791716, 88.70178355410819 26.519051698805395, 88.7062751305288 26.519051698805395))",26.521061163361278,88.70402934231849,,,,0.0,,11.812,46.904,,,,11.812,0.0
Jalpaiguri_5,"POLYGON ((88.7062751305288 26.52307062791716, 88.7062751305288 26.527089416340978, 88.70178355410819 26.527089416340978, 88.70178355410819 26.52307062791716, 88.7062751305288 26.52307062791716))",26.52508002212907,88.70402934231848,,,,0.0,,388.764,1543.909,,,,388.764,0.0
Jalpaiguri_6,"POLYGON ((88.7062751305288 26.527089416340978, 88.7062751305288 26.53110806406199, 88.70178355410819 26.53110806406199, 88.70178355410819 26.527089416340978, 88.7062751305288 26.527089416340978))",26.529098740201484,88.70402934231848,,,,0.0,,439.241,1742.11,,,,439.241,0.0
Jalpaiguri_7,"POLYGON ((88.7062751305288 26.53110806406199, 88.7062751305288 26.535126571065373, 88.70178355410819 26.535126571065373, 88.70178355410819 26.53110806406199, 88.7062751305288 26.53110806406199))",26.533117317563676,88.70402934231849,,,,0.0,,1150.228,4561.972,,,,1150.228,0.0
Jalpaiguri_8,"POLYGON ((88.7062751305288 26.535126571065373, 88.7062751305288 26.53914493733627, 88.70178355410819 26.53914493733627, 88.70178355410819 26.535126571065373, 88.7062751305288 26.535126571065373))",26.53713575420082,88.70402934231848,,,,0.0,,395.688,1567.995,,,,395.688,0.0
Jalpaiguri_9,"POLYGON ((88.7062751305288 26.53914493733627, 88.7062751305288 26.543163162859855, 88.70178355410819 26.543163162859855, 88.70178355410819 26.53914493733627, 88.7062751305288 26.53914493733627))",26.541154050098065,88.70402934231849,,,,0.0,,46.493,184.247,,,,46.493,0.0
Jalpaiguri_10,"POLYGON ((88.71076670694939 26.519051698805395, 88.71076670694939 26.52307062791716, 88.7062751305288 26.52307062791716, 88.7062751305288 26.519051698805395, 88.71076670694939 26.519051698805395))",26.521061163361278,88.70852091873908,,,,0.0,,465.663,1849.349,,,,465.663,0.0
Jalpaiguri_11,"POLYGON ((88.71076670694939 26.52307062791716, 88.71076670694939 26.527089416340978, 88.7062751305288 26.527089416340978, 88.7062751305288 26.52307062791716, 88.71076670694939 26.52307062791716))",26.52508002212907,88.70852091873908,,,,0.0,,1075.112,4269.694,,,,1075.112,0.0
Jalpaiguri_12,"POLYGON ((88.71076670694939 26.527089416340978, 88.71076670694939 26.53110806406199, 88.7062751305288 26.53110806406199, 88.7062751305288 26.527089416340978, 88.71076670694939 26.527089416340978))",26.529098740201487,88.70852091873908,,,,0.0,,959.057,3803.751,,,,959.057,0.0
Jalpaiguri_13,"POLYGON ((88.71076670694939 26.53110806406199, 88.71076670694939 26.535126571065373, 88.7062751305288 26.535126571065373, 88.7062751305288 26.53110806406199, 88.71076670694939 26.53110806406199))",26.533117317563676,88.7085209187391,,,,0.0,,1547.062,6135.87,,,,1547.062,0.0
Jalpaiguri_14,"POLYGON ((88.71076670694939 26.535126571065373, 88.71076670694939 26.53914493733627, 88.7062751305288 26.53914493733627, 88.7062751305288 26.535126571065373, 88.71076670694939 26.535126571065373))",26.537135754200825,88.70852091873908,,,,0.0,,810.159,3210.452,,,,810.159,0.0
