index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Jammu_0,"POLYGON ((74.72281086559389 32.723152554240016, 74.72281086559389 32.726931203316305, 74.71831928917328 32.726931203316305, 74.71831928917328 32.723152554240016, 74.72281086559389 32.723152554240016))",32.72504187877816,74.72056507738358,,,,250.302,,2.563,8.481,,,,252.865,0.0
Jammu_1,"POLYGON ((74.72281086559389 32.726931203316305, 74.72281086559389 32.73070969224946, 74.71831928917328 32.73070969224946, 74.71831928917328 32.726931203316305, 74.72281086559389 32.726931203316305))",32.72882044778287,74.72056507738358,,,,317.454,,4.974,16.564,,,,322.428,0.0
Jammu_2,"POLYGON ((74.72281086559389 32.73070969224946, 74.72281086559389 32.73448802102984, 74.71831928917328 32.73448802102984, 74.71831928917328 32.73070969224946, 74.72281086559389 32.73070969224946))",32.732598856639655,74.72056507738358,,,,275.19,,3.831,12.722,,,,279.021,0.0
Jammu_3,"POLYGON ((74.72730244201448 32.723152554240016, 74.72730244201448 32.726931203316305, 74.72281086559389 32.726931203316305, 74.72281086559389 32.723152554240016, 74.72730244201448 32.723152554240016))",32.72504187877816,74.72505665380419,,,,321.216,,23.272,76.783,,,,344.488,0.0
Jammu_4,"POLYGON ((74.72730244201448 32.726931203316305, 74.72730244201448 32.73070969224946, 74.72281086559389 32.73070969224946, 74.72281086559389 32.726931203316305, 74.72730244201448 32.726931203316305))",32.72882044778288,74.72505665380417,,,,357.556,,22.375,74.145,,,,379.931,0.0
Jammu_5,"POLYGON ((74.72730244201448 32.73070969224946, 74.72730244201448 32.73448802102984, 74.72281086559389 32.73448802102984, 74.72281086559389 32.73070969224946, 74.72730244201448 32.73070969224946))",32.732598856639655,74.72505665380419,,,,277.382,,4.088,13.557,,,,281.47,0.0
Jammu_6,"POLYGON ((74.72730244201448 32.73448802102984, 74.72730244201448 32.738266189647796, 74.72281086559389 32.738266189647796, 74.72281086559389 32.73448802102984, 74.72730244201448 32.73448802102984))",32.73637710533882,74.72505665380417,,,,218.377,,0.0,0.0,,,,218.377,0.0
Jammu_7,"POLYGON ((74.73179401843507 32.723152554240016, 74.73179401843507 32.726931203316305, 74.72730244201448 32.726931203316305, 74.72730244201448 32.723152554240016, 74.73179401843507 32.723152554240016))",32.72504187877816,74.72954823022478,,,,362.163,,8.747,28.865,,,,370.91,0.0
Jammu_8,"POLYGON ((74.73179401843507 32.726931203316305, 74.73179401843507 32.73070969224946, 74.72730244201448 32.73070969224946, 74.72730244201448 32.726931203316305, 74.73179401843507 32.726931203316305))",32.72882044778288,74.72954823022478,,,,275.105,,0.0,0.0,,,,275.105,0.0
Jammu_9,"POLYGON ((74.73179401843507 32.73070969224946, 74.73179401843507 32.73448802102984, 74.72730244201448 32.73448802102984, 74.72730244201448 32.73070969224946, 74.73179401843507 32.73070969224946))",32.732598856639655,74.72954823022476,,,,225.872,,1.291,4.296,,,,227.163,0.0
