index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Jhansi_0,"POLYGON ((78.50590395415696 25.410582470559152, 78.50590395415696 25.414639445912133, 78.50141237773636 25.414639445912133, 78.50141237773636 25.410582470559152, 78.50590395415696 25.410582470559152))",25.412610958235643,78.50365816594666,,,,286.081,,0.0,0.0,,,,286.081,0.0
Jhansi_1,"POLYGON ((78.50590395415696 25.414639445912133, 78.50590395415696 25.41869628477649, 78.50141237773636 25.41869628477649, 78.50141237773636 25.414639445912133, 78.50590395415696 25.414639445912133))",25.416667865344312,78.50365816594666,,,,268.322,,0.134,0.731,,,,268.456,0.0
Jhansi_2,"POLYGON ((78.50590395415696 25.41869628477649, 78.50590395415696 25.422752987136477, 78.50141237773636 25.422752987136477, 78.50141237773636 25.41869628477649, 78.50590395415696 25.41869628477649))",25.420724635956482,78.50365816594665,,,,195.784,,0.002,0.0,,,,195.786,0.0
Jhansi_3,"POLYGON ((78.50590395415696 25.50791217633522, 78.50590395415696 25.511965871621946, 78.50141237773636 25.511965871621946, 78.50141237773636 25.50791217633522, 78.50590395415696 25.50791217633522))",25.509939023978582,78.50365816594667,,,,194.613,,43.883,155.511,,,,238.496,0.0
Jhansi_4,"POLYGON ((78.50590395415696 25.511965871621946, 78.50590395415696 25.516019430043052, 78.50141237773636 25.516019430043052, 78.50141237773636 25.511965871621946, 78.50590395415696 25.511965871621946))",25.5139926508325,78.50365816594667,,,,182.781,,2.501,8.866,,,,185.282,0.0
Jhansi_5,"POLYGON ((78.50590395415696 25.516019430043052, 78.50590395415696 25.520072851582864, 78.50141237773636 25.520072851582864, 78.50141237773636 25.516019430043052, 78.50590395415696 25.516019430043052))",25.518046140812956,78.50365816594666,,,,208.588,,0.845,2.895,,,,209.433,0.0
Jhansi_6,"POLYGON ((78.50590395415696 25.520072851582864, 78.50590395415696 25.52412613622571, 78.50141237773636 25.52412613622571, 78.50141237773636 25.520072851582864, 78.50590395415696 25.520072851582864))",25.522099493904285,78.50365816594666,,,,265.151,,0.0,0.0,,,,265.151,0.0
Jhansi_7,"POLYGON ((78.50590395415696 25.52412613622571, 78.50590395415696 25.52817928395595, 78.50141237773636 25.52817928395595, 78.50141237773636 25.52412613622571, 78.50590395415696 25.52412613622571))",25.526152710090827,78.50365816594665,,,,298.57,,0.396,1.219,,,,298.966,0.0
Jhansi_8,"POLYGON ((78.51039553057755 25.40246811045031, 78.51039553057755 25.406525358733294, 78.50590395415696 25.406525358733294, 78.50590395415696 25.40246811045031, 78.51039553057755 25.40246811045031))",25.404496734591802,78.50814974236727,,,,197.798,,0.55,2.071,,,,198.348,0.0
Jhansi_9,"POLYGON ((78.51039553057755 25.406525358733294, 78.51039553057755 25.410582470559152, 78.50590395415696 25.410582470559152, 78.50590395415696 25.406525358733294, 78.51039553057755 25.406525358733294))",25.408553914646227,78.50814974236727,,,,197.798,,0.62,2.313,,,,198.418,0.0
Jhansi_10,"POLYGON ((78.51039553057755 25.410582470559152, 78.51039553057755 25.414639445912133, 78.50590395415696 25.414639445912133, 78.50590395415696 25.410582470559152, 78.51039553057755 25.410582470559152))",25.412610958235643,78.50814974236727,,,,218.987,,0.104,0.703,,,,219.091,0.0
Jhansi_11,"POLYGON ((78.51039553057755 25.414639445912133, 78.51039553057755 25.41869628477649, 78.50590395415696 25.41869628477649, 78.50590395415696 25.414639445912133, 78.51039553057755 25.414639445912133))",25.416667865344316,78.50814974236725,,,,215.8,,1.251,4.402,,,,217.051,0.0
Jhansi_12,"POLYGON ((78.51039553057755 25.41869628477649, 78.51039553057755 25.422752987136477, 78.50590395415696 25.422752987136477, 78.50590395415696 25.41869628477649, 78.51039553057755 25.41869628477649))",25.420724635956486,78.50814974236727,,,,200.076,,1.162,4.155,,,,201.238,0.0
Jhansi_13,"POLYGON ((78.51039553057755 25.422752987136477, 78.51039553057755 25.426809552976348, 78.50590395415696 25.426809552976348, 78.50590395415696 25.422752987136477, 78.51039553057755 25.422752987136477))",25.424781270056414,78.50814974236727,,,,214.342,,0.409,1.323,,,,214.751,0.0
Jhansi_14,"POLYGON ((78.51039553057755 25.426809552976348, 78.51039553057755 25.430865982280363, 78.50590395415696 25.430865982280363, 78.50590395415696 25.426809552976348, 78.51039553057755 25.426809552976348))",25.42883776762836,78.50814974236727,,,,235.596,,0.335,1.09,,,,235.931,0.0
Jhansi_15,"POLYGON ((78.51039553057755 25.50791217633522, 78.51039553057755 25.511965871621946, 78.50590395415696 25.511965871621946, 78.50590395415696 25.50791217633522, 78.51039553057755 25.50791217633522))",25.509939023978582,78.50814974236727,,,,242.436,,9.906,34.826,,,,252.342,0.0
Jhansi_16,"POLYGON ((78.51039553057755 25.511965871621946, 78.51039553057755 25.516019430043052, 78.50590395415696 25.516019430043052, 78.50590395415696 25.511965871621946, 78.51039553057755 25.511965871621946))",25.5139926508325,78.50814974236725,,,,223.889,,0.0,0.0,,,,223.889,0.0
