index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Kanpur_0,"POLYGON ((80.20272036296171 26.47175025788084, 80.20272036296171 26.475770841356322, 80.19822878654111 26.475770841356322, 80.19822878654111 26.47175025788084, 80.20272036296171 26.47175025788084))",26.47376054961858,80.2004745747514,,,,612.326,,1.158,3.925,,,,613.484,0.0
Kanpur_1,"POLYGON ((80.20272036296171 26.475770841356322, 80.20272036296171 26.479791284318797, 80.19822878654111 26.479791284318797, 80.19822878654111 26.475770841356322, 80.20272036296171 26.475770841356322))",26.47778106283756,80.20047457475141,,,,612.326,,1.749,5.894,,,,614.075,0.0
Kanpur_2,"POLYGON ((80.2072119393823 26.463708669450387, 80.2072119393823 26.46772953390723, 80.20272036296171 26.46772953390723, 80.20272036296171 26.463708669450387, 80.2072119393823 26.463708669450387))",26.46571910167881,80.20496615117202,,,,1207.979,,0.0,0.0,,,,1207.979,0.0
Kanpur_3,"POLYGON ((80.2072119393823 26.46772953390723, 80.2072119393823 26.47175025788084, 80.20272036296171 26.47175025788084, 80.20272036296171 26.46772953390723, 80.2072119393823 26.46772953390723))",26.469739895894037,80.20496615117202,,,,1005.337,,0.0,0.0,,,,1005.337,0.0
Kanpur_4,"POLYGON ((80.2072119393823 26.47175025788084, 80.2072119393823 26.475770841356322, 80.20272036296171 26.475770841356322, 80.20272036296171 26.47175025788084, 80.2072119393823 26.47175025788084))",26.473760549618582,80.204966151172,,,,783.757,,7.928,26.59,,,,791.685,0.0
Kanpur_5,"POLYGON ((80.2072119393823 26.475770841356322, 80.2072119393823 26.479791284318797, 80.20272036296171 26.479791284318797, 80.20272036296171 26.475770841356322, 80.2072119393823 26.475770841356322))",26.477781062837558,80.20496615117202,,,,783.757,,0.0,0.0,,,,783.757,0.0
Kanpur_6,"POLYGON ((80.2072119393823 26.479791284318797, 80.2072119393823 26.483811586753372, 80.20272036296171 26.483811586753372, 80.20272036296171 26.479791284318797, 80.2072119393823 26.479791284318797))",26.481801435536084,80.20496615117202,,,,693.022,,23.496,78.806,,,,716.518,0.0
Kanpur_7,"POLYGON ((80.2072119393823 26.483811586753372, 80.2072119393823 26.48783174864517, 80.20272036296171 26.48783174864517, 80.20272036296171 26.483811586753372, 80.2072119393823 26.483811586753372))",26.485821667699266,80.20496615117203,,,,696.3,,25.282,84.436,,,,721.582,0.0
Kanpur_8,"POLYGON ((80.21170351580291 26.455666519146583, 80.21170351580291 26.459687664525205, 80.2072119393823 26.459687664525205, 80.2072119393823 26.455666519146583, 80.21170351580291 26.455666519146583))",26.45767709183589,80.2094577275926,,,,2215.586,,24.641,82.061,,,,2240.227,0.0
Kanpur_9,"POLYGON ((80.21170351580291 26.459687664525205, 80.21170351580291 26.463708669450387, 80.2072119393823 26.463708669450387, 80.2072119393823 26.459687664525205, 80.21170351580291 26.459687664525205))",26.461698166987794,80.2094577275926,,,,1287.219,,0.769,2.527,,,,1287.988,0.0
Kanpur_10,"POLYGON ((80.21170351580291 26.463708669450387, 80.21170351580291 26.46772953390723, 80.2072119393823 26.46772953390723, 80.2072119393823 26.463708669450387, 80.21170351580291 26.463708669450387))",26.465719101678804,80.20945772759259,,,,1283.876,,0.085,0.365,,,,1283.961,0.0
Kanpur_11,"POLYGON ((80.21170351580291 26.46772953390723, 80.21170351580291 26.47175025788084, 80.2072119393823 26.47175025788084, 80.2072119393823 26.46772953390723, 80.21170351580291 26.46772953390723))",26.469739895894037,80.2094577275926,,,,1358.936,,14.027,46.893,,,,1372.963,0.0
Kanpur_12,"POLYGON ((80.21170351580291 26.47175025788084, 80.21170351580291 26.475770841356322, 80.2072119393823 26.475770841356322, 80.2072119393823 26.47175025788084, 80.21170351580291 26.47175025788084))",26.47376054961858,80.20945772759259,,,,1350.229,,45.249,151.629,,,,1395.478,0.0
Kanpur_13,"POLYGON ((80.21170351580291 26.475770841356322, 80.21170351580291 26.479791284318797, 80.2072119393823 26.479791284318797, 80.2072119393823 26.475770841356322, 80.21170351580291 26.475770841356322))",26.47778106283756,80.2094577275926,,,,1350.229,,3.313,11.095,,,,1353.542,0.0
Kanpur_14,"POLYGON ((80.21170351580291 26.479791284318797, 80.21170351580291 26.483811586753372, 80.2072119393823 26.483811586753372, 80.2072119393823 26.479791284318797, 80.21170351580291 26.479791284318797))",26.48180143553608,80.2094577275926,,,,1292.71,,0.0,0.0,,,,1292.71,0.0
Kanpur_15,"POLYGON ((80.21170351580291 26.483811586753372, 80.21170351580291 26.48783174864517, 80.2072119393823 26.48783174864517, 80.2072119393823 26.483811586753372, 80.21170351580291 26.483811586753372))",26.48582166769927,80.2094577275926,,,,1235.978,,1.036,3.493,,,,1237.014,0.0
Kanpur_16,"POLYGON ((80.21170351580291 26.48783174864517, 80.21170351580291 26.49185176997931, 80.2072119393823 26.49185176997931, 80.2072119393823 26.48783174864517, 80.21170351580291 26.48783174864517))",26.489841759312238,80.20945772759259,,,,989.35,,0.136,0.731,,,,989.486,0.0
Kanpur_17,"POLYGON ((80.21170351580291 26.49185176997931, 80.21170351580291 26.49587165074092, 80.2072119393823 26.49587165074092, 80.2072119393823 26.49185176997931, 80.21170351580291 26.49185176997931))",26.493861710360115,80.2094577275926,,,,695.448,,0.0,0.0,,,,695.448,0.0
Kanpur_18,"POLYGON ((80.21170351580291 26.49587165074092, 80.21170351580291 26.49989139091513, 80.2072119393823 26.49989139091513, 80.2072119393823 26.49587165074092, 80.21170351580291 26.49587165074092))",26.497881520828027,80.2094577275926,,,,571.869,,0.004,0.0,,,,571.873,0.0
