index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Kochi_0,"POLYGON ((76.24156039734167 9.950873811597424, 76.24156039734167 9.95529778802768, 76.23706882092107 9.95529778802768, 76.23706882092107 9.950873811597424, 76.24156039734167 9.950873811597424))",9.95308579981255,76.23931460913136,,,,1937.898,,254.704,0.0,,,,2192.602,0.0
Kochi_1,"POLYGON ((76.24156039734167 9.95529778802768, 76.24156039734167 9.959721704502273, 76.23706882092107 9.959721704502273, 76.23706882092107 9.95529778802768, 76.24156039734167 9.95529778802768))",9.957509746264979,76.23931460913136,,,,3529.656,,447.221,0.0,,,,3976.877,0.0
Kochi_2,"POLYGON ((76.24156039734167 9.959721704502273, 76.24156039734167 9.96414556099564, 76.23706882092107 9.96414556099564, 76.23706882092107 9.959721704502273, 76.24156039734167 9.959721704502273))",9.961933632748956,76.23931460913136,,,,2848.674,,389.243,0.0,,,,3237.917,0.0
Kochi_3,"POLYGON ((76.24156039734167 9.96414556099564, 76.24156039734167 9.968569357482224, 76.23706882092107 9.968569357482224, 76.23706882092107 9.96414556099564, 76.24156039734167 9.96414556099564))",9.966357459238932,76.23931460913137,,,,3196.282,,79.765,0.0,,,,3276.047,0.0
Kochi_4,"POLYGON ((76.24156039734167 9.968569357482224, 76.24156039734167 9.972993093936465, 76.23706882092107 9.972993093936465, 76.23706882092107 9.968569357482224, 76.24156039734167 9.968569357482224))",9.970781225709347,76.23931460913136,,,,2213.115,,3.576,0.0,,,,2216.691,0.0
Kochi_5,"POLYGON ((76.24156039734167 9.972993093936465, 76.24156039734167 9.97741677033281, 76.23706882092107 9.97741677033281, 76.23706882092107 9.972993093936465, 76.24156039734167 9.972993093936465))",9.975204932134638,76.23931460913136,,,,3367.167,,192.81,0.0,,,,3559.977,0.0
Kochi_6,"POLYGON ((76.24605197376228 9.93760152282831, 76.24605197376228 9.942025678972172, 76.24156039734167 9.942025678972172, 76.24156039734167 9.93760152282831, 76.24605197376228 9.93760152282831))",9.93981360090024,76.24380618555197,,,,2687.495,,279.728,0.0,,,,2967.223,0.0
Kochi_7,"POLYGON ((76.24605197376228 9.942025678972172, 76.24605197376228 9.946449775237067, 76.24156039734167 9.946449775237067, 76.24156039734167 9.942025678972172, 76.24605197376228 9.942025678972172))",9.94423772710462,76.24380618555197,,,,2353.441,,526.237,0.0,,,,2879.678,0.0
Kochi_8,"POLYGON ((76.24605197376228 9.946449775237067, 76.24605197376228 9.950873811597424, 76.24156039734167 9.950873811597424, 76.24156039734167 9.946449775237067, 76.24605197376228 9.946449775237067))",9.948661793417244,76.24380618555196,,,,3165.922,,453.875,0.0,,,,3619.797,0.0
Kochi_9,"POLYGON ((76.24605197376228 9.950873811597424, 76.24605197376228 9.95529778802768, 76.24156039734167 9.95529778802768, 76.24156039734167 9.950873811597424, 76.24605197376228 9.950873811597424))",9.95308579981255,76.24380618555197,,,,4126.657,,530.495,0.0,,,,4657.152,0.0
