index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Kohima_0,"POLYGON ((94.08799190403663 25.655357771248834, 94.08799190403663 25.65940647525659, 94.08350032761604 25.65940647525659, 94.08350032761604 25.655357771248834, 94.08799190403663 25.655357771248834))",25.65738212325271,94.08574611582632,,,,648.328,,6.645,22.111,,,,654.973,0.0
Kohima_1,"POLYGON ((94.08799190403663 25.65940647525659, 94.08799190403663 25.663455041830613, 94.08350032761604 25.663455041830613, 94.08350032761604 25.65940647525659, 94.08799190403663 25.65940647525659))",25.661430758543606,94.08574611582632,,,,648.806,,5.673,18.891,,,,654.479,0.0
Kohima_2,"POLYGON ((94.08799190403663 25.663455041830613, 94.08799190403663 25.667503470955356, 94.08350032761604 25.667503470955356, 94.08350032761604 25.663455041830613, 94.08799190403663 25.663455041830613))",25.66547925639298,94.08574611582632,,,,530.393,,0.044,0.365,,,,530.437,0.0
Kohima_3,"POLYGON ((94.09248348045723 25.651308929822893, 94.09248348045723 25.655357771248834, 94.08799190403663 25.655357771248834, 94.08799190403663 25.651308929822893, 94.09248348045723 25.651308929822893))",25.653333350535863,94.09023769224692,,,,1172.494,,0.0,0.0,,,,1172.494,0.0
Kohima_4,"POLYGON ((94.09248348045723 25.655357771248834, 94.09248348045723 25.65940647525659, 94.08799190403663 25.65940647525659, 94.08799190403663 25.655357771248834, 94.09248348045723 25.655357771248834))",25.657382123252706,94.09023769224692,,,,1276.445,,35.3,118.906,,,,1311.745,0.0
Kohima_5,"POLYGON ((94.09248348045723 25.65940647525659, 94.09248348045723 25.663455041830613, 94.08799190403663 25.663455041830613, 94.08799190403663 25.65940647525659, 94.09248348045723 25.65940647525659))",25.6614307585436,94.09023769224693,,,,1047.049,,39.818,134.123,,,,1086.867,0.0
Kohima_6,"POLYGON ((94.09248348045723 25.663455041830613, 94.09248348045723 25.667503470955356, 94.08799190403663 25.667503470955356, 94.08799190403663 25.663455041830613, 94.09248348045723 25.663455041830613))",25.665479256392985,94.09023769224693,,,,881.164,,14.677,51.44,,,,895.841,0.0
Kohima_7,"POLYGON ((94.09248348045723 25.667503470955356, 94.09248348045723 25.67155176261527, 94.08799190403663 25.67155176261527, 94.08799190403663 25.667503470955356, 94.09248348045723 25.667503470955356))",25.669527616785313,94.09023769224693,,,,615.944,,0.932,3.251,,,,616.876,0.0
Kohima_8,"POLYGON ((94.09248348045723 25.68774355429587, 94.09248348045723 25.69179115839859, 94.08799190403663 25.69179115839859, 94.08799190403663 25.68774355429587, 94.09248348045723 25.68774355429587))",25.689767356347232,94.09023769224692,,,,406.627,,1.555,5.795,,,,408.182,0.0
Kohima_9,"POLYGON ((94.09248348045723 25.69179115839859, 94.09248348045723 25.695838624943274, 94.08799190403663 25.695838624943274, 94.08799190403663 25.69179115839859, 94.09248348045723 25.69179115839859))",25.693814891670932,94.09023769224693,,,,471.401,,0.586,2.244,,,,471.987,0.0
Kohima_10,"POLYGON ((94.09248348045723 25.69988595391441, 94.09248348045723 25.703933145296478, 94.08799190403663 25.703933145296478, 94.08799190403663 25.69988595391441, 94.09248348045723 25.69988595391441))",25.701909549605446,94.09023769224692,,,,685.081,,2.277,9.023,,,,687.358,0.0
Kohima_11,"POLYGON ((94.09248348045723 25.703933145296478, 94.09248348045723 25.707980199073955, 94.08799190403663 25.707980199073955, 94.08799190403663 25.703933145296478, 94.09248348045723 25.703933145296478))",25.705956672185216,94.09023769224693,,,,605.505,,1.483,5.86,,,,606.988,0.0
