index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Kolhapur_0,"POLYGON ((74.18669361978068 16.657866549949233, 74.18669361978068 16.662169582506294, 74.18220204336008 16.662169582506294, 74.18220204336008 16.657866549949233, 74.18669361978068 16.657866549949233))",16.660018066227764,74.1844478315704,,,,415.289,,1.013,3.503,,,,416.302,0.0
Kolhapur_1,"POLYGON ((74.18669361978068 16.662169582506294, 74.18669361978068 16.666472518343404, 74.18220204336008 16.666472518343404, 74.18220204336008 16.662169582506294, 74.18669361978068 16.662169582506294))",16.66432105042485,74.18444783157038,,,,497.148,,0.52,1.826,,,,497.668,0.0
Kolhapur_2,"POLYGON ((74.18669361978068 16.666472518343404, 74.18669361978068 16.67077535743847, 74.18220204336008 16.67077535743847, 74.18220204336008 16.666472518343404, 74.18669361978068 16.666472518343404))",16.66862393789094,74.1844478315704,,,,584.081,,0.0,0.0,,,,584.081,0.0
Kolhapur_3,"POLYGON ((74.18669361978068 16.67077535743847, 74.18669361978068 16.67507809976939, 74.18220204336008 16.67507809976939, 74.18220204336008 16.67077535743847, 74.18669361978068 16.67077535743847))",16.67292672860393,74.1844478315704,,,,650.934,,3.006,10.262,,,,653.94,0.0
Kolhapur_4,"POLYGON ((74.18669361978068 16.67507809976939, 74.18669361978068 16.679380745314084, 74.18220204336008 16.679380745314084, 74.18220204336008 16.67507809976939, 74.18669361978068 16.67507809976939))",16.677229422541735,74.18444783157038,,,,744.359,,0.449,1.462,,,,744.808,0.0
Kolhapur_5,"POLYGON ((74.18669361978068 16.679380745314084, 74.18669361978068 16.683683294050468, 74.18220204336008 16.683683294050468, 74.18220204336008 16.679380745314084, 74.18669361978068 16.679380745314084))",16.68153201968228,74.1844478315704,,,,744.359,,19.38,66.147,,,,763.739,0.0
Kolhapur_6,"POLYGON ((74.18669361978068 16.6965903591889, 74.18669361978068 16.70089252047121, 74.18220204336008 16.70089252047121, 74.18220204336008 16.6965903591889, 74.18669361978068 16.6965903591889))",16.698741439830055,74.18444783157038,,,,878.492,,142.702,491.467,,,,1021.194,0.0
Kolhapur_7,"POLYGON ((74.18669361978068 16.70089252047121, 74.18669361978068 16.705194584834818, 74.18220204336008 16.705194584834818, 74.18220204336008 16.70089252047121, 74.18669361978068 16.70089252047121))",16.703043552653014,74.18444783157038,,,,776.526,,89.18,306.541,,,,865.706,0.0
Kolhapur_8,"POLYGON ((74.19118519620127 16.657866549949233, 74.19118519620127 16.662169582506294, 74.18669361978068 16.662169582506294, 74.18669361978068 16.657866549949233, 74.19118519620127 16.657866549949233))",16.660018066227764,74.18893940799099,,,,1133.981,,6.988,24.02,,,,1140.969,0.0
Kolhapur_9,"POLYGON ((74.19118519620127 16.662169582506294, 74.19118519620127 16.666472518343404, 74.18669361978068 16.666472518343404, 74.18669361978068 16.662169582506294, 74.19118519620127 16.662169582506294))",16.66432105042485,74.18893940799097,,,,1671.222,,17.55,60.013,,,,1688.772,0.0
