index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Kolkata_0,"POLYGON ((88.24663444286597 22.54161895919262, 88.24663444286597 22.545767322730793, 88.24214286644538 22.545767322730793, 88.24214286644538 22.54161895919262, 88.24663444286597 22.54161895919262))",22.543693140961707,88.24438865465567,,,,2323.772,,7.85,29.095,0.643,0.0,0.0,2332.265,0.0
Kolkata_1,"POLYGON ((88.24663444286597 22.545767322730793, 88.24663444286597 22.549915561581535, 88.24214286644538 22.549915561581535, 88.24214286644538 22.545767322730793, 88.24663444286597 22.545767322730793))",22.547841442156162,88.24438865465567,,,,3332.24,,28.325,104.949,7.185,0.0,0.0,3367.75,0.0
Kolkata_2,"POLYGON ((88.24663444286597 22.549915561581535, 88.24663444286597 22.55406367572685, 88.24214286644538 22.55406367572685, 88.24214286644538 22.549915561581535, 88.24663444286597 22.549915561581535))",22.551989618654197,88.24438865465568,,,,3332.24,,96.116,356.127,7.185,0.0,0.0,3435.541,0.0
Kolkata_3,"POLYGON ((88.24663444286597 22.55406367572685, 88.24663444286597 22.55821166514875, 88.24214286644538 22.55821166514875, 88.24214286644538 22.55406367572685, 88.24663444286597 22.55406367572685))",22.5561376704378,88.24438865465568,,,,3616.769,,86.0,318.645,8.321,0.0,0.0,3711.09,0.0
Kolkata_4,"POLYGON ((88.24663444286597 22.55821166514875, 88.24663444286597 22.562359529829244, 88.24214286644538 22.562359529829244, 88.24214286644538 22.55821166514875, 88.24663444286597 22.55821166514875))",22.560285597489003,88.24438865465568,,,,2559.165,,0.023,0.361,0.0,0.0,0.0,2559.188,0.0
Kolkata_5,"POLYGON ((88.25112601928657 22.54161895919262, 88.25112601928657 22.545767322730793, 88.24663444286597 22.545767322730793, 88.24663444286597 22.54161895919262, 88.25112601928657 22.54161895919262))",22.543693140961707,88.24888023107626,,,,3613.704,,47.095,174.457,20.75,0.073,0.0,3681.549,0.073
Kolkata_6,"POLYGON ((88.25112601928657 22.545767322730793, 88.25112601928657 22.549915561581535, 88.24663444286597 22.549915561581535, 88.24663444286597 22.545767322730793, 88.25112601928657 22.545767322730793))",22.547841442156162,88.24888023107627,,,,5139.531,,103.537,383.6,32.433,0.089,0.0,5275.501,0.089
Kolkata_7,"POLYGON ((88.25112601928657 22.549915561581535, 88.25112601928657 22.55406367572685, 88.24663444286597 22.55406367572685, 88.24663444286597 22.549915561581535, 88.25112601928657 22.549915561581535))",22.551989618654197,88.24888023107627,,,,5139.531,,247.188,915.845,32.433,0.089,0.0,5419.152,0.089
Kolkata_8,"POLYGON ((88.25112601928657 22.55406367572685, 88.25112601928657 22.55821166514875, 88.24663444286597 22.55821166514875, 88.24663444286597 22.55406367572685, 88.25112601928657 22.55406367572685))",22.556137670437796,88.24888023107627,,,,5567.948,,361.839,1340.633,33.072,0.107,0.0,5962.859,0.107
Kolkata_9,"POLYGON ((88.25112601928657 22.55821166514875, 88.25112601928657 22.562359529829244, 88.24663444286597 22.562359529829244, 88.24663444286597 22.55821166514875, 88.25112601928657 22.55821166514875))",22.560285597489,88.24888023107627,,,,3849.164,,4.837,17.918,3.263,0.0,0.0,3857.264,0.0
