index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Lucknow_0,"POLYGON ((80.83560791803625 26.896398149664545, 80.83560791803625 26.900403783131594, 80.83111634161565 26.900403783131594, 80.83111634161565 26.896398149664545, 80.83560791803625 26.896398149664545))",26.898400966398075,80.83336212982594,,,,364.546,,0.0,0.0,0.0,0.0,0.0,364.546,0.0
Lucknow_1,"POLYGON ((80.83560791803625 26.900403783131594, 80.83560791803625 26.904409274528888, 80.83111634161565 26.904409274528888, 80.83111634161565 26.900403783131594, 80.83560791803625 26.900403783131594))",26.90240652883024,80.83336212982596,,,,288.832,,0.0,0.0,1.269,0.0,0.0,290.101,0.0
Lucknow_2,"POLYGON ((80.84009949445685 26.860341057722547, 80.84009949445685 26.864347969162658, 80.83560791803625 26.864347969162658, 80.83560791803625 26.860341057722547, 80.84009949445685 26.860341057722547))",26.862344513442604,80.83785370624653,,,,680.57,,7.205,25.607,7.364,0.0,0.0,695.139,0.0
Lucknow_3,"POLYGON ((80.84009949445685 26.864347969162658, 80.84009949445685 26.868354738663996, 80.83560791803625 26.868354738663996, 80.83560791803625 26.864347969162658, 80.84009949445685 26.864347969162658))",26.86635135391333,80.83785370624655,,,,574.984,,27.933,99.348,7.364,0.0,0.0,610.281,0.0
Lucknow_4,"POLYGON ((80.84009949445685 26.868354738663996, 80.84009949445685 26.872361366211983, 80.83560791803625 26.872361366211983, 80.83560791803625 26.868354738663996, 80.84009949445685 26.868354738663996))",26.870358052437986,80.83785370624655,,,,562.814,,0.0,0.0,0.0,0.0,0.0,562.814,0.0
Lucknow_5,"POLYGON ((80.84009949445685 26.872361366211983, 80.84009949445685 26.87636785179208, 80.83560791803625 26.87636785179208, 80.83560791803625 26.872361366211983, 80.84009949445685 26.872361366211983))",26.874364609002033,80.83785370624653,,,,822.874,,93.74,335.228,17.446,0.073,0.0,934.06,0.073
Lucknow_6,"POLYGON ((80.84009949445685 26.87636785179208, 80.84009949445685 26.880374195389713, 80.83560791803625 26.880374195389713, 80.83560791803625 26.87636785179208, 80.84009949445685 26.87636785179208))",26.878371023590894,80.83785370624655,,,,1186.045,,117.769,423.946,6.736,0.0,0.0,1310.55,0.0
Lucknow_7,"POLYGON ((80.84009949445685 26.880374195389713, 80.84009949445685 26.884380396990323, 80.83560791803625 26.884380396990323, 80.83560791803625 26.880374195389713, 80.84009949445685 26.880374195389713))",26.88237729619002,80.83785370624655,,,,997.95,,329.759,1187.003,0.0,0.0,0.0,1327.709,0.0
Lucknow_8,"POLYGON ((80.84009949445685 26.89239237414229, 80.84009949445685 26.896398149664545, 80.83560791803625 26.896398149664545, 80.83560791803625 26.89239237414229, 80.84009949445685 26.89239237414229))",26.89439526190342,80.83785370624653,,,,451.561,,2.156,7.854,0.0,0.0,0.0,453.717,0.0
Lucknow_9,"POLYGON ((80.84009949445685 26.896398149664545, 80.84009949445685 26.900403783131594, 80.83560791803625 26.900403783131594, 80.83560791803625 26.896398149664545, 80.84009949445685 26.896398149664545))",26.89840096639807,80.83785370624653,,,,365.347,,0.0,0.0,0.781,0.0,0.0,366.128,0.0
