index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Ludhiana_0,"POLYGON ((75.76896275570867 30.880385363843256, 75.76896275570867 30.884240139808345, 75.76447117928808 30.884240139808345, 75.76447117928808 30.880385363843256, 75.76896275570867 30.880385363843256))",30.8823127518258,75.76671696749835,,,,828.787,,10.628,37.745,,,,839.415,0.0
Ludhiana_1,"POLYGON ((75.76896275570867 30.884240139808345, 75.76896275570867 30.888094760662558, 75.76447117928808 30.888094760662558, 75.76447117928808 30.884240139808345, 75.76896275570867 30.884240139808345))",30.88616745023545,75.76671696749838,,,,861.361,,14.449,51.051,,,,875.81,0.0
Ludhiana_2,"POLYGON ((75.76896275570867 30.888094760662558, 75.76896275570867 30.891949226394697, 75.76447117928808 30.891949226394697, 75.76447117928808 30.888094760662558, 75.76896275570867 30.888094760662558))",30.89002199352863,75.76671696749837,,,,1020.257,,10.613,37.506,,,,1030.87,0.0
Ludhiana_3,"POLYGON ((75.76896275570867 30.891949226394697, 75.76896275570867 30.895803536993554, 75.76447117928808 30.895803536993554, 75.76447117928808 30.891949226394697, 75.76896275570867 30.891949226394697))",30.893876381694128,75.76671696749838,,,,1283.844,,7.414,26.059,,,,1291.258,0.0
Ludhiana_4,"POLYGON ((75.76896275570867 30.895803536993554, 75.76896275570867 30.89965769244794, 75.76447117928808 30.89965769244794, 75.76447117928808 30.895803536993554, 75.76896275570867 30.895803536993554))",30.897730614720746,75.76671696749838,,,,1492.254,,3.758,13.206,,,,1496.012,0.0
Ludhiana_5,"POLYGON ((75.76896275570867 30.89965769244794, 75.76896275570867 30.903511692746655, 75.76447117928808 30.903511692746655, 75.76447117928808 30.89965769244794, 75.76896275570867 30.89965769244794))",30.901584692597297,75.76671696749837,,,,1492.254,,3.408,12.001,,,,1495.662,0.0
Ludhiana_6,"POLYGON ((75.76896275570867 30.903511692746655, 75.76896275570867 30.907365537878512, 75.76447117928808 30.907365537878512, 75.76447117928808 30.903511692746655, 75.76896275570867 30.903511692746655))",30.905438615312583,75.76671696749837,,,,1718.225,,21.624,76.368,,,,1739.849,0.0
Ludhiana_7,"POLYGON ((75.76896275570867 30.907365537878512, 75.76896275570867 30.911219227832326, 75.76447117928808 30.911219227832326, 75.76447117928808 30.907365537878512, 75.76896275570867 30.907365537878512))",30.90929238285542,75.76671696749835,,,,2123.389,,28.114,99.334,,,,2151.503,0.0
Ludhiana_8,"POLYGON ((75.77345433212928 30.880385363843256, 75.77345433212928 30.884240139808345, 75.76896275570867 30.884240139808345, 75.76896275570867 30.880385363843256, 75.77345433212928 30.880385363843256))",30.8823127518258,75.77120854391899,,,,1346.833,,72.014,255.699,,,,1418.847,0.0
Ludhiana_9,"POLYGON ((75.77345433212928 30.884240139808345, 75.77345433212928 30.888094760662558, 75.76896275570867 30.888094760662558, 75.76896275570867 30.884240139808345, 75.77345433212928 30.884240139808345))",30.886167450235448,75.77120854391897,,,,1341.67,,50.766,179.235,,,,1392.436,0.0
Ludhiana_10,"POLYGON ((75.77345433212928 30.888094760662558, 75.77345433212928 30.891949226394697, 75.76896275570867 30.891949226394697, 75.76896275570867 30.888094760662558, 75.77345433212928 30.888094760662558))",30.890021993528624,75.77120854391896,,,,1424.237,,45.186,159.572,,,,1469.423,0.0
Ludhiana_11,"POLYGON ((75.77345433212928 30.891949226394697, 75.77345433212928 30.895803536993554, 75.76896275570867 30.895803536993554, 75.76896275570867 30.891949226394697, 75.77345433212928 30.891949226394697))",30.89387638169413,75.77120854391897,,,,1313.864,,19.61,68.961,,,,1333.474,0.0
Ludhiana_12,"POLYGON ((75.77345433212928 30.895803536993554, 75.77345433212928 30.89965769244794, 75.76896275570867 30.89965769244794, 75.76896275570867 30.895803536993554, 75.77345433212928 30.895803536993554))",30.897730614720743,75.77120854391896,,,,1274.886,,3.467,12.197,,,,1278.353,0.0
Ludhiana_13,"POLYGON ((75.77345433212928 30.89965769244794, 75.77345433212928 30.903511692746655, 75.76896275570867 30.903511692746655, 75.76896275570867 30.89965769244794, 75.77345433212928 30.89965769244794))",30.901584692597297,75.77120854391897,,,,1274.886,,8.127,28.602,,,,1283.013,0.0
Ludhiana_14,"POLYGON ((75.77345433212928 30.903511692746655, 75.77345433212928 30.907365537878512, 75.76896275570867 30.907365537878512, 75.76896275570867 30.903511692746655, 75.77345433212928 30.903511692746655))",30.905438615312576,75.77120854391897,,,,1880.286,,21.123,74.63,,,,1901.409,0.0
Ludhiana_15,"POLYGON ((75.77794590854987 30.880385363843256, 75.77794590854987 30.884240139808345, 75.77345433212928 30.884240139808345, 75.77345433212928 30.880385363843256, 75.77794590854987 30.880385363843256))",30.8823127518258,75.77570012033956,,,,1894.759,,67.293,234.705,,,,1962.052,0.0
Ludhiana_16,"POLYGON ((75.77794590854987 30.884240139808345, 75.77794590854987 30.888094760662558, 75.77345433212928 30.888094760662558, 75.77345433212928 30.884240139808345, 75.77794590854987 30.884240139808345))",30.88616745023545,75.77570012033956,,,,1735.94,,60.267,209.479,,,,1796.207,0.0
Ludhiana_17,"POLYGON ((75.77794590854987 30.888094760662558, 75.77794590854987 30.891949226394697, 75.77345433212928 30.891949226394697, 75.77345433212928 30.888094760662558, 75.77794590854987 30.888094760662558))",30.89002199352863,75.77570012033956,,,,1721.887,,61.927,215.242,,,,1783.814,0.0
Ludhiana_18,"POLYGON ((75.77794590854987 30.891949226394697, 75.77794590854987 30.895803536993554, 75.77345433212928 30.895803536993554, 75.77345433212928 30.891949226394697, 75.77794590854987 30.891949226394697))",30.893876381694128,75.77570012033958,,,,1674.453,,26.302,91.382,,,,1700.755,0.0
Ludhiana_19,"POLYGON ((75.77794590854987 30.895803536993554, 75.77794590854987 30.89965769244794, 75.77345433212928 30.89965769244794, 75.77345433212928 30.895803536993554, 75.77794590854987 30.895803536993554))",30.897730614720746,75.77570012033956,,,,1899.109,,37.667,130.918,,,,1936.776,0.0
