index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Madurai_0,"POLYGON ((78.05467515792228 9.876666811117357, 78.05467515792228 9.88109178930148, 78.05018358150168 9.88109178930148, 78.05018358150168 9.876666811117357, 78.05467515792228 9.876666811117357))",9.878879300209418,78.05242936971197,,,,1784.085,,317.175,1116.972,,,,2101.26,0.0
Madurai_1,"POLYGON ((78.05467515792228 9.88109178930148, 78.05467515792228 9.885516707958914, 78.05018358150168 9.885516707958914, 78.05018358150168 9.88109178930148, 78.05467515792228 9.88109178930148))",9.883304248630198,78.05242936971199,,,,2163.04,,432.273,1514.201,,,,2595.313,0.0
Madurai_2,"POLYGON ((78.05467515792228 9.885516707958914, 78.05467515792228 9.889941567064062, 78.05018358150168 9.889941567064062, 78.05018358150168 9.885516707958914, 78.05467515792228 9.885516707958914))",9.887729137511487,78.05242936971199,,,,1807.113,,426.3,1493.291,,,,2233.413,0.0
Madurai_3,"POLYGON ((78.05467515792228 9.889941567064062, 78.05467515792228 9.894366366591335, 78.05018358150168 9.894366366591335, 78.05018358150168 9.889941567064062, 78.05467515792228 9.889941567064062))",9.8921539668277,78.05242936971199,,,,1454.722,,434.038,1507.493,,,,1888.76,0.0
Madurai_4,"POLYGON ((78.05916673434288 9.872241773432126, 78.05916673434288 9.876666811117357, 78.05467515792228 9.876666811117357, 78.05467515792228 9.872241773432126, 78.05916673434288 9.872241773432126))",9.874454292274741,78.05692094613256,,,,1313.671,,470.731,1647.779,,,,1784.402,0.0
Madurai_5,"POLYGON ((78.05916673434288 9.876666811117357, 78.05916673434288 9.88109178930148, 78.05467515792228 9.88109178930148, 78.05467515792228 9.876666811117357, 78.05916673434288 9.876666811117357))",9.87887930020942,78.05692094613258,,,,2186.86,,565.117,1978.155,,,,2751.977,0.0
Madurai_6,"POLYGON ((78.05916673434288 9.88109178930148, 78.05916673434288 9.885516707958914, 78.05467515792228 9.885516707958914, 78.05467515792228 9.88109178930148, 78.05916673434288 9.88109178930148))",9.883304248630198,78.05692094613256,,,,2388.402,,452.316,1576.749,,,,2840.718,0.0
Madurai_7,"POLYGON ((78.05916673434288 9.885516707958914, 78.05916673434288 9.889941567064062, 78.05467515792228 9.889941567064062, 78.05467515792228 9.885516707958914, 78.05916673434288 9.885516707958914))",9.887729137511489,78.05692094613258,,,,1770.892,,336.026,1171.388,,,,2106.918,0.0
Madurai_8,"POLYGON ((78.05916673434288 9.889941567064062, 78.05916673434288 9.894366366591335, 78.05467515792228 9.894366366591335, 78.05467515792228 9.889941567064062, 78.05916673434288 9.889941567064062))",9.8921539668277,78.05692094613258,,,,1432.316,,442.179,1524.808,,,,1874.495,0.0
Madurai_9,"POLYGON ((78.06365831076347 9.872241773432126, 78.06365831076347 9.876666811117357, 78.05916673434288 9.876666811117357, 78.05916673434288 9.872241773432126, 78.06365831076347 9.872241773432126))",9.874454292274741,78.06141252255318,,,,1481.462,,370.175,1295.747,,,,1851.637,0.0
Madurai_10,"POLYGON ((78.06365831076347 9.876666811117357, 78.06365831076347 9.88109178930148, 78.05916673434288 9.88109178930148, 78.05916673434288 9.876666811117357, 78.06365831076347 9.876666811117357))",9.878879300209418,78.06141252255317,,,,2510.118,,556.557,1948.21,,,,3066.675,0.0
Madurai_11,"POLYGON ((78.06365831076347 9.88109178930148, 78.06365831076347 9.885516707958914, 78.05916673434288 9.885516707958914, 78.05916673434288 9.88109178930148, 78.06365831076347 9.88109178930148))",9.883304248630198,78.06141252255318,,,,2207.468,,594.638,2072.888,,,,2802.106,0.0
Madurai_12,"POLYGON ((78.06365831076347 9.885516707958914, 78.06365831076347 9.889941567064062, 78.05916673434288 9.889941567064062, 78.05916673434288 9.885516707958914, 78.06365831076347 9.885516707958914))",9.887729137511487,78.06141252255317,,,,1372.772,,252.447,880.04,,,,1625.219,0.0
Madurai_13,"POLYGON ((78.06365831076347 9.889941567064062, 78.06365831076347 9.894366366591335, 78.05916673434288 9.894366366591335, 78.05916673434288 9.889941567064062, 78.06365831076347 9.889941567064062))",9.8921539668277,78.06141252255318,,,,1170.412,,110.379,380.661,,,,1280.791,0.0
Madurai_14,"POLYGON ((78.06365831076347 9.947459304532455, 78.06365831076347 9.95188332721957, 78.05916673434288 9.95188332721957, 78.05916673434288 9.947459304532455, 78.06365831076347 9.947459304532455))",9.949671315876012,78.06141252255317,,,,836.208,,0.44,1.559,,,,836.648,0.0
Madurai_15,"POLYGON ((78.06365831076347 9.95188332721957, 78.06365831076347 9.95630728997075, 78.05916673434288 9.95630728997075, 78.05916673434288 9.95188332721957, 78.06365831076347 9.95188332721957))",9.95409530859516,78.06141252255318,,,,1065.708,,18.86,66.957,,,,1084.568,0.0
Madurai_16,"POLYGON ((78.06814988718408 9.863391519660741, 78.06814988718408 9.867816676271389, 78.06365831076347 9.867816676271389, 78.06365831076347 9.863391519660741, 78.06814988718408 9.863391519660741))",9.865604097966065,78.06590409897379,,,,700.462,,138.82,494.202,,,,839.282,0.0
Madurai_17,"POLYGON ((78.06814988718408 9.867816676271389, 78.06814988718408 9.872241773432126, 78.06365831076347 9.872241773432126, 78.06365831076347 9.867816676271389, 78.06814988718408 9.867816676271389))",9.870029224851757,78.06590409897379,,,,820.662,,6.96,24.706,,,,827.622,0.0
Madurai_18,"POLYGON ((78.06814988718408 9.872241773432126, 78.06814988718408 9.876666811117357, 78.06365831076347 9.876666811117357, 78.06365831076347 9.872241773432126, 78.06814988718408 9.872241773432126))",9.874454292274741,78.06590409897379,,,,1645.719,,305.875,1077.882,,,,1951.594,0.0
Madurai_19,"POLYGON ((78.06814988718408 9.876666811117357, 78.06814988718408 9.88109178930148, 78.06365831076347 9.88109178930148, 78.06365831076347 9.876666811117357, 78.06814988718408 9.876666811117357))",9.87887930020942,78.06590409897379,,,,2669.746,,237.921,838.398,,,,2907.667,0.0
Madurai_20,"POLYGON ((78.06814988718408 9.88109178930148, 78.06814988718408 9.885516707958914, 78.06365831076347 9.885516707958914, 78.06365831076347 9.88109178930148, 78.06814988718408 9.88109178930148))",9.883304248630198,78.06590409897377,,,,1994.245,,153.968,539.986,,,,2148.213,0.0
Madurai_21,"POLYGON ((78.06814988718408 9.885516707958914, 78.06814988718408 9.889941567064062, 78.06365831076347 9.889941567064062, 78.06365831076347 9.885516707958914, 78.06814988718408 9.885516707958914))",9.887729137511489,78.06590409897377,,,,956.216,,1.147,4.034,,,,957.363,0.0
Madurai_22,"POLYGON ((78.06814988718408 9.889941567064062, 78.06814988718408 9.894366366591335, 78.06365831076347 9.894366366591335, 78.06365831076347 9.889941567064062, 78.06814988718408 9.889941567064062))",9.8921539668277,78.06590409897377,,,,750.259,,0.0,0.0,,,,750.259,0.0
Madurai_23,"POLYGON ((78.06814988718408 9.898791106515146, 78.06814988718408 9.903215786809913, 78.06365831076347 9.903215786809913, 78.06365831076347 9.898791106515146, 78.06814988718408 9.898791106515146))",9.90100344666253,78.06590409897377,,,,843.882,,2.617,8.895,,,,846.499,0.0
Madurai_24,"POLYGON ((78.06814988718408 9.903215786809913, 78.06814988718408 9.907640407450048, 78.06365831076347 9.907640407450048, 78.06365831076347 9.903215786809913, 78.06814988718408 9.903215786809913))",9.90542809712998,78.06590409897377,,,,620.73,,0.0,0.0,,,,620.73,0.0
Madurai_25,"POLYGON ((78.06814988718408 9.907640407450048, 78.06814988718408 9.912064968409968, 78.06365831076347 9.912064968409968, 78.06365831076347 9.907640407450048, 78.06814988718408 9.907640407450048))",9.90985268793001,78.06590409897377,,,,458.766,,0.0,0.0,,,,458.766,0.0
Madurai_26,"POLYGON ((78.06814988718408 9.947459304532455, 78.06814988718408 9.95188332721957, 78.06365831076347 9.95188332721957, 78.06365831076347 9.947459304532455, 78.06814988718408 9.947459304532455))",9.949671315876012,78.06590409897379,,,,1341.558,,38.101,131.393,,,,1379.659,0.0
Madurai_27,"POLYGON ((78.06814988718408 9.95188332721957, 78.06814988718408 9.95630728997075, 78.06365831076347 9.95630728997075, 78.06365831076347 9.95188332721957, 78.06814988718408 9.95188332721957))",9.954095308595159,78.06590409897379,,,,1699.46,,23.873,83.771,,,,1723.333,0.0
Madurai_28,"POLYGON ((78.07264146360467 9.85896630362578, 78.07264146360467 9.863391519660741, 78.06814988718408 9.863391519660741, 78.06814988718408 9.85896630362578, 78.07264146360467 9.85896630362578))",9.861178911643261,78.07039567539437,,,,503.852,,0.0,0.0,,,,503.852,0.0
Madurai_29,"POLYGON ((78.07264146360467 9.863391519660741, 78.07264146360467 9.867816676271389, 78.06814988718408 9.867816676271389, 78.06814988718408 9.863391519660741, 78.07264146360467 9.863391519660741))",9.865604097966063,78.07039567539437,,,,575.868,,0.0,0.0,,,,575.868,0.0
Madurai_30,"POLYGON ((78.07264146360467 9.867816676271389, 78.07264146360467 9.872241773432126, 78.06814988718408 9.872241773432126, 78.06814988718408 9.867816676271389, 78.07264146360467 9.867816676271389))",9.870029224851757,78.07039567539437,,,,1044.186,,38.42,136.778,,,,1082.606,0.0
Madurai_31,"POLYGON ((78.07264146360467 9.872241773432126, 78.07264146360467 9.876666811117357, 78.06814988718408 9.876666811117357, 78.06814988718408 9.872241773432126, 78.07264146360467 9.872241773432126))",9.874454292274741,78.07039567539437,,,,1631.699,,19.594,69.03,,,,1651.293,0.0
Madurai_32,"POLYGON ((78.07264146360467 9.876666811117357, 78.07264146360467 9.88109178930148, 78.06814988718408 9.88109178930148, 78.06814988718408 9.876666811117357, 78.07264146360467 9.876666811117357))",9.878879300209418,78.07039567539437,,,,2571.799,,356.324,1255.603,,,,2928.123,0.0
Madurai_33,"POLYGON ((78.07264146360467 9.88109178930148, 78.07264146360467 9.885516707958914, 78.06814988718408 9.885516707958914, 78.06814988718408 9.88109178930148, 78.07264146360467 9.88109178930148))",9.883304248630198,78.07039567539435,,,,2454.65,,150.401,527.487,,,,2605.051,0.0
Madurai_34,"POLYGON ((78.07264146360467 9.885516707958914, 78.07264146360467 9.889941567064062, 78.06814988718408 9.889941567064062, 78.06814988718408 9.885516707958914, 78.07264146360467 9.885516707958914))",9.887729137511487,78.07039567539437,,,,1353.721,,0.0,0.0,,,,1353.721,0.0
Madurai_35,"POLYGON ((78.07264146360467 9.889941567064062, 78.07264146360467 9.894366366591335, 78.06814988718408 9.894366366591335, 78.06814988718408 9.889941567064062, 78.07264146360467 9.889941567064062))",9.8921539668277,78.07039567539437,,,,817.959,,0.0,0.0,,,,817.959,0.0
Madurai_36,"POLYGON ((78.07264146360467 9.894366366591335, 78.07264146360467 9.898791106515146, 78.06814988718408 9.898791106515146, 78.06814988718408 9.894366366591335, 78.07264146360467 9.894366366591335))",9.896578736553243,78.07039567539437,,,,879.018,,30.099,104.365,,,,909.117,0.0
Madurai_37,"POLYGON ((78.07264146360467 9.898791106515146, 78.07264146360467 9.903215786809913, 78.06814988718408 9.903215786809913, 78.06814988718408 9.898791106515146, 78.07264146360467 9.898791106515146))",9.90100344666253,78.07039567539438,,,,1110.135,,133.69,455.219,,,,1243.825,0.0
Madurai_38,"POLYGON ((78.07264146360467 9.903215786809913, 78.07264146360467 9.907640407450048, 78.06814988718408 9.907640407450048, 78.06814988718408 9.903215786809913, 78.07264146360467 9.903215786809913))",9.905428097129981,78.07039567539437,,,,878.732,,36.699,124.973,,,,915.431,0.0
Madurai_39,"POLYGON ((78.07264146360467 9.907640407450048, 78.07264146360467 9.912064968409968, 78.06814988718408 9.912064968409968, 78.06814988718408 9.907640407450048, 78.07264146360467 9.907640407450048))",9.909852687930007,78.07039567539437,,,,499.289,,0.0,0.0,,,,499.289,0.0
Madurai_40,"POLYGON ((78.07264146360467 9.912064968409968, 78.07264146360467 9.916489469664102, 78.06814988718408 9.916489469664102, 78.06814988718408 9.912064968409968, 78.07264146360467 9.912064968409968))",9.914277219037034,78.07039567539437,,,,587.588,,1.159,3.924,,,,588.747,0.0
Madurai_41,"POLYGON ((78.07264146360467 9.920913911186858, 78.07264146360467 9.925338292952668, 78.06814988718408 9.925338292952668, 78.06814988718408 9.920913911186858, 78.07264146360467 9.920913911186858))",9.923126102069762,78.07039567539437,,,,609.787,,0.291,0.87,,,,610.078,0.0
Madurai_42,"POLYGON ((78.07264146360467 9.925338292952668, 78.07264146360467 9.929762614935958, 78.06814988718408 9.929762614935958, 78.06814988718408 9.925338292952668, 78.07264146360467 9.925338292952668))",9.927550453944313,78.07039567539437,,,,617.048,,0.0,0.0,,,,617.048,0.0
Madurai_43,"POLYGON ((78.07264146360467 9.929762614935958, 78.07264146360467 9.934186877111152, 78.06814988718408 9.934186877111152, 78.06814988718408 9.929762614935958, 78.07264146360467 9.929762614935958))",9.931974746023558,78.07039567539437,,,,1074.361,,0.0,0.0,,,,1074.361,0.0
Madurai_44,"POLYGON ((78.07264146360467 9.934186877111152, 78.07264146360467 9.938611079452677, 78.06814988718408 9.938611079452677, 78.06814988718408 9.934186877111152, 78.07264146360467 9.934186877111152))",9.936398978281915,78.07039567539437,,,,1706.107,,64.896,219.046,,,,1771.003,0.0
Madurai_45,"POLYGON ((78.07264146360467 9.938611079452677, 78.07264146360467 9.94303522193497, 78.06814988718408 9.94303522193497, 78.06814988718408 9.938611079452677, 78.07264146360467 9.938611079452677))",9.940823150693822,78.07039567539437,,,,1709.115,,113.31,382.587,,,,1822.425,0.0
Madurai_46,"POLYGON ((78.07264146360467 9.94303522193497, 78.07264146360467 9.947459304532455, 78.06814988718408 9.947459304532455, 78.06814988718408 9.94303522193497, 78.07264146360467 9.94303522193497))",9.945247263233712,78.07039567539435,,,,1726.183,,56.912,196.24,,,,1783.095,0.0
Madurai_47,"POLYGON ((78.07264146360467 9.947459304532455, 78.07264146360467 9.95188332721957, 78.06814988718408 9.95188332721957, 78.06814988718408 9.947459304532455, 78.07264146360467 9.947459304532455))",9.949671315876012,78.07039567539437,,,,1644.5,,27.672,95.43,,,,1672.172,0.0
Madurai_48,"POLYGON ((78.07264146360467 9.95188332721957, 78.07264146360467 9.95630728997075, 78.06814988718408 9.95630728997075, 78.06814988718408 9.95188332721957, 78.07264146360467 9.95188332721957))",9.95409530859516,78.07039567539437,,,,2662.563,,0.911,3.18,,,,2663.474,0.0
Madurai_49,"POLYGON ((78.07264146360467 9.95630728997075, 78.07264146360467 9.960731192760436, 78.06814988718408 9.960731192760436, 78.06814988718408 9.95630728997075, 78.07264146360467 9.95630728997075))",9.958519241365593,78.07039567539437,,,,3493.55,,56.66,198.892,,,,3550.21,0.0
Madurai_50,"POLYGON ((78.07264146360467 9.960731192760436, 78.07264146360467 9.965155035563063, 78.06814988718408 9.965155035563063, 78.06814988718408 9.960731192760436, 78.07264146360467 9.960731192760436))",9.96294311416175,78.07039567539437,,,,1904.081,,11.167,40.9,,,,1915.248,0.0
Madurai_51,"POLYGON ((78.07264146360467 9.965155035563063, 78.07264146360467 9.969578818353073, 78.06814988718408 9.969578818353073, 78.06814988718408 9.965155035563063, 78.07264146360467 9.965155035563063))",9.967366926958068,78.07039567539435,,,,687.122,,0.0,0.0,,,,687.122,0.0
Madurai_52,"POLYGON ((78.07264146360467 9.969578818353073, 78.07264146360467 9.974002541104912, 78.06814988718408 9.974002541104912, 78.06814988718408 9.969578818353073, 78.07264146360467 9.969578818353073))",9.971790679728992,78.07039567539437,,,,508.848,,1.417,5.35,,,,510.265,0.0
Madurai_53,"POLYGON ((78.07713304002527 9.85896630362578, 78.07713304002527 9.863391519660741, 78.07264146360467 9.863391519660741, 78.07264146360467 9.85896630362578, 78.07713304002527 9.85896630362578))",9.861178911643261,78.07488725181499,,,,399.585,,0.0,0.0,,,,399.585,0.0
Madurai_54,"POLYGON ((78.07713304002527 9.863391519660741, 78.07713304002527 9.867816676271389, 78.07264146360467 9.867816676271389, 78.07264146360467 9.863391519660741, 78.07713304002527 9.863391519660741))",9.865604097966065,78.07488725181497,,,,502.254,,0.879,3.149,,,,503.133,0.0
Madurai_55,"POLYGON ((78.07713304002527 9.867816676271389, 78.07713304002527 9.872241773432126, 78.07264146360467 9.872241773432126, 78.07264146360467 9.867816676271389, 78.07713304002527 9.867816676271389))",9.870029224851757,78.07488725181496,,,,1014.788,,18.236,65.04,,,,1033.024,0.0
Madurai_56,"POLYGON ((78.07713304002527 9.872241773432126, 78.07713304002527 9.876666811117357, 78.07264146360467 9.876666811117357, 78.07264146360467 9.872241773432126, 78.07713304002527 9.872241773432126))",9.874454292274741,78.07488725181497,,,,1644.126,,58.529,206.1,,,,1702.655,0.0
Madurai_57,"POLYGON ((78.07713304002527 9.876666811117357, 78.07713304002527 9.88109178930148, 78.07264146360467 9.88109178930148, 78.07264146360467 9.876666811117357, 78.07713304002527 9.876666811117357))",9.87887930020942,78.07488725181497,,,,2347.748,,404.178,1423.164,,,,2751.926,0.0
Madurai_58,"POLYGON ((78.07713304002527 9.88109178930148, 78.07713304002527 9.885516707958914, 78.07264146360467 9.885516707958914, 78.07264146360467 9.88109178930148, 78.07713304002527 9.88109178930148))",9.883304248630198,78.07488725181496,,,,2462.371,,411.584,1430.554,,,,2873.955,0.0
Madurai_59,"POLYGON ((78.07713304002527 9.885516707958914, 78.07713304002527 9.889941567064062, 78.07264146360467 9.889941567064062, 78.07264146360467 9.885516707958914, 78.07713304002527 9.885516707958914))",9.887729137511489,78.07488725181497,,,,2073.658,,88.632,308.063,,,,2162.29,0.0
Madurai_60,"POLYGON ((78.07713304002527 9.889941567064062, 78.07713304002527 9.894366366591335, 78.07264146360467 9.894366366591335, 78.07264146360467 9.889941567064062, 78.07713304002527 9.889941567064062))",9.8921539668277,78.07488725181497,,,,1608.774,,36.201,124.037,,,,1644.975,0.0
Madurai_61,"POLYGON ((78.07713304002527 9.894366366591335, 78.07713304002527 9.898791106515146, 78.07264146360467 9.898791106515146, 78.07264146360467 9.894366366591335, 78.07713304002527 9.894366366591335))",9.896578736553241,78.07488725181497,,,,1260.595,,58.985,201.986,,,,1319.58,0.0
Madurai_62,"POLYGON ((78.07713304002527 9.898791106515146, 78.07713304002527 9.903215786809913, 78.07264146360467 9.903215786809913, 78.07264146360467 9.898791106515146, 78.07713304002527 9.898791106515146))",9.90100344666253,78.07488725181496,,,,1160.361,,103.389,347.359,,,,1263.75,0.0
Madurai_63,"POLYGON ((78.07713304002527 9.903215786809913, 78.07713304002527 9.907640407450048, 78.07264146360467 9.907640407450048, 78.07264146360467 9.903215786809913, 78.07713304002527 9.903215786809913))",9.90542809712998,78.07488725181497,,,,849.765,,7.269,24.434,,,,857.034,0.0
Madurai_64,"POLYGON ((78.07713304002527 9.907640407450048, 78.07713304002527 9.912064968409968, 78.07264146360467 9.912064968409968, 78.07264146360467 9.907640407450048, 78.07713304002527 9.907640407450048))",9.90985268793001,78.07488725181497,,,,693.699,,0.591,1.95,,,,694.29,0.0
Madurai_65,"POLYGON ((78.07713304002527 9.912064968409968, 78.07713304002527 9.916489469664102, 78.07264146360467 9.916489469664102, 78.07264146360467 9.912064968409968, 78.07713304002527 9.912064968409968))",9.914277219037036,78.07488725181496,,,,853.249,,1.646,5.422,,,,854.895,0.0
Madurai_66,"POLYGON ((78.07713304002527 9.916489469664102, 78.07713304002527 9.920913911186858, 78.07264146360467 9.920913911186858, 78.07264146360467 9.916489469664102, 78.07713304002527 9.916489469664102))",9.918701690425479,78.07488725181497,,,,738.182,,0.77,2.547,,,,738.952,0.0
Madurai_67,"POLYGON ((78.07713304002527 9.920913911186858, 78.07713304002527 9.925338292952668, 78.07264146360467 9.925338292952668, 78.07264146360467 9.920913911186858, 78.07713304002527 9.920913911186858))",9.923126102069764,78.07488725181497,,,,670.817,,0.0,0.0,,,,670.817,0.0
Madurai_68,"POLYGON ((78.07713304002527 9.925338292952668, 78.07713304002527 9.929762614935958, 78.07264146360467 9.929762614935958, 78.07264146360467 9.925338292952668, 78.07713304002527 9.925338292952668))",9.927550453944315,78.07488725181497,,,,722.539,,0.0,0.0,,,,722.539,0.0
Madurai_69,"POLYGON ((78.07713304002527 9.929762614935958, 78.07713304002527 9.934186877111152, 78.07264146360467 9.934186877111152, 78.07264146360467 9.929762614935958, 78.07713304002527 9.929762614935958))",9.931974746023556,78.07488725181497,,,,1403.952,,21.203,70.309,,,,1425.155,0.0
Madurai_70,"POLYGON ((78.07713304002527 9.934186877111152, 78.07713304002527 9.938611079452677, 78.07264146360467 9.938611079452677, 78.07264146360467 9.934186877111152, 78.07713304002527 9.934186877111152))",9.936398978281916,78.07488725181497,,,,1947.519,,190.097,634.328,,,,2137.616,0.0
Madurai_71,"POLYGON ((78.07713304002527 9.938611079452677, 78.07713304002527 9.94303522193497, 78.07264146360467 9.94303522193497, 78.07264146360467 9.938611079452677, 78.07713304002527 9.938611079452677))",9.940823150693822,78.07488725181497,,,,1851.49,,175.207,584.632,,,,2026.697,0.0
Madurai_72,"POLYGON ((78.07713304002527 9.94303522193497, 78.07713304002527 9.947459304532455, 78.07264146360467 9.947459304532455, 78.07264146360467 9.94303522193497, 78.07713304002527 9.94303522193497))",9.945247263233712,78.07488725181496,,,,1796.021,,103.835,356.466,,,,1899.856,0.0
Madurai_73,"POLYGON ((78.07713304002527 9.947459304532455, 78.07713304002527 9.95188332721957, 78.07264146360467 9.95188332721957, 78.07264146360467 9.947459304532455, 78.07713304002527 9.947459304532455))",9.949671315876012,78.07488725181496,,,,1267.26,,3.754,12.926,,,,1271.014,0.0
Madurai_74,"POLYGON ((78.07713304002527 9.95188332721957, 78.07713304002527 9.95630728997075, 78.07264146360467 9.95630728997075, 78.07264146360467 9.95188332721957, 78.07713304002527 9.95188332721957))",9.954095308595159,78.07488725181497,,,,2201.712,,2.152,7.561,,,,2203.864,0.0
Madurai_75,"POLYGON ((78.07713304002527 9.95630728997075, 78.07713304002527 9.960731192760436, 78.07264146360467 9.960731192760436, 78.07264146360467 9.95630728997075, 78.07713304002527 9.95630728997075))",9.958519241365595,78.07488725181496,,,,2987.95,,204.384,717.848,,,,3192.334,0.0
