index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Mangalore_0,"POLYGON ((74.78923984638458 13.003812518070122, 74.78923984638458 13.008188869833376, 74.78474826996398 13.008188869833376, 74.78474826996398 13.003812518070122, 74.78923984638458 13.003812518070122))",13.006000693951748,74.78699405817427,,,,253.53,,0.583,0.0,,,,254.113,0.0
Mangalore_1,"POLYGON ((74.78923984638458 13.008188869833376, 74.78923984638458 13.012565144374577, 74.78474826996398 13.012565144374577, 74.78474826996398 13.008188869833376, 74.78923984638458 13.008188869833376))",13.010377007103978,74.78699405817429,,,,287.849,,0.007,0.0,,,,287.856,0.0
Mangalore_2,"POLYGON ((74.78923984638458 13.012565144374577, 74.78923984638458 13.016941341669552, 74.78474826996398 13.016941341669552, 74.78474826996398 13.012565144374577, 74.78923984638458 13.012565144374577))",13.014753243022062,74.78699405817429,,,,352.281,,2.532,0.0,,,,354.813,0.0
Mangalore_3,"POLYGON ((74.78923984638458 13.016941341669552, 74.78923984638458 13.02131746169414, 74.78474826996398 13.02131746169414, 74.78474826996398 13.016941341669552, 74.78923984638458 13.016941341669552))",13.019129401681846,74.78699405817427,,,,374.232,,25.138,0.0,,,,399.37,0.0
Mangalore_4,"POLYGON ((74.78923984638458 13.02131746169414, 74.78923984638458 13.025693504424178, 74.78474826996398 13.025693504424178, 74.78474826996398 13.02131746169414, 74.78923984638458 13.02131746169414))",13.023505483059157,74.78699405817429,,,,388.753,,32.002,0.0,,,,420.755,0.0
Mangalore_5,"POLYGON ((74.78923984638458 13.025693504424178, 74.78923984638458 13.0300694698355, 74.78474826996398 13.0300694698355, 74.78474826996398 13.025693504424178, 74.78923984638458 13.025693504424178))",13.02788148712984,74.78699405817429,,,,370.053,,18.019,261.633,,,,388.072,0.0
Mangalore_6,"POLYGON ((74.78923984638458 13.0300694698355, 74.78923984638458 13.034445357903952, 74.78474826996398 13.034445357903952, 74.78474826996398 13.0300694698355, 74.78923984638458 13.0300694698355))",13.032257413869727,74.78699405817429,,,,265.364,,9.791,142.135,,,,275.155,0.0
Mangalore_7,"POLYGON ((74.79373142280518 12.990682999689742, 74.79373142280518 12.99505958297413, 74.78923984638458 12.99505958297413, 74.78923984638458 12.990682999689742, 74.79373142280518 12.990682999689742))",12.992871291331937,74.79148563459488,,,,302.226,,7.087,0.0,,,,309.313,0.0
Mangalore_8,"POLYGON ((74.79373142280518 12.99505958297413, 74.79373142280518 12.999436089108983, 74.78923984638458 12.999436089108983, 74.78923984638458 12.99505958297413, 74.79373142280518 12.99505958297413))",12.997247836041558,74.79148563459488,,,,325.747,,6.199,0.0,,,,331.946,0.0
Mangalore_9,"POLYGON ((74.79373142280518 12.999436089108983, 74.79373142280518 13.003812518070122, 74.78923984638458 13.003812518070122, 74.78923984638458 12.999436089108983, 74.79373142280518 12.999436089108983))",13.001624303589551,74.79148563459486,,,,399.18,,45.06,0.0,,,,444.24,0.0
Mangalore_10,"POLYGON ((74.79373142280518 13.003812518070122, 74.79373142280518 13.008188869833376, 74.78923984638458 13.008188869833376, 74.78923984638458 13.003812518070122, 74.79373142280518 13.003812518070122))",13.006000693951748,74.79148563459486,,,,467.452,,22.932,0.0,,,,490.384,0.0
Mangalore_11,"POLYGON ((74.79373142280518 13.008188869833376, 74.79373142280518 13.012565144374577, 74.78923984638458 13.012565144374577, 74.78923984638458 13.008188869833376, 74.79373142280518 13.008188869833376))",13.010377007103974,74.79148563459489,,,,672.464,,47.644,0.0,,,,720.108,0.0
Mangalore_12,"POLYGON ((74.79373142280518 13.012565144374577, 74.79373142280518 13.016941341669552, 74.78923984638458 13.016941341669552, 74.78923984638458 13.012565144374577, 74.79373142280518 13.012565144374577))",13.014753243022064,74.79148563459486,,,,785.471,,23.767,0.0,,,,809.238,0.0
Mangalore_13,"POLYGON ((74.79373142280518 13.016941341669552, 74.79373142280518 13.02131746169414, 74.78923984638458 13.02131746169414, 74.78923984638458 13.016941341669552, 74.79373142280518 13.016941341669552))",13.019129401681848,74.79148563459488,,,,688.212,,118.285,0.0,,,,806.497,0.0
Mangalore_14,"POLYGON ((74.79373142280518 13.02131746169414, 74.79373142280518 13.025693504424178, 74.78923984638458 13.025693504424178, 74.78923984638458 13.02131746169414, 74.79373142280518 13.02131746169414))",13.023505483059159,74.79148563459485,,,,588.993,,74.2,0.0,,,,663.193,0.0
Mangalore_15,"POLYGON ((74.79373142280518 13.025693504424178, 74.79373142280518 13.0300694698355, 74.78923984638458 13.0300694698355, 74.78923984638458 13.025693504424178, 74.79373142280518 13.025693504424178))",13.027881487129838,74.79148563459489,,,,388.109,,16.67,241.91,,,,404.779,0.0
Mangalore_16,"POLYGON ((74.79373142280518 13.0300694698355, 74.79373142280518 13.034445357903952, 74.78923984638458 13.034445357903952, 74.78923984638458 13.0300694698355, 74.79373142280518 13.0300694698355))",13.032257413869726,74.79148563459488,,,,305.542,,2.784,40.575,,,,308.326,0.0
Mangalore_17,"POLYGON ((74.79822299922577 12.964421881197183, 74.79822299922577 12.968798926871006, 74.79373142280518 12.968798926871006, 74.79373142280518 12.964421881197183, 74.79822299922577 12.964421881197183))",12.966610404034094,74.79597721101548,,,,357.156,,0.0,0.0,,,,357.156,0.0
