index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Meerut_0,"POLYGON ((77.62853334442063 28.90939653831954, 77.62853334442063 28.913328323592083, 77.62404176800003 28.913328323592083, 77.62404176800003 28.90939653831954, 77.62853334442063 28.90939653831954))",28.911362430955815,77.62628755621031,,,,841.125,,0.0,0.0,,,,841.125,0.0
Meerut_1,"POLYGON ((77.62853334442063 28.913328323592083, 77.62853334442063 28.91725995984562, 77.62404176800003 28.91725995984562, 77.62404176800003 28.913328323592083, 77.62853334442063 28.913328323592083))",28.915294141718856,77.62628755621033,,,,678.944,,0.0,0.0,,,,678.944,0.0
Meerut_2,"POLYGON ((77.62853334442063 28.91725995984562, 77.62853334442063 28.921191447067287, 77.62404176800003 28.921191447067287, 77.62404176800003 28.91725995984562, 77.62853334442063 28.91725995984562))",28.919225703456455,77.62628755621033,,,,629.797,,0.0,0.0,,,,629.797,0.0
Meerut_3,"POLYGON ((77.62853334442063 28.97228721320213, 77.62853334442063 28.976216612628797, 77.62404176800003 28.976216612628797, 77.62404176800003 28.97228721320213, 77.62853334442063 28.97228721320213))",28.974251912915463,77.62628755621033,,,,1575.679,,30.11,98.972,,,,1605.789,0.0
Meerut_4,"POLYGON ((77.62853334442063 28.976216612628797, 77.62853334442063 28.980145862831037, 77.62404176800003 28.980145862831037, 77.62404176800003 28.976216612628797, 77.62853334442063 28.976216612628797))",28.978181237729917,77.62628755621031,,,,652.846,,0.018,0.316,,,,652.864,0.0
Meerut_5,"POLYGON ((77.62853334442063 28.980145862831037, 77.62853334442063 28.98407496379603, 77.62404176800003 28.98407496379603, 77.62404176800003 28.980145862831037, 77.62853334442063 28.980145862831037))",28.98211041331354,77.62628755621033,,,,596.849,,0.053,0.365,,,,596.902,0.0
Meerut_6,"POLYGON ((77.62853334442063 28.98407496379603, 77.62853334442063 28.988003915510976, 77.62404176800003 28.988003915510976, 77.62404176800003 28.98407496379603, 77.62853334442063 28.98407496379603))",28.986039439653506,77.62628755621033,,,,643.967,,0.0,0.0,,,,643.967,0.0
Meerut_7,"POLYGON ((77.62853334442063 28.988003915510976, 77.62853334442063 28.99193271796305, 77.62404176800003 28.99193271796305, 77.62404176800003 28.988003915510976, 77.62853334442063 28.988003915510976))",28.989968316737013,77.62628755621031,,,,620.439,,0.0,0.0,,,,620.439,0.0
Meerut_8,"POLYGON ((77.62853334442063 28.99193271796305, 77.62853334442063 28.99586137113947, 77.62404176800003 28.99586137113947, 77.62404176800003 28.99193271796305, 77.62853334442063 28.99193271796305))",28.993897044551264,77.62628755621031,,,,558.318,,0.0,0.0,,,,558.318,0.0
Meerut_9,"POLYGON ((77.62853334442063 28.99586137113947, 77.62853334442063 28.999789875027442, 77.62404176800003 28.999789875027442, 77.62404176800003 28.99586137113947, 77.62853334442063 28.99586137113947))",28.997825623083457,77.62628755621031,,,,598.572,,0.0,0.0,,,,598.572,0.0
