index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Moradabad_0,"POLYGON ((78.63900625246623 28.816939411946628, 78.63900625246623 28.82087469610825, 78.63451467604563 28.82087469610825, 78.63451467604563 28.816939411946628, 78.63900625246623 28.816939411946628))",28.818907054027434,78.63676046425593,,,,4878.495,,24.675,86.699,,,,4903.17,0.0
Moradabad_1,"POLYGON ((78.63900625246623 28.82087469610825, 78.63900625246623 28.824809831554187, 78.63451467604563 28.824809831554187, 78.63451467604563 28.82087469610825, 78.63900625246623 28.82087469610825))",28.822842263831223,78.63676046425593,,,,2305.282,,9.223,32.407,,,,2314.505,0.0
Moradabad_2,"POLYGON ((78.64349782888682 28.816939411946628, 78.64349782888682 28.82087469610825, 78.63900625246623 28.82087469610825, 78.63900625246623 28.816939411946628, 78.64349782888682 28.816939411946628))",28.81890705402744,78.64125204067655,,,,5829.584,,137.367,483.671,,,,5966.951,0.0
Moradabad_3,"POLYGON ((78.64349782888682 28.82087469610825, 78.64349782888682 28.824809831554187, 78.63900625246623 28.824809831554187, 78.63900625246623 28.82087469610825, 78.64349782888682 28.82087469610825))",28.822842263831223,78.64125204067652,,,,2599.578,,178.642,629.019,,,,2778.22,0.0
Moradabad_4,"POLYGON ((78.64798940530743 28.816939411946628, 78.64798940530743 28.82087469610825, 78.64349782888682 28.82087469610825, 78.64349782888682 28.816939411946628, 78.64798940530743 28.816939411946628))",28.818907054027434,78.64574361709714,,,,4960.119,,15.792,55.624,,,,4975.911,0.0
Moradabad_5,"POLYGON ((78.64798940530743 28.82087469610825, 78.64798940530743 28.824809831554187, 78.64349782888682 28.824809831554187, 78.64349782888682 28.82087469610825, 78.64798940530743 28.82087469610825))",28.822842263831223,78.64574361709712,,,,2551.28,,39.361,138.552,,,,2590.641,0.0
Moradabad_6,"POLYGON ((78.64798940530743 28.824809831554187, 78.64798940530743 28.828744818271495, 78.64349782888682 28.828744818271495, 78.64349782888682 28.824809831554187, 78.64798940530743 28.824809831554187))",28.826777324912843,78.64574361709712,,,,2551.28,,5.023,17.674,,,,2556.303,0.0
Moradabad_7,"POLYGON ((78.65248098172802 28.813003979082264, 78.65248098172802 28.816939411946628, 78.64798940530743 28.816939411946628, 78.64798940530743 28.813003979082264, 78.65248098172802 28.813003979082264))",28.814971695514448,78.65023519351772,,,,2652.406,,0.0,0.0,,,,2652.406,0.0
Moradabad_8,"POLYGON ((78.65248098172802 28.816939411946628, 78.65248098172802 28.82087469610825, 78.64798940530743 28.82087469610825, 78.64798940530743 28.816939411946628, 78.65248098172802 28.816939411946628))",28.81890705402744,78.65023519351773,,,,4384.103,,0.591,2.18,,,,4384.694,0.0
Moradabad_9,"POLYGON ((78.65248098172802 28.82087469610825, 78.65248098172802 28.824809831554187, 78.64798940530743 28.824809831554187, 78.64798940530743 28.82087469610825, 78.65248098172802 28.82087469610825))",28.822842263831223,78.65023519351774,,,,3102.094,,71.081,248.779,,,,3173.175,0.0
