index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Muzaffarpur_0,"POLYGON ((85.35929190131856 26.11780732057289, 85.35929190131856 26.12184019613157, 85.35480032489795 26.12184019613157, 85.35480032489795 26.11780732057289, 85.35929190131856 26.11780732057289))",26.119823758352233,85.35704611310825,,,,8033.372,,837.109,2899.907,,,,8870.481,0.0
Muzaffarpur_1,"POLYGON ((85.35929190131856 26.12184019613157, 85.35929190131856 26.125872932498375, 85.35480032489795 26.125872932498375, 85.35480032489795 26.12184019613157, 85.35929190131856 26.12184019613157))",26.123856564314973,85.35704611310827,,,,7475.387,,509.458,1760.1,,,,7984.845,0.0
Muzaffarpur_2,"POLYGON ((85.35929190131856 26.125872932498375, 85.35929190131856 26.129905529658135, 85.35480032489795 26.129905529658135, 85.35480032489795 26.125872932498375, 85.35929190131856 26.125872932498375))",26.127889231078257,85.35704611310825,,,,6038.41,,639.03,2207.735,,,,6677.44,0.0
Muzaffarpur_3,"POLYGON ((85.35929190131856 26.129905529658135, 85.35929190131856 26.13393798759568, 85.35480032489795 26.13393798759568, 85.35480032489795 26.129905529658135, 85.35929190131856 26.129905529658135))",26.131921758626905,85.35704611310825,,,,6038.41,,356.268,1230.821,,,,6394.678,0.0
Muzaffarpur_4,"POLYGON ((85.35929190131856 26.13393798759568, 85.35929190131856 26.137970306295845, 85.35480032489795 26.137970306295845, 85.35480032489795 26.13393798759568, 85.35929190131856 26.13393798759568))",26.135954146945764,85.35704611310824,,,,6274.586,,751.394,2597.25,,,,7025.98,0.0
Muzaffarpur_5,"POLYGON ((85.35929190131856 26.137970306295845, 85.35929190131856 26.14200248574346, 85.35480032489795 26.14200248574346, 85.35480032489795 26.137970306295845, 85.35929190131856 26.137970306295845))",26.139986396019655,85.35704611310825,,,,7541.546,,545.106,1884.206,,,,8086.652,0.0
Muzaffarpur_6,"POLYGON ((85.35929190131856 26.14200248574346, 85.35929190131856 26.146034525923373, 85.35480032489795 26.146034525923373, 85.35480032489795 26.14200248574346, 85.35929190131856 26.14200248574346))",26.14401850583342,85.35704611310824,,,,7329.942,,769.301,2686.588,,,,8099.243,0.0
Muzaffarpur_7,"POLYGON ((85.36378347773915 26.113774305837516, 85.36378347773915 26.11780732057289, 85.35929190131856 26.11780732057289, 85.35929190131856 26.113774305837516, 85.36378347773915 26.113774305837516))",26.115790813205198,85.36153768952886,,,,8840.897,,383.667,1318.781,,,,9224.564,0.0
Muzaffarpur_8,"POLYGON ((85.36378347773915 26.11780732057289, 85.36378347773915 26.12184019613157, 85.35929190131856 26.12184019613157, 85.35929190131856 26.11780732057289, 85.36378347773915 26.11780732057289))",26.11982375835223,85.36153768952886,,,,10559.833,,328.337,1128.533,,,,10888.17,0.0
Muzaffarpur_9,"POLYGON ((85.36378347773915 26.12184019613157, 85.36378347773915 26.125872932498375, 85.35929190131856 26.125872932498375, 85.35929190131856 26.12184019613157, 85.36378347773915 26.12184019613157))",26.123856564314973,85.36153768952886,,,,11195.148,,435.014,1489.701,,,,11630.162,0.0
Muzaffarpur_10,"POLYGON ((85.36378347773915 26.125872932498375, 85.36378347773915 26.129905529658135, 85.35929190131856 26.129905529658135, 85.35929190131856 26.125872932498375, 85.36378347773915 26.125872932498375))",26.127889231078253,85.36153768952884,,,,10386.667,,705.121,2414.623,,,,11091.788,0.0
Muzaffarpur_11,"POLYGON ((85.36378347773915 26.129905529658135, 85.36378347773915 26.13393798759568, 85.35929190131856 26.13393798759568, 85.35929190131856 26.129905529658135, 85.36378347773915 26.129905529658135))",26.13192175862691,85.36153768952886,,,,10386.667,,539.082,1846.057,,,,10925.749,0.0
Muzaffarpur_12,"POLYGON ((85.36378347773915 26.13393798759568, 85.36378347773915 26.137970306295845, 85.35929190131856 26.137970306295845, 85.35929190131856 26.13393798759568, 85.36378347773915 26.13393798759568))",26.13595414694576,85.36153768952886,,,,10137.903,,989.431,3396.038,,,,11127.334,0.0
Muzaffarpur_13,"POLYGON ((85.36378347773915 26.137970306295845, 85.36378347773915 26.14200248574346, 85.35929190131856 26.14200248574346, 85.35929190131856 26.137970306295845, 85.36378347773915 26.137970306295845))",26.13998639601965,85.36153768952884,,,,11110.217,,458.286,1572.99,,,,11568.503,0.0
Muzaffarpur_14,"POLYGON ((85.36378347773915 26.14200248574346, 85.36378347773915 26.146034525923373, 85.35929190131856 26.146034525923373, 85.35929190131856 26.14200248574346, 85.36378347773915 26.14200248574346))",26.144018505833415,85.36153768952886,,,,10743.76,,419.091,1444.88,,,,11162.851,0.0
Muzaffarpur_15,"POLYGON ((85.36378347773915 26.146034525923373, 85.36378347773915 26.150066426820423, 85.35929190131856 26.150066426820423, 85.35929190131856 26.146034525923373, 85.36378347773915 26.146034525923373))",26.1480504763719,85.36153768952884,,,,8746.812,,621.647,2143.227,,,,9368.459,0.0
Muzaffarpur_16,"POLYGON ((85.36827505415975 26.109741151940625, 85.36827505415975 26.113774305837516, 85.36378347773915 26.113774305837516, 85.36378347773915 26.109741151940625, 85.36827505415975 26.109741151940625))",26.11175772888907,85.36602926594945,,,,9727.419,,601.486,2067.182,,,,10328.905,0.0
Muzaffarpur_17,"POLYGON ((85.36827505415975 26.113774305837516, 85.36827505415975 26.11780732057289, 85.36378347773915 26.11780732057289, 85.36378347773915 26.113774305837516, 85.36827505415975 26.113774305837516))",26.1157908132052,85.36602926594945,,,,10198.763,,96.217,330.731,,,,10294.98,0.0
Muzaffarpur_18,"POLYGON ((85.36827505415975 26.11780732057289, 85.36827505415975 26.12184019613157, 85.36378347773915 26.12184019613157, 85.36378347773915 26.11780732057289, 85.36827505415975 26.11780732057289))",26.119823758352233,85.36602926594945,,,,14777.859,,136.824,470.316,,,,14914.683,0.0
Muzaffarpur_19,"POLYGON ((85.36827505415975 26.12184019613157, 85.36827505415975 26.125872932498375, 85.36378347773915 26.125872932498375, 85.36378347773915 26.12184019613157, 85.36827505415975 26.12184019613157))",26.123856564314973,85.36602926594945,,,,16243.749,,700.666,2399.363,,,,16944.415,0.0
Muzaffarpur_20,"POLYGON ((85.36827505415975 26.125872932498375, 85.36827505415975 26.129905529658135, 85.36378347773915 26.129905529658135, 85.36378347773915 26.125872932498375, 85.36827505415975 26.125872932498375))",26.127889231078257,85.36602926594945,,,,15319.482,,422.034,1445.211,,,,15741.516,0.0
Muzaffarpur_21,"POLYGON ((85.36827505415975 26.129905529658135, 85.36827505415975 26.13393798759568, 85.36378347773915 26.13393798759568, 85.36378347773915 26.129905529658135, 85.36827505415975 26.129905529658135))",26.131921758626905,85.36602926594944,,,,15319.482,,522.66,1789.816,,,,15842.142,0.0
Muzaffarpur_22,"POLYGON ((85.36827505415975 26.13393798759568, 85.36827505415975 26.137970306295845, 85.36378347773915 26.137970306295845, 85.36378347773915 26.13393798759568, 85.36827505415975 26.13393798759568))",26.135954146945764,85.36602926594945,,,,16275.818,,899.128,3086.066,,,,17174.946,0.0
Muzaffarpur_23,"POLYGON ((85.36827505415975 26.137970306295845, 85.36827505415975 26.14200248574346, 85.36378347773915 26.14200248574346, 85.36378347773915 26.137970306295845, 85.36827505415975 26.137970306295845))",26.139986396019655,85.36602926594945,,,,15408.531,,357.878,1228.42,,,,15766.409,0.0
Muzaffarpur_24,"POLYGON ((85.36827505415975 26.14200248574346, 85.36827505415975 26.146034525923373, 85.36378347773915 26.146034525923373, 85.36378347773915 26.14200248574346, 85.36827505415975 26.14200248574346))",26.14401850583342,85.36602926594945,,,,12499.164,,61.34,211.47,,,,12560.504,0.0
Muzaffarpur_25,"POLYGON ((85.36827505415975 26.146034525923373, 85.36827505415975 26.150066426820423, 85.36378347773915 26.150066426820423, 85.36378347773915 26.146034525923373, 85.36827505415975 26.146034525923373))",26.148050476371896,85.36602926594944,,,,10316.751,,419.287,1445.581,,,,10736.038,0.0
Muzaffarpur_26,"POLYGON ((85.37276663058034 26.105707858897404, 85.37276663058034 26.109741151940625, 85.36827505415975 26.109741151940625, 85.36827505415975 26.105707858897404, 85.37276663058034 26.105707858897404))",26.107724505419014,85.37052084237006,,,,9104.512,,359.289,1221.252,,,,9463.801,0.0
Muzaffarpur_27,"POLYGON ((85.37276663058034 26.109741151940625, 85.37276663058034 26.113774305837516, 85.36827505415975 26.113774305837516, 85.36827505415975 26.109741151940625, 85.37276663058034 26.109741151940625))",26.11175772888907,85.37052084237004,,,,11293.026,,667.295,2268.188,,,,11960.321,0.0
Muzaffarpur_28,"POLYGON ((85.37276663058034 26.113774305837516, 85.37276663058034 26.11780732057289, 85.36827505415975 26.11780732057289, 85.36827505415975 26.113774305837516, 85.37276663058034 26.113774305837516))",26.115790813205198,85.37052084237006,,,,11372.439,,111.214,377.426,,,,11483.653,0.0
