index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Mysuru_0,"POLYGON ((76.60290061084872 12.275161850676927, 76.60290061084872 12.279550703348265, 76.59840903442813 12.279550703348265, 76.59840903442813 12.275161850676927, 76.60290061084872 12.275161850676927))",12.277356277012597,76.60065482263842,,,,1539.415,,191.567,634.29,,,,1730.982,0.0
Mysuru_1,"POLYGON ((76.60290061084872 12.279550703348265, 76.60290061084872 12.28393948284615, 76.59840903442813 12.28393948284615, 76.59840903442813 12.279550703348265, 76.60290061084872 12.279550703348265))",12.281745093097207,76.60065482263843,,,,1814.195,,184.58,603.0,,,,1998.775,0.0
Mysuru_2,"POLYGON ((76.60290061084872 12.28393948284615, 76.60290061084872 12.288328189146043, 76.59840903442813 12.288328189146043, 76.59840903442813 12.28393948284615, 76.60290061084872 12.28393948284615))",12.286133835996099,76.60065482263843,,,,1870.663,,306.242,1000.452,,,,2176.905,0.0
Mysuru_3,"POLYGON ((76.60290061084872 12.288328189146043, 76.60290061084872 12.29271682222342, 76.59840903442813 12.29271682222342, 76.59840903442813 12.288328189146043, 76.60290061084872 12.288328189146043))",12.29052250568473,76.60065482263843,,,,1684.557,,279.754,902.409,,,,1964.311,0.0
Mysuru_4,"POLYGON ((76.60290061084872 12.297105382053758, 76.60290061084872 12.301493868612527, 76.59840903442813 12.301493868612527, 76.59840903442813 12.297105382053758, 76.60290061084872 12.297105382053758))",12.299299625333143,76.60065482263843,,,,1746.37,,185.271,596.615,,,,1931.641,0.0
Mysuru_5,"POLYGON ((76.60290061084872 12.301493868612527, 76.60290061084872 12.305882281875212, 76.59840903442813 12.305882281875212, 76.59840903442813 12.301493868612527, 76.60290061084872 12.301493868612527))",12.303688075243867,76.60065482263843,,,,1979.366,,219.77,707.729,,,,2199.136,0.0
Mysuru_6,"POLYGON ((76.60290061084872 12.305882281875212, 76.60290061084872 12.310270621817287, 76.59840903442813 12.310270621817287, 76.59840903442813 12.305882281875212, 76.60290061084872 12.305882281875212))",12.308076451846249,76.60065482263843,,,,2017.47,,68.078,217.686,,,,2085.548,0.0
Mysuru_7,"POLYGON ((76.60290061084872 12.310270621817287, 76.60290061084872 12.314658888414241, 76.59840903442813 12.314658888414241, 76.59840903442813 12.310270621817287, 76.60290061084872 12.310270621817287))",12.312464755115764,76.60065482263842,,,,1948.164,,34.711,110.977,,,,1982.875,0.0
Mysuru_8,"POLYGON ((76.60290061084872 12.33221122086054, 76.60290061084872 12.336599120364186, 76.59840903442813 12.336599120364186, 76.59840903442813 12.33221122086054, 76.60290061084872 12.33221122086054))",12.334405170612364,76.60065482263842,,,,2895.698,,421.973,1355.648,,,,3317.671,0.0
Mysuru_9,"POLYGON ((76.60290061084872 12.336599120364186, 76.60290061084872 12.34098694637565, 76.59840903442813 12.34098694637565, 76.59840903442813 12.336599120364186, 76.60290061084872 12.336599120364186))",12.338793033369916,76.60065482263843,,,,2275.289,,150.232,482.649,,,,2425.521,0.0
Mysuru_10,"POLYGON ((76.60290061084872 12.34098694637565, 76.60290061084872 12.34537469887043, 76.59840903442813 12.34537469887043, 76.59840903442813 12.34098694637565, 76.60290061084872 12.34098694637565))",12.34318082262304,76.60065482263843,,,,2270.258,,1.551,5.069,,,,2271.809,0.0
Mysuru_11,"POLYGON ((76.60290061084872 12.34537469887043, 76.60290061084872 12.349762377824023, 76.59840903442813 12.349762377824023, 76.59840903442813 12.34537469887043, 76.60290061084872 12.34537469887043))",12.347568538347224,76.60065482263843,,,,2681.589,,57.579,187.664,,,,2739.168,0.0
