index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Panaji_0,"POLYGON ((73.79173572362028 15.455635536052217, 73.79173572362028 15.459964638768543, 73.78724414719969 15.459964638768543, 73.78724414719969 15.455635536052217, 73.79173572362028 15.455635536052217))",15.457800087410382,73.78948993540997,,,,727.097,,0.0,0.0,,,,727.097,0.0
Panaji_1,"POLYGON ((73.79173572362028 15.459964638768543, 73.79173572362028 15.464293651021535, 73.78724414719969 15.464293651021535, 73.78724414719969 15.459964638768543, 73.79173572362028 15.459964638768543))",15.462129144895039,73.78948993540999,,,,1057.903,,28.186,0.0,,,,1086.089,0.0
Panaji_2,"POLYGON ((73.79173572362028 15.464293651021535, 73.79173572362028 15.468622572788364, 73.78724414719969 15.468622572788364, 73.78724414719969 15.464293651021535, 73.79173572362028 15.464293651021535))",15.466458111904949,73.78948993540997,,,,739.34,,0.0,0.0,,,,739.34,0.0
Panaji_3,"POLYGON ((73.79622730004088 15.455635536052217, 73.79622730004088 15.459964638768543, 73.79173572362028 15.459964638768543, 73.79173572362028 15.455635536052217, 73.79622730004088 15.455635536052217))",15.457800087410382,73.79398151183058,,,,864.874,,0.0,0.0,,,,864.874,0.0
Panaji_4,"POLYGON ((73.79622730004088 15.459964638768543, 73.79622730004088 15.464293651021535, 73.79173572362028 15.464293651021535, 73.79173572362028 15.459964638768543, 73.79622730004088 15.459964638768543))",15.46212914489504,73.7939815118306,,,,866.863,,0.0,0.0,,,,866.863,0.0
Panaji_5,"POLYGON ((73.80071887646147 15.451306342895382, 73.80071887646147 15.455635536052217, 73.79622730004088 15.455635536052217, 73.79622730004088 15.451306342895382, 73.80071887646147 15.451306342895382))",15.453470939473803,73.79847308825117,,,,1108.429,,26.644,0.0,,,,1135.073,0.0
Panaji_6,"POLYGON ((73.80071887646147 15.455635536052217, 73.80071887646147 15.459964638768543, 73.79622730004088 15.459964638768543, 73.79622730004088 15.455635536052217, 73.80071887646147 15.455635536052217))",15.457800087410382,73.79847308825119,,,,1630.03,,222.39,0.0,,,,1852.42,0.0
Panaji_7,"POLYGON ((73.80071887646147 15.459964638768543, 73.80071887646147 15.464293651021535, 73.79622730004088 15.464293651021535, 73.79622730004088 15.459964638768543, 73.80071887646147 15.459964638768543))",15.462129144895039,73.79847308825117,,,,1182.422,,7.774,0.0,,,,1190.196,0.0
Panaji_8,"POLYGON ((73.80521045288208 15.451306342895382, 73.80521045288208 15.455635536052217, 73.80071887646147 15.455635536052217, 73.80071887646147 15.451306342895382, 73.80521045288208 15.451306342895382))",15.4534709394738,73.80296466467178,,,,1466.964,,143.004,0.0,,,,1609.968,0.0
Panaji_9,"POLYGON ((73.80521045288208 15.455635536052217, 73.80521045288208 15.459964638768543, 73.80071887646147 15.459964638768543, 73.80071887646147 15.455635536052217, 73.80521045288208 15.455635536052217))",15.457800087410382,73.80296466467178,,,,2486.632,,380.201,0.0,,,,2866.833,0.0
