index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Patiala_0,"POLYGON ((76.30982168183694 30.340831003521217, 76.30982168183694 30.344707317959195, 76.30533010541633 30.344707317959195, 76.30533010541633 30.340831003521217, 76.30982168183694 30.340831003521217))",30.342769160740204,76.30757589362663,,,,99.69,,0.827,2.732,,,,100.517,0.0
Patiala_1,"POLYGON ((76.30982168183694 30.344707317959195, 76.30982168183694 30.348583478882144, 76.30533010541633 30.348583478882144, 76.30533010541633 30.344707317959195, 76.30982168183694 30.344707317959195))",30.346645398420666,76.30757589362663,,,,114.968,,4.715,16.041,,,,119.683,0.0
Patiala_2,"POLYGON ((76.30982168183694 30.37958723832609, 76.30982168183694 30.383462017089457, 76.30533010541633 30.383462017089457, 76.30533010541633 30.37958723832609, 76.30982168183694 30.37958723832609))",30.381524627707773,76.30757589362663,,,,80.152,,0.052,0.365,,,,80.204,0.0
Patiala_3,"POLYGON ((76.30982168183694 30.383462017089457, 76.30982168183694 30.387336642221335, 76.30533010541633 30.387336642221335, 76.30533010541633 30.383462017089457, 76.30982168183694 30.383462017089457))",30.385399329655392,76.30757589362663,,,,80.152,,0.61,2.204,,,,80.762,0.0
Patiala_4,"POLYGON ((76.30982168183694 30.387336642221335, 76.30982168183694 30.3912111137101, 76.30533010541633 30.3912111137101, 76.30533010541633 30.387336642221335, 76.30982168183694 30.387336642221335))",30.389273877965717,76.30757589362663,,,,87.238,,1.409,4.877,,,,88.647,0.0
Patiala_5,"POLYGON ((76.30982168183694 30.3912111137101, 76.30982168183694 30.39508543154414, 76.30533010541633 30.39508543154414, 76.30533010541633 30.3912111137101, 76.30982168183694 30.3912111137101))",30.393148272627123,76.30757589362663,,,,88.599,,1.881,6.6,,,,90.48,0.0
Patiala_6,"POLYGON ((76.31431325825753 30.290424951270822, 76.31431325825753 30.294303260341675, 76.30982168183694 30.294303260341675, 76.30982168183694 30.290424951270822, 76.31431325825753 30.290424951270822))",30.29236410580625,76.31206747004723,,,,105.35,,0.0,0.0,,,,105.35,0.0
Patiala_7,"POLYGON ((76.31431325825753 30.294303260341675, 76.31431325825753 30.29818141604937, 76.30982168183694 30.29818141604937, 76.30982168183694 30.294303260341675, 76.31431325825753 30.294303260341675))",30.296242338195523,76.31206747004723,,,,130.728,,0.486,1.733,,,,131.214,0.0
Patiala_8,"POLYGON ((76.31431325825753 30.29818141604937, 76.31431325825753 30.302059418382207, 76.30982168183694 30.302059418382207, 76.30982168183694 30.29818141604937, 76.31431325825753 30.29818141604937))",30.30012041721578,76.31206747004723,,,,130.728,,2.159,7.414,,,,132.887,0.0
Patiala_9,"POLYGON ((76.31431325825753 30.302059418382207, 76.31431325825753 30.305937267328485, 76.30982168183694 30.305937267328485, 76.30982168183694 30.302059418382207, 76.31431325825753 30.302059418382207))",30.303998342855344,76.31206747004721,,,,142.891,,3.117,10.629,,,,146.008,0.0
Patiala_10,"POLYGON ((76.31431325825753 30.305937267328485, 76.31431325825753 30.30981496287652, 76.30982168183694 30.30981496287652, 76.30982168183694 30.305937267328485, 76.31431325825753 30.305937267328485))",30.307876115102502,76.31206747004724,,,,120.869,,0.135,0.731,,,,121.004,0.0
Patiala_11,"POLYGON ((76.31431325825753 30.30981496287652, 76.31431325825753 30.3136925050146, 76.30982168183694 30.3136925050146, 76.30982168183694 30.30981496287652, 76.31431325825753 30.30981496287652))",30.311753733945558,76.31206747004721,,,,99.254,,0.0,0.0,,,,99.254,0.0
Patiala_12,"POLYGON ((76.31431325825753 30.3136925050146, 76.31431325825753 30.317569893731054, 76.30982168183694 30.317569893731054, 76.30982168183694 30.3136925050146, 76.31431325825753 30.3136925050146))",30.315631199372824,76.31206747004723,,,,91.0,,0.0,0.0,,,,91.0,0.0
Patiala_13,"POLYGON ((76.31431325825753 30.317569893731054, 76.31431325825753 30.32144712901418, 76.30982168183694 30.32144712901418, 76.30982168183694 30.317569893731054, 76.31431325825753 30.317569893731054))",30.319508511372618,76.31206747004724,,,,89.413,,0.0,0.0,,,,89.413,0.0
Patiala_14,"POLYGON ((76.31431325825753 30.32144712901418, 76.31431325825753 30.325324210852294, 76.30982168183694 30.325324210852294, 76.30982168183694 30.32144712901418, 76.31431325825753 30.32144712901418))",30.323385669933234,76.31206747004721,,,,92.504,,0.0,0.0,,,,92.504,0.0
Patiala_15,"POLYGON ((76.31431325825753 30.325324210852294, 76.31431325825753 30.329201139233742, 76.30982168183694 30.329201139233742, 76.30982168183694 30.325324210852294, 76.31431325825753 30.325324210852294))",30.327262675043016,76.31206747004723,,,,95.206,,0.0,0.0,,,,95.206,0.0
Patiala_16,"POLYGON ((76.31431325825753 30.329201139233742, 76.31431325825753 30.33307791414682, 76.30982168183694 30.33307791414682, 76.30982168183694 30.329201139233742, 76.31431325825753 30.329201139233742))",30.331139526690283,76.31206747004723,,,,95.206,,0.0,0.0,,,,95.206,0.0
Patiala_17,"POLYGON ((76.31431325825753 30.33307791414682, 76.31431325825753 30.336954535579867, 76.30982168183694 30.336954535579867, 76.30982168183694 30.33307791414682, 76.31431325825753 30.33307791414682))",30.33501622486334,76.31206747004721,,,,92.583,,0.0,0.0,,,,92.583,0.0
Patiala_18,"POLYGON ((76.31431325825753 30.336954535579867, 76.31431325825753 30.340831003521217, 76.30982168183694 30.340831003521217, 76.30982168183694 30.336954535579867, 76.31431325825753 30.336954535579867))",30.338892769550537,76.31206747004724,,,,95.118,,0.0,0.0,,,,95.118,0.0
Patiala_19,"POLYGON ((76.31431325825753 30.340831003521217, 76.31431325825753 30.344707317959195, 76.30982168183694 30.344707317959195, 76.30982168183694 30.340831003521217, 76.31431325825753 30.340831003521217))",30.342769160740204,76.31206747004723,,,,107.594,,5.836,19.768,,,,113.43,0.0
Patiala_20,"POLYGON ((76.31431325825753 30.344707317959195, 76.31431325825753 30.348583478882144, 76.30982168183694 30.348583478882144, 76.30982168183694 30.344707317959195, 76.31431325825753 30.344707317959195))",30.346645398420673,76.31206747004723,,,,128.695,,5.387,18.244,,,,134.082,0.0
Patiala_21,"POLYGON ((76.31431325825753 30.348583478882144, 76.31431325825753 30.3524594862784, 76.30982168183694 30.3524594862784, 76.30982168183694 30.348583478882144, 76.31431325825753 30.348583478882144))",30.35052148258027,76.31206747004723,,,,154.148,,0.421,1.417,,,,154.569,0.0
Patiala_22,"POLYGON ((76.31431325825753 30.3524594862784, 76.31431325825753 30.35633534013631, 76.30982168183694 30.35633534013631, 76.30982168183694 30.3524594862784, 76.31431325825753 30.3524594862784))",30.354397413207355,76.31206747004723,,,,174.121,,0.0,0.0,,,,174.121,0.0
Patiala_23,"POLYGON ((76.31431325825753 30.35633534013631, 76.31431325825753 30.360211040444216, 76.30982168183694 30.360211040444216, 76.30982168183694 30.35633534013631, 76.31431325825753 30.35633534013631))",30.358273190290262,76.31206747004721,,,,174.121,,9.992,34.056,,,,184.113,0.0
Patiala_24,"POLYGON ((76.31431325825753 30.37958723832609, 76.31431325825753 30.383462017089457, 76.30982168183694 30.383462017089457, 76.30982168183694 30.37958723832609, 76.31431325825753 30.37958723832609))",30.381524627707773,76.31206747004723,,,,87.565,,0.098,0.428,,,,87.663,0.0
Patiala_25,"POLYGON ((76.31431325825753 30.383462017089457, 76.31431325825753 30.387336642221335, 76.30982168183694 30.387336642221335, 76.30982168183694 30.383462017089457, 76.31431325825753 30.383462017089457))",30.385399329655396,76.31206747004724,,,,87.565,,0.0,0.0,,,,87.565,0.0
Patiala_26,"POLYGON ((76.31431325825753 30.387336642221335, 76.31431325825753 30.3912111137101, 76.30982168183694 30.3912111137101, 76.30982168183694 30.387336642221335, 76.31431325825753 30.387336642221335))",30.389273877965717,76.31206747004724,,,,101.07,,0.0,0.0,,,,101.07,0.0
Patiala_27,"POLYGON ((76.31431325825753 30.3912111137101, 76.31431325825753 30.39508543154414, 76.30982168183694 30.39508543154414, 76.30982168183694 30.3912111137101, 76.31431325825753 30.3912111137101))",30.393148272627123,76.31206747004721,,,,104.214,,1.621,5.668,,,,105.835,0.0
