index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Patna_0,"POLYGON ((85.05708137767438 25.58385064238354, 85.05708137767438 25.587901770377094, 85.05258980125377 25.587901770377094, 85.05258980125377 25.58385064238354, 85.05708137767438 25.58385064238354))",25.585876206380316,85.05483558946409,,,,5518.933,,53.443,184.056,,,,5572.376,0.0
Patna_1,"POLYGON ((85.05708137767438 25.587901770377094, 85.05708137767438 25.59195276121198, 85.05258980125377 25.59195276121198, 85.05258980125377 25.587901770377094, 85.05708137767438 25.587901770377094))",25.589927265794532,85.05483558946408,,,,5128.486,,110.652,381.133,,,,5239.138,0.0
Patna_2,"POLYGON ((85.05708137767438 25.59195276121198, 85.05708137767438 25.596003614872597, 85.05258980125377 25.596003614872597, 85.05258980125377 25.59195276121198, 85.05708137767438 25.59195276121198))",25.593978188042286,85.05483558946408,,,,5158.293,,41.663,141.973,,,,5199.956,0.0
Patna_3,"POLYGON ((85.05708137767438 25.596003614872597, 85.05708137767438 25.600054331343326, 85.05258980125377 25.600054331343326, 85.05258980125377 25.596003614872597, 85.05708137767438 25.596003614872597))",25.59802897310796,85.05483558946408,,,,4781.638,,62.566,213.155,,,,4844.204,0.0
Patna_4,"POLYGON ((85.05708137767438 25.600054331343326, 85.05708137767438 25.604104910608584, 85.05258980125377 25.604104910608584, 85.05258980125377 25.600054331343326, 85.05708137767438 25.600054331343326))",25.602079620975957,85.05483558946409,,,,5561.962,,47.397,161.793,,,,5609.359,0.0
Patna_5,"POLYGON ((85.06157295409498 25.58385064238354, 85.06157295409498 25.587901770377094, 85.05708137767438 25.587901770377094, 85.05708137767438 25.58385064238354, 85.06157295409498 25.58385064238354))",25.585876206380316,85.05932716588468,,,,5022.733,,27.118,93.391,,,,5049.851,0.0
Patna_6,"POLYGON ((85.06157295409498 25.587901770377094, 85.06157295409498 25.59195276121198, 85.05708137767438 25.59195276121198, 85.05708137767438 25.587901770377094, 85.06157295409498 25.587901770377094))",25.589927265794532,85.05932716588468,,,,5279.24,,24.149,83.141,,,,5303.389,0.0
Patna_7,"POLYGON ((85.06157295409498 25.59195276121198, 85.06157295409498 25.596003614872597, 85.05708137767438 25.596003614872597, 85.05708137767438 25.59195276121198, 85.06157295409498 25.59195276121198))",25.593978188042286,85.05932716588468,,,,5796.158,,18.686,63.66,,,,5814.844,0.0
Patna_8,"POLYGON ((85.06157295409498 25.596003614872597, 85.06157295409498 25.600054331343326, 85.05708137767438 25.600054331343326, 85.05708137767438 25.596003614872597, 85.06157295409498 25.596003614872597))",25.59802897310796,85.05932716588468,,,,5652.109,,52.151,177.723,,,,5704.26,0.0
Patna_9,"POLYGON ((85.06157295409498 25.600054331343326, 85.06157295409498 25.604104910608584, 85.05708137767438 25.604104910608584, 85.05708137767438 25.600054331343326, 85.06157295409498 25.600054331343326))",25.602079620975957,85.05932716588468,,,,6476.261,,90.452,308.763,,,,6566.713,0.0
Patna_10,"POLYGON ((85.06157295409498 25.604104910608584, 85.06157295409498 25.608155352652766, 85.05708137767438 25.608155352652766, 85.05708137767438 25.604104910608584, 85.06157295409498 25.604104910608584))",25.606130131630678,85.0593271658847,,,,6476.261,,249.03,850.055,,,,6725.291,0.0
Patna_11,"POLYGON ((85.06157295409498 25.608155352652766, 85.06157295409498 25.612205657460272, 85.05708137767438 25.612205657460272, 85.05708137767438 25.608155352652766, 85.06157295409498 25.608155352652766))",25.61018050505652,85.05932716588468,,,,9225.492,,316.171,1079.252,,,,9541.663,0.0
Patna_12,"POLYGON ((85.06606453051558 25.58385064238354, 85.06606453051558 25.587901770377094, 85.06157295409498 25.587901770377094, 85.06157295409498 25.58385064238354, 85.06606453051558 25.58385064238354))",25.58587620638032,85.06381874230526,,,,4460.445,,18.564,63.278,,,,4479.009,0.0
Patna_13,"POLYGON ((85.06606453051558 25.587901770377094, 85.06606453051558 25.59195276121198, 85.06157295409498 25.59195276121198, 85.06157295409498 25.587901770377094, 85.06606453051558 25.587901770377094))",25.58992726579454,85.06381874230527,,,,4817.772,,84.651,288.624,,,,4902.423,0.0
Patna_14,"POLYGON ((85.06606453051558 25.59195276121198, 85.06606453051558 25.596003614872597, 85.06157295409498 25.596003614872597, 85.06157295409498 25.59195276121198, 85.06606453051558 25.59195276121198))",25.59397818804229,85.06381874230527,,,,5122.479,,37.667,126.859,,,,5160.146,0.0
Patna_15,"POLYGON ((85.06606453051558 25.596003614872597, 85.06606453051558 25.600054331343326, 85.06157295409498 25.600054331343326, 85.06157295409498 25.596003614872597, 85.06606453051558 25.596003614872597))",25.59802897310796,85.06381874230527,,,,5751.736,,106.651,359.259,,,,5858.387,0.0
Patna_16,"POLYGON ((85.06606453051558 25.600054331343326, 85.06606453051558 25.604104910608584, 85.06157295409498 25.604104910608584, 85.06157295409498 25.600054331343326, 85.06606453051558 25.600054331343326))",25.60207962097596,85.06381874230527,,,,7486.491,,205.765,694.447,,,,7692.256,0.0
Patna_17,"POLYGON ((85.06606453051558 25.604104910608584, 85.06606453051558 25.608155352652766, 85.06157295409498 25.608155352652766, 85.06157295409498 25.604104910608584, 85.06606453051558 25.604104910608584))",25.606130131630675,85.06381874230527,,,,7486.491,,234.922,792.851,,,,7721.413,0.0
Patna_18,"POLYGON ((85.06606453051558 25.608155352652766, 85.06606453051558 25.612205657460272, 85.06157295409498 25.612205657460272, 85.06157295409498 25.608155352652766, 85.06606453051558 25.608155352652766))",25.610180505056515,85.06381874230529,,,,9790.252,,219.641,741.291,,,,10009.893,0.0
Patna_19,"POLYGON ((85.06606453051558 25.612205657460272, 85.06606453051558 25.61625582501553, 85.06157295409498 25.61625582501553, 85.06157295409498 25.612205657460272, 85.06606453051558 25.612205657460272))",25.614230741237897,85.06381874230527,,,,9533.528,,221.036,746.196,,,,9754.564,0.0
Patna_20,"POLYGON ((85.06606453051558 25.61625582501553, 85.06606453051558 25.62030585530294, 85.06157295409498 25.62030585530294, 85.06157295409498 25.61625582501553, 85.06606453051558 25.61625582501553))",25.618280840159237,85.06381874230526,,,,7738.73,,94.104,317.672,,,,7832.834,0.0
Patna_21,"POLYGON ((85.06606453051558 25.62030585530294, 85.06606453051558 25.62435574830692, 85.06157295409498 25.62435574830692, 85.06157295409498 25.62030585530294, 85.06606453051558 25.62030585530294))",25.622330801804928,85.06381874230527,,,,7768.179,,99.869,337.758,,,,7868.048,0.0
Patna_22,"POLYGON ((85.07055610693618 25.58385064238354, 85.07055610693618 25.587901770377094, 85.06606453051558 25.587901770377094, 85.06606453051558 25.58385064238354, 85.07055610693618 25.58385064238354))",25.585876206380316,85.06831031872588,,,,4601.699,,92.666,315.985,,,,4694.365,0.0
Patna_23,"POLYGON ((85.07055610693618 25.587901770377094, 85.07055610693618 25.59195276121198, 85.06606453051558 25.59195276121198, 85.06606453051558 25.587901770377094, 85.07055610693618 25.587901770377094))",25.589927265794532,85.06831031872589,,,,4961.105,,154.417,526.533,,,,5115.522,0.0
Patna_24,"POLYGON ((85.07055610693618 25.59195276121198, 85.07055610693618 25.596003614872597, 85.06606453051558 25.596003614872597, 85.06606453051558 25.59195276121198, 85.07055610693618 25.59195276121198))",25.593978188042286,85.06831031872588,,,,5127.796,,94.468,318.202,,,,5222.264,0.0
Patna_25,"POLYGON ((85.07055610693618 25.596003614872597, 85.07055610693618 25.600054331343326, 85.06606453051558 25.600054331343326, 85.06606453051558 25.596003614872597, 85.07055610693618 25.596003614872597))",25.59802897310796,85.06831031872589,,,,6060.808,,198.097,667.177,,,,6258.905,0.0
Patna_26,"POLYGON ((85.07055610693618 25.600054331343326, 85.07055610693618 25.604104910608584, 85.06606453051558 25.604104910608584, 85.06606453051558 25.600054331343326, 85.07055610693618 25.600054331343326))",25.602079620975957,85.06831031872589,,,,7846.189,,269.506,909.562,,,,8115.695,0.0
Patna_27,"POLYGON ((85.07055610693618 25.604104910608584, 85.07055610693618 25.608155352652766, 85.06606453051558 25.608155352652766, 85.06606453051558 25.604104910608584, 85.07055610693618 25.604104910608584))",25.606130131630678,85.06831031872588,,,,7846.189,,381.155,1286.393,,,,8227.344,0.0
Patna_28,"POLYGON ((85.07055610693618 25.608155352652766, 85.07055610693618 25.612205657460272, 85.06606453051558 25.612205657460272, 85.06606453051558 25.608155352652766, 85.07055610693618 25.608155352652766))",25.61018050505652,85.06831031872586,,,,9701.227,,310.24,1047.062,,,,10011.467,0.0
Patna_29,"POLYGON ((85.07055610693618 25.612205657460272, 85.07055610693618 25.61625582501553, 85.06606453051558 25.61625582501553, 85.06606453051558 25.612205657460272, 85.07055610693618 25.612205657460272))",25.614230741237904,85.06831031872588,,,,8859.881,,246.643,832.618,,,,9106.524,0.0
Patna_30,"POLYGON ((85.07055610693618 25.61625582501553, 85.07055610693618 25.62030585530294, 85.06606453051558 25.62030585530294, 85.06606453051558 25.61625582501553, 85.07055610693618 25.61625582501553))",25.618280840159237,85.06831031872586,,,,7689.524,,79.197,267.513,,,,7768.721,0.0
Patna_31,"POLYGON ((85.07055610693618 25.62030585530294, 85.07055610693618 25.62435574830692, 85.06606453051558 25.62435574830692, 85.06606453051558 25.62030585530294, 85.07055610693618 25.62030585530294))",25.62233080180493,85.06831031872589,,,,7874.421,,24.354,82.371,,,,7898.775,0.0
Patna_32,"POLYGON ((85.07055610693618 25.62435574830692, 85.07055610693618 25.628405504011894, 85.06606453051558 25.628405504011894, 85.06606453051558 25.62435574830692, 85.07055610693618 25.62435574830692))",25.62638062615941,85.06831031872588,,,,6685.147,,7.646,25.856,,,,6692.793,0.0
Patna_33,"POLYGON ((85.07055610693618 25.628405504011894, 85.07055610693618 25.632455122402284, 85.06606453051558 25.632455122402284, 85.06606453051558 25.628405504011894, 85.07055610693618 25.628405504011894))",25.63043031320709,85.06831031872586,,,,5082.944,,14.492,49.368,,,,5097.436,0.0
Patna_34,"POLYGON ((85.07504768335677 25.58385064238354, 85.07504768335677 25.587901770377094, 85.07055610693618 25.587901770377094, 85.07055610693618 25.58385064238354, 85.07504768335677 25.58385064238354))",25.58587620638032,85.07280189514648,,,,5392.539,,156.348,529.611,,,,5548.887,0.0
Patna_35,"POLYGON ((85.07504768335677 25.587901770377094, 85.07504768335677 25.59195276121198, 85.07055610693618 25.59195276121198, 85.07055610693618 25.587901770377094, 85.07504768335677 25.587901770377094))",25.58992726579454,85.07280189514648,,,,5368.684,,127.581,432.163,,,,5496.265,0.0
Patna_36,"POLYGON ((85.07504768335677 25.59195276121198, 85.07504768335677 25.596003614872597, 85.07055610693618 25.596003614872597, 85.07055610693618 25.59195276121198, 85.07504768335677 25.59195276121198))",25.59397818804229,85.07280189514648,,,,5394.382,,78.405,263.524,,,,5472.787,0.0
Patna_37,"POLYGON ((85.07504768335677 25.596003614872597, 85.07504768335677 25.600054331343326, 85.07055610693618 25.600054331343326, 85.07055610693618 25.596003614872597, 85.07504768335677 25.596003614872597))",25.59802897310796,85.07280189514648,,,,6375.426,,101.197,340.154,,,,6476.623,0.0
Patna_38,"POLYGON ((85.07504768335677 25.600054331343326, 85.07504768335677 25.604104910608584, 85.07055610693618 25.604104910608584, 85.07055610693618 25.600054331343326, 85.07504768335677 25.600054331343326))",25.60207962097596,85.07280189514647,,,,8058.287,,287.112,967.05,,,,8345.399,0.0
Patna_39,"POLYGON ((85.07504768335677 25.604104910608584, 85.07504768335677 25.608155352652766, 85.07055610693618 25.608155352652766, 85.07055610693618 25.604104910608584, 85.07504768335677 25.604104910608584))",25.606130131630675,85.07280189514647,,,,8058.287,,428.53,1443.34,,,,8486.817,0.0
Patna_40,"POLYGON ((85.07504768335677 25.608155352652766, 85.07504768335677 25.612205657460272, 85.07055610693618 25.612205657460272, 85.07055610693618 25.608155352652766, 85.07504768335677 25.608155352652766))",25.610180505056515,85.07280189514648,,,,9274.1,,371.515,1251.305,,,,9645.615,0.0
