index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Pune_0,"POLYGON ((73.75605256242059 18.526809052029268, 73.75605256242059 18.53106779982766, 73.751560986 18.53106779982766, 73.751560986 18.526809052029268, 73.75605256242059 18.526809052029268))",18.528938425928466,73.7538067742103,,,,1110.878,,0.035,0.365,1.007,0.0,0.0,1111.92,0.0
Pune_1,"POLYGON ((73.75605256242059 18.53106779982766, 73.75605256242059 18.535326441521924, 73.751560986 18.535326441521924, 73.751560986 18.53106779982766, 73.75605256242059 18.53106779982766))",18.533197120674792,73.75380677421029,,,,1002.127,,0.0,0.0,0.0,0.0,0.0,1002.127,0.0
Pune_2,"POLYGON ((73.7605441388412 18.526809052029268, 73.7605441388412 18.53106779982766, 73.75605256242059 18.53106779982766, 73.75605256242059 18.526809052029268, 73.7605441388412 18.526809052029268))",18.528938425928462,73.75829835063091,,,,1309.65,,2.482,9.056,8.27,0.0,0.0,1320.402,0.0
Pune_3,"POLYGON ((73.7605441388412 18.53106779982766, 73.7605441388412 18.535326441521924, 73.75605256242059 18.535326441521924, 73.75605256242059 18.53106779982766, 73.7605441388412 18.53106779982766))",18.533197120674792,73.7582983506309,,,,1090.613,,0.584,2.134,14.306,0.072,0.0,1105.503,0.072
Pune_4,"POLYGON ((73.7605441388412 18.535326441521924, 73.7605441388412 18.539584977091174, 73.75605256242059 18.539584977091174, 73.75605256242059 18.535326441521924, 73.7605441388412 18.535326441521924))",18.53745570930655,73.7582983506309,,,,1115.912,,0.022,0.364,0.0,0.0,0.0,1115.934,0.0
Pune_5,"POLYGON ((73.7605441388412 18.539584977091174, 73.7605441388412 18.54384340651453, 73.75605256242059 18.54384340651453, 73.75605256242059 18.539584977091174, 73.7605441388412 18.539584977091174))",18.541714191802853,73.7582983506309,,,,1225.308,,1.082,3.711,0.0,0.0,0.0,1226.39,0.0
Pune_6,"POLYGON ((73.76503571526179 18.496994848279652, 73.76503571526179 18.50125433822199, 73.7605441388412 18.50125433822199, 73.7605441388412 18.496994848279652, 73.76503571526179 18.496994848279652))",18.499124593250823,73.76278992705149,,,,1649.367,,5.064,18.533,28.648,0.074,0.0,1683.079,0.074
Pune_7,"POLYGON ((73.76503571526179 18.50125433822199, 73.76503571526179 18.505513722206462, 73.7605441388412 18.505513722206462, 73.7605441388412 18.50125433822199, 73.76503571526179 18.50125433822199))",18.503384030214225,73.7627899270515,,,,2536.895,,14.871,54.49,46.928,0.151,0.0,2598.694,0.151
Pune_8,"POLYGON ((73.76503571526179 18.505513722206462, 73.76503571526179 18.50977300021216, 73.7605441388412 18.50977300021216, 73.7605441388412 18.505513722206462, 73.76503571526179 18.505513722206462))",18.50764336120931,73.7627899270515,,,,2782.275,,51.083,186.916,0.0,0.0,0.0,2833.358,0.0
Pune_9,"POLYGON ((73.76503571526179 18.526809052029268, 73.76503571526179 18.53106779982766, 73.7605441388412 18.53106779982766, 73.7605441388412 18.526809052029268, 73.76503571526179 18.526809052029268))",18.528938425928466,73.76278992705149,,,,1416.067,,2.09,7.501,45.581,0.146,0.0,1463.738,0.146
Pune_10,"POLYGON ((73.76503571526179 18.53106779982766, 73.76503571526179 18.535326441521924, 73.7605441388412 18.535326441521924, 73.7605441388412 18.53106779982766, 73.76503571526179 18.53106779982766))",18.533197120674792,73.7627899270515,,,,1198.873,,8.434,29.636,101.283,0.329,0.0,1308.59,0.329
