index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Raipur_0,"POLYGON ((81.54589524450566 21.23959841902048, 81.54589524450566 21.243784839606583, 81.54140366808505 21.243784839606583, 81.54140366808505 21.23959841902048, 81.54589524450566 21.23959841902048))",21.241691629313532,81.54364945629536,,,,893.548,,1.237,4.47,,,,894.785,0.0
Raipur_1,"POLYGON ((81.54589524450566 21.243784839606583, 81.54589524450566 21.247971141280743, 81.54140366808505 21.247971141280743, 81.54140366808505 21.243784839606583, 81.54589524450566 21.243784839606583))",21.245877990443663,81.54364945629537,,,,1152.773,,0.797,2.871,,,,1153.57,0.0
Raipur_2,"POLYGON ((81.54589524450566 21.247971141280743, 81.54589524450566 21.252157324024, 81.54140366808505 21.252157324024, 81.54140366808505 21.247971141280743, 81.54589524450566 21.247971141280743))",21.250064232652367,81.54364945629536,,,,1849.284,,15.842,57.27,,,,1865.126,0.0
Raipur_3,"POLYGON ((81.54589524450566 21.252157324024, 81.54589524450566 21.256343387817378, 81.54140366808505 21.256343387817378, 81.54140366808505 21.252157324024, 81.54589524450566 21.252157324024))",21.254250355920686,81.54364945629536,,,,1997.44,,6.89,24.712,,,,2004.33,0.0
Raipur_4,"POLYGON ((81.54589524450566 21.256343387817378, 81.54589524450566 21.26052933264192, 81.54140366808505 21.26052933264192, 81.54140366808505 21.256343387817378, 81.54589524450566 21.256343387817378))",21.258436360229645,81.54364945629536,,,,1997.44,,9.731,34.899,,,,2007.171,0.0
Raipur_5,"POLYGON ((81.54589524450566 21.26052933264192, 81.54589524450566 21.26471515847866, 81.54140366808505 21.26471515847866, 81.54140366808505 21.26052933264192, 81.54589524450566 21.26052933264192))",21.262622245560284,81.54364945629536,,,,1397.812,,12.87,46.167,,,,1410.682,0.0
Raipur_6,"POLYGON ((81.54589524450566 21.26471515847866, 81.54589524450566 21.268900865308638, 81.54140366808505 21.268900865308638, 81.54140366808505 21.26471515847866, 81.54589524450566 21.26471515847866))",21.266808011893648,81.54364945629534,,,,892.061,,8.042,28.948,,,,900.103,0.0
Raipur_7,"POLYGON ((81.54589524450566 21.268900865308638, 81.54589524450566 21.273086453112906, 81.54140366808505 21.273086453112906, 81.54140366808505 21.268900865308638, 81.54589524450566 21.268900865308638))",21.27099365921077,81.54364945629536,,,,909.962,,11.27,40.59,,,,921.232,0.0
Raipur_8,"POLYGON ((81.54589524450566 21.273086453112906, 81.54589524450566 21.27727192187251, 81.54140366808505 21.27727192187251, 81.54140366808505 21.273086453112906, 81.54589524450566 21.273086453112906))",21.27517918749271,81.54364945629536,,,,893.295,,11.774,42.575,,,,905.069,0.0
Raipur_9,"POLYGON ((81.54589524450566 21.27727192187251, 81.54589524450566 21.2814572715685, 81.54140366808505 21.2814572715685, 81.54140366808505 21.27727192187251, 81.54589524450566 21.27727192187251))",21.279364596720505,81.54364945629537,,,,807.393,,2.324,8.409,,,,809.717,0.0
Raipur_10,"POLYGON ((81.55038682092625 21.23959841902048, 81.55038682092625 21.243784839606583, 81.54589524450566 21.243784839606583, 81.54589524450566 21.23959841902048, 81.55038682092625 21.23959841902048))",21.241691629313532,81.54814103271596,,,,934.145,,0.0,0.0,,,,934.145,0.0
Raipur_11,"POLYGON ((81.55038682092625 21.243784839606583, 81.55038682092625 21.247971141280743, 81.54589524450566 21.247971141280743, 81.54589524450566 21.243784839606583, 81.55038682092625 21.243784839606583))",21.24587799044366,81.54814103271595,,,,1160.503,,8.76,31.648,,,,1169.263,0.0
Raipur_12,"POLYGON ((81.55038682092625 21.247971141280743, 81.55038682092625 21.252157324024, 81.54589524450566 21.252157324024, 81.54589524450566 21.247971141280743, 81.55038682092625 21.247971141280743))",21.25006423265237,81.54814103271595,,,,1750.633,,4.734,17.092,,,,1755.367,0.0
Raipur_13,"POLYGON ((81.55038682092625 21.252157324024, 81.55038682092625 21.256343387817378, 81.54589524450566 21.256343387817378, 81.54589524450566 21.252157324024, 81.55038682092625 21.252157324024))",21.25425035592069,81.54814103271595,,,,2436.796,,29.205,104.763,,,,2466.001,0.0
Raipur_14,"POLYGON ((81.55038682092625 21.256343387817378, 81.55038682092625 21.26052933264192, 81.54589524450566 21.26052933264192, 81.54589524450566 21.256343387817378, 81.55038682092625 21.256343387817378))",21.258436360229645,81.54814103271596,,,,2436.796,,5.012,18.003,,,,2441.808,0.0
Raipur_15,"POLYGON ((81.55038682092625 21.26052933264192, 81.55038682092625 21.26471515847866, 81.54589524450566 21.26471515847866, 81.54589524450566 21.26052933264192, 81.55038682092625 21.26052933264192))",21.262622245560287,81.54814103271596,,,,1647.633,,51.073,183.213,,,,1698.706,0.0
Raipur_16,"POLYGON ((81.55038682092625 21.26471515847866, 81.55038682092625 21.268900865308638, 81.54589524450566 21.268900865308638, 81.54589524450566 21.26471515847866, 81.55038682092625 21.26471515847866))",21.266808011893648,81.54814103271596,,,,1038.985,,7.373,26.579,,,,1046.358,0.0
Raipur_17,"POLYGON ((81.55038682092625 21.268900865308638, 81.55038682092625 21.273086453112906, 81.54589524450566 21.273086453112906, 81.54589524450566 21.268900865308638, 81.55038682092625 21.268900865308638))",21.270993659210774,81.54814103271596,,,,1097.497,,3.397,12.244,,,,1100.894,0.0
Raipur_18,"POLYGON ((81.55038682092625 21.273086453112906, 81.55038682092625 21.27727192187251, 81.54589524450566 21.27727192187251, 81.54589524450566 21.273086453112906, 81.55038682092625 21.273086453112906))",21.27517918749271,81.54814103271595,,,,1053.454,,160.741,581.277,,,,1214.195,0.0
