index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Rajkot_0,"POLYGON ((70.72937612085948 22.301672768319737, 70.72937612085948 22.305828306898974, 70.7248845444389 22.305828306898974, 70.7248845444389 22.301672768319737, 70.72937612085948 22.301672768319737))",22.303750537609353,70.7271303326492,,,,978.624,,2.27,8.636,,,,980.894,0.0
Rajkot_1,"POLYGON ((70.72937612085948 22.305828306898974, 70.72937612085948 22.309983721836115, 70.7248845444389 22.309983721836115, 70.7248845444389 22.305828306898974, 70.72937612085948 22.305828306898974))",22.307906014367546,70.72713033264918,,,,940.901,,0.0,0.0,,,,940.901,0.0
Rajkot_2,"POLYGON ((70.72937612085948 22.309983721836115, 70.72937612085948 22.314139013113003, 70.7248845444389 22.314139013113003, 70.7248845444389 22.309983721836115, 70.72937612085948 22.309983721836115))",22.31206136747456,70.7271303326492,,,,765.287,,0.836,3.2,,,,766.123,0.0
Rajkot_3,"POLYGON ((70.72937612085948 22.314139013113003, 70.72937612085948 22.31829418071145, 70.7248845444389 22.31829418071145, 70.7248845444389 22.314139013113003, 70.72937612085948 22.314139013113003))",22.316216596912223,70.7271303326492,,,,709.836,,0.265,1.009,,,,710.101,0.0
Rajkot_4,"POLYGON ((70.72937612085948 22.31829418071145, 70.72937612085948 22.32244922461328, 70.7248845444389 22.32244922461328, 70.7248845444389 22.31829418071145, 70.72937612085948 22.31829418071145))",22.320371702662364,70.7271303326492,,,,829.24,,0.082,0.431,,,,829.322,0.0
Rajkot_5,"POLYGON ((70.72937612085948 22.32244922461328, 70.72937612085948 22.326604144800335, 70.7248845444389 22.326604144800335, 70.7248845444389 22.32244922461328, 70.72937612085948 22.32244922461328))",22.324526684706807,70.7271303326492,,,,911.22,,4.628,18.872,,,,915.848,0.0
Rajkot_6,"POLYGON ((70.73386769728009 22.297517106116594, 70.73386769728009 22.301672768319737, 70.72937612085948 22.301672768319737, 70.72937612085948 22.297517106116594, 70.73386769728009 22.297517106116594))",22.299594937218163,70.73162190906979,,,,1741.426,,2.764,10.547,,,,1744.19,0.0
Rajkot_7,"POLYGON ((70.73386769728009 22.301672768319737, 70.73386769728009 22.305828306898974, 70.72937612085948 22.305828306898974, 70.72937612085948 22.301672768319737, 70.73386769728009 22.301672768319737))",22.30375053760935,70.73162190906979,,,,1232.747,,1.868,7.108,,,,1234.615,0.0
Rajkot_8,"POLYGON ((70.73386769728009 22.305828306898974, 70.73386769728009 22.309983721836115, 70.72937612085948 22.309983721836115, 70.72937612085948 22.305828306898974, 70.73386769728009 22.305828306898974))",22.307906014367546,70.7316219090698,,,,1209.093,,0.718,2.79,,,,1209.811,0.0
Rajkot_9,"POLYGON ((70.73386769728009 22.309983721836115, 70.73386769728009 22.314139013113003, 70.72937612085948 22.314139013113003, 70.72937612085948 22.309983721836115, 70.73386769728009 22.309983721836115))",22.312061367474556,70.73162190906979,,,,1093.396,,1.836,7.153,,,,1095.232,0.0
Rajkot_10,"POLYGON ((70.73386769728009 22.314139013113003, 70.73386769728009 22.31829418071145, 70.72937612085948 22.31829418071145, 70.72937612085948 22.314139013113003, 70.73386769728009 22.314139013113003))",22.31621659691223,70.73162190906979,,,,1217.167,,0.765,2.989,,,,1217.932,0.0
Rajkot_11,"POLYGON ((70.73386769728009 22.31829418071145, 70.73386769728009 22.32244922461328, 70.72937612085948 22.32244922461328, 70.72937612085948 22.31829418071145, 70.73386769728009 22.31829418071145))",22.320371702662364,70.73162190906979,,,,1480.141,,0.507,2.112,,,,1480.648,0.0
Rajkot_12,"POLYGON ((70.73386769728009 22.32244922461328, 70.73386769728009 22.326604144800335, 70.72937612085948 22.326604144800335, 70.72937612085948 22.32244922461328, 70.73386769728009 22.32244922461328))",22.324526684706807,70.73162190906979,,,,1524.222,,3.509,14.333,,,,1527.731,0.0
Rajkot_13,"POLYGON ((70.7383592737007 22.24763952363647, 70.7383592737007 22.25179666790721, 70.73386769728009 22.25179666790721, 70.73386769728009 22.24763952363647, 70.7383592737007 22.24763952363647))",22.249718095771843,70.73611348549039,,,,1360.543,,31.745,120.008,,,,1392.288,0.0
Rajkot_14,"POLYGON ((70.7383592737007 22.25179666790721, 70.7383592737007 22.255953688772465, 70.73386769728009 22.255953688772465, 70.73386769728009 22.25179666790721, 70.7383592737007 22.25179666790721))",22.25387517833984,70.73611348549039,,,,1115.08,,12.819,47.423,,,,1127.899,0.0
Rajkot_15,"POLYGON ((70.7383592737007 22.297517106116594, 70.7383592737007 22.301672768319737, 70.73386769728009 22.301672768319737, 70.73386769728009 22.297517106116594, 70.7383592737007 22.297517106116594))",22.299594937218163,70.73611348549039,,,,1937.857,,0.625,2.306,,,,1938.482,0.0
Rajkot_16,"POLYGON ((70.7383592737007 22.301672768319737, 70.7383592737007 22.305828306898974, 70.73386769728009 22.305828306898974, 70.73386769728009 22.301672768319737, 70.7383592737007 22.301672768319737))",22.30375053760935,70.73611348549038,,,,2207.672,,7.647,27.771,,,,2215.319,0.0
Rajkot_17,"POLYGON ((70.7383592737007 22.305828306898974, 70.7383592737007 22.309983721836115, 70.73386769728009 22.309983721836115, 70.73386769728009 22.305828306898974, 70.7383592737007 22.305828306898974))",22.307906014367546,70.73611348549039,,,,1600.9,,0.561,2.181,,,,1601.461,0.0
Rajkot_18,"POLYGON ((70.7383592737007 22.309983721836115, 70.7383592737007 22.314139013113003, 70.73386769728009 22.314139013113003, 70.73386769728009 22.309983721836115, 70.7383592737007 22.309983721836115))",22.312061367474556,70.73611348549039,,,,1355.001,,0.484,1.832,,,,1355.485,0.0
Rajkot_19,"POLYGON ((70.7383592737007 22.314139013113003, 70.7383592737007 22.31829418071145, 70.73386769728009 22.31829418071145, 70.73386769728009 22.314139013113003, 70.7383592737007 22.314139013113003))",22.31621659691223,70.73611348549039,,,,1497.721,,0.724,2.761,,,,1498.445,0.0
Rajkot_20,"POLYGON ((70.7383592737007 22.31829418071145, 70.7383592737007 22.32244922461328, 70.73386769728009 22.32244922461328, 70.73386769728009 22.31829418071145, 70.7383592737007 22.31829418071145))",22.320371702662364,70.7361134854904,,,,1852.342,,1.485,5.679,,,,1853.827,0.0
