index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Ranchi_0,"POLYGON ((85.25800357642059 23.325998892222348, 85.25800357642059 23.33012329372035, 85.253512 23.33012329372035, 85.253512 23.325998892222348, 85.25800357642059 23.325998892222348))",23.32806109297135,85.2557577882103,,,,2021.523,,4.647,17.404,,,,2026.17,0.0
Ranchi_1,"POLYGON ((85.25800357642059 23.33012329372035, 85.25800357642059 23.334247567175133, 85.253512 23.334247567175133, 85.253512 23.33012329372035, 85.25800357642059 23.33012329372035))",23.332185430447744,85.25575778821029,,,,2405.002,,10.932,40.925,,,,2415.934,0.0
Ranchi_2,"POLYGON ((85.2624951528412 23.276496093210525, 85.2624951528412 23.280622029869335, 85.25800357642059 23.280622029869335, 85.25800357642059 23.276496093210525, 85.2624951528412 23.276496093210525))",23.27855906153993,85.26024936463088,,,,284.184,,1.053,3.988,,,,285.237,0.0
Ranchi_3,"POLYGON ((85.2624951528412 23.280622029869335, 85.2624951528412 23.2847478386939, 85.25800357642059 23.2847478386939, 85.25800357642059 23.280622029869335, 85.2624951528412 23.280622029869335))",23.28268493428162,85.2602493646309,,,,306.801,,0.369,1.111,,,,307.17,0.0
Ranchi_4,"POLYGON ((85.2624951528412 23.2847478386939, 85.2624951528412 23.28887351966678, 85.25800357642059 23.28887351966678, 85.25800357642059 23.2847478386939, 85.2624951528412 23.2847478386939))",23.28681067918034,85.2602493646309,,,,347.498,,0.0,0.0,,,,347.498,0.0
Ranchi_5,"POLYGON ((85.2624951528412 23.28887351966678, 85.2624951528412 23.29299907277055, 85.25800357642059 23.29299907277055, 85.25800357642059 23.28887351966678, 85.2624951528412 23.28887351966678))",23.290936296218668,85.2602493646309,,,,555.325,,0.0,0.0,,,,555.325,0.0
Ranchi_6,"POLYGON ((85.2624951528412 23.29299907277055, 85.2624951528412 23.297124497987785, 85.25800357642059 23.297124497987785, 85.25800357642059 23.29299907277055, 85.2624951528412 23.29299907277055))",23.29506178537917,85.26024936463088,,,,1241.122,,4.272,15.96,,,,1245.394,0.0
Ranchi_7,"POLYGON ((85.2624951528412 23.297124497987785, 85.2624951528412 23.301249795301068, 85.25800357642059 23.301249795301068, 85.25800357642059 23.297124497987785, 85.2624951528412 23.297124497987785))",23.299187146644424,85.2602493646309,,,,1991.654,,22.8,85.374,,,,2014.454,0.0
Ranchi_8,"POLYGON ((85.2624951528412 23.301249795301068, 85.2624951528412 23.305374964692962, 85.25800357642059 23.305374964692962, 85.25800357642059 23.301249795301068, 85.2624951528412 23.301249795301068))",23.303312379997017,85.2602493646309,,,,1405.038,,8.847,32.784,,,,1413.885,0.0
Ranchi_9,"POLYGON ((85.2624951528412 23.305374964692962, 85.2624951528412 23.30950000614607, 85.25800357642059 23.30950000614607, 85.25800357642059 23.305374964692962, 85.2624951528412 23.305374964692962))",23.30743748541952,85.2602493646309,,,,927.971,,0.0,0.0,,,,927.971,0.0
Ranchi_10,"POLYGON ((85.2624951528412 23.31774970516625, 85.2624951528412 23.321874362698512, 85.25800357642059 23.321874362698512, 85.25800357642059 23.31774970516625, 85.2624951528412 23.31774970516625))",23.319812033932376,85.2602493646309,,,,1339.883,,23.551,87.467,,,,1363.434,0.0
Ranchi_11,"POLYGON ((85.2624951528412 23.321874362698512, 85.2624951528412 23.325998892222348, 85.25800357642059 23.325998892222348, 85.25800357642059 23.321874362698512, 85.2624951528412 23.321874362698512))",23.323936627460434,85.2602493646309,,,,1576.651,,4.371,16.316,,,,1581.022,0.0
Ranchi_12,"POLYGON ((85.2624951528412 23.325998892222348, 85.2624951528412 23.33012329372035, 85.25800357642059 23.33012329372035, 85.25800357642059 23.325998892222348, 85.2624951528412 23.325998892222348))",23.328061092971353,85.26024936463091,,,,2040.107,,12.635,46.989,,,,2052.742,0.0
Ranchi_13,"POLYGON ((85.2624951528412 23.33012329372035, 85.2624951528412 23.334247567175133, 85.25800357642059 23.334247567175133, 85.25800357642059 23.33012329372035, 85.2624951528412 23.33012329372035))",23.332185430447744,85.2602493646309,,,,1851.141,,13.092,48.531,,,,1864.233,0.0
Ranchi_14,"POLYGON ((85.2624951528412 23.334247567175133, 85.2624951528412 23.3383717125693, 85.25800357642059 23.3383717125693, 85.25800357642059 23.334247567175133, 85.2624951528412 23.334247567175133))",23.336309639872216,85.2602493646309,,,,1348.762,,0.0,0.0,,,,1348.762,0.0
Ranchi_15,"POLYGON ((85.2624951528412 23.363113894687668, 85.2624951528412 23.367237143170755, 85.25800357642059 23.367237143170755, 85.25800357642059 23.363113894687668, 85.2624951528412 23.363113894687668))",23.365175518929213,85.2602493646309,,,,917.472,,3.332,12.076,,,,920.804,0.0
Ranchi_16,"POLYGON ((85.2624951528412 23.367237143170755, 85.2624951528412 23.371360263454182, 85.25800357642059 23.371360263454182, 85.25800357642059 23.367237143170755, 85.2624951528412 23.367237143170755))",23.36929870331247,85.2602493646309,,,,991.092,,26.985,96.865,,,,1018.077,0.0
Ranchi_17,"POLYGON ((85.2624951528412 23.371360263454182, 85.2624951528412 23.375483255520596, 85.25800357642059 23.375483255520596, 85.25800357642059 23.371360263454182, 85.2624951528412 23.371360263454182))",23.373421759487393,85.2602493646309,,,,1481.839,,41.987,150.695,,,,1523.826,0.0
Ranchi_18,"POLYGON ((85.26698672926179 23.276496093210525, 85.26698672926179 23.280622029869335, 85.2624951528412 23.280622029869335, 85.2624951528412 23.276496093210525, 85.26698672926179 23.276496093210525))",23.27855906153993,85.26474094105151,,,,300.348,,5.188,19.677,,,,305.536,0.0
Ranchi_19,"POLYGON ((85.26698672926179 23.280622029869335, 85.26698672926179 23.2847478386939, 85.2624951528412 23.2847478386939, 85.2624951528412 23.280622029869335, 85.26698672926179 23.280622029869335))",23.282684934281622,85.2647409410515,,,,322.682,,0.243,0.82,,,,322.925,0.0
Ranchi_20,"POLYGON ((85.26698672926179 23.2847478386939, 85.26698672926179 23.28887351966678, 85.2624951528412 23.28887351966678, 85.2624951528412 23.2847478386939, 85.26698672926179 23.2847478386939))",23.28681067918034,85.2647409410515,,,,471.172,,0.0,0.0,,,,471.172,0.0
Ranchi_21,"POLYGON ((85.26698672926179 23.28887351966678, 85.26698672926179 23.29299907277055, 85.2624951528412 23.29299907277055, 85.2624951528412 23.28887351966678, 85.26698672926179 23.28887351966678))",23.290936296218668,85.26474094105149,,,,950.233,,4.887,18.452,,,,955.12,0.0
Ranchi_22,"POLYGON ((85.26698672926179 23.29299907277055, 85.26698672926179 23.297124497987785, 85.2624951528412 23.297124497987785, 85.2624951528412 23.29299907277055, 85.26698672926179 23.29299907277055))",23.29506178537917,85.2647409410515,,,,1665.504,,10.837,40.604,,,,1676.341,0.0
Ranchi_23,"POLYGON ((85.26698672926179 23.297124497987785, 85.26698672926179 23.301249795301068, 85.2624951528412 23.301249795301068, 85.2624951528412 23.297124497987785, 85.26698672926179 23.297124497987785))",23.29918714664442,85.26474094105151,,,,1977.807,,27.755,103.937,,,,2005.562,0.0
Ranchi_24,"POLYGON ((85.26698672926179 23.301249795301068, 85.26698672926179 23.305374964692962, 85.2624951528412 23.305374964692962, 85.2624951528412 23.301249795301068, 85.26698672926179 23.301249795301068))",23.303312379997017,85.2647409410515,,,,1483.523,,8.303,30.908,,,,1491.826,0.0
Ranchi_25,"POLYGON ((85.26698672926179 23.305374964692962, 85.26698672926179 23.30950000614607, 85.2624951528412 23.30950000614607, 85.2624951528412 23.305374964692962, 85.26698672926179 23.305374964692962))",23.30743748541952,85.2647409410515,,,,1574.911,,1.326,4.957,,,,1576.237,0.0
Ranchi_26,"POLYGON ((85.26698672926179 23.30950000614607, 85.26698672926179 23.313624919642972, 85.2624951528412 23.313624919642972, 85.2624951528412 23.30950000614607, 85.26698672926179 23.30950000614607))",23.31156246289452,85.2647409410515,,,,2096.266,,7.782,28.859,,,,2104.048,0.0
Ranchi_27,"POLYGON ((85.26698672926179 23.313624919642972, 85.26698672926179 23.31774970516625, 85.2624951528412 23.31774970516625, 85.2624951528412 23.313624919642972, 85.26698672926179 23.313624919642972))",23.315687312404613,85.2647409410515,,,,2096.266,,15.773,58.529,,,,2112.039,0.0
Ranchi_28,"POLYGON ((85.26698672926179 23.31774970516625, 85.26698672926179 23.321874362698512, 85.2624951528412 23.321874362698512, 85.2624951528412 23.31774970516625, 85.26698672926179 23.31774970516625))",23.319812033932383,85.26474094105149,,,,2232.66,,13.564,50.326,,,,2246.224,0.0
Ranchi_29,"POLYGON ((85.26698672926179 23.321874362698512, 85.26698672926179 23.325998892222348, 85.2624951528412 23.325998892222348, 85.2624951528412 23.321874362698512, 85.26698672926179 23.321874362698512))",23.32393662746043,85.2647409410515,,,,3651.951,,2.752,10.253,,,,3654.703,0.0
Ranchi_30,"POLYGON ((85.26698672926179 23.325998892222348, 85.26698672926179 23.33012329372035, 85.2624951528412 23.33012329372035, 85.2624951528412 23.325998892222348, 85.26698672926179 23.325998892222348))",23.32806109297135,85.26474094105149,,,,4700.182,,3.285,12.259,,,,4703.467,0.0
Ranchi_31,"POLYGON ((85.26698672926179 23.33012329372035, 85.26698672926179 23.334247567175133, 85.2624951528412 23.334247567175133, 85.2624951528412 23.33012329372035, 85.26698672926179 23.33012329372035))",23.332185430447744,85.26474094105149,,,,1340.598,,10.468,38.758,,,,1351.066,0.0
Ranchi_32,"POLYGON ((85.26698672926179 23.334247567175133, 85.26698672926179 23.3383717125693, 85.2624951528412 23.3383717125693, 85.2624951528412 23.334247567175133, 85.26698672926179 23.334247567175133))",23.33630963987222,85.2647409410515,,,,968.11,,0.0,0.0,,,,968.11,0.0
Ranchi_33,"POLYGON ((85.26698672926179 23.35486701319202, 85.26698672926179 23.358990518022303, 85.2624951528412 23.358990518022303, 85.2624951528412 23.35486701319202, 85.26698672926179 23.35486701319202))",23.35692876560716,85.26474094105149,,,,1759.806,,34.39,124.498,,,,1794.196,0.0
Ranchi_34,"POLYGON ((85.26698672926179 23.358990518022303, 85.26698672926179 23.363113894687668, 85.2624951528412 23.363113894687668, 85.2624951528412 23.358990518022303, 85.26698672926179 23.358990518022303))",23.361052206354984,85.26474094105149,,,,1180.6,,2.961,10.695,,,,1183.561,0.0
Ranchi_35,"POLYGON ((85.26698672926179 23.363113894687668, 85.26698672926179 23.367237143170755, 85.2624951528412 23.367237143170755, 85.2624951528412 23.363113894687668, 85.26698672926179 23.363113894687668))",23.36517551892921,85.26474094105149,,,,1180.6,,0.113,0.731,,,,1180.713,0.0
Ranchi_36,"POLYGON ((85.26698672926179 23.367237143170755, 85.26698672926179 23.371360263454182, 85.2624951528412 23.371360263454182, 85.2624951528412 23.367237143170755, 85.26698672926179 23.367237143170755))",23.369298703312467,85.2647409410515,,,,1032.33,,62.05,222.674,,,,1094.38,0.0
Ranchi_37,"POLYGON ((85.26698672926179 23.371360263454182, 85.26698672926179 23.375483255520596, 85.2624951528412 23.375483255520596, 85.2624951528412 23.371360263454182, 85.26698672926179 23.371360263454182))",23.373421759487393,85.2647409410515,,,,1532.557,,115.571,414.762,,,,1648.128,0.0
Ranchi_38,"POLYGON ((85.26698672926179 23.375483255520596, 85.26698672926179 23.379606119352623, 85.2624951528412 23.379606119352623, 85.2624951528412 23.375483255520596, 85.26698672926179 23.375483255520596))",23.377544687436608,85.26474094105149,,,,1364.084,,8.664,30.914,,,,1372.748,0.0
Ranchi_39,"POLYGON ((85.2714783056824 23.276496093210525, 85.2714783056824 23.280622029869335, 85.26698672926179 23.280622029869335, 85.26698672926179 23.276496093210525, 85.2714783056824 23.276496093210525))",23.27855906153993,85.26923251747209,,,,318.271,,11.275,42.124,,,,329.546,0.0
Ranchi_40,"POLYGON ((85.2714783056824 23.280622029869335, 85.2714783056824 23.2847478386939, 85.26698672926179 23.2847478386939, 85.26698672926179 23.280622029869335, 85.2714783056824 23.280622029869335))",23.28268493428162,85.26923251747209,,,,377.921,,0.07,0.365,,,,377.991,0.0
Ranchi_41,"POLYGON ((85.2714783056824 23.2847478386939, 85.2714783056824 23.28887351966678, 85.26698672926179 23.28887351966678, 85.26698672926179 23.2847478386939, 85.2714783056824 23.2847478386939))",23.28681067918034,85.26923251747209,,,,682.275,,0.0,0.0,,,,682.275,0.0
Ranchi_42,"POLYGON ((85.2714783056824 23.28887351966678, 85.2714783056824 23.29299907277055, 85.26698672926179 23.29299907277055, 85.26698672926179 23.28887351966678, 85.2714783056824 23.28887351966678))",23.290936296218668,85.2692325174721,,,,1452.413,,23.092,86.088,,,,1475.505,0.0
Ranchi_43,"POLYGON ((85.2714783056824 23.29299907277055, 85.2714783056824 23.297124497987785, 85.26698672926179 23.297124497987785, 85.26698672926179 23.29299907277055, 85.2714783056824 23.29299907277055))",23.29506178537917,85.26923251747209,,,,2230.074,,71.165,262.907,,,,2301.239,0.0
Ranchi_44,"POLYGON ((85.2714783056824 23.297124497987785, 85.2714783056824 23.301249795301068, 85.26698672926179 23.301249795301068, 85.26698672926179 23.297124497987785, 85.2714783056824 23.297124497987785))",23.299187146644424,85.26923251747209,,,,2266.81,,71.32,263.75,,,,2338.13,0.0
Ranchi_45,"POLYGON ((85.2714783056824 23.301249795301068, 85.2714783056824 23.305374964692962, 85.26698672926179 23.305374964692962, 85.26698672926179 23.301249795301068, 85.2714783056824 23.301249795301068))",23.303312379997017,85.26923251747208,,,,2108.551,,0.052,0.365,,,,2108.603,0.0
Ranchi_46,"POLYGON ((85.2714783056824 23.305374964692962, 85.2714783056824 23.30950000614607, 85.26698672926179 23.30950000614607, 85.26698672926179 23.305374964692962, 85.2714783056824 23.305374964692962))",23.30743748541952,85.26923251747209,,,,2806.566,,58.574,215.338,,,,2865.14,0.0
Ranchi_47,"POLYGON ((85.2714783056824 23.30950000614607, 85.2714783056824 23.313624919642972, 85.26698672926179 23.313624919642972, 85.26698672926179 23.30950000614607, 85.2714783056824 23.30950000614607))",23.311562462894518,85.2692325174721,,,,3397.448,,83.046,303.624,,,,3480.494,0.0
Ranchi_48,"POLYGON ((85.2714783056824 23.313624919642972, 85.2714783056824 23.31774970516625, 85.26698672926179 23.31774970516625, 85.26698672926179 23.313624919642972, 85.2714783056824 23.313624919642972))",23.315687312404616,85.26923251747209,,,,3397.448,,24.13,88.194,,,,3421.578,0.0
Ranchi_49,"POLYGON ((85.2714783056824 23.31774970516625, 85.2714783056824 23.321874362698512, 85.26698672926179 23.321874362698512, 85.26698672926179 23.31774970516625, 85.2714783056824 23.31774970516625))",23.319812033932376,85.26923251747209,,,,3304.017,,8.773,31.985,,,,3312.79,0.0
Ranchi_50,"POLYGON ((85.2714783056824 23.321874362698512, 85.2714783056824 23.325998892222348, 85.26698672926179 23.325998892222348, 85.26698672926179 23.321874362698512, 85.2714783056824 23.321874362698512))",23.323936627460434,85.26923251747209,,,,6530.367,,10.801,39.365,,,,6541.168,0.0
Ranchi_51,"POLYGON ((85.2714783056824 23.325998892222348, 85.2714783056824 23.33012329372035, 85.26698672926179 23.33012329372035, 85.26698672926179 23.325998892222348, 85.2714783056824 23.325998892222348))",23.328061092971353,85.26923251747209,,,,8282.358,,0.0,0.0,,,,8282.358,0.0
Ranchi_52,"POLYGON ((85.2714783056824 23.33012329372035, 85.2714783056824 23.334247567175133, 85.26698672926179 23.334247567175133, 85.26698672926179 23.33012329372035, 85.2714783056824 23.33012329372035))",23.332185430447744,85.26923251747209,,,,1179.061,,0.0,0.0,,,,1179.061,0.0
Ranchi_53,"POLYGON ((85.2714783056824 23.334247567175133, 85.2714783056824 23.3383717125693, 85.26698672926179 23.3383717125693, 85.26698672926179 23.334247567175133, 85.2714783056824 23.334247567175133))",23.336309639872216,85.2692325174721,,,,1086.27,,0.0,0.0,,,,1086.27,0.0
Ranchi_54,"POLYGON ((85.2714783056824 23.342495729885457, 85.2714783056824 23.346619619106217, 85.26698672926179 23.346619619106217, 85.26698672926179 23.342495729885457, 85.2714783056824 23.342495729885457))",23.34455767449584,85.26923251747209,,,,1543.429,,54.817,198.781,,,,1598.246,0.0
Ranchi_55,"POLYGON ((85.2714783056824 23.346619619106217, 85.2714783056824 23.350743380214205, 85.26698672926179 23.350743380214205, 85.26698672926179 23.346619619106217, 85.2714783056824 23.346619619106217))",23.34868149966021,85.26923251747209,,,,1526.686,,46.802,167.634,,,,1573.488,0.0
Ranchi_56,"POLYGON ((85.2714783056824 23.350743380214205, 85.2714783056824 23.35486701319202, 85.26698672926179 23.35486701319202, 85.26698672926179 23.350743380214205, 85.2714783056824 23.350743380214205))",23.352805196703113,85.26923251747209,,,,1938.973,,10.614,38.017,,,,1949.587,0.0
Ranchi_57,"POLYGON ((85.2714783056824 23.35486701319202, 85.2714783056824 23.358990518022303, 85.26698672926179 23.358990518022303, 85.26698672926179 23.35486701319202, 85.2714783056824 23.35486701319202))",23.35692876560716,85.26923251747209,,,,2204.78,,65.999,234.12,,,,2270.779,0.0
Ranchi_58,"POLYGON ((85.2714783056824 23.358990518022303, 85.2714783056824 23.363113894687668, 85.26698672926179 23.363113894687668, 85.26698672926179 23.358990518022303, 85.2714783056824 23.358990518022303))",23.361052206354984,85.26923251747209,,,,1665.345,,111.89,396.954,,,,1777.235,0.0
Ranchi_59,"POLYGON ((85.2714783056824 23.363113894687668, 85.2714783056824 23.367237143170755, 85.26698672926179 23.367237143170755, 85.26698672926179 23.363113894687668, 85.2714783056824 23.363113894687668))",23.365175518929213,85.26923251747209,,,,1665.345,,17.732,62.9,,,,1683.077,0.0
Ranchi_60,"POLYGON ((85.2714783056824 23.367237143170755, 85.2714783056824 23.371360263454182, 85.26698672926179 23.371360263454182, 85.26698672926179 23.367237143170755, 85.2714783056824 23.367237143170755))",23.36929870331247,85.26923251747209,,,,1171.595,,12.07,42.451,,,,1183.665,0.0
Ranchi_61,"POLYGON ((85.2714783056824 23.371360263454182, 85.2714783056824 23.375483255520596, 85.26698672926179 23.375483255520596, 85.26698672926179 23.371360263454182, 85.2714783056824 23.371360263454182))",23.373421759487393,85.26923251747209,,,,1543.941,,149.529,525.868,,,,1693.47,0.0
Ranchi_62,"POLYGON ((85.2714783056824 23.375483255520596, 85.2714783056824 23.379606119352623, 85.26698672926179 23.379606119352623, 85.26698672926179 23.375483255520596, 85.2714783056824 23.375483255520596))",23.377544687436608,85.26923251747209,,,,1408.724,,35.328,124.002,,,,1444.052,0.0
Ranchi_63,"POLYGON ((85.2714783056824 23.379606119352623, 85.2714783056824 23.38372885493292, 85.26698672926179 23.38372885493292, 85.26698672926179 23.379606119352623, 85.2714783056824 23.379606119352623))",23.381667487142774,85.26923251747209,,,,931.253,,30.061,105.53,,,,961.314,0.0
Ranchi_64,"POLYGON ((85.27596988210298 23.26411751640297, 85.27596988210298 23.268243836459902, 85.2714783056824 23.268243836459902, 85.2714783056824 23.26411751640297, 85.27596988210298 23.26411751640297))",23.266180676431432,85.2737240938927,,,,329.609,,7.008,26.226,,,,336.617,0.0
Ranchi_65,"POLYGON ((85.27596988210298 23.268243836459902, 85.27596988210298 23.2723700287349, 85.2714783056824 23.2723700287349, 85.2714783056824 23.268243836459902, 85.27596988210298 23.268243836459902))",23.2703069325974,85.2737240938927,,,,375.317,,4.027,15.086,,,,379.344,0.0
Ranchi_66,"POLYGON ((85.27596988210298 23.2723700287349, 85.27596988210298 23.276496093210525, 85.2714783056824 23.276496093210525, 85.2714783056824 23.2723700287349, 85.27596988210298 23.2723700287349))",23.27443306097271,85.27372409389268,,,,302.523,,10.701,40.118,,,,313.224,0.0
Ranchi_67,"POLYGON ((85.27596988210298 23.276496093210525, 85.27596988210298 23.280622029869335, 85.2714783056824 23.280622029869335, 85.2714783056824 23.276496093210525, 85.27596988210298 23.276496093210525))",23.27855906153993,85.2737240938927,,,,308.633,,0.119,0.731,,,,308.752,0.0
Ranchi_68,"POLYGON ((85.27596988210298 23.280622029869335, 85.27596988210298 23.2847478386939, 85.2714783056824 23.2847478386939, 85.2714783056824 23.280622029869335, 85.27596988210298 23.280622029869335))",23.282684934281622,85.2737240938927,,,,465.714,,0.692,2.57,,,,466.406,0.0
Ranchi_69,"POLYGON ((85.27596988210298 23.2847478386939, 85.27596988210298 23.28887351966678, 85.2714783056824 23.28887351966678, 85.2714783056824 23.2847478386939, 85.27596988210298 23.2847478386939))",23.28681067918034,85.27372409389271,,,,911.319,,7.152,26.697,,,,918.471,0.0
Ranchi_70,"POLYGON ((85.27596988210298 23.28887351966678, 85.27596988210298 23.29299907277055, 85.2714783056824 23.29299907277055, 85.2714783056824 23.28887351966678, 85.27596988210298 23.28887351966678))",23.290936296218668,85.27372409389268,,,,1698.02,,28.512,106.349,,,,1726.532,0.0
Ranchi_71,"POLYGON ((85.27596988210298 23.29299907277055, 85.27596988210298 23.297124497987785, 85.2714783056824 23.297124497987785, 85.2714783056824 23.29299907277055, 85.27596988210298 23.29299907277055))",23.29506178537917,85.27372409389268,,,,2643.164,,61.439,227.159,,,,2704.603,0.0
Ranchi_72,"POLYGON ((85.27596988210298 23.297124497987785, 85.27596988210298 23.301249795301068, 85.2714783056824 23.301249795301068, 85.2714783056824 23.297124497987785, 85.27596988210298 23.297124497987785))",23.29918714664442,85.27372409389268,,,,2699.022,,132.223,488.848,,,,2831.245,0.0
