index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Sagar_0,"POLYGON ((78.71399229418279 23.81075778689448, 78.71399229418279 23.814866992739898, 78.70950071776218 23.814866992739898, 78.70950071776218 23.81075778689448, 78.71399229418279 23.81075778689448))",23.81281238981719,78.71174650597249,,,,234.531,,8.407,28.403,,,,242.938,0.0
Sagar_1,"POLYGON ((78.71399229418279 23.814866992739898, 78.71399229418279 23.81897606851599, 78.70950071776218 23.81897606851599, 78.70950071776218 23.814866992739898, 78.71399229418279 23.814866992739898))",23.816921530627944,78.71174650597249,,,,213.686,,0.0,0.0,,,,213.686,0.0
Sagar_2,"POLYGON ((78.71399229418279 23.81897606851599, 78.71399229418279 23.82308501420574, 78.70950071776218 23.82308501420574, 78.70950071776218 23.81897606851599, 78.71399229418279 23.81897606851599))",23.821030541360866,78.71174650597249,,,,189.535,,0.0,0.0,,,,189.535,0.0
Sagar_3,"POLYGON ((78.71399229418279 23.82308501420574, 78.71399229418279 23.82719382979214, 78.70950071776218 23.82719382979214, 78.70950071776218 23.82308501420574, 78.71399229418279 23.82308501420574))",23.825139421998944,78.71174650597249,,,,219.126,,0.446,1.455,,,,219.572,0.0
Sagar_4,"POLYGON ((78.71399229418279 23.82719382979214, 78.71399229418279 23.831302515258173, 78.70950071776218 23.831302515258173, 78.70950071776218 23.82719382979214, 78.71399229418279 23.82719382979214))",23.829248172525155,78.71174650597249,,,,326.013,,0.03,0.365,,,,326.043,0.0
Sagar_5,"POLYGON ((78.71399229418279 23.831302515258173, 78.71399229418279 23.835411070586837, 78.70950071776218 23.835411070586837, 78.70950071776218 23.831302515258173, 78.71399229418279 23.831302515258173))",23.833356792922505,78.71174650597249,,,,540.074,,7.87,25.846,,,,547.944,0.0
Sagar_6,"POLYGON ((78.71399229418279 23.835411070586837, 78.71399229418279 23.83951949576112, 78.70950071776218 23.83951949576112, 78.70950071776218 23.835411070586837, 78.71399229418279 23.835411070586837))",23.837465283173973,78.71174650597249,,,,561.107,,11.399,37.442,,,,572.506,0.0
Sagar_7,"POLYGON ((78.71399229418279 23.83951949576112, 78.71399229418279 23.843627790764028, 78.70950071776218 23.843627790764028, 78.70950071776218 23.83951949576112, 78.71399229418279 23.83951949576112))",23.841573643262574,78.71174650597249,,,,426.052,,34.798,114.106,,,,460.85,0.0
Sagar_8,"POLYGON ((78.71399229418279 23.843627790764028, 78.71399229418279 23.84773595557857, 78.70950071776218 23.84773595557857, 78.70950071776218 23.843627790764028, 78.71399229418279 23.843627790764028))",23.8456818731713,78.71174650597247,,,,426.052,,1.527,5.002,,,,427.579,0.0
Sagar_9,"POLYGON ((78.71399229418279 23.84773595557857, 78.71399229418279 23.851843990187742, 78.70950071776218 23.851843990187742, 78.70950071776218 23.84773595557857, 78.71399229418279 23.84773595557857))",23.84978997288316,78.71174650597249,,,,643.921,,7.565,24.808,,,,651.486,0.0
Sagar_10,"POLYGON ((78.71399229418279 23.851843990187742, 78.71399229418279 23.855951894574552, 78.70950071776218 23.855951894574552, 78.70950071776218 23.851843990187742, 78.71399229418279 23.851843990187742))",23.853897942381145,78.71174650597247,,,,837.024,,203.977,673.487,,,,1041.001,0.0
