index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Shillong_0,"POLYGON ((91.86661756014075 25.572826756472306, 91.86661756014075 25.576878257598022, 91.86212598372016 25.576878257598022, 91.86212598372016 25.572826756472306, 91.86661756014075 25.572826756472306))",25.57485250703516,91.86437177193044,,,,0.0,,172.713,689.317,,,,172.713,0.0
Shillong_1,"POLYGON ((91.86661756014075 25.576878257598022, 91.86661756014075 25.580929621607556, 91.86212598372016 25.580929621607556, 91.86212598372016 25.576878257598022, 91.86661756014075 25.576878257598022))",25.578903939602785,91.86437177193045,,,,0.0,,128.249,515.904,,,,128.249,0.0
Shillong_2,"POLYGON ((91.86661756014075 25.580929621607556, 91.86661756014075 25.584980848485284, 91.86212598372016 25.584980848485284, 91.86212598372016 25.580929621607556, 91.86661756014075 25.580929621607556))",25.582955235046423,91.86437177193044,,,,0.0,,64.728,260.389,,,,64.728,0.0
Shillong_3,"POLYGON ((91.86661756014075 25.584980848485284, 91.86661756014075 25.589031938215587, 91.86212598372016 25.589031938215587, 91.86212598372016 25.584980848485284, 91.86661756014075 25.584980848485284))",25.587006393350435,91.86437177193045,,,,0.0,,0.0,0.0,,,,0.0,0.0
Shillong_4,"POLYGON ((91.87110913656136 25.552567194647644, 91.87110913656136 25.556619381119965, 91.86661756014075 25.556619381119965, 91.86661756014075 25.552567194647644, 91.87110913656136 25.552567194647644))",25.554593287883808,91.86886334835104,,,,0.0,,2.701,10.662,,,,2.701,0.0
Shillong_5,"POLYGON ((91.87110913656136 25.556619381119965, 91.87110913656136 25.56067143055422, 91.86661756014075 25.56067143055422, 91.86661756014075 25.556619381119965, 91.87110913656136 25.556619381119965))",25.55864540583709,91.86886334835106,,,,0.0,,105.164,419.777,,,,105.164,0.0
Shillong_6,"POLYGON ((91.87110913656136 25.56067143055422, 91.87110913656136 25.564723342934776, 91.86661756014075 25.564723342934776, 91.86661756014075 25.56067143055422, 91.87110913656136 25.56067143055422))",25.5626973867445,91.86886334835106,,,,0.0,,531.188,2119.959,,,,531.188,0.0
Shillong_7,"POLYGON ((91.87110913656136 25.564723342934776, 91.87110913656136 25.568775118246016, 91.86661756014075 25.568775118246016, 91.86661756014075 25.564723342934776, 91.87110913656136 25.564723342934776))",25.5667492305904,91.86886334835106,,,,0.0,,311.705,1243.896,,,,311.705,0.0
Shillong_8,"POLYGON ((91.87110913656136 25.568775118246016, 91.87110913656136 25.572826756472306, 91.86661756014075 25.572826756472306, 91.86661756014075 25.568775118246016, 91.87110913656136 25.568775118246016))",25.57080093735916,91.86886334835106,,,,0.0,,295.542,1179.499,,,,295.542,0.0
Shillong_9,"POLYGON ((91.87110913656136 25.572826756472306, 91.87110913656136 25.576878257598022, 91.86661756014075 25.576878257598022, 91.86661756014075 25.572826756472306, 91.87110913656136 25.572826756472306))",25.57485250703516,91.86886334835107,,,,0.0,,288.382,1150.982,,,,288.382,0.0
Shillong_10,"POLYGON ((91.87110913656136 25.576878257598022, 91.87110913656136 25.580929621607556, 91.86661756014075 25.580929621607556, 91.86661756014075 25.576878257598022, 91.87110913656136 25.576878257598022))",25.578903939602792,91.86886334835104,,,,0.0,,874.202,3516.603,,,,874.202,0.0
Shillong_11,"POLYGON ((91.87110913656136 25.580929621607556, 91.87110913656136 25.584980848485284, 91.86661756014075 25.584980848485284, 91.86661756014075 25.580929621607556, 91.87110913656136 25.580929621607556))",25.58295523504642,91.86886334835107,,,,0.0,,446.733,1797.071,,,,446.733,0.0
Shillong_12,"POLYGON ((91.87110913656136 25.584980848485284, 91.87110913656136 25.589031938215587, 91.86661756014075 25.589031938215587, 91.86661756014075 25.584980848485284, 91.87110913656136 25.584980848485284))",25.587006393350435,91.86886334835106,,,,0.0,,139.107,549.539,,,,139.107,0.0
Shillong_13,"POLYGON ((91.87110913656136 25.589031938215587, 91.87110913656136 25.593082890782878, 91.86661756014075 25.593082890782878, 91.86661756014075 25.589031938215587, 91.87110913656136 25.589031938215587))",25.591057414499232,91.86886334835106,,,,0.0,,483.343,1909.559,,,,483.343,0.0
Shillong_14,"POLYGON ((91.87560071298196 25.54446241065135, 91.87560071298196 25.54851487115289, 91.87110913656136 25.54851487115289, 91.87110913656136 25.54446241065135, 91.87560071298196 25.54446241065135))",25.54648864090212,91.87335492477166,,,,0.0,,0.896,3.331,,,,0.896,0.0
Shillong_15,"POLYGON ((91.87560071298196 25.54851487115289, 91.87560071298196 25.552567194647644, 91.87110913656136 25.552567194647644, 91.87110913656136 25.54851487115289, 91.87560071298196 25.54851487115289))",25.550541032900263,91.87335492477166,,,,0.0,,0.0,0.0,,,,0.0,0.0
Shillong_16,"POLYGON ((91.87560071298196 25.552567194647644, 91.87560071298196 25.556619381119965, 91.87110913656136 25.556619381119965, 91.87110913656136 25.552567194647644, 91.87560071298196 25.552567194647644))",25.554593287883808,91.87335492477166,,,,0.0,,0.453,1.813,,,,0.453,0.0
Shillong_17,"POLYGON ((91.87560071298196 25.556619381119965, 91.87560071298196 25.56067143055422, 91.87110913656136 25.56067143055422, 91.87110913656136 25.556619381119965, 91.87560071298196 25.556619381119965))",25.55864540583709,91.87335492477166,,,,0.0,,375.887,1504.445,,,,375.887,0.0
