index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Shimla_0,"POLYGON ((77.12027010185493 31.090155347717996, 77.12027010185493 31.094001657488093, 77.11577852543432 31.094001657488093, 77.11577852543432 31.090155347717996, 77.12027010185493 31.090155347717996))",31.092078502603048,77.11802431364463,,,,192.263,,4.065,11.961,,,,196.328,0.0
Shimla_1,"POLYGON ((77.12027010185493 31.094001657488093, 77.12027010185493 31.097847811541698, 77.11577852543432 31.097847811541698, 77.11577852543432 31.094001657488093, 77.12027010185493 31.094001657488093))",31.0959247345149,77.11802431364461,,,,449.877,,6.158,18.115,,,,456.035,0.0
Shimla_2,"POLYGON ((77.12027010185493 31.097847811541698, 77.12027010185493 31.10169380986779, 77.11577852543432 31.10169380986779, 77.11577852543432 31.097847811541698, 77.12027010185493 31.097847811541698))",31.099770810704744,77.11802431364463,,,,1079.042,,8.815,26.427,,,,1087.857,0.0
Shimla_3,"POLYGON ((77.12027010185493 31.10169380986779, 77.12027010185493 31.10553965245535, 77.11577852543432 31.10553965245535, 77.11577852543432 31.10169380986779, 77.12027010185493 31.10169380986779))",31.103616731161573,77.11802431364463,,,,1079.042,,13.065,39.089,,,,1092.107,0.0
Shimla_4,"POLYGON ((77.12027010185493 31.10553965245535, 77.12027010185493 31.10938533929335, 77.11577852543432 31.10938533929335, 77.11577852543432 31.10553965245535, 77.12027010185493 31.10553965245535))",31.10746249587435,77.11802431364461,,,,589.638,,9.921,29.754,,,,599.559,0.0
Shimla_5,"POLYGON ((77.12476167827552 31.086308882242456, 77.12476167827552 31.090155347717996, 77.12027010185493 31.090155347717996, 77.12027010185493 31.086308882242456, 77.12476167827552 31.086308882242456))",31.08823211498023,77.12251589006523,,,,155.623,,7.667,22.279,,,,163.29,0.0
Shimla_6,"POLYGON ((77.12476167827552 31.090155347717996, 77.12476167827552 31.094001657488093, 77.12027010185493 31.094001657488093, 77.12027010185493 31.090155347717996, 77.12476167827552 31.090155347717996))",31.092078502603044,77.12251589006523,,,,270.157,,2.242,6.753,,,,272.399,0.0
Shimla_7,"POLYGON ((77.12476167827552 31.094001657488093, 77.12476167827552 31.097847811541698, 77.12027010185493 31.097847811541698, 77.12027010185493 31.094001657488093, 77.12476167827552 31.094001657488093))",31.095924734514895,77.12251589006523,,,,817.698,,20.968,63.076,,,,838.666,0.0
Shimla_8,"POLYGON ((77.12476167827552 31.097847811541698, 77.12476167827552 31.10169380986779, 77.12027010185493 31.10169380986779, 77.12027010185493 31.097847811541698, 77.12476167827552 31.097847811541698))",31.099770810704744,77.12251589006523,,,,1397.251,,47.09,144.507,,,,1444.341,0.0
Shimla_9,"POLYGON ((77.12476167827552 31.10169380986779, 77.12476167827552 31.10553965245535, 77.12027010185493 31.10553965245535, 77.12027010185493 31.10169380986779, 77.12476167827552 31.10169380986779))",31.103616731161566,77.12251589006522,,,,1397.251,,6.114,18.774,,,,1403.365,0.0
