index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Surat_0,"POLYGON ((72.68823818096755 21.08477517430492, 72.68823818096755 21.088965976819768, 72.68374660454694 21.088965976819768, 72.68374660454694 21.08477517430492, 72.68823818096755 21.08477517430492))",21.086870575562344,72.68599239275724,,,,971.706,,0.0,0.0,,,,971.706,0.0
Surat_1,"POLYGON ((72.68823818096755 21.088965976819768, 72.68823818096755 21.093156661126013, 72.68374660454694 21.093156661126013, 72.68374660454694 21.088965976819768, 72.68823818096755 21.088965976819768))",21.091061318972894,72.68599239275724,,,,1045.382,,0.0,0.0,,,,1045.382,0.0
Surat_2,"POLYGON ((72.68823818096755 21.093156661126013, 72.68823818096755 21.097347227204573, 72.68374660454694 21.097347227204573, 72.68374660454694 21.093156661126013, 72.68823818096755 21.093156661126013))",21.095251944165295,72.68599239275724,,,,1266.603,,0.0,0.0,,,,1266.603,0.0
Surat_3,"POLYGON ((72.69272975738814 21.08477517430492, 72.69272975738814 21.088965976819768, 72.68823818096755 21.088965976819768, 72.68823818096755 21.08477517430492, 72.69272975738814 21.08477517430492))",21.086870575562347,72.69048396917786,,,,873.679,,0.0,0.0,,,,873.679,0.0
Surat_4,"POLYGON ((72.69272975738814 21.088965976819768, 72.69272975738814 21.093156661126013, 72.68823818096755 21.093156661126013, 72.68823818096755 21.088965976819768, 72.69272975738814 21.088965976819768))",21.09106131897289,72.69048396917783,,,,935.056,,0.0,0.0,,,,935.056,0.0
Surat_5,"POLYGON ((72.69272975738814 21.093156661126013, 72.69272975738814 21.097347227204573, 72.68823818096755 21.097347227204573, 72.68823818096755 21.093156661126013, 72.69272975738814 21.093156661126013))",21.09525194416529,72.69048396917783,,,,1139.732,,0.0,0.0,,,,1139.732,0.0
Surat_6,"POLYGON ((72.69272975738814 21.097347227204573, 72.69272975738814 21.101537675036376, 72.68823818096755 21.101537675036376, 72.68823818096755 21.097347227204573, 72.69272975738814 21.097347227204573))",21.09944245112047,72.69048396917783,,,,1185.519,,0.0,0.0,,,,1185.519,0.0
Surat_7,"POLYGON ((72.69272975738814 21.118298283514427, 72.69272975738814 21.122488139826306, 72.68823818096755 21.122488139826306, 72.68823818096755 21.118298283514427, 72.69272975738814 21.118298283514427))",21.12039321167037,72.69048396917783,,,,1140.02,,1.771,7.612,,,,1141.791,0.0
Surat_8,"POLYGON ((72.69272975738814 21.122488139826306, 72.69272975738814 21.126677877777006, 72.68823818096755 21.126677877777006, 72.68823818096755 21.122488139826306, 72.69272975738814 21.122488139826306))",21.124583008801654,72.69048396917785,,,,1149.545,,3.223,13.891,,,,1152.768,0.0
Surat_9,"POLYGON ((72.69272975738814 21.126677877777006, 72.69272975738814 21.13086749734746, 72.68823818096755 21.13086749734746, 72.68823818096755 21.126677877777006, 72.69272975738814 21.126677877777006))",21.128772687562233,72.69048396917783,,,,1182.999,,1.493,6.479,,,,1184.492,0.0
Surat_10,"POLYGON ((72.69272975738814 21.13086749734746, 72.69272975738814 21.135056998518614, 72.68823818096755 21.135056998518614, 72.68823818096755 21.13086749734746, 72.69272975738814 21.13086749734746))",21.13296224793304,72.69048396917785,,,,1209.198,,0.002,0.0,,,,1209.2,0.0
Surat_11,"POLYGON ((72.69722133380874 21.08477517430492, 72.69722133380874 21.088965976819768, 72.69272975738814 21.088965976819768, 72.69272975738814 21.08477517430492, 72.69722133380874 21.08477517430492))",21.086870575562344,72.69497554559844,,,,706.745,,0.0,0.0,,,,706.745,0.0
Surat_12,"POLYGON ((72.69722133380874 21.088965976819768, 72.69722133380874 21.093156661126013, 72.69272975738814 21.093156661126013, 72.69272975738814 21.088965976819768, 72.69722133380874 21.088965976819768))",21.091061318972894,72.69497554559844,,,,788.089,,0.0,0.0,,,,788.089,0.0
Surat_13,"POLYGON ((72.69722133380874 21.093156661126013, 72.69722133380874 21.097347227204573, 72.69272975738814 21.097347227204573, 72.69272975738814 21.093156661126013, 72.69722133380874 21.093156661126013))",21.095251944165295,72.69497554559844,,,,960.135,,0.0,0.0,,,,960.135,0.0
Surat_14,"POLYGON ((72.69722133380874 21.097347227204573, 72.69722133380874 21.101537675036376, 72.69272975738814 21.101537675036376, 72.69272975738814 21.097347227204573, 72.69722133380874 21.097347227204573))",21.099442451120474,72.69497554559845,,,,966.634,,0.0,0.0,,,,966.634,0.0
Surat_15,"POLYGON ((72.69722133380874 21.109918215883372, 72.69722133380874 21.114108308860427, 72.69272975738814 21.114108308860427, 72.69272975738814 21.109918215883372, 72.69722133380874 21.109918215883372))",21.1120132623719,72.69497554559845,,,,990.947,,9.747,41.115,,,,1000.694,0.0
Surat_16,"POLYGON ((72.69722133380874 21.114108308860427, 72.69722133380874 21.118298283514427, 72.69272975738814 21.118298283514427, 72.69272975738814 21.114108308860427, 72.69722133380874 21.114108308860427))",21.116203296187425,72.69497554559845,,,,1029.491,,5.816,24.534,,,,1035.307,0.0
Surat_17,"POLYGON ((72.69722133380874 21.118298283514427, 72.69722133380874 21.122488139826306, 72.69272975738814 21.122488139826306, 72.69272975738814 21.118298283514427, 72.69722133380874 21.118298283514427))",21.12039321167037,72.69497554559845,,,,1108.041,,6.643,28.147,,,,1114.684,0.0
Surat_18,"POLYGON ((72.69722133380874 21.122488139826306, 72.69722133380874 21.126677877777006, 72.69272975738814 21.126677877777006, 72.69272975738814 21.122488139826306, 72.69722133380874 21.122488139826306))",21.124583008801658,72.69497554559844,,,,1102.636,,0.0,0.0,,,,1102.636,0.0
Surat_19,"POLYGON ((72.69722133380874 21.126677877777006, 72.69722133380874 21.13086749734746, 72.69272975738814 21.13086749734746, 72.69272975738814 21.126677877777006, 72.69722133380874 21.126677877777006))",21.12877268756223,72.69497554559844,,,,999.445,,0.0,0.0,,,,999.445,0.0
Surat_20,"POLYGON ((72.69722133380874 21.13086749734746, 72.69722133380874 21.135056998518614, 72.69272975738814 21.135056998518614, 72.69272975738814 21.13086749734746, 72.69722133380874 21.13086749734746))",21.132962247933037,72.69497554559844,,,,1056.01,,0.055,0.365,,,,1056.065,0.0
Surat_21,"POLYGON ((72.69722133380874 21.135056998518614, 72.69722133380874 21.139246381271416, 72.69272975738814 21.139246381271416, 72.69272975738814 21.135056998518614, 72.69722133380874 21.135056998518614))",21.137151689895013,72.69497554559844,,,,1056.01,,0.0,0.0,,,,1056.01,0.0
Surat_22,"POLYGON ((72.70171291022935 21.08477517430492, 72.70171291022935 21.088965976819768, 72.69722133380874 21.088965976819768, 72.69722133380874 21.08477517430492, 72.70171291022935 21.08477517430492))",21.086870575562344,72.69946712201904,,,,739.642,,0.0,0.0,,,,739.642,0.0
