index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Thiruvananthapuram_0,"POLYGON ((76.8602164481237 8.536421396712376, 76.8602164481237 8.540863188276708, 76.8557248717031 8.540863188276708, 76.8557248717031 8.536421396712376, 76.8602164481237 8.536421396712376))",8.538642292494542,76.8579706599134,,,,784.18,,0.0,0.0,,,,784.18,0.0
Thiruvananthapuram_1,"POLYGON ((76.8602164481237 8.540863188276708, 76.8602164481237 8.545304928127846, 76.8557248717031 8.545304928127846, 76.8557248717031 8.540863188276708, 76.8602164481237 8.540863188276708))",8.543084058202277,76.85797065991339,,,,1193.225,,3.064,36.248,,,,1196.289,0.0
Thiruvananthapuram_2,"POLYGON ((76.8602164481237 8.545304928127846, 76.8602164481237 8.549746616239698, 76.8557248717031 8.549746616239698, 76.8557248717031 8.545304928127846, 76.8602164481237 8.545304928127846))",8.547525772183771,76.85797065991339,,,,1252.461,,65.39,772.954,,,,1317.851,0.0
Thiruvananthapuram_3,"POLYGON ((76.8602164481237 8.567512850772482, 76.8602164481237 8.571954279796591, 76.8557248717031 8.571954279796591, 76.8557248717031 8.567512850772482, 76.8602164481237 8.567512850772482))",8.569733565284537,76.8579706599134,,,,843.346,,30.542,350.532,,,,873.888,0.0
Thiruvananthapuram_4,"POLYGON ((76.8602164481237 8.571954279796591, 76.8602164481237 8.576395656924895, 76.8557248717031 8.576395656924895, 76.8557248717031 8.571954279796591, 76.8602164481237 8.571954279796591))",8.574174968360744,76.85797065991339,,,,749.599,,16.153,184.195,,,,765.752,0.0
Thiruvananthapuram_5,"POLYGON ((76.8602164481237 8.576395656924895, 76.8602164481237 8.580836982131318, 76.8557248717031 8.580836982131318, 76.8557248717031 8.576395656924895, 76.8602164481237 8.576395656924895))",8.578616319528106,76.85797065991339,,,,691.845,,47.788,544.775,,,,739.633,0.0
Thiruvananthapuram_6,"POLYGON ((76.8647080245443 8.531979553460944, 76.8647080245443 8.536421396712376, 76.8602164481237 8.536421396712376, 76.8602164481237 8.531979553460944, 76.8647080245443 8.531979553460944))",8.53420047508666,76.862462236334,,,,1187.138,,0.0,0.0,,,,1187.138,0.0
Thiruvananthapuram_7,"POLYGON ((76.8647080245443 8.536421396712376, 76.8647080245443 8.540863188276708, 76.8602164481237 8.540863188276708, 76.8602164481237 8.536421396712376, 76.8647080245443 8.536421396712376))",8.538642292494542,76.862462236334,,,,1798.678,,1.172,13.827,,,,1799.85,0.0
Thiruvananthapuram_8,"POLYGON ((76.8647080245443 8.540863188276708, 76.8647080245443 8.545304928127846, 76.8602164481237 8.545304928127846, 76.8602164481237 8.540863188276708, 76.8647080245443 8.540863188276708))",8.543084058202275,76.86246223633398,,,,2329.73,,32.266,371.418,,,,2361.996,0.0
Thiruvananthapuram_9,"POLYGON ((76.8647080245443 8.545304928127846, 76.8647080245443 8.549746616239698, 76.8602164481237 8.549746616239698, 76.8602164481237 8.545304928127846, 76.8647080245443 8.545304928127846))",8.547525772183773,76.86246223633398,,,,1896.057,,129.543,1491.113,,,,2025.6,0.0
