index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Thoothukkudi_0,"POLYGON ((78.07272901036609 8.799710957357318, 78.07272901036609 8.804149637499872, 78.06823743394548 8.804149637499872, 78.06823743394548 8.799710957357318, 78.07272901036609 8.799710957357318))",8.801930297428596,78.0704832221558,,,,0.0,,0.361,5.48,,,,0.361,0.0
Thoothukkudi_1,"POLYGON ((78.07272901036609 8.804149637499872, 78.07272901036609 8.808588264384808, 78.06823743394548 8.808588264384808, 78.06823743394548 8.804149637499872, 78.07272901036609 8.804149637499872))",8.806368950942339,78.07048322215579,,,,0.0,,3.241,51.926,,,,3.241,0.0
Thoothukkudi_2,"POLYGON ((78.07272901036609 8.808588264384808, 78.07272901036609 8.813026837986124, 78.06823743394548 8.813026837986124, 78.06823743394548 8.808588264384808, 78.07272901036609 8.808588264384808))",8.810807551185464,78.0704832221558,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_3,"POLYGON ((78.07272901036609 8.813026837986124, 78.07272901036609 8.817465358277824, 78.06823743394548 8.817465358277824, 78.06823743394548 8.813026837986124, 78.07272901036609 8.813026837986124))",8.815246098131974,78.0704832221558,,,,0.0,,3.251,52.055,,,,3.251,0.0
Thoothukkudi_4,"POLYGON ((78.07272901036609 8.817465358277824, 78.07272901036609 8.821903825233912, 78.06823743394548 8.821903825233912, 78.06823743394548 8.817465358277824, 78.07272901036609 8.817465358277824))",8.819684591755868,78.07048322215579,,,,0.0,,5.641,90.371,,,,5.641,0.0
Thoothukkudi_5,"POLYGON ((78.07722058678668 8.710926210457794, 78.07722058678668 8.71536595029061, 78.07272901036609 8.71536595029061, 78.07272901036609 8.710926210457794, 78.07722058678668 8.710926210457794))",8.713146080374202,78.07497479857639,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_6,"POLYGON ((78.07722058678668 8.71536595029061, 78.07722058678668 8.71980563738611, 78.07272901036609 8.71980563738611, 78.07272901036609 8.71536595029061, 78.07722058678668 8.71536595029061))",8.71758579383836,78.07497479857639,,,,0.0,,0.685,12.423,,,,0.685,0.0
Thoothukkudi_7,"POLYGON ((78.07722058678668 8.71980563738611, 78.07722058678668 8.724245271718267, 78.07272901036609 8.724245271718267, 78.07272901036609 8.71980563738611, 78.07722058678668 8.71980563738611))",8.722025454552188,78.07497479857639,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_8,"POLYGON ((78.07722058678668 8.724245271718267, 78.07722058678668 8.728684853261047, 78.07272901036609 8.728684853261047, 78.07272901036609 8.724245271718267, 78.07722058678668 8.724245271718267))",8.726465062489657,78.07497479857638,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_9,"POLYGON ((78.07722058678668 8.728684853261047, 78.07722058678668 8.733124381988427, 78.07272901036609 8.733124381988427, 78.07272901036609 8.728684853261047, 78.07722058678668 8.728684853261047))",8.730904617624738,78.07497479857638,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_10,"POLYGON ((78.07722058678668 8.733124381988427, 78.07722058678668 8.737563857874378, 78.07272901036609 8.737563857874378, 78.07272901036609 8.733124381988427, 78.07722058678668 8.733124381988427))",8.735344119931401,78.07497479857638,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_11,"POLYGON ((78.07722058678668 8.737563857874378, 78.07722058678668 8.74200328089288, 78.07272901036609 8.74200328089288, 78.07272901036609 8.737563857874378, 78.07722058678668 8.737563857874378))",8.73978356938363,78.07497479857639,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_12,"POLYGON ((78.07722058678668 8.74200328089288, 78.07722058678668 8.746442651017906, 78.07272901036609 8.746442651017906, 78.07272901036609 8.74200328089288, 78.07722058678668 8.74200328089288))",8.744222965955393,78.07497479857639,,,,0.0,,0.128,2.923,,,,0.128,0.0
Thoothukkudi_13,"POLYGON ((78.07722058678668 8.799710957357318, 78.07722058678668 8.804149637499872, 78.07272901036609 8.804149637499872, 78.07272901036609 8.799710957357318, 78.07722058678668 8.799710957357318))",8.801930297428594,78.07497479857638,,,,0.0,,37.18,604.589,,,,37.18,0.0
Thoothukkudi_14,"POLYGON ((78.07722058678668 8.804149637499872, 78.07722058678668 8.808588264384808, 78.07272901036609 8.808588264384808, 78.07272901036609 8.804149637499872, 78.07722058678668 8.804149637499872))",8.80636895094234,78.07497479857639,,,,0.0,,11.494,185.472,,,,11.494,0.0
Thoothukkudi_15,"POLYGON ((78.07722058678668 8.808588264384808, 78.07722058678668 8.813026837986124, 78.07272901036609 8.813026837986124, 78.07272901036609 8.808588264384808, 78.07722058678668 8.808588264384808))",8.810807551185466,78.07497479857639,,,,0.0,,26.683,430.583,,,,26.683,0.0
Thoothukkudi_16,"POLYGON ((78.07722058678668 8.813026837986124, 78.07722058678668 8.817465358277824, 78.07272901036609 8.817465358277824, 78.07272901036609 8.813026837986124, 78.07722058678668 8.813026837986124))",8.815246098131974,78.07497479857639,,,,0.0,,28.31,454.722,,,,28.31,0.0
Thoothukkudi_17,"POLYGON ((78.07722058678668 8.817465358277824, 78.07722058678668 8.821903825233912, 78.07272901036609 8.821903825233912, 78.07272901036609 8.817465358277824, 78.07722058678668 8.817465358277824))",8.81968459175587,78.07497479857638,,,,0.0,,109.421,1758.107,,,,109.421,0.0
Thoothukkudi_18,"POLYGON ((78.07722058678668 8.821903825233912, 78.07722058678668 8.826342238828392, 78.07272901036609 8.826342238828392, 78.07272901036609 8.821903825233912, 78.07722058678668 8.821903825233912))",8.824123032031151,78.07497479857639,,,,0.0,,13.311,212.048,,,,13.311,0.0
Thoothukkudi_19,"POLYGON ((78.07722058678668 8.826342238828392, 78.07722058678668 8.830780599035277, 78.07272901036609 8.830780599035277, 78.07272901036609 8.826342238828392, 78.07722058678668 8.826342238828392))",8.828561418931834,78.07497479857638,,,,0.0,,0.731,11.808,,,,0.731,0.0
Thoothukkudi_20,"POLYGON ((78.07722058678668 8.830780599035277, 78.07722058678668 8.835218905828572, 78.07272901036609 8.835218905828572, 78.07272901036609 8.830780599035277, 78.07722058678668 8.830780599035277))",8.832999752431924,78.07497479857639,,,,0.0,,13.534,217.142,,,,13.534,0.0
Thoothukkudi_21,"POLYGON ((78.08171216320729 8.702046572684342, 78.08171216320729 8.706486417913693, 78.07722058678668 8.706486417913693, 78.07722058678668 8.702046572684342, 78.08171216320729 8.702046572684342))",8.704266495299018,78.079466374997,,,,0.0,,0.095,2.558,,,,0.095,0.0
Thoothukkudi_22,"POLYGON ((78.08171216320729 8.706486417913693, 78.08171216320729 8.710926210457794, 78.07722058678668 8.710926210457794, 78.07722058678668 8.706486417913693, 78.08171216320729 8.706486417913693))",8.708706314185743,78.07946637499698,,,,0.0,,2.994,53.005,,,,2.994,0.0
Thoothukkudi_23,"POLYGON ((78.08171216320729 8.710926210457794, 78.08171216320729 8.71536595029061, 78.07722058678668 8.71536595029061, 78.07722058678668 8.710926210457794, 78.08171216320729 8.710926210457794))",8.713146080374202,78.079466374997,,,,0.0,,0.353,5.846,,,,0.353,0.0
Thoothukkudi_24,"POLYGON ((78.08171216320729 8.71536595029061, 78.08171216320729 8.71980563738611, 78.07722058678668 8.71980563738611, 78.07722058678668 8.71536595029061, 78.08171216320729 8.71536595029061))",8.71758579383836,78.07946637499698,,,,0.0,,44.449,785.828,,,,44.449,0.0
Thoothukkudi_25,"POLYGON ((78.08171216320729 8.71980563738611, 78.08171216320729 8.724245271718267, 78.07722058678668 8.724245271718267, 78.07722058678668 8.71980563738611, 78.08171216320729 8.71980563738611))",8.722025454552186,78.07946637499697,,,,0.0,,18.491,326.951,,,,18.491,0.0
Thoothukkudi_26,"POLYGON ((78.08171216320729 8.724245271718267, 78.08171216320729 8.728684853261047, 78.07722058678668 8.728684853261047, 78.07722058678668 8.724245271718267, 78.08171216320729 8.724245271718267))",8.726465062489657,78.07946637499698,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_27,"POLYGON ((78.08171216320729 8.728684853261047, 78.08171216320729 8.733124381988427, 78.07722058678668 8.733124381988427, 78.07722058678668 8.728684853261047, 78.08171216320729 8.728684853261047))",8.730904617624736,78.079466374997,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_28,"POLYGON ((78.08171216320729 8.733124381988427, 78.08171216320729 8.737563857874378, 78.07722058678668 8.737563857874378, 78.07722058678668 8.733124381988427, 78.08171216320729 8.733124381988427))",8.735344119931401,78.079466374997,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_29,"POLYGON ((78.08171216320729 8.737563857874378, 78.08171216320729 8.74200328089288, 78.07722058678668 8.74200328089288, 78.07722058678668 8.737563857874378, 78.08171216320729 8.737563857874378))",8.73978356938363,78.07946637499698,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_30,"POLYGON ((78.08171216320729 8.74200328089288, 78.08171216320729 8.746442651017906, 78.07722058678668 8.746442651017906, 78.07722058678668 8.74200328089288, 78.08171216320729 8.74200328089288))",8.744222965955393,78.07946637499698,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_31,"POLYGON ((78.08171216320729 8.795272223983142, 78.08171216320729 8.799710957357318, 78.07722058678668 8.799710957357318, 78.07722058678668 8.795272223983142, 78.08171216320729 8.795272223983142))",8.79749159067023,78.07946637499698,,,,0.0,,0.046,1.462,,,,0.046,0.0
Thoothukkudi_32,"POLYGON ((78.08171216320729 8.799710957357318, 78.08171216320729 8.804149637499872, 78.07722058678668 8.804149637499872, 78.07722058678668 8.799710957357318, 78.08171216320729 8.799710957357318))",8.801930297428596,78.07946637499698,,,,0.0,,22.16,360.428,,,,22.16,0.0
Thoothukkudi_33,"POLYGON ((78.08171216320729 8.804149637499872, 78.08171216320729 8.808588264384808, 78.07722058678668 8.808588264384808, 78.07722058678668 8.804149637499872, 78.08171216320729 8.804149637499872))",8.806368950942339,78.07946637499698,,,,0.0,,11.675,188.241,,,,11.675,0.0
Thoothukkudi_34,"POLYGON ((78.08171216320729 8.808588264384808, 78.08171216320729 8.813026837986124, 78.07722058678668 8.813026837986124, 78.07722058678668 8.808588264384808, 78.08171216320729 8.808588264384808))",8.810807551185464,78.07946637499698,,,,0.0,,19.29,311.24,,,,19.29,0.0
Thoothukkudi_35,"POLYGON ((78.08171216320729 8.813026837986124, 78.08171216320729 8.817465358277824, 78.07722058678668 8.817465358277824, 78.07722058678668 8.813026837986124, 78.08171216320729 8.813026837986124))",8.815246098131974,78.07946637499698,,,,0.0,,7.587,121.775,,,,7.587,0.0
Thoothukkudi_36,"POLYGON ((78.08171216320729 8.817465358277824, 78.08171216320729 8.821903825233912, 78.07722058678668 8.821903825233912, 78.07722058678668 8.817465358277824, 78.08171216320729 8.817465358277824))",8.819684591755868,78.07946637499698,,,,0.0,,93.965,1509.891,,,,93.965,0.0
Thoothukkudi_37,"POLYGON ((78.08171216320729 8.821903825233912, 78.08171216320729 8.826342238828392, 78.07722058678668 8.826342238828392, 78.07722058678668 8.821903825233912, 78.08171216320729 8.821903825233912))",8.824123032031153,78.07946637499698,,,,0.0,,120.112,1915.692,,,,120.112,0.0
Thoothukkudi_38,"POLYGON ((78.08171216320729 8.826342238828392, 78.08171216320729 8.830780599035277, 78.07722058678668 8.830780599035277, 78.07722058678668 8.826342238828392, 78.08171216320729 8.826342238828392))",8.828561418931834,78.07946637499698,,,,0.0,,12.397,197.858,,,,12.397,0.0
Thoothukkudi_39,"POLYGON ((78.08171216320729 8.830780599035277, 78.08171216320729 8.835218905828572, 78.07722058678668 8.835218905828572, 78.07722058678668 8.830780599035277, 78.08171216320729 8.830780599035277))",8.832999752431926,78.079466374997,,,,0.0,,0.244,3.654,,,,0.244,0.0
Thoothukkudi_40,"POLYGON ((78.08171216320729 8.835218905828572, 78.08171216320729 8.839657159182291, 78.07722058678668 8.839657159182291, 78.07722058678668 8.835218905828572, 78.08171216320729 8.835218905828572))",8.837438032505434,78.07946637499698,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_41,"POLYGON ((78.08171216320729 8.839657159182291, 78.08171216320729 8.844095359070444, 78.07722058678668 8.844095359070444, 78.07722058678668 8.839657159182291, 78.08171216320729 8.839657159182291))",8.841876259126368,78.07946637499698,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_42,"POLYGON ((78.08171216320729 8.844095359070444, 78.08171216320729 8.848533505467048, 78.07722058678668 8.848533505467048, 78.07722058678668 8.844095359070444, 78.08171216320729 8.844095359070444))",8.846314432268745,78.07946637499698,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_43,"POLYGON ((78.08620373962788 8.693166724274034, 78.08620373962788 8.697606674795777, 78.08171216320729 8.697606674795777, 78.08171216320729 8.693166724274034, 78.08620373962788 8.693166724274034))",8.695386699534906,78.08395795141759,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_44,"POLYGON ((78.08620373962788 8.697606674795777, 78.08620373962788 8.702046572684342, 78.08171216320729 8.702046572684342, 78.08171216320729 8.697606674795777, 78.08620373962788 8.697606674795777))",8.699826623740059,78.08395795141757,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_45,"POLYGON ((78.08620373962788 8.702046572684342, 78.08620373962788 8.706486417913693, 78.08171216320729 8.706486417913693, 78.08171216320729 8.702046572684342, 78.08620373962788 8.702046572684342))",8.704266495299018,78.08395795141757,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_46,"POLYGON ((78.08620373962788 8.706486417913693, 78.08620373962788 8.710926210457794, 78.08171216320729 8.710926210457794, 78.08171216320729 8.706486417913693, 78.08620373962788 8.706486417913693))",8.708706314185742,78.08395795141757,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_47,"POLYGON ((78.08620373962788 8.710926210457794, 78.08620373962788 8.71536595029061, 78.08171216320729 8.71536595029061, 78.08171216320729 8.710926210457794, 78.08620373962788 8.710926210457794))",8.713146080374202,78.08395795141757,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_48,"POLYGON ((78.08620373962788 8.71536595029061, 78.08620373962788 8.71980563738611, 78.08171216320729 8.71980563738611, 78.08171216320729 8.71536595029061, 78.08620373962788 8.71536595029061))",8.71758579383836,78.08395795141759,,,,0.0,,18.133,314.748,,,,18.133,0.0
Thoothukkudi_49,"POLYGON ((78.08620373962788 8.71980563738611, 78.08620373962788 8.724245271718267, 78.08171216320729 8.724245271718267, 78.08171216320729 8.71980563738611, 78.08620373962788 8.71980563738611))",8.722025454552188,78.08395795141756,,,,0.0,,10.447,181.216,,,,10.447,0.0
Thoothukkudi_50,"POLYGON ((78.08620373962788 8.724245271718267, 78.08620373962788 8.728684853261047, 78.08171216320729 8.728684853261047, 78.08171216320729 8.724245271718267, 78.08620373962788 8.724245271718267))",8.726465062489657,78.08395795141759,,,,0.0,,0.117,2.923,,,,0.117,0.0
Thoothukkudi_51,"POLYGON ((78.08620373962788 8.728684853261047, 78.08620373962788 8.733124381988427, 78.08171216320729 8.733124381988427, 78.08171216320729 8.728684853261047, 78.08620373962788 8.728684853261047))",8.730904617624738,78.08395795141759,,,,0.0,,1.639,28.354,,,,1.639,0.0
Thoothukkudi_52,"POLYGON ((78.08620373962788 8.733124381988427, 78.08620373962788 8.737563857874378, 78.08171216320729 8.737563857874378, 78.08171216320729 8.733124381988427, 78.08620373962788 8.733124381988427))",8.735344119931401,78.08395795141759,,,,0.0,,0.0,0.0,,,,0.0,0.0
Thoothukkudi_53,"POLYGON ((78.08620373962788 8.737563857874378, 78.08620373962788 8.74200328089288, 78.08171216320729 8.74200328089288, 78.08171216320729 8.737563857874378, 78.08620373962788 8.737563857874378))",8.73978356938363,78.08395795141757,,,,0.0,,0.0,0.0,,,,0.0,0.0
