index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Tiruchirapalli_0,"POLYGON ((78.63693071480498 10.740815202447612, 78.63693071480498 10.74522805549327, 78.63243913838437 10.74522805549327, 78.63243913838437 10.740815202447612, 78.63693071480498 10.740815202447612))",10.74302162897044,78.63468492659467,,,,0.0,,0.0,0.0,,,,0.0,0.0
Tiruchirapalli_1,"POLYGON ((78.63693071480498 10.74522805549327, 78.63693071480498 10.749640844042345, 78.63243913838437 10.749640844042345, 78.63243913838437 10.74522805549327, 78.63693071480498 10.74522805549327))",10.747434449767807,78.63468492659467,,,,0.0,,0.343,1.135,,,,0.343,0.0
Tiruchirapalli_2,"POLYGON ((78.63693071480498 10.749640844042345, 78.63693071480498 10.754053568069606, 78.63243913838437 10.754053568069606, 78.63243913838437 10.749640844042345, 78.63693071480498 10.749640844042345))",10.751847206055976,78.63468492659467,,,,0.0,,0.055,0.365,,,,0.055,0.0
Tiruchirapalli_3,"POLYGON ((78.63693071480498 10.754053568069606, 78.63693071480498 10.758466227549821, 78.63243913838437 10.758466227549821, 78.63243913838437 10.754053568069606, 78.63693071480498 10.754053568069606))",10.756259897809713,78.63468492659467,,,,0.0,,7.941,30.768,,,,7.941,0.0
Tiruchirapalli_4,"POLYGON ((78.63693071480498 10.758466227549821, 78.63693071480498 10.762878822457765, 78.63243913838437 10.762878822457765, 78.63243913838437 10.758466227549821, 78.63693071480498 10.758466227549821))",10.760672525003791,78.63468492659467,,,,0.0,,0.0,0.0,,,,0.0,0.0
Tiruchirapalli_5,"POLYGON ((78.63693071480498 10.762878822457765, 78.63693071480498 10.767291352768211, 78.63243913838437 10.767291352768211, 78.63243913838437 10.762878822457765, 78.63693071480498 10.762878822457765))",10.765085087612988,78.63468492659469,,,,0.0,,2.267,8.775,,,,2.267,0.0
Tiruchirapalli_6,"POLYGON ((78.63693071480498 10.767291352768211, 78.63693071480498 10.77170381845593, 78.63243913838437 10.77170381845593, 78.63243913838437 10.767291352768211, 78.63693071480498 10.767291352768211))",10.769497585612072,78.63468492659466,,,,0.0,,9.583,37.073,,,,9.583,0.0
Tiruchirapalli_7,"POLYGON ((78.63693071480498 10.77170381845593, 78.63693071480498 10.7761162194957, 78.63243913838437 10.7761162194957, 78.63243913838437 10.77170381845593, 78.63693071480498 10.77170381845593))",10.773910018975814,78.63468492659467,,,,0.0,,22.518,87.002,,,,22.518,0.0
Tiruchirapalli_8,"POLYGON ((78.63693071480498 10.7761162194957, 78.63693071480498 10.780528555862306, 78.63243913838437 10.780528555862306, 78.63243913838437 10.7761162194957, 78.63693071480498 10.7761162194957))",10.778322387679003,78.63468492659467,,,,0.0,,37.357,144.329,,,,37.357,0.0
Tiruchirapalli_9,"POLYGON ((78.63693071480498 10.873172635412981, 78.63693071480498 10.877583542592829, 78.63243913838437 10.877583542592829, 78.63243913838437 10.873172635412981, 78.63693071480498 10.873172635412981))",10.875378089002904,78.63468492659467,,,,0.0,,1.283,5.405,,,,1.283,0.0
Tiruchirapalli_10,"POLYGON ((78.64142229122558 10.740815202447612, 78.64142229122558 10.74522805549327, 78.63693071480498 10.74522805549327, 78.63693071480498 10.740815202447612, 78.64142229122558 10.740815202447612))",10.74302162897044,78.63917650301528,,,,0.0,,11.933,47.207,,,,11.933,0.0
Tiruchirapalli_11,"POLYGON ((78.64142229122558 10.74522805549327, 78.64142229122558 10.749640844042345, 78.63693071480498 10.749640844042345, 78.63693071480498 10.74522805549327, 78.64142229122558 10.74522805549327))",10.747434449767807,78.63917650301528,,,,0.0,,5.831,22.837,,,,5.831,0.0
Tiruchirapalli_12,"POLYGON ((78.64142229122558 10.749640844042345, 78.64142229122558 10.754053568069606, 78.63693071480498 10.754053568069606, 78.63693071480498 10.749640844042345, 78.64142229122558 10.749640844042345))",10.751847206055976,78.63917650301528,,,,0.0,,0.0,0.0,,,,0.0,0.0
Tiruchirapalli_13,"POLYGON ((78.64142229122558 10.754053568069606, 78.64142229122558 10.758466227549821, 78.63693071480498 10.758466227549821, 78.63693071480498 10.754053568069606, 78.64142229122558 10.754053568069606))",10.756259897809713,78.63917650301528,,,,0.0,,0.393,1.458,,,,0.393,0.0
Tiruchirapalli_14,"POLYGON ((78.64142229122558 10.758466227549821, 78.64142229122558 10.762878822457765, 78.63693071480498 10.762878822457765, 78.63693071480498 10.758466227549821, 78.64142229122558 10.758466227549821))",10.760672525003791,78.63917650301528,,,,0.0,,0.775,2.986,,,,0.775,0.0
Tiruchirapalli_15,"POLYGON ((78.64142229122558 10.762878822457765, 78.64142229122558 10.767291352768211, 78.63693071480498 10.767291352768211, 78.63693071480498 10.762878822457765, 78.64142229122558 10.762878822457765))",10.765085087612988,78.63917650301529,,,,0.0,,0.031,0.365,,,,0.031,0.0
Tiruchirapalli_16,"POLYGON ((78.64142229122558 10.767291352768211, 78.64142229122558 10.77170381845593, 78.63693071480498 10.77170381845593, 78.63693071480498 10.767291352768211, 78.64142229122558 10.767291352768211))",10.769497585612072,78.63917650301529,,,,0.0,,1.806,6.929,,,,1.806,0.0
Tiruchirapalli_17,"POLYGON ((78.64142229122558 10.77170381845593, 78.64142229122558 10.7761162194957, 78.63693071480498 10.7761162194957, 78.63693071480498 10.77170381845593, 78.64142229122558 10.77170381845593))",10.773910018975814,78.63917650301528,,,,0.0,,18.684,71.304,,,,18.684,0.0
Tiruchirapalli_18,"POLYGON ((78.64142229122558 10.7761162194957, 78.64142229122558 10.780528555862306, 78.63693071480498 10.780528555862306, 78.63693071480498 10.7761162194957, 78.64142229122558 10.7761162194957))",10.778322387679003,78.63917650301529,,,,0.0,,31.599,120.785,,,,31.599,0.0
Tiruchirapalli_19,"POLYGON ((78.64142229122558 10.868761663005584, 78.64142229122558 10.873172635412981, 78.63693071480498 10.873172635412981, 78.63693071480498 10.868761663005584, 78.64142229122558 10.868761663005584))",10.870967149209283,78.63917650301528,,,,0.0,,2.141,8.88,,,,2.141,0.0
Tiruchirapalli_20,"POLYGON ((78.64142229122558 10.873172635412981, 78.64142229122558 10.877583542592829, 78.63693071480498 10.877583542592829, 78.63693071480498 10.873172635412981, 78.64142229122558 10.873172635412981))",10.875378089002904,78.63917650301528,,,,0.0,,1.85,7.668,,,,1.85,0.0
