index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Tiruppur_0,"POLYGON ((77.2908455764185 11.104187305048727, 77.2908455764185 11.108594759555828, 77.2863539999979 11.108594759555828, 77.2863539999979 11.104187305048727, 77.2908455764185 11.104187305048727))",11.106391032302277,77.2885997882082,,,,1582.735,,61.918,221.345,0.828,0.0,0.0,1645.481,0.0
Tiruppur_1,"POLYGON ((77.2908455764185 11.108594759555828, 77.2908455764185 11.11300214749379, 77.2863539999979 11.11300214749379, 77.2863539999979 11.108594759555828, 77.2908455764185 11.108594759555828))",11.11079845352481,77.2885997882082,,,,1319.483,,5.865,20.999,0.828,0.0,0.0,1326.176,0.0
Tiruppur_2,"POLYGON ((77.2953371528391 11.090964542363366, 77.2953371528391 11.095372196427418, 77.2908455764185 11.095372196427418, 77.2908455764185 11.090964542363366, 77.2953371528391 11.090964542363366))",11.093168369395393,77.29309136462881,,,,1010.459,,31.014,110.682,7.928,0.0,0.0,1049.401,0.0
Tiruppur_3,"POLYGON ((77.2953371528391 11.095372196427418, 77.2953371528391 11.099779783997567, 77.2908455764185 11.099779783997567, 77.2908455764185 11.095372196427418, 77.2953371528391 11.095372196427418))",11.097575990212492,77.29309136462881,,,,1175.203,,20.142,71.029,18.541,0.073,0.0,1213.886,0.073
Tiruppur_4,"POLYGON ((77.2953371528391 11.099779783997567, 77.2953371528391 11.104187305048727, 77.2908455764185 11.104187305048727, 77.2908455764185 11.099779783997567, 77.2953371528391 11.099779783997567))",11.101983544523147,77.29309136462881,,,,1435.924,,29.255,103.153,7.648,0.005,0.0,1472.827,0.005
Tiruppur_5,"POLYGON ((77.2953371528391 11.104187305048727, 77.2953371528391 11.108594759555828, 77.2908455764185 11.108594759555828, 77.2908455764185 11.104187305048727, 77.2953371528391 11.104187305048727))",11.106391032302275,77.29309136462881,,,,1572.977,,23.565,82.327,5.78,0.0,0.0,1602.322,0.0
Tiruppur_6,"POLYGON ((77.2953371528391 11.108594759555828, 77.2953371528391 11.11300214749379, 77.2908455764185 11.11300214749379, 77.2908455764185 11.108594759555828, 77.2953371528391 11.108594759555828))",11.11079845352481,77.29309136462881,,,,1388.079,,6.84,23.904,5.78,0.0,0.0,1400.699,0.0
Tiruppur_7,"POLYGON ((77.2998287292597 11.07333326166976, 77.2998287292597 11.0777411814586, 77.2953371528391 11.0777411814586, 77.2953371528391 11.07333326166976, 77.2998287292597 11.07333326166976))",11.075537221564181,77.2975829410494,,,,670.14,,21.193,77.037,1.228,0.0,0.0,692.561,0.0
Tiruppur_8,"POLYGON ((77.2998287292597 11.0777411814586, 77.2998287292597 11.082149034853872, 77.2953371528391 11.082149034853872, 77.2953371528391 11.0777411814586, 77.2998287292597 11.0777411814586))",11.079945108156236,77.29758294104938,,,,790.103,,38.676,139.376,27.303,0.073,0.0,856.082,0.073
Tiruppur_9,"POLYGON ((77.2998287292597 11.082149034853872, 77.2998287292597 11.08655682183049, 77.2953371528391 11.08655682183049, 77.2953371528391 11.082149034853872, 77.2998287292597 11.082149034853872))",11.08435292834218,77.2975829410494,,,,828.098,,15.529,55.821,32.054,0.102,0.0,875.681,0.102
Tiruppur_10,"POLYGON ((77.2998287292597 11.08655682183049, 77.2998287292597 11.090964542363366, 77.2953371528391 11.090964542363366, 77.2953371528391 11.08655682183049, 77.2998287292597 11.08655682183049))",11.088760682096929,77.2975829410494,,,,930.12,,3.801,13.576,3.003,0.0,0.0,936.924,0.0
Tiruppur_11,"POLYGON ((77.2998287292597 11.090964542363366, 77.2998287292597 11.095372196427418, 77.2953371528391 11.095372196427418, 77.2953371528391 11.090964542363366, 77.2998287292597 11.090964542363366))",11.093168369395395,77.2975829410494,,,,1117.094,,21.099,75.267,25.551,0.073,0.0,1163.744,0.073
Tiruppur_12,"POLYGON ((77.2998287292597 11.095372196427418, 77.2998287292597 11.099779783997567, 77.2953371528391 11.099779783997567, 77.2953371528391 11.095372196427418, 77.2998287292597 11.095372196427418))",11.097575990212492,77.2975829410494,,,,1243.672,,51.806,182.683,60.005,0.199,0.0,1355.483,0.199
Tiruppur_13,"POLYGON ((77.2998287292597 11.099779783997567, 77.2998287292597 11.104187305048727, 77.2953371528391 11.104187305048727, 77.2953371528391 11.099779783997567, 77.2998287292597 11.099779783997567))",11.101983544523147,77.2975829410494,,,,1391.406,,69.983,246.738,29.31,0.099,0.0,1490.699,0.099
Tiruppur_14,"POLYGON ((77.2998287292597 11.104187305048727, 77.2998287292597 11.108594759555828, 77.2953371528391 11.108594759555828, 77.2953371528391 11.104187305048727, 77.2998287292597 11.104187305048727))",11.106391032302277,77.2975829410494,,,,1233.323,,0.783,2.782,21.469,0.073,0.0,1255.575,0.073
Tiruppur_15,"POLYGON ((77.2998287292597 11.108594759555828, 77.2998287292597 11.11300214749379, 77.2953371528391 11.11300214749379, 77.2953371528391 11.108594759555828, 77.2998287292597 11.108594759555828))",11.11079845352481,77.29758294104941,,,,1079.493,,42.003,146.792,21.469,0.073,0.0,1142.965,0.073
Tiruppur_16,"POLYGON ((77.30432030568029 11.064517223011734, 77.30432030568029 11.068925275512441, 77.2998287292597 11.068925275512441, 77.2998287292597 11.064517223011734, 77.30432030568029 11.064517223011734))",11.066721249262086,77.30207451747,,,,772.352,,11.514,42.094,23.686,0.073,0.0,807.552,0.073
Tiruppur_17,"POLYGON ((77.30432030568029 11.068925275512441, 77.30432030568029 11.07333326166976, 77.2998287292597 11.07333326166976, 77.2998287292597 11.068925275512441, 77.30432030568029 11.068925275512441))",11.071129268591102,77.30207451747,,,,815.955,,113.353,404.344,23.686,0.073,0.0,952.994,0.073
Tiruppur_18,"POLYGON ((77.30432030568029 11.07333326166976, 77.30432030568029 11.0777411814586, 77.2998287292597 11.0777411814586, 77.2998287292597 11.07333326166976, 77.30432030568029 11.07333326166976))",11.07553722156418,77.30207451747,,,,903.733,,16.708,59.609,35.638,0.123,0.0,956.079,0.123
Tiruppur_19,"POLYGON ((77.30432030568029 11.0777411814586, 77.30432030568029 11.082149034853872, 77.2998287292597 11.082149034853872, 77.2998287292597 11.0777411814586, 77.30432030568029 11.0777411814586))",11.079945108156238,77.30207451747002,,,,970.752,,27.729,97.215,16.42,0.073,0.0,1014.901,0.073
Tiruppur_20,"POLYGON ((77.30432030568029 11.082149034853872, 77.30432030568029 11.08655682183049, 77.2998287292597 11.08655682183049, 77.2998287292597 11.082149034853872, 77.30432030568029 11.082149034853872))",11.084352928342181,77.30207451747002,,,,1074.912,,10.38,36.38,22.419,0.073,0.0,1107.711,0.073
Tiruppur_21,"POLYGON ((77.30432030568029 11.08655682183049, 77.30432030568029 11.090964542363366, 77.2998287292597 11.090964542363366, 77.2998287292597 11.08655682183049, 77.30432030568029 11.08655682183049))",11.088760682096929,77.30207451747002,,,,1209.225,,35.333,121.552,31.341,0.1,0.0,1275.899,0.1
Tiruppur_22,"POLYGON ((77.30432030568029 11.090964542363366, 77.30432030568029 11.095372196427418, 77.2998287292597 11.095372196427418, 77.2998287292597 11.090964542363366, 77.30432030568029 11.090964542363366))",11.093168369395393,77.30207451747002,,,,1254.033,,38.496,132.38,36.241,0.121,0.0,1328.77,0.121
Tiruppur_23,"POLYGON ((77.30432030568029 11.095372196427418, 77.30432030568029 11.099779783997567, 77.2998287292597 11.099779783997567, 77.2998287292597 11.095372196427418, 77.30432030568029 11.095372196427418))",11.097575990212492,77.30207451747,,,,1368.351,,38.796,131.132,47.03,0.144,0.0,1454.177,0.144
Tiruppur_24,"POLYGON ((77.30432030568029 11.099779783997567, 77.30432030568029 11.104187305048727, 77.2998287292597 11.104187305048727, 77.2998287292597 11.099779783997567, 77.30432030568029 11.099779783997567))",11.101983544523147,77.30207451747,,,,1576.525,,81.593,275.683,36.941,0.118,0.0,1695.059,0.118
Tiruppur_25,"POLYGON ((77.30432030568029 11.104187305048727, 77.30432030568029 11.108594759555828, 77.2998287292597 11.108594759555828, 77.2998287292597 11.104187305048727, 77.30432030568029 11.104187305048727))",11.106391032302275,77.30207451747,,,,1582.273,,68.519,228.864,26.05,0.073,0.0,1676.842,0.073
Tiruppur_26,"POLYGON ((77.30432030568029 11.108594759555828, 77.30432030568029 11.11300214749379, 77.2998287292597 11.11300214749379, 77.2998287292597 11.108594759555828, 77.30432030568029 11.108594759555828))",11.11079845352481,77.30207451747,,,,1830.767,,87.199,291.205,26.05,0.073,0.0,1944.016,0.073
Tiruppur_27,"POLYGON ((77.3088118821009 11.064517223011734, 77.3088118821009 11.068925275512441, 77.30432030568029 11.068925275512441, 77.30432030568029 11.064517223011734, 77.3088118821009 11.064517223011734))",11.066721249262088,77.3065660938906,,,,983.919,,27.288,99.929,15.497,0.072,0.0,1026.704,0.072
Tiruppur_28,"POLYGON ((77.3088118821009 11.068925275512441, 77.3088118821009 11.07333326166976, 77.30432030568029 11.07333326166976, 77.30432030568029 11.068925275512441, 77.3088118821009 11.068925275512441))",11.0711292685911,77.30656609389061,,,,939.991,,30.271,107.996,15.497,0.072,0.0,985.759,0.072
Tiruppur_29,"POLYGON ((77.3088118821009 11.07333326166976, 77.3088118821009 11.0777411814586, 77.30432030568029 11.0777411814586, 77.30432030568029 11.07333326166976, 77.3088118821009 11.07333326166976))",11.075537221564181,77.3065660938906,,,,944.591,,20.512,73.151,26.58,0.09,0.0,991.683,0.09
Tiruppur_30,"POLYGON ((77.3088118821009 11.0777411814586, 77.3088118821009 11.082149034853872, 77.30432030568029 11.082149034853872, 77.30432030568029 11.0777411814586, 77.3088118821009 11.0777411814586))",11.079945108156236,77.3065660938906,,,,1089.515,,41.905,146.925,42.1,0.145,0.0,1173.52,0.145
Tiruppur_31,"POLYGON ((77.3088118821009 11.082149034853872, 77.3088118821009 11.08655682183049, 77.30432030568029 11.08655682183049, 77.30432030568029 11.082149034853872, 77.3088118821009 11.082149034853872))",11.08435292834218,77.30656609389061,,,,1335.818,,38.937,136.52,56.857,0.192,0.0,1431.612,0.192
Tiruppur_32,"POLYGON ((77.3088118821009 11.08655682183049, 77.3088118821009 11.090964542363366, 77.30432030568029 11.090964542363366, 77.30432030568029 11.08655682183049, 77.3088118821009 11.08655682183049))",11.088760682096929,77.3065660938906,,,,1591.251,,103.162,354.706,48.836,0.162,0.0,1743.249,0.162
Tiruppur_33,"POLYGON ((77.3088118821009 11.090964542363366, 77.3088118821009 11.095372196427418, 77.30432030568029 11.095372196427418, 77.30432030568029 11.090964542363366, 77.3088118821009 11.090964542363366))",11.093168369395395,77.30656609389061,,,,1573.236,,69.883,240.331,47.808,0.159,0.0,1690.927,0.159
Tiruppur_34,"POLYGON ((77.3088118821009 11.095372196427418, 77.3088118821009 11.099779783997567, 77.30432030568029 11.099779783997567, 77.30432030568029 11.095372196427418, 77.3088118821009 11.095372196427418))",11.097575990212492,77.30656609389061,,,,1572.587,,138.625,468.456,81.106,0.26,0.0,1792.318,0.26
