index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Ujjain_0,"POLYGON ((75.70814891920718 23.168853370441088, 75.70814891920718 23.172982634641457, 75.70365734278657 23.172982634641457, 75.70365734278657 23.168853370441088, 75.70814891920718 23.168853370441088))",23.170918002541274,75.70590313099686,,,,289.61,,3.179,11.551,,,,292.789,0.0
Ujjain_1,"POLYGON ((75.70814891920718 23.172982634641457, 75.70814891920718 23.177111771463313, 75.70365734278657 23.177111771463313, 75.70365734278657 23.172982634641457, 75.70814891920718 23.172982634641457))",23.17504720305239,75.70590313099687,,,,294.347,,2.975,10.835,,,,297.322,0.0
Ujjain_2,"POLYGON ((75.70814891920718 23.177111771463313, 75.70814891920718 23.181240780889127, 75.70365734278657 23.181240780889127, 75.70365734278657 23.177111771463313, 75.70814891920718 23.177111771463313))",23.179176276176225,75.70590313099687,,,,183.137,,0.816,2.916,,,,183.953,0.0
Ujjain_3,"POLYGON ((75.70814891920718 23.181240780889127, 75.70814891920718 23.185369662901397, 75.70365734278657 23.185369662901397, 75.70365734278657 23.181240780889127, 75.70814891920718 23.181240780889127))",23.18330522189526,75.70590313099687,,,,121.885,,0.926,3.361,,,,122.811,0.0
Ujjain_4,"POLYGON ((75.70814891920718 23.185369662901397, 75.70814891920718 23.189498417482607, 75.70365734278657 23.189498417482607, 75.70365734278657 23.185369662901397, 75.70814891920718 23.185369662901397))",23.187434040192002,75.70590313099686,,,,115.158,,2.669,9.781,,,,117.827,0.0
Ujjain_5,"POLYGON ((75.71264049562778 23.168853370441088, 75.71264049562778 23.172982634641457, 75.70814891920718 23.172982634641457, 75.70814891920718 23.168853370441088, 75.71264049562778 23.168853370441088))",23.170918002541274,75.71039470741748,,,,252.347,,0.963,3.476,,,,253.31,0.0
Ujjain_6,"POLYGON ((75.71264049562778 23.172982634641457, 75.71264049562778 23.177111771463313, 75.70814891920718 23.177111771463313, 75.70814891920718 23.172982634641457, 75.71264049562778 23.172982634641457))",23.17504720305239,75.71039470741748,,,,267.922,,1.061,3.875,,,,268.983,0.0
Ujjain_7,"POLYGON ((75.71264049562778 23.177111771463313, 75.71264049562778 23.181240780889127, 75.70814891920718 23.181240780889127, 75.70814891920718 23.177111771463313, 75.71264049562778 23.177111771463313))",23.179176276176225,75.71039470741748,,,,169.225,,0.0,0.0,,,,169.225,0.0
Ujjain_8,"POLYGON ((75.71264049562778 23.181240780889127, 75.71264049562778 23.185369662901397, 75.70814891920718 23.185369662901397, 75.70814891920718 23.181240780889127, 75.71264049562778 23.181240780889127))",23.18330522189526,75.71039470741746,,,,145.588,,0.173,0.731,,,,145.761,0.0
Ujjain_9,"POLYGON ((75.71264049562778 23.185369662901397, 75.71264049562778 23.189498417482607, 75.70814891920718 23.189498417482607, 75.70814891920718 23.185369662901397, 75.71264049562778 23.185369662901397))",23.187434040192002,75.71039470741746,,,,139.831,,0.0,0.0,,,,139.831,0.0
Ujjain_10,"POLYGON ((75.71264049562778 23.189498417482607, 75.71264049562778 23.19362704461526, 75.70814891920718 23.19362704461526, 75.70814891920718 23.189498417482607, 75.71264049562778 23.189498417482607))",23.191562731048933,75.71039470741748,,,,155.142,,0.0,0.0,,,,155.142,0.0
Ujjain_11,"POLYGON ((75.71713207204837 23.168853370441088, 75.71713207204837 23.172982634641457, 75.71264049562778 23.172982634641457, 75.71264049562778 23.168853370441088, 75.71713207204837 23.168853370441088))",23.17091800254127,75.71488628383807,,,,184.346,,0.365,1.096,,,,184.711,0.0
Ujjain_12,"POLYGON ((75.71713207204837 23.172982634641457, 75.71713207204837 23.177111771463313, 75.71264049562778 23.177111771463313, 75.71264049562778 23.172982634641457, 75.71713207204837 23.172982634641457))",23.17504720305239,75.71488628383807,,,,216.18,,1.709,6.137,,,,217.889,0.0
Ujjain_13,"POLYGON ((75.71713207204837 23.177111771463313, 75.71713207204837 23.181240780889127, 75.71264049562778 23.181240780889127, 75.71264049562778 23.177111771463313, 75.71713207204837 23.177111771463313))",23.179176276176225,75.7148862838381,,,,183.531,,1.728,6.269,,,,185.259,0.0
Ujjain_14,"POLYGON ((75.71713207204837 23.181240780889127, 75.71713207204837 23.185369662901397, 75.71264049562778 23.185369662901397, 75.71264049562778 23.181240780889127, 75.71713207204837 23.181240780889127))",23.183305221895257,75.71488628383808,,,,158.043,,0.0,0.0,,,,158.043,0.0
Ujjain_15,"POLYGON ((75.71713207204837 23.185369662901397, 75.71713207204837 23.189498417482607, 75.71264049562778 23.189498417482607, 75.71264049562778 23.185369662901397, 75.71713207204837 23.185369662901397))",23.187434040192002,75.71488628383807,,,,150.336,,0.0,0.0,,,,150.336,0.0
Ujjain_16,"POLYGON ((75.71713207204837 23.189498417482607, 75.71713207204837 23.19362704461526, 75.71264049562778 23.19362704461526, 75.71264049562778 23.189498417482607, 75.71713207204837 23.189498417482607))",23.191562731048933,75.71488628383808,,,,153.183,,4.946,17.937,,,,158.129,0.0
Ujjain_17,"POLYGON ((75.72162364846898 23.164723978879707, 75.72162364846898 23.168853370441088, 75.71713207204837 23.168853370441088, 75.71713207204837 23.164723978879707, 75.72162364846898 23.164723978879707))",23.166788674660395,75.71937786025867,,,,142.276,,1.967,6.987,,,,144.243,0.0
Ujjain_18,"POLYGON ((75.72162364846898 23.168853370441088, 75.72162364846898 23.172982634641457, 75.71713207204837 23.172982634641457, 75.71713207204837 23.168853370441088, 75.72162364846898 23.168853370441088))",23.170918002541274,75.71937786025867,,,,163.402,,2.367,8.419,,,,165.769,0.0
Ujjain_19,"POLYGON ((75.72162364846898 23.172982634641457, 75.72162364846898 23.177111771463313, 75.71713207204837 23.177111771463313, 75.71713207204837 23.172982634641457, 75.72162364846898 23.172982634641457))",23.17504720305239,75.71937786025867,,,,210.443,,6.797,24.139,,,,217.24,0.0
