index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Vadodara_0,"POLYGON ((73.11821043714879 22.323143808626966, 73.11821043714879 22.327298708130925, 73.11371886072818 22.327298708130925, 73.11371886072818 22.323143808626966, 73.11821043714879 22.323143808626966))",22.325221258378942,73.11596464893849,,,,2225.872,,16.212,59.6,0.0,0.0,0.0,2242.084,0.0
Vadodara_1,"POLYGON ((73.11821043714879 22.327298708130925, 73.11821043714879 22.331453483898905, 73.11371886072818 22.331453483898905, 73.11371886072818 22.327298708130925, 73.11821043714879 22.327298708130925))",22.329376096014915,73.1159646489385,,,,1786.648,,67.009,246.386,4.507,0.0,0.0,1858.164,0.0
Vadodara_2,"POLYGON ((73.11821043714879 22.331453483898905, 73.11821043714879 22.335608135912743, 73.11371886072818 22.335608135912743, 73.11371886072818 22.331453483898905, 73.11821043714879 22.331453483898905))",22.333530809905824,73.11596464893849,,,,1382.16,,11.567,42.942,1.62,0.0,0.0,1395.347,0.0
Vadodara_3,"POLYGON ((73.12270201356937 22.314833638483762, 73.12270201356937 22.31898878540519, 73.11821043714879 22.31898878540519, 73.11821043714879 22.314833638483762, 73.12270201356937 22.314833638483762))",22.31691121194448,73.12045622535908,,,,3028.055,,119.691,435.541,0.0,0.0,0.0,3147.746,0.0
Vadodara_4,"POLYGON ((73.12270201356937 22.31898878540519, 73.12270201356937 22.323143808626966, 73.11821043714879 22.323143808626966, 73.11821043714879 22.31898878540519, 73.12270201356937 22.31898878540519))",22.32106629701608,73.12045622535908,,,,3034.284,,131.53,478.613,51.081,0.193,0.0,3216.895,0.193
Vadodara_5,"POLYGON ((73.12270201356937 22.323143808626966, 73.12270201356937 22.327298708130925, 73.11821043714879 22.327298708130925, 73.11821043714879 22.323143808626966, 73.12270201356937 22.323143808626966))",22.325221258378946,73.12045622535908,,,,2812.781,,31.632,116.342,33.457,0.125,0.0,2877.87,0.125
Vadodara_6,"POLYGON ((73.12270201356937 22.327298708130925, 73.12270201356937 22.331453483898905, 73.11821043714879 22.331453483898905, 73.11821043714879 22.327298708130925, 73.12270201356937 22.327298708130925))",22.32937609601492,73.12045622535908,,,,2394.575,,15.16,55.769,26.487,0.082,0.0,2436.222,0.082
Vadodara_7,"POLYGON ((73.12270201356937 22.331453483898905, 73.12270201356937 22.335608135912743, 73.11821043714879 22.335608135912743, 73.11821043714879 22.331453483898905, 73.12270201356937 22.331453483898905))",22.333530809905824,73.12045622535906,,,,1651.777,,11.633,43.189,4.107,0.0,0.0,1667.517,0.0
Vadodara_8,"POLYGON ((73.12719358998997 22.273275369788056, 73.12719358998997 22.277431752706036, 73.12270201356937 22.277431752706036, 73.12270201356937 22.273275369788056, 73.12719358998997 22.273275369788056))",22.27535356124704,73.12494780177967,,,,1997.221,,6.512,23.581,0.0,0.0,0.0,2003.733,0.0
Vadodara_9,"POLYGON ((73.12719358998997 22.277431752706036, 73.12719358998997 22.281588012106216, 73.12270201356937 22.281588012106216, 73.12270201356937 22.277431752706036, 73.12719358998997 22.277431752706036))",22.279509882406124,73.12494780177967,,,,2267.552,,79.261,280.442,49.82,0.183,0.0,2396.633,0.183
Vadodara_10,"POLYGON ((73.12719358998997 22.281588012106216, 73.12719358998997 22.285744147970405, 73.12270201356937 22.285744147970405, 73.12270201356937 22.281588012106216, 73.12719358998997 22.281588012106216))",22.28366608003831,73.12494780177967,,,,2507.255,,232.948,824.216,3.058,0.0,0.0,2743.261,0.0
Vadodara_11,"POLYGON ((73.12719358998997 22.302367455703326, 73.12719358998997 22.306522973614655, 73.12270201356937 22.306522973614655, 73.12270201356937 22.302367455703326, 73.12719358998997 22.302367455703326))",22.30444521465899,73.12494780177965,,,,3308.318,,83.131,286.871,5.732,0.0,0.0,3397.181,0.0
Vadodara_12,"POLYGON ((73.12719358998997 22.306522973614655, 73.12719358998997 22.31067836788086, 73.12270201356937 22.31067836788086, 73.12270201356937 22.306522973614655, 73.12719358998997 22.306522973614655))",22.30860067074776,73.12494780177967,,,,3449.778,,20.463,70.661,23.596,0.073,0.0,3493.837,0.073
Vadodara_13,"POLYGON ((73.12719358998997 22.31067836788086, 73.12719358998997 22.314833638483762, 73.12270201356937 22.314833638483762, 73.12270201356937 22.31067836788086, 73.12719358998997 22.31067836788086))",22.312756003182308,73.12494780177965,,,,3753.597,,166.166,573.752,67.539,0.244,0.0,3987.302,0.244
Vadodara_14,"POLYGON ((73.12719358998997 22.314833638483762, 73.12719358998997 22.31898878540519, 73.12270201356937 22.31898878540519, 73.12270201356937 22.314833638483762, 73.12719358998997 22.314833638483762))",22.316911211944475,73.12494780177967,,,,3880.977,,220.063,767.322,67.539,0.244,0.0,4168.579,0.244
Vadodara_15,"POLYGON ((73.12719358998997 22.31898878540519, 73.12719358998997 22.323143808626966, 73.12270201356937 22.323143808626966, 73.12270201356937 22.31898878540519, 73.12719358998997 22.31898878540519))",22.32106629701608,73.12494780177967,,,,3676.605,,217.225,757.423,68.536,0.247,0.0,3962.366,0.247
Vadodara_16,"POLYGON ((73.12719358998997 22.323143808626966, 73.12719358998997 22.327298708130925, 73.12270201356937 22.327298708130925, 73.12270201356937 22.323143808626966, 73.12719358998997 22.323143808626966))",22.325221258378942,73.12494780177968,,,,3561.336,,287.142,1019.815,46.405,0.183,0.0,3894.883,0.183
Vadodara_17,"POLYGON ((73.12719358998997 22.327298708130925, 73.12719358998997 22.331453483898905, 73.12270201356937 22.331453483898905, 73.12270201356937 22.327298708130925, 73.12719358998997 22.327298708130925))",22.329376096014915,73.12494780177967,,,,2884.901,,54.458,193.39,35.602,0.142,0.0,2974.961,0.142
Vadodara_18,"POLYGON ((73.12719358998997 22.331453483898905, 73.12719358998997 22.335608135912743, 73.12270201356937 22.335608135912743, 73.12270201356937 22.331453483898905, 73.12719358998997 22.331453483898905))",22.333530809905824,73.12494780177965,,,,1916.334,,2.149,7.782,21.8,0.073,0.0,1940.283,0.073
Vadodara_19,"POLYGON ((73.13168516641056 22.256648603302278, 73.13168516641056 22.260805480109383, 73.12719358998997 22.260805480109383, 73.12719358998997 22.256648603302278, 73.13168516641056 22.256648603302278))",22.258727041705832,73.12943937820026,,,,980.963,,10.834,41.052,0.0,0.0,0.0,991.797,0.0
Vadodara_20,"POLYGON ((73.13168516641056 22.260805480109383, 73.13168516641056 22.264962233471525, 73.12719358998997 22.264962233471525, 73.12719358998997 22.260805480109383, 73.13168516641056 22.260805480109383))",22.262883856790456,73.12943937820026,,,,1268.226,,17.93,66.427,15.533,0.072,0.0,1301.689,0.072
Vadodara_21,"POLYGON ((73.13168516641056 22.264962233471525, 73.13168516641056 22.269118863370483, 73.12719358998997 22.269118863370483, 73.12719358998997 22.264962233471525, 73.13168516641056 22.264962233471525))",22.267040548421004,73.12943937820027,,,,1617.972,,95.386,353.247,15.533,0.072,0.0,1728.891,0.072
Vadodara_22,"POLYGON ((73.13168516641056 22.269118863370483, 73.13168516641056 22.273275369788056, 73.12719358998997 22.273275369788056, 73.12719358998997 22.269118863370483, 73.13168516641056 22.269118863370483))",22.27119711657927,73.12943937820026,,,,2216.457,,29.989,108.653,36.813,0.139,0.0,2283.259,0.139
Vadodara_23,"POLYGON ((73.13168516641056 22.273275369788056, 73.13168516641056 22.277431752706036, 73.12719358998997 22.277431752706036, 73.12719358998997 22.273275369788056, 73.13168516641056 22.273275369788056))",22.275353561247048,73.12943937820026,,,,3250.217,,24.952,90.391,49.151,0.177,0.0,3324.32,0.177
Vadodara_24,"POLYGON ((73.13168516641056 22.277431752706036, 73.13168516641056 22.281588012106216, 73.12719358998997 22.281588012106216, 73.12719358998997 22.277431752706036, 73.13168516641056 22.277431752706036))",22.279509882406128,73.12943937820027,,,,3750.578,,131.105,463.903,65.187,0.246,0.0,3946.87,0.246
Vadodara_25,"POLYGON ((73.13168516641056 22.281588012106216, 73.13168516641056 22.285744147970405, 73.12719358998997 22.285744147970405, 73.12719358998997 22.281588012106216, 73.13168516641056 22.281588012106216))",22.28366608003831,73.12943937820026,,,,3980.916,,168.621,596.645,89.5,0.327,0.0,4239.037,0.327
Vadodara_26,"POLYGON ((73.13168516641056 22.285744147970405, 73.13168516641056 22.289900160280403, 73.12719358998997 22.289900160280403, 73.12719358998997 22.285744147970405, 73.13168516641056 22.285744147970405))",22.287822154125404,73.12943937820027,,,,4615.708,,269.285,936.022,18.48,0.073,0.0,4903.473,0.073
Vadodara_27,"POLYGON ((73.13168516641056 22.289900160280403, 73.13168516641056 22.294056049018014, 73.12719358998997 22.294056049018014, 73.12719358998997 22.289900160280403, 73.13168516641056 22.289900160280403))",22.29197810464921,73.12943937820026,,,,5350.835,,178.041,618.864,18.48,0.073,0.0,5547.356,0.073
Vadodara_28,"POLYGON ((73.13168516641056 22.294056049018014, 73.13168516641056 22.29821181416505, 73.12719358998997 22.29821181416505, 73.12719358998997 22.294056049018014, 73.13168516641056 22.294056049018014))",22.29613393159153,73.12943937820026,,,,5350.835,,122.09,424.389,18.82,0.073,0.0,5491.745,0.073
Vadodara_29,"POLYGON ((73.13168516641056 22.29821181416505, 73.13168516641056 22.302367455703326, 73.12719358998997 22.302367455703326, 73.12719358998997 22.29821181416505, 73.13168516641056 22.29821181416505))",22.300289634934188,73.12943937820026,,,,4727.519,,281.341,970.94,112.011,0.404,0.0,5120.871,0.404
Vadodara_30,"POLYGON ((73.13168516641056 22.302367455703326, 73.13168516641056 22.306522973614655, 73.12719358998997 22.306522973614655, 73.12719358998997 22.302367455703326, 73.13168516641056 22.302367455703326))",22.304445214658994,73.12943937820026,,,,3817.3,,363.048,1252.899,235.654,0.86,0.0,4416.002,0.86
