date,total,power,traffic,residential_scope1,residential_scope2,industrial,aviation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,739.518,574.235,,165.283,574.241,,0.1207499792860456,Agartala,,,
2020-01-02,643.676,578.904,,64.772,578.904,,0.128608028920058,Agartala,,,
2020-01-03,588.789,588.789,,0.0,588.788,,0.1316260060580961,Agartala,,,
2020-01-04,717.636,589.786,,127.85,589.784,,0.1234503101431186,Agartala,,,
2020-01-05,568.332,568.332,,0.0,568.33,,0.12764962867196747,Agartala,,,
2020-01-06,729.7280000000001,572.451,,157.277,572.462,,0.13285888627405268,Agartala,,,
2020-01-07,584.948,584.03,,0.918,584.05,,0.1350589162357401,Agartala,,,
2020-01-08,668.299,584.822,,83.477,584.832,,0.0950248078495982,Agartala,,,
2020-01-09,572.579,572.579,,0.0,572.581,,0.10723713908832004,Agartala,,,
2020-01-10,668.8919999999999,563.602,,105.29,563.596,,0.13094534149345322,Agartala,,,
2020-01-11,574.558,574.558,,0.0,574.562,,0.12342929439532979,Agartala,,,
2020-01-12,752.394,576.764,,175.63,576.767,,0.12807724781105254,Agartala,,,
2020-01-13,753.787,582.691,,171.096,582.675,,0.13167721109065086,Agartala,,,
2020-01-14,744.875,574.033,,170.842,574.034,,0.12411065560886964,Agartala,,,
2020-01-15,726.713,558.548,,168.165,558.55,,0.1234231800343166,Agartala,,,
2020-01-16,717.511,556.577,,160.934,556.583,,0.1252747528810034,Agartala,,,
2020-01-17,729.281,583.074,,146.207,583.078,,0.13154137217633652,Agartala,,,
2020-01-18,733.562,580.109,,153.453,580.121,,0.12565139466870864,Agartala,,,
2020-01-19,557.9649999999999,557.252,,0.713,557.25,,0.12491581147393639,Agartala,,,
2020-01-20,581.292,579.063,,2.229,579.067,,0.1327140368661596,Agartala,,,
2020-01-21,732.0459999999999,584.588,,147.458,584.575,,0.13185594367029296,Agartala,,,
2020-01-22,703.719,569.039,,134.68,569.037,,0.12785688370739065,Agartala,,,
2020-01-23,741.0600000000001,575.773,,165.287,575.777,,0.13306956916457735,Agartala,,,
2020-01-24,593.5690000000001,590.85,,2.719,590.828,,0.12929989284608062,Agartala,,,
2020-01-25,770.965,597.87,,173.095,597.874,,0.1257357452464109,Agartala,,,
2020-01-26,757.896,569.536,,188.36,569.543,,0.12496490935440732,Agartala,,,
2020-01-27,796.014,586.078,,209.936,586.07,,0.1358316728227048,Agartala,,,
2020-01-28,738.798,593.571,,145.227,593.555,,0.13304249659260514,Agartala,,,
2020-01-29,596.491,596.491,,0.0,596.488,,0.12429110732831475,Agartala,,,
2020-01-30,753.2760000000001,599.806,,153.47,599.798,,0.13188201516143097,Agartala,,,
2020-01-31,606.021,597.274,,8.747,597.276,,0.13229720359992195,Agartala,,,
2020-02-01,592.664,583.917,,8.747,583.919,,0.12461369824250088,Agartala,,,
2020-02-02,726.221,558.261,,167.96,558.266,,0.12490814901946974,Agartala,,,
2020-02-03,682.267,571.23,,111.037,571.221,,0.1326499731159835,Agartala,,,
2020-02-04,748.665,586.246,,162.419,586.231,,0.134246696868455,Agartala,,,
2020-02-05,590.483,586.337,,4.146,586.326,,0.12317936866063305,Agartala,,,
