date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25,industrial_scope2
2020-01-01,8788.68080429171,8788.461,,0.0,2297.455,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-02,9104.566804291711,8840.058,,264.289,2327.522,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-03,9601.91980429171,8980.514,,621.186,2385.209,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-04,9347.46380429171,8977.512,,369.732,2379.436,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-05,9241.924804291712,8638.495,,603.21,2290.023,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-06,8710.23980429171,8685.851,,24.169,2262.68,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-07,9316.85580429171,8866.134,,450.502,2284.865,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-08,8887.57580429171,8887.011,,0.345,2408.419,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-09,9181.91780429171,8686.693,,495.005,2266.159,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-10,9077.38880429171,8568.363,,508.806,2301.072,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-11,9260.83580429171,8706.726,,553.89,2255.731,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-12,9268.44180429171,8745.975,,522.247,2237.052,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-13,8840.95280429171,8824.552,,16.181,2262.257,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-14,8853.03180429171,8725.331,,127.481,2356.309,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-15,9021.87180429171,8502.384,,519.268,2308.039,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-16,8644.74480429171,8454.631,,189.894,2426.026,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-17,8871.92280429171,8871.703,,0.0,2406.725,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-18,8945.82880429171,8813.798,,131.811,2333.845,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-19,9008.81480429171,8495.081,,513.514,2288.506,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-20,8753.23780429171,8753.018,,0.0,2285.45,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-21,8873.24380429171,8873.024,,0.0,2320.982,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-22,9194.11880429171,8623.491,,570.408,2306.406,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-23,9174.03180429171,8714.646,,459.166,2143.674,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-24,9410.39780429171,8949.377,,460.801,2177.54,0.2198042917097089,,Agra,,,,0.2636564114058022
2020-01-25,9545.24380429171,9042.75,,502.274,2202.235,0.2198042917097089,,Agra,,,,0.2636564114058022
