date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,17587.033,17587.033,,0.0,6763.435,,,Ahmedabad,,,
2020-01-02,19117.35,17758.065,,1359.285,6881.337,,,Ahmedabad,,,
2020-01-03,19506.798,18141.571,,1365.227,6920.24,,,Ahmedabad,,,
2020-01-04,18135.414,18135.317,,0.097,6680.778,,,Ahmedabad,,,
2020-01-05,18862.296000000002,17323.519,,1538.777,6546.233,,,Ahmedabad,,,
2020-01-06,19153.422000000002,17453.06,,1700.362,6652.749,,,Ahmedabad,,,
2020-01-07,19314.137,17776.384,,1537.753,6840.11,,,Ahmedabad,,,
2020-01-08,19360.428,17872.1,,1488.328,6549.279,,,Ahmedabad,,,
2020-01-09,19029.576999999997,17532.403,,1497.174,6387.92,,,Ahmedabad,,,
2020-01-10,18671.384000000002,17188.881,,1482.503,6404.05,,,Ahmedabad,,,
2020-01-11,17636.265,17636.265,,0.0,6549.881,,,Ahmedabad,,,
2020-01-12,17855.32,17710.251,,145.069,6920.408,,,Ahmedabad,,,
2020-01-13,19308.533000000003,17876.81,,1431.723,7051.623,,,Ahmedabad,,,
2020-01-14,17906.798,17496.158,,410.64,6463.703,,,Ahmedabad,,,
2020-01-15,17047.467,16960.322,,87.145,6471.347,,,Ahmedabad,,,
2020-01-16,18432.061999999998,17054.69,,1377.372,6736.661,,,Ahmedabad,,,
2020-01-17,19702.273,17867.071,,1835.202,6806.086,,,Ahmedabad,,,
2020-01-18,19215.086,17675.64,,1539.446,6588.494,,,Ahmedabad,,,
2020-01-19,18295.485,16877.201,,1418.284,6374.128,,,Ahmedabad,,,
2020-01-20,19098.692000000003,17597.292,,1501.4,6522.377,,,Ahmedabad,,,
2020-01-21,19331.273999999998,17874.387,,1456.887,6478.842,,,Ahmedabad,,,
2020-01-22,18870.678,17311.129,,1559.549,6565.711,,,Ahmedabad,,,
2020-01-23,19138.790999999997,17607.172,,1531.619,6384.422,,,Ahmedabad,,,
2020-01-24,19536.208,18114.771,,1421.437,6404.361,,,Ahmedabad,,,
2020-01-25,18359.633,18359.633,,0.0,6423.295,,,Ahmedabad,,,
2020-01-26,18909.630999999998,17438.495,,1471.136,6442.864,,,Ahmedabad,,,
2020-01-27,18245.576,17978.785,,266.791,6677.624,,,Ahmedabad,,,
2020-01-28,18584.554,18131.226,,453.328,6454.981,,,Ahmedabad,,,
2020-01-29,19936.7,18251.537,,1685.163,6450.811,,,Ahmedabad,,,
2020-01-30,19657.22,18375.897,,1281.323,6381.676,,,Ahmedabad,,,
2020-01-31,19020.881,18208.079,,812.802,6381.351,,,Ahmedabad,,,
2020-02-01,18683.217,17870.415,,812.802,6402.59,,,Ahmedabad,,,
2020-02-02,18577.488,16933.088,,1644.4,6386.917,,,Ahmedabad,,,
2020-02-03,19135.583000000002,17459.294,,1676.289,6328.665,,,Ahmedabad,,,
2020-02-04,19419.827,17881.453,,1538.374,6381.625,,,Ahmedabad,,,
2020-02-05,18857.105,17874.979,,982.126,6391.056,,,Ahmedabad,,,
2020-02-06,19317.436999999998,17802.457,,1514.98,6380.597,,,Ahmedabad,,,
2020-02-07,19699.703,18009.678,,1690.025,6416.704,,,Ahmedabad,,,
2020-02-08,18805.707,17378.331,,1427.376,6406.466,,,Ahmedabad,,,
2020-02-09,18749.381999999998,17127.23,,1622.152,6423.67,,,Ahmedabad,,,
2020-02-10,18556.381,17395.854,,1160.527,6424.98,,,Ahmedabad,,,
2020-02-11,19265.479,17481.69,,1783.789,6487.53,,,Ahmedabad,,,
2020-02-12,19407.076,17586.838,,1820.238,6577.085,,,Ahmedabad,,,
2020-02-13,20064.133,18429.026,,1635.107,6426.784,,,Ahmedabad,,,
2020-02-14,19838.034,18223.888,,1614.146,6369.203,,,Ahmedabad,,,
2020-02-15,20008.741,18394.595,,1614.146,6407.089,,,Ahmedabad,,,
2020-02-16,17722.876,17721.63,,1.246,6555.509,,,Ahmedabad,,,
2020-02-17,18481.743000000002,18149.255,,332.488,6497.138,,,Ahmedabad,,,
2020-02-18,20272.904,18541.672,,1731.232,6457.831,,,Ahmedabad,,,
2020-02-19,20418.057999999997,18406.798,,2011.26,6491.582,,,Ahmedabad,,,
2020-02-20,19333.028000000002,18051.895,,1281.133,6365.464,,,Ahmedabad,,,
2020-02-21,17330.767,17330.767,,0.0,6372.699,,,Ahmedabad,,,
2020-02-22,18727.435999999998,17556.549,,1170.887,6364.642,,,Ahmedabad,,,
2020-02-23,18904.515000000003,17174.989,,1729.526,6390.21,,,Ahmedabad,,,
2020-02-24,19346.191000000003,17724.436,,1621.755,6357.291,,,Ahmedabad,,,
2020-02-25,19793.704999999998,18005.121,,1788.584,6364.465,,,Ahmedabad,,,
2020-02-26,18818.661,18237.103,,581.558,6447.375,,,Ahmedabad,,,
2020-02-27,19773.082000000002,17941.632,,1831.45,6347.389,,,Ahmedabad,,,
2020-02-28,17870.806,17870.806,,0.0,6574.659,,,Ahmedabad,,,
2020-02-29,19255.115,17721.875,,1533.24,6495.177,,,Ahmedabad,,,
2020-03-01,19454.582,17608.029,,1846.553,6571.406,,,Ahmedabad,,,
2020-03-02,17970.669,17915.608,,55.061,6528.966,,,Ahmedabad,,,
2020-03-03,19176.788999999997,18136.976,,1039.813,6488.505,,,Ahmedabad,,,
2020-03-04,17755.526,17755.526,,0.0,6399.749,,,Ahmedabad,,,
2020-03-05,19020.922,17409.214,,1611.708,6510.546,,,Ahmedabad,,,
2020-03-06,19346.709000000003,17599.525,,1747.184,6331.015,,,Ahmedabad,,,
2020-03-07,19392.418999999998,17843.782,,1548.637,6342.749,,,Ahmedabad,,,
2020-03-08,18098.806,17307.197,,791.609,6345.847,,,Ahmedabad,,,
2020-03-09,18370.529000000002,17184.918,,1185.611,6478.672,,,Ahmedabad,,,
2020-03-10,17602.737,15704.55,,1898.187,6394.315,,,Ahmedabad,,,
2020-03-11,18132.109,16233.922,,1898.187,6300.459,,,Ahmedabad,,,
2020-03-12,18799.185,17334.213,,1464.972,6312.83,,,Ahmedabad,,,
2020-03-13,17989.445,17593.229,,396.216,6298.817,,,Ahmedabad,,,
2020-03-14,17766.083,17369.867,,396.216,6298.808,,,Ahmedabad,,,
2020-03-15,16717.64,16717.64,,0.0,6374.036,,,Ahmedabad,,,
2020-03-16,18961.637,17337.295,,1624.342,6391.149,,,Ahmedabad,,,
2020-03-17,19320.282000000003,17785.488,,1534.794,6524.549,,,Ahmedabad,,,
2020-03-18,19394.467,17877.269,,1517.198,6641.411,,,Ahmedabad,,,
2020-03-19,19697.539,19693.443,,4.096,6762.656,,,Ahmedabad,,,
2020-03-20,20813.891,19559.363,,1254.528,6622.465,,,Ahmedabad,,,
2020-03-21,20415.732,18782.214,,1633.518,6811.016,,,Ahmedabad,,,
2020-03-22,19945.253999999997,18430.19,,1515.064,6819.511,,,Ahmedabad,,,
2020-03-23,19880.458000000002,18084.039,,1796.419,6893.915,,,Ahmedabad,,,
2020-03-24,19324.063,18916.803,,407.26,6914.496,,,Ahmedabad,,,
2020-03-25,19490.308,19490.308,,0.0,6942.203,,,Ahmedabad,,,
2020-03-26,20115.979,19842.266,,273.713,6922.535,,,Ahmedabad,,,
2020-03-27,20832.875,19736.913,,1095.962,6690.846,,,Ahmedabad,,,
2020-03-28,21515.557,19738.606,,1776.951,6575.564,,,Ahmedabad,,,
2020-03-29,20155.524,19059.483,,1096.041,6668.335,,,Ahmedabad,,,
2020-03-30,20043.902000000002,18542.771,,1501.131,6748.703,,,Ahmedabad,,,
2020-03-31,21400.186,18481.751,,2918.435,6774.57,,,Ahmedabad,,,
2020-04-01,22571.725,19324.831,,3246.894,6710.55,,,Ahmedabad,,,
2020-04-02,21937.324,19796.201,,2141.123,6733.556,,,Ahmedabad,,,
2020-04-03,21405.0,19978.749,,1426.251,6819.234,,,Ahmedabad,,,
2020-04-04,19879.824,19879.824,,0.0,6875.268,,,Ahmedabad,,,
2020-04-05,19111.002,19111.002,,0.0,6834.087,,,Ahmedabad,,,
2020-04-06,22343.631,20138.568,,2205.063,6952.738,,,Ahmedabad,,,
2020-04-07,22827.426,20189.706,,2637.72,6882.043,,,Ahmedabad,,,
2020-04-08,21949.072,20198.834,,1750.238,6849.235,,,Ahmedabad,,,
2020-04-09,20301.61,20279.168,,22.442,6860.577,,,Ahmedabad,,,
2020-04-10,21312.161,20374.878,,937.283,6910.487,,,Ahmedabad,,,
2020-04-11,21707.126999999997,19740.384,,1966.743,6977.627,,,Ahmedabad,,,
2020-04-12,22213.352,19439.333,,2774.019,7017.768,,,Ahmedabad,,,
2020-04-13,22043.729,20583.494,,1460.235,7093.345,,,Ahmedabad,,,
2020-04-14,20235.538,20196.303,,39.235,7167.898,,,Ahmedabad,,,
2020-04-15,20128.661,20128.661,,0.0,7081.811,,,Ahmedabad,,,
2020-04-16,21240.142,19430.051,,1810.091,7102.48,,,Ahmedabad,,,
2020-04-17,21805.084,19387.014,,2418.07,7076.077,,,Ahmedabad,,,
2020-04-18,20785.945,19069.236,,1716.709,7078.126,,,Ahmedabad,,,
2020-04-19,19929.597,18509.469,,1420.128,7047.045,,,Ahmedabad,,,
2020-04-20,19803.436999999998,19786.135,,17.302,6988.914,,,Ahmedabad,,,
2020-04-21,21453.939,19941.402,,1512.537,7070.095,,,Ahmedabad,,,
2020-04-22,21979.125,19246.179,,2732.946,7097.598,,,Ahmedabad,,,
2020-04-23,21860.544,19759.401,,2101.143,7149.078,,,Ahmedabad,,,
2020-04-24,21708.139,20177.236,,1530.903,7081.773,,,Ahmedabad,,,
2020-04-25,20078.376,19812.175,,266.201,6941.174,,,Ahmedabad,,,
2020-04-26,20770.246,19415.094,,1355.152,6921.486,,,Ahmedabad,,,
2020-04-27,21856.76,20076.689,,1780.071,6950.953,,,Ahmedabad,,,
2020-04-28,22771.889000000003,20037.772,,2734.117,7042.797,,,Ahmedabad,,,
2020-04-29,22128.197,20071.793,,2056.404,7149.188,,,Ahmedabad,,,
2020-04-30,20019.707000000002,19669.914,,349.793,7189.141,,,Ahmedabad,,,
2020-05-01,20184.419,18551.164,,1633.255,7114.512,,,Ahmedabad,,,
2020-05-02,20119.387,18543.591,,1575.796,7022.89,,,Ahmedabad,,,
2020-05-03,22083.947,18266.443,,3817.504,7010.495,,,Ahmedabad,,,
2020-05-04,23172.159,18785.341,,4386.818,7082.83,,,Ahmedabad,,,
2020-05-05,21218.120000000003,18750.362,,2467.758,7070.341,,,Ahmedabad,,,
2020-05-06,19114.451,19099.996,,14.455,7040.874,,,Ahmedabad,,,
2020-05-07,19926.863999999998,19734.688,,192.176,7015.758,,,Ahmedabad,,,
2020-05-08,22307.763,19549.445,,2758.318,7050.284,,,Ahmedabad,,,
2020-05-09,21824.921,19246.333,,2578.588,7013.67,,,Ahmedabad,,,
2020-05-10,19734.181,18424.107,,1310.074,6942.845,,,Ahmedabad,,,
2020-05-11,18823.684999999998,18138.563,,685.122,6890.35,,,Ahmedabad,,,
2020-05-12,19644.153,18284.035,,1360.118,6985.288,,,Ahmedabad,,,
2020-05-13,19822.740999999998,18261.314,,1561.427,7040.155,,,Ahmedabad,,,
2020-05-14,20807.185,18294.056,,2513.129,7043.263,,,Ahmedabad,,,
2020-05-15,19781.653000000002,18329.15,,1452.503,7052.437,,,Ahmedabad,,,
2020-05-16,18859.558,18091.024,,768.534,7082.813,,,Ahmedabad,,,
2020-05-17,19453.871,18082.787,,1371.084,7066.04,,,Ahmedabad,,,
2020-05-18,18423.560999999998,16866.674,,1556.887,6931.892,,,Ahmedabad,,,
2020-05-19,21676.268,17755.327,,3920.941,6971.636,,,Ahmedabad,,,
2020-05-20,23774.115999999998,18125.926,,5648.19,7068.314,,,Ahmedabad,,,
2020-05-21,19629.773,17630.616,,1999.157,7018.489,,,Ahmedabad,,,
2020-05-22,17344.201,17283.484,,60.717,6938.044,,,Ahmedabad,,,
2020-05-23,19135.904000000002,17711.467,,1424.437,6966.189,,,Ahmedabad,,,
2020-05-24,20906.643,18276.232,,2630.411,7053.206,,,Ahmedabad,,,
2020-05-25,20046.26,17275.211,,2771.049,6985.347,,,Ahmedabad,,,
2020-05-26,19134.581000000002,17823.379,,1311.202,7019.504,,,Ahmedabad,,,
2020-05-27,18353.733,18049.125,,304.608,7004.553,,,Ahmedabad,,,
2020-05-28,20044.151,18701.916,,1342.235,7001.813,,,Ahmedabad,,,
2020-05-29,21898.972999999998,18544.563,,3354.41,6926.841,,,Ahmedabad,,,
2020-05-30,21266.737999999998,18189.138,,3077.6,6850.962,,,Ahmedabad,,,
2020-05-31,20551.624000000003,17759.598,,2792.026,6904.111,,,Ahmedabad,,,
2020-06-01,16872.372,15534.308,,1338.064,6695.53,,,Ahmedabad,,,
2020-06-02,17189.8,15853.55,,1336.25,6689.969,,,Ahmedabad,,,
2020-06-03,17305.159,15760.559,,1544.6,6690.507,,,Ahmedabad,,,
2020-06-04,18976.27,16292.709,,2683.561,6664.964,,,Ahmedabad,,,
2020-06-05,17395.311,16181.851,,1213.46,6972.562,,,Ahmedabad,,,
2020-06-06,17507.479,16360.54,,1146.939,7001.746,,,Ahmedabad,,,
2020-06-07,16030.473,16030.473,,0.0,7088.824,,,Ahmedabad,,,
2020-06-08,17982.371,16826.022,,1156.349,7151.467,,,Ahmedabad,,,
2020-06-09,18255.497,17020.13,,1235.367,7042.636,,,Ahmedabad,,,
2020-06-10,18606.976,17324.713,,1282.263,6991.082,,,Ahmedabad,,,
2020-06-11,17861.02,17208.557,,652.463,6987.739,,,Ahmedabad,,,
2020-06-12,18607.466999999997,17325.708,,1281.759,6985.302,,,Ahmedabad,,,
2020-06-13,16715.34,16715.34,,0.0,7036.613,,,Ahmedabad,,,
2020-06-14,17229.112,16236.894,,992.218,6999.709,,,Ahmedabad,,,
2020-06-15,18517.514000000003,17219.863,,1297.651,7122.203,,,Ahmedabad,,,
2020-06-16,18410.75,16975.653,,1435.097,7017.962,,,Ahmedabad,,,
2020-06-17,18255.006999999998,17262.278,,992.729,6960.277,,,Ahmedabad,,,
2020-06-18,19244.695,17423.144,,1821.551,6997.945,,,Ahmedabad,,,
2020-06-19,18441.756,17125.661,,1316.095,6873.893,,,Ahmedabad,,,
2020-06-20,18451.104000000003,16943.491,,1507.613,6798.87,,,Ahmedabad,,,
2020-06-21,17507.907,16313.514,,1194.393,6891.984,,,Ahmedabad,,,
2020-06-22,18383.158,17202.182,,1180.976,6937.093,,,Ahmedabad,,,
2020-06-23,19223.876,17864.744,,1359.132,6992.169,,,Ahmedabad,,,
2020-06-24,18775.449,17371.592,,1403.857,6981.836,,,Ahmedabad,,,
2020-06-25,18910.626,17593.784,,1316.842,6868.928,,,Ahmedabad,,,
2020-06-26,18326.244,17049.585,,1276.659,6774.185,,,Ahmedabad,,,
2020-06-27,17930.400999999998,16776.402,,1153.999,6722.083,,,Ahmedabad,,,
2020-06-28,17334.918,16124.277,,1210.641,6668.094,,,Ahmedabad,,,
2020-06-29,17958.579,16762.272,,1196.307,6827.707,,,Ahmedabad,,,
2020-06-30,19025.418,17910.508,,1114.91,6971.633,,,Ahmedabad,,,
2020-07-01,19025.245000000003,17684.596,,1340.649,6920.302,,,Ahmedabad,,,
2020-07-02,19228.071000000004,17928.294,,1299.777,6872.964,,,Ahmedabad,,,
2020-07-03,19441.319,17925.13,,1516.189,6876.5,,,Ahmedabad,,,
2020-07-04,17038.492,17038.492,,0.0,7081.668,,,Ahmedabad,,,
2020-07-05,15161.017,15161.017,,0.0,7124.64,,,Ahmedabad,,,
2020-07-06,15892.108,15892.108,,0.0,7046.52,,,Ahmedabad,,,
2020-07-07,18063.62,17017.282,,1046.338,7034.013,,,Ahmedabad,,,
2020-07-08,18040.431,16795.483,,1244.948,7079.511,,,Ahmedabad,,,
2020-07-09,18341.961,17200.699,,1141.262,7041.2,,,Ahmedabad,,,
2020-07-10,18448.607,17130.791,,1317.816,7062.952,,,Ahmedabad,,,
2020-07-11,17249.304,16170.625,,1078.679,7116.514,,,Ahmedabad,,,
2020-07-12,15053.198,15053.179,,0.019,7011.749,,,Ahmedabad,,,
2020-07-13,17584.843,17416.215,,168.628,7097.577,,,Ahmedabad,,,
2020-07-14,19421.849,18261.996,,1159.853,7158.668,,,Ahmedabad,,,
2020-07-15,18720.470999999998,17560.618,,1159.853,7183.142,,,Ahmedabad,,,
