date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,,56.047,,69.35,56.055,,,Aizawl,,,
2020-01-02,,56.588,,82.468,56.58,,,Aizawl,,,
2020-01-03,,57.347,,0.0,57.352,,,Aizawl,,,
2020-01-04,,57.428,,66.108,57.439,,,Aizawl,,,
2020-01-05,,55.735,,23.171,55.742,,,Aizawl,,,
2020-01-06,,56.868,,82.251,56.881,,,Aizawl,,,
2020-01-07,,57.872,,33.64,57.877,,,Aizawl,,,
2020-01-08,,57.59,,0.0,57.609,,,Aizawl,,,
2020-01-09,,56.764,,1.99,56.779,,,Aizawl,,,
2020-01-10,,55.594,,87.316,55.576,,,Aizawl,,,
2020-01-11,,56.613,,76.096,56.611,,,Aizawl,,,
2020-01-12,,57.53,,71.36,57.549,,,Aizawl,,,
2020-01-13,,58.304,,0.189,58.289,,,Aizawl,,,
2020-01-14,,57.637,,72.415,57.646,,,Aizawl,,,
2020-01-15,,56.107,,10.971,56.113,,,Aizawl,,,
2020-01-16,,55.68,,11.206,55.665,,,Aizawl,,,
2020-01-17,,58.313,,70.714,58.302,,,Aizawl,,,
2020-01-18,,58.191,,73.302,58.175,,,Aizawl,,,
2020-01-19,,56.044,,83.324,56.05,,,Aizawl,,,
2020-01-20,,58.383,,75.749,58.375,,,Aizawl,,,
2020-01-21,,58.185,,82.174,58.165,,,Aizawl,,,
2020-01-22,,56.722,,70.688,56.732,,,Aizawl,,,
2020-01-23,,57.481,,56.328,57.498,,,Aizawl,,,
2020-01-24,,58.929,,91.313,58.935,,,Aizawl,,,
2020-01-25,,60.021,,80.159,60.011,,,Aizawl,,,
2020-01-26,,56.603,,92.187,56.603,,,Aizawl,,,
2020-01-27,,58.603,,90.818,58.594,,,Aizawl,,,
2020-01-28,,58.975,,94.405,58.986,,,Aizawl,,,
2020-01-29,,59.371,,7.398,59.38,,,Aizawl,,,
2020-01-30,,59.341,,0.0,59.359,,,Aizawl,,,
2020-01-31,,60.385,,95.589,60.373,,,Aizawl,,,
2020-02-01,,58.43,,95.589,58.431,,,Aizawl,,,
2020-02-02,,55.634,,81.464,55.631,,,Aizawl,,,
2020-02-03,,55.731,,79.068,55.733,,,Aizawl,,,
2020-02-04,,58.06,,77.098,58.057,,,Aizawl,,,
2020-02-05,,58.4,,62.087,58.396,,,Aizawl,,,
2020-02-06,,58.59,,88.7,58.6,,,Aizawl,,,
2020-02-07,,59.391,,0.004,59.377,,,Aizawl,,,
2020-02-08,,57.254,,0.0,57.257,,,Aizawl,,,
2020-02-09,,56.354,,0.0,56.34,,,Aizawl,,,
2020-02-10,,56.479,,0.964,56.488,,,Aizawl,,,
2020-02-11,,57.321,,74.646,57.308,,,Aizawl,,,
2020-02-12,,58.076,,84.491,58.07,,,Aizawl,,,
2020-02-13,,60.214,,87.536,60.218,,,Aizawl,,,
2020-02-14,,59.429,,15.458,59.422,,,Aizawl,,,
2020-02-15,,59.393,,15.458,59.385,,,Aizawl,,,
2020-02-16,,56.476,,87.29,56.469,,,Aizawl,,,
2020-02-17,,58.328,,60.786,58.324,,,Aizawl,,,
2020-02-18,,59.6,,80.198,59.596,,,Aizawl,,,
2020-02-19,,59.175,,86.201,59.108,,,Aizawl,,,
2020-02-20,,58.73,,0.0,58.766,,,Aizawl,,,
2020-02-21,,57.067,,25.645,57.082,,,Aizawl,,,
2020-02-22,,57.207,,128.044,57.216,,,Aizawl,,,
2020-02-23,,55.727,,101.727,55.718,,,Aizawl,,,
2020-02-24,,56.609,,87.322,56.61,,,Aizawl,,,
2020-02-25,,57.698,,0.0,57.7,,,Aizawl,,,
2020-02-26,,58.801,,0.0,58.859,,,Aizawl,,,
2020-02-27,,58.466,,87.537,58.469,,,Aizawl,,,
2020-02-28,,57.895,,84.22,57.885,,,Aizawl,,,
2020-02-29,,57.707,,84.22,57.702,,,Aizawl,,,
2020-03-01,,55.504,,25.341,55.495,,,Aizawl,,,
2020-03-02,,58.069,,0.0,58.08,,,Aizawl,,,
2020-03-03,,58.757,,0.119,58.753,,,Aizawl,,,
2020-03-04,,57.331,,98.603,57.461,,,Aizawl,,,
2020-03-05,,56.063,,97.326,56.046,,,Aizawl,,,
2020-03-06,,56.05,,0.0,56.049,,,Aizawl,,,
2020-03-07,,57.719,,0.0,57.704,,,Aizawl,,,
2020-03-08,,56.115,,89.454,56.106,,,Aizawl,,,
2020-03-09,,55.931,,116.803,55.93,,,Aizawl,,,
2020-03-10,,50.349,,86.269,50.339,,,Aizawl,,,
2020-03-11,,53.161,,95.322,53.163,,,Aizawl,,,
2020-03-12,,56.884,,110.495,56.878,,,Aizawl,,,
2020-03-13,,57.953,,105.939,57.96,,,Aizawl,,,
2020-03-14,,56.74,,105.939,56.742,,,Aizawl,,,
2020-03-15,,55.079,,86.499,55.074,,,Aizawl,,,
2020-03-16,,57.853,,101.197,57.87,,,Aizawl,,,
2020-03-17,,59.539,,96.459,59.532,,,Aizawl,,,
2020-03-18,,59.226,,80.798,59.242,,,Aizawl,,,
2020-03-19,,64.96,,35.256,64.97,,,Aizawl,,,
