date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,704.7009999999999,618.228,,86.473,512.262,,,Alwar,,,
2020-01-02,724.266,622.627,,101.639,509.23,,,Alwar,,,
2020-01-03,753.4069999999999,633.8,,119.607,511.353,,,Alwar,,,
2020-01-04,732.633,632.981,,99.652,501.692,,,Alwar,,,
2020-01-05,726.1310000000001,609.142,,116.989,483.322,,,Alwar,,,
2020-01-06,617.821,611.855,,5.966,494.031,,,Alwar,,,
2020-01-07,740.783,624.754,,116.029,519.733,,,Alwar,,,
2020-01-08,626.491,626.491,,0.0,526.52,,,Alwar,,,
2020-01-09,712.8530000000001,613.514,,99.339,491.481,,,Alwar,,,
2020-01-10,716.269,604.466,,111.803,485.672,,,Alwar,,,
2020-01-11,734.1020000000001,614.465,,119.637,475.398,,,Alwar,,,
2020-01-12,617.42,617.42,,0.0,461.065,,,Alwar,,,
2020-01-13,751.166,622.307,,128.859,499.079,,,Alwar,,,
2020-01-14,722.53,614.733,,107.797,501.891,,,Alwar,,,
2020-01-15,632.756,599.463,,33.293,505.001,,,Alwar,,,
2020-01-16,598.863,598.863,,0.0,526.307,,,Alwar,,,
2020-01-17,745.757,627.487,,118.27,515.504,,,Alwar,,,
2020-01-18,717.749,622.163,,95.586,510.815,,,Alwar,,,
2020-01-19,711.765,600.432,,111.333,489.215,,,Alwar,,,
2020-01-20,618.088,618.088,,0.0,491.421,,,Alwar,,,
2020-01-21,718.444,626.414,,92.03,505.38,,,Alwar,,,
2020-01-22,719.768,608.263,,111.505,496.675,,,Alwar,,,
2020-01-23,722.648,616.073,,106.575,454.402,,,Alwar,,,
2020-01-24,735.501,632.893,,102.608,448.75,,,Alwar,,,
2020-01-25,746.111,639.758,,106.353,462.564,,,Alwar,,,
2020-01-26,712.0459999999999,610.631,,101.415,470.266,,,Alwar,,,
2020-01-27,736.3820000000001,625.697,,110.685,496.818,,,Alwar,,,
2020-01-28,749.584,633.784,,115.8,509.613,,,Alwar,,,
2020-01-29,739.3059999999999,635.906,,103.4,485.826,,,Alwar,,,
2020-01-30,735.203,639.3,,95.903,485.391,,,Alwar,,,
2020-01-31,748.447,636.824,,111.623,483.425,,,Alwar,,,
2020-02-01,736.2990000000001,624.676,,111.623,481.104,,,Alwar,,,
2020-02-02,601.976,596.701,,5.275,473.343,,,Alwar,,,
2020-02-03,735.457,612.886,,122.571,468.078,,,Alwar,,,
2020-02-04,751.144,627.045,,124.099,476.711,,,Alwar,,,
2020-02-05,685.674,626.968,,58.706,484.554,,,Alwar,,,
2020-02-06,738.806,627.376,,111.43,470.155,,,Alwar,,,
2020-02-07,642.953,636.408,,6.545,466.558,,,Alwar,,,
2020-02-08,733.537,616.227,,117.31,467.054,,,Alwar,,,
2020-02-09,722.163,602.933,,119.23,464.838,,,Alwar,,,
2020-02-10,727.806,612.495,,115.311,461.515,,,Alwar,,,
2020-02-11,712.9209999999999,616.915,,96.006,461.694,,,Alwar,,,
2020-02-12,743.207,622.593,,120.614,449.646,,,Alwar,,,
2020-02-13,758.801,644.561,,114.24,449.89,,,Alwar,,,
2020-02-14,745.283,640.746,,104.537,448.589,,,Alwar,,,
2020-02-15,749.792,645.255,,104.537,450.851,,,Alwar,,,
2020-02-16,712.417,620.066,,92.351,451.084,,,Alwar,,,
2020-02-17,730.286,635.544,,94.742,448.792,,,Alwar,,,
2020-02-18,753.519,648.174,,105.345,449.394,,,Alwar,,,
2020-02-19,641.385,641.385,,0.0,445.821,,,Alwar,,,
2020-02-20,753.4340000000001,629.508,,123.926,457.379,,,Alwar,,,
2020-02-21,614.1120000000001,608.186,,5.926,513.574,,,Alwar,,,
2020-02-22,753.293,614.7,,138.593,497.059,,,Alwar,,,
2020-02-23,731.065,599.815,,131.25,501.486,,,Alwar,,,
2020-02-24,740.68,620.228,,120.452,469.404,,,Alwar,,,
2020-02-25,752.166,630.48,,121.686,449.468,,,Alwar,,,
2020-02-26,760.626,637.577,,123.049,451.712,,,Alwar,,,
2020-02-27,711.94,628.183,,83.757,451.894,,,Alwar,,,
2020-02-28,623.721,623.721,,0.0,474.533,,,Alwar,,,
2020-02-29,744.359,615.961,,128.398,503.605,,,Alwar,,,
2020-03-01,716.587,608.018,,108.569,499.365,,,Alwar,,,
2020-03-02,746.4350000000001,620.23,,126.205,479.371,,,Alwar,,,
2020-03-03,755.812,629.174,,126.638,470.575,,,Alwar,,,
2020-03-04,733.616,619.278,,114.338,490.307,,,Alwar,,,
2020-03-05,710.5310000000001,605.652,,104.879,501.834,,,Alwar,,,
2020-03-06,623.77,605.005,,18.765,504.78,,,Alwar,,,
2020-03-07,708.24,617.01,,91.23,494.242,,,Alwar,,,
2020-03-08,702.464,599.557,,102.907,465.689,,,Alwar,,,
2020-03-09,688.4309999999999,594.137,,94.294,445.294,,,Alwar,,,
2020-03-10,546.02,546.02,,0.0,453.626,,,Alwar,,,
2020-03-11,566.729,566.729,,0.0,458.239,,,Alwar,,,
2020-03-12,703.659,602.407,,101.252,444.934,,,Alwar,,,
2020-03-13,784.364,608.339,,176.025,443.196,,,Alwar,,,
2020-03-14,780.43,604.405,,176.025,464.77,,,Alwar,,,
2020-03-15,586.775,586.082,,0.693,467.154,,,Alwar,,,
2020-03-16,723.806,606.313,,117.493,456.7,,,Alwar,,,
2020-03-17,725.871,624.135,,101.736,441.613,,,Alwar,,,
2020-03-18,730.469,625.138,,105.331,444.19,,,Alwar,,,
2020-03-19,811.096,696.212,,114.884,457.017,,,Alwar,,,
2020-03-20,736.5559999999999,688.314,,48.242,456.357,,,Alwar,,,
2020-03-21,660.749,660.749,,0.0,457.946,,,Alwar,,,
2020-03-22,764.314,650.062,,114.252,459.664,,,Alwar,,,
2020-03-23,758.2,638.76,,119.44,460.77,,,Alwar,,,
2020-03-24,784.88,665.321,,119.559,472.68,,,Alwar,,,
2020-03-25,800.4580000000001,688.816,,111.642,467.558,,,Alwar,,,
2020-03-26,700.076,700.076,,0.0,459.836,,,Alwar,,,
2020-03-27,801.119,695.075,,106.044,501.607,,,Alwar,,,
2020-03-28,789.591,690.78,,98.811,460.106,,,Alwar,,,
2020-03-29,764.019,667.551,,96.468,448.223,,,Alwar,,,
2020-03-30,755.108,652.083,,103.025,451.13,,,Alwar,,,
2020-03-31,707.8240000000001,649.124,,58.7,455.889,,,Alwar,,,
2020-04-01,794.274,680.796,,113.478,458.379,,,Alwar,,,
2020-04-02,796.399,696.28,,100.119,455.022,,,Alwar,,,
2020-04-03,803.3349999999999,701.04,,102.295,451.871,,,Alwar,,,
2020-04-04,800.4939999999999,696.8,,103.694,462.404,,,Alwar,,,
2020-04-05,777.186,668.416,,108.77,466.11,,,Alwar,,,
2020-04-06,824.662,703.746,,120.916,472.515,,,Alwar,,,
2020-04-07,819.616,709.732,,109.884,470.318,,,Alwar,,,
2020-04-08,815.452,707.318,,108.134,463.999,,,Alwar,,,
2020-04-09,812.6170000000001,709.489,,103.128,468.389,,,Alwar,,,
2020-04-10,767.404,715.111,,52.293,476.704,,,Alwar,,,
2020-04-11,697.245,697.245,,0.0,482.114,,,Alwar,,,
2020-04-12,783.5279999999999,685.127,,98.401,481.999,,,Alwar,,,
2020-04-13,847.678,726.039,,121.639,493.143,,,Alwar,,,
2020-04-14,818.8100000000001,710.677,,108.133,493.873,,,Alwar,,,
2020-04-15,806.591,707.698,,98.893,497.804,,,Alwar,,,
2020-04-16,692.842,684.052,,8.79,497.321,,,Alwar,,,
2020-04-17,797.932,679.914,,118.018,488.394,,,Alwar,,,
2020-04-18,729.3100000000001,672.844,,56.466,488.119,,,Alwar,,,
2020-04-19,752.0,648.313,,103.687,481.763,,,Alwar,,,
2020-04-20,701.264,701.264,,0.0,471.116,,,Alwar,,,
2020-04-21,810.2909999999999,700.18,,110.111,473.79,,,Alwar,,,
2020-04-22,801.499,681.267,,120.232,481.636,,,Alwar,,,
2020-04-23,778.5409999999999,692.334,,86.207,476.842,,,Alwar,,,
2020-04-24,811.74,703.667,,108.073,484.781,,,Alwar,,,
2020-04-25,761.29,692.871,,68.419,475.456,,,Alwar,,,
2020-04-26,786.691,681.066,,105.625,467.558,,,Alwar,,,
2020-04-27,823.26,707.321,,115.939,491.457,,,Alwar,,,
