date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,,5605.665,,296.417,1406.062,,,Aurangabad,,,
2020-01-02,,5643.973,,287.981,1397.999,,,Aurangabad,,,
2020-01-03,,5735.325,,351.04,1446.542,,,Aurangabad,,,
2020-01-04,,5762.363,,348.051,1415.834,,,Aurangabad,,,
2020-01-05,,5525.298,,347.813,1383.608,,,Aurangabad,,,
2020-01-06,,5583.646,,286.817,1397.249,,,Aurangabad,,,
2020-01-07,,5701.977,,326.853,1411.286,,,Aurangabad,,,
2020-01-08,,5726.705,,326.764,1417.34,,,Aurangabad,,,
2020-01-09,,5615.939,,345.283,1355.994,,,Aurangabad,,,
2020-01-10,,5527.973,,358.665,1373.995,,,Aurangabad,,,
2020-01-11,,5645.477,,340.004,1405.359,,,Aurangabad,,,
2020-01-12,,5660.961,,67.981,1402.591,,,Aurangabad,,,
2020-01-13,,5733.112,,383.235,1381.844,,,Aurangabad,,,
2020-01-14,,5625.392,,381.626,1407.826,,,Aurangabad,,,
2020-01-15,,5458.877,,15.621,1363.329,,,Aurangabad,,,
2020-01-16,,5434.247,,335.768,1318.799,,,Aurangabad,,,
2020-01-17,,5679.669,,315.408,1317.451,,,Aurangabad,,,
2020-01-18,,5637.7,,341.018,1348.468,,,Aurangabad,,,
2020-01-19,,5404.295,,357.059,1359.545,,,Aurangabad,,,
2020-01-20,,5636.079,,370.831,1403.113,,,Aurangabad,,,
2020-01-21,,5703.388,,319.658,1406.625,,,Aurangabad,,,
2020-01-22,,5545.256,,327.161,1366.764,,,Aurangabad,,,
2020-01-23,,5616.896,,322.683,1376.437,,,Aurangabad,,,
2020-01-24,,5762.17,,330.041,1380.367,,,Aurangabad,,,
2020-01-25,,5824.08,,395.522,1362.458,,,Aurangabad,,,
2020-01-26,,5547.591,,24.453,1334.922,,,Aurangabad,,,
2020-01-27,,5719.362,,0.0,1319.952,,,Aurangabad,,,
2020-01-28,,5789.061,,296.419,1344.794,,,Aurangabad,,,
2020-01-29,,5812.666,,315.148,1350.746,,,Aurangabad,,,
2020-01-30,,5853.888,,299.693,1314.225,,,Aurangabad,,,
2020-01-31,,5796.713,,307.299,1313.67,,,Aurangabad,,,
2020-02-01,,5670.538,,307.299,1332.492,,,Aurangabad,,,
2020-02-02,,5404.16,,339.76,1347.567,,,Aurangabad,,,
2020-02-03,,5576.998,,377.797,1345.498,,,Aurangabad,,,
2020-02-04,,5707.182,,339.525,1321.323,,,Aurangabad,,,
2020-02-05,,5716.864,,377.814,1321.713,,,Aurangabad,,,
2020-02-06,,5717.209,,340.857,1309.825,,,Aurangabad,,,
2020-02-07,,5776.852,,380.531,1333.505,,,Aurangabad,,,
2020-02-08,,5584.076,,297.477,1366.921,,,Aurangabad,,,
2020-02-09,,5456.114,,350.495,1348.68,,,Aurangabad,,,
2020-02-10,,5570.954,,5.564,1442.553,,,Aurangabad,,,
2020-02-11,,5593.22,,303.39,1388.244,,,Aurangabad,,,
2020-02-12,,5621.192,,248.344,1366.81,,,Aurangabad,,,
2020-02-13,,5842.623,,347.682,1320.086,,,Aurangabad,,,
2020-02-14,,5805.577,,357.347,1320.123,,,Aurangabad,,,
2020-02-15,,5863.559,,357.347,1334.477,,,Aurangabad,,,
2020-02-16,,5639.173,,65.281,1349.089,,,Aurangabad,,,
2020-02-17,,5781.761,,281.927,1342.841,,,Aurangabad,,,
2020-02-18,,5895.734,,382.477,1339.721,,,Aurangabad,,,
2020-02-19,,5876.959,,390.468,1335.253,,,Aurangabad,,,
2020-02-20,,5761.355,,378.135,1334.867,,,Aurangabad,,,
2020-02-21,,5537.685,,442.11,1331.882,,,Aurangabad,,,
2020-02-22,,5603.684,,398.184,1338.73,,,Aurangabad,,,
2020-02-23,,5471.079,,353.052,1341.854,,,Aurangabad,,,
2020-02-24,,5650.445,,375.028,1327.577,,,Aurangabad,,,
2020-02-25,,5724.339,,308.671,1290.096,,,Aurangabad,,,
2020-02-26,,5786.722,,322.957,1294.951,,,Aurangabad,,,
2020-02-27,,5715.562,,94.676,1278.359,,,Aurangabad,,,
2020-02-28,,5685.083,,0.0,1320.878,,,Aurangabad,,,
2020-02-29,,5619.53,,362.138,1315.889,,,Aurangabad,,,
2020-03-01,,5531.307,,434.366,1339.598,,,Aurangabad,,,
2020-03-02,,5662.915,,366.601,1327.257,,,Aurangabad,,,
2020-03-03,,5716.291,,337.072,1311.26,,,Aurangabad,,,
2020-03-04,,5626.508,,0.0,1294.337,,,Aurangabad,,,
2020-03-05,,5536.553,,349.091,1294.448,,,Aurangabad,,,
2020-03-06,,5561.582,,323.917,1303.312,,,Aurangabad,,,
2020-03-07,,5657.893,,315.82,1298.332,,,Aurangabad,,,
2020-03-08,,5485.419,,337.137,1320.652,,,Aurangabad,,,
2020-03-09,,5443.081,,579.745,1338.432,,,Aurangabad,,,
2020-03-10,,5017.116,,415.279,1326.699,,,Aurangabad,,,
2020-03-11,,5190.635,,415.279,1302.362,,,Aurangabad,,,
2020-03-12,,5523.314,,320.402,1304.922,,,Aurangabad,,,
2020-03-13,,5590.407,,345.181,1304.46,,,Aurangabad,,,
2020-03-14,,5540.469,,345.181,1312.83,,,Aurangabad,,,
2020-03-15,,5335.739,,420.4,1335.458,,,Aurangabad,,,
2020-03-16,,5529.472,,373.055,1346.149,,,Aurangabad,,,
2020-03-17,,5681.48,,399.098,1344.089,,,Aurangabad,,,
2020-03-18,,5672.541,,374.846,1346.377,,,Aurangabad,,,
2020-03-19,,6279.56,,0.0,1377.123,,,Aurangabad,,,
2020-03-20,,6185.459,,0.0,1357.292,,,Aurangabad,,,
2020-03-21,,5961.431,,322.391,1354.061,,,Aurangabad,,,
2020-03-22,,5867.773,,323.134,1378.363,,,Aurangabad,,,
2020-03-23,,5780.5,,366.772,1393.54,,,Aurangabad,,,
2020-03-24,,6007.678,,275.609,1408.175,,,Aurangabad,,,
2020-03-25,,6213.457,,30.913,1389.518,,,Aurangabad,,,
2020-03-26,,6301.528,,390.258,1405.663,,,Aurangabad,,,
2020-03-27,,6253.851,,382.909,1402.958,,,Aurangabad,,,
2020-03-28,,6227.586,,391.309,1390.2,,,Aurangabad,,,
2020-03-29,,6030.486,,397.966,1390.423,,,Aurangabad,,,
2020-03-30,,5859.971,,86.959,1376.888,,,Aurangabad,,,
2020-03-31,,5845.698,,8.636,1377.345,,,Aurangabad,,,
2020-04-01,,6135.139,,386.23,1371.638,,,Aurangabad,,,
2020-04-02,,6276.35,,397.128,1389.597,,,Aurangabad,,,
