date,total,power,traffic,residential_scope1,residential_scope2,industrial,aviation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,176.191,0.0,,176.191,1081.842,,0.5051072939224477,Bhubaneshwar,,,
2020-01-02,67.273,0.0,,67.273,1141.075,,0.4579546660599024,Bhubaneshwar,,,
2020-01-03,625.838,0.0,,625.838,1221.644,,0.4960047143491112,Bhubaneshwar,,,
2020-01-04,0.0,0.0,,0.0,1220.243,,0.451165476787249,Bhubaneshwar,,,
2020-01-05,280.147,0.0,,280.147,1170.359,,0.4838248704126578,Bhubaneshwar,,,
2020-01-06,266.592,0.0,,266.592,1139.588,,0.49208446576417947,Bhubaneshwar,,,
2020-01-07,242.644,0.0,,242.644,1133.174,,0.4751193635889535,Bhubaneshwar,,,
2020-01-08,242.709,0.0,,242.709,1150.735,,0.4895576088334432,Bhubaneshwar,,,
2020-01-09,0.795,0.0,,0.795,1188.002,,0.41564147306128124,Bhubaneshwar,,,
2020-01-10,276.523,0.0,,276.523,1180.175,,0.4970128007247605,Bhubaneshwar,,,
2020-01-11,287.73,0.0,,287.73,1125.414,,0.4582643389684046,Bhubaneshwar,,,
2020-01-12,263.083,0.0,,263.083,1121.24,,0.488453217936972,Bhubaneshwar,,,
2020-01-13,253.678,0.0,,253.678,1123.775,,0.4910170208050506,Bhubaneshwar,,,
2020-01-14,265.654,0.0,,265.654,1152.74,,0.4559776029320098,Bhubaneshwar,,,
2020-01-15,268.169,0.0,,268.169,1175.42,,0.5022823739636566,Bhubaneshwar,,,
2020-01-16,256.196,0.0,,256.196,1168.748,,0.4348710522217214,Bhubaneshwar,,,
2020-01-17,250.037,0.0,,250.037,1167.919,,0.4935925513506028,Bhubaneshwar,,,
2020-01-18,74.323,0.0,,74.323,1165.383,,0.4307409187462259,Bhubaneshwar,,,
2020-01-19,241.399,0.0,,241.399,1144.298,,0.4460857009509886,Bhubaneshwar,,,
2020-01-20,275.792,0.0,,275.792,1155.007,,0.4631883470142712,Bhubaneshwar,,,
2020-01-21,283.288,0.0,,283.288,1166.253,,0.4204919727533551,Bhubaneshwar,,,
2020-01-22,184.447,0.0,,184.447,1156.105,,0.4719824993111312,Bhubaneshwar,,,
2020-01-23,251.907,0.0,,251.907,1166.582,,0.44600331361160533,Bhubaneshwar,,,
2020-01-24,290.886,0.0,,290.886,1111.181,,0.4649686827143572,Bhubaneshwar,,,
2020-01-25,275.677,0.0,,275.677,1120.259,,0.43429291571396894,Bhubaneshwar,,,
2020-01-26,274.126,0.0,,274.126,1138.384,,0.4525199583258685,Bhubaneshwar,,,
2020-01-27,254.901,0.0,,254.901,1114.058,,0.48283699508134437,Bhubaneshwar,,,
2020-01-28,0.0,0.0,,0.0,1141.347,,0.4426234099852386,Bhubaneshwar,,,
2020-01-29,271.599,0.0,,271.599,1195.043,,0.4976229091224837,Bhubaneshwar,,,
2020-01-30,289.028,0.0,,289.028,1192.93,,0.4389310764605187,Bhubaneshwar,,,
2020-01-31,293.414,0.0,,293.414,1137.5,,0.4878893770825956,Bhubaneshwar,,,
2020-02-01,293.414,0.0,,293.414,1133.442,,0.4356210035026237,Bhubaneshwar,,,
2020-02-02,270.094,0.0,,270.094,1126.223,,0.4860793650797648,Bhubaneshwar,,,
2020-02-03,107.57,0.0,,107.57,1103.371,,0.4880893350396398,Bhubaneshwar,,,
2020-02-04,237.504,0.0,,237.504,1109.047,,0.4622796358435548,Bhubaneshwar,,,
2020-02-05,212.081,0.0,,212.081,1229.89,,0.4893191563639178,Bhubaneshwar,,,
2020-02-06,250.018,0.0,,250.018,1203.182,,0.4209374681982893,Bhubaneshwar,,,
2020-02-07,243.204,0.0,,243.204,1230.088,,0.48368254855780546,Bhubaneshwar,,,
2020-02-08,0.0,0.0,,0.0,1198.21,,0.4503707083042433,Bhubaneshwar,,,
2020-02-09,0.0,0.0,,0.0,1157.6,,0.4703904355768938,Bhubaneshwar,,,
2020-02-10,274.572,0.0,,274.572,1109.977,,0.47934504337718153,Bhubaneshwar,,,
2020-02-11,278.246,0.0,,278.246,1105.375,,0.4309147691443389,Bhubaneshwar,,,
2020-02-12,295.185,0.0,,295.185,1114.254,,0.4892760396094194,Bhubaneshwar,,,
2020-02-13,241.758,0.0,,241.758,1091.079,,0.4460108698637632,Bhubaneshwar,,,
2020-02-14,235.156,0.0,,235.156,1094.23,,0.4913467316850006,Bhubaneshwar,,,
2020-02-15,235.156,0.0,,235.156,1112.707,,0.4464975154650681,Bhubaneshwar,,,
2020-02-16,269.41,0.0,,269.41,1143.281,,0.46457208863916943,Bhubaneshwar,,,
2020-02-17,278.929,0.0,,278.929,1163.552,,0.4980647796895194,Bhubaneshwar,,,
2020-02-18,253.094,0.0,,253.094,1116.831,,0.44999968165568915,Bhubaneshwar,,,
2020-02-19,49.253,0.0,,49.253,1146.864,,0.4873608654467604,Bhubaneshwar,,,
2020-02-20,275.252,0.0,,275.252,1125.098,,0.4353856112966633,Bhubaneshwar,,,
2020-02-21,249.007,0.0,,249.007,1087.373,,0.48632028204664557,Bhubaneshwar,,,
2020-02-22,265.704,0.0,,265.704,1086.864,,0.4737722953005648,Bhubaneshwar,,,
2020-02-23,0.0,0.0,,0.0,1094.63,,0.4643407807852004,Bhubaneshwar,,,
2020-02-24,0.0,0.0,,0.0,1119.203,,0.49060681721259536,Bhubaneshwar,,,
2020-02-25,0.0,0.0,,0.0,1204.999,,0.4625408891139064,Bhubaneshwar,,,
2020-02-26,276.629,0.0,,276.629,1150.925,,0.4960995233426353,Bhubaneshwar,,,
2020-02-27,271.298,0.0,,271.298,1107.592,,0.4439288264576779,Bhubaneshwar,,,
2020-02-28,257.1,0.0,,257.1,1137.621,,0.5043617510898036,Bhubaneshwar,,,
2020-02-29,257.1,0.0,,257.1,1135.317,,0.45687631909991483,Bhubaneshwar,,,
2020-03-01,261.426,0.0,,261.426,1128.774,,0.4646349261557048,Bhubaneshwar,,,
2020-03-02,299.629,0.0,,299.629,1137.888,,0.5037896310016012,Bhubaneshwar,,,
2020-03-03,285.137,0.0,,285.137,1138.582,,0.4588373353922218,Bhubaneshwar,,,
2020-03-04,279.49,0.0,,279.49,1163.146,,0.5019935793864894,Bhubaneshwar,,,
2020-03-05,263.531,0.0,,263.531,1165.322,,0.4388487539167829,Bhubaneshwar,,,
2020-03-06,162.583,0.0,,162.583,1156.245,,0.47959097561172126,Bhubaneshwar,,,
2020-03-07,73.381,0.0,,73.381,1198.661,,0.456304051276269,Bhubaneshwar,,,
2020-03-08,266.731,0.0,,266.731,1213.988,,0.4678439257551097,Bhubaneshwar,,,
2020-03-09,255.264,0.0,,255.264,1167.861,,0.4840846941546536,Bhubaneshwar,,,
2020-03-10,285.804,0.0,,285.804,1190.46,,0.43972122064964253,Bhubaneshwar,,,
2020-03-11,311.404,0.0,,311.404,1190.771,,0.4958808240407166,Bhubaneshwar,,,
2020-03-12,144.861,0.0,,144.861,1205.804,,0.4443768285343049,Bhubaneshwar,,,
2020-03-13,247.47,0.0,,247.47,1186.414,,0.4900779476707648,Bhubaneshwar,,,
2020-03-14,247.47,0.0,,247.47,1168.0,,0.4555075876636625,Bhubaneshwar,,,
