date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,,9323.579,,0.0,1842.172,,,Dhanbad,,,
2020-01-02,,9386.539,,0.0,1847.946,,,Dhanbad,,,
2020-01-03,,9521.816,,215.496,1919.155,,,Dhanbad,,,
2020-01-04,,9552.007,,382.588,1915.406,,,Dhanbad,,,
2020-01-05,,9239.541,,357.015,1817.325,,,Dhanbad,,,
2020-01-06,,9323.152,,440.63,1817.406,,,Dhanbad,,,
2020-01-07,,9466.911,,83.552,1836.928,,,Dhanbad,,,
2020-01-08,,9476.511,,6.856,1880.839,,,Dhanbad,,,
2020-01-09,,9255.979,,398.308,1912.777,,,Dhanbad,,,
2020-01-10,,9121.893,,417.204,1826.843,,,Dhanbad,,,
2020-01-11,,9294.479,,387.14,1830.318,,,Dhanbad,,,
2020-01-12,,9321.446,,418.023,1825.739,,,Dhanbad,,,
2020-01-13,,9384.86,,413.096,1833.67,,,Dhanbad,,,
2020-01-14,,9320.807,,593.996,1820.404,,,Dhanbad,,,
2020-01-15,,9122.442,,768.362,1799.038,,,Dhanbad,,,
2020-01-16,,9091.618,,515.249,1849.297,,,Dhanbad,,,
2020-01-17,,9488.06,,205.479,1764.774,,,Dhanbad,,,
2020-01-18,,9457.917,,432.959,1848.56,,,Dhanbad,,,
2020-01-19,,9096.961,,266.364,1901.147,,,Dhanbad,,,
2020-01-20,,9426.143,,286.771,1793.075,,,Dhanbad,,,
2020-01-21,,9514.026,,18.517,1822.94,,,Dhanbad,,,
2020-01-22,,9276.812,,296.103,1829.441,,,Dhanbad,,,
2020-01-23,,9360.023,,17.558,1772.573,,,Dhanbad,,,
2020-01-24,,9583.912,,307.164,1707.942,,,Dhanbad,,,
2020-01-25,,9686.853,,574.331,1761.464,,,Dhanbad,,,
2020-01-26,,9249.848,,402.373,1782.214,,,Dhanbad,,,
2020-01-27,,9472.476,,371.432,1780.324,,,Dhanbad,,,
2020-01-28,,9599.72,,300.247,1755.725,,,Dhanbad,,,
2020-01-29,,9646.419,,444.527,1881.575,,,Dhanbad,,,
2020-01-30,,9704.816,,483.819,1878.706,,,Dhanbad,,,
2020-01-31,,9665.991,,403.172,1714.581,,,Dhanbad,,,
2020-02-01,,9455.376,,403.172,1724.124,,,Dhanbad,,,
2020-02-02,,9086.228,,180.306,1681.235,,,Dhanbad,,,
2020-02-03,,9284.417,,413.32,1692.19,,,Dhanbad,,,
2020-02-04,,9494.034,,7.433,1718.538,,,Dhanbad,,,
2020-02-05,,9486.346,,435.325,1752.118,,,Dhanbad,,,
2020-02-06,,9489.873,,491.204,1670.901,,,Dhanbad,,,
2020-02-07,,9611.698,,0.0,1789.685,,,Dhanbad,,,
2020-02-08,,9325.149,,0.0,1845.628,,,Dhanbad,,,
2020-02-09,,9109.114,,351.482,1664.491,,,Dhanbad,,,
2020-02-10,,9247.306,,434.123,1701.567,,,Dhanbad,,,
2020-02-11,,9317.53,,405.239,1676.096,,,Dhanbad,,,
2020-02-12,,9406.17,,401.755,1700.701,,,Dhanbad,,,
2020-02-13,,9701.069,,402.23,1730.912,,,Dhanbad,,,
2020-02-14,,9654.735,,354.565,1697.112,,,Dhanbad,,,
2020-02-15,,9736.93,,354.565,1651.433,,,Dhanbad,,,
2020-02-16,,9387.731,,410.141,1657.55,,,Dhanbad,,,
2020-02-17,,9619.423,,441.983,1708.774,,,Dhanbad,,,
2020-02-18,,9793.383,,310.541,1660.837,,,Dhanbad,,,
2020-02-19,,9726.356,,575.161,1617.554,,,Dhanbad,,,
2020-02-20,,9580.583,,0.0,1672.526,,,Dhanbad,,,
2020-02-21,,9273.004,,410.298,1714.62,,,Dhanbad,,,
2020-02-22,,9339.498,,445.454,1720.195,,,Dhanbad,,,
2020-02-23,,9153.063,,445.566,1769.395,,,Dhanbad,,,
2020-02-24,,9407.787,,0.0,1813.619,,,Dhanbad,,,
2020-02-25,,9538.817,,363.288,1892.172,,,Dhanbad,,,
2020-02-26,,9626.702,,523.224,1862.676,,,Dhanbad,,,
2020-02-27,,9524.881,,501.533,1743.888,,,Dhanbad,,,
2020-02-28,,9465.293,,479.781,1771.77,,,Dhanbad,,,
2020-02-29,,9361.865,,479.781,1742.071,,,Dhanbad,,,
2020-03-01,,9166.729,,492.46,1744.549,,,Dhanbad,,,
2020-03-02,,9442.829,,401.466,1783.176,,,Dhanbad,,,
2020-03-03,,9535.567,,579.674,1753.61,,,Dhanbad,,,
2020-03-04,,9386.782,,342.408,1785.774,,,Dhanbad,,,
2020-03-05,,9221.074,,0.0,1803.014,,,Dhanbad,,,
2020-03-06,,9190.524,,296.518,1789.978,,,Dhanbad,,,
2020-03-07,,9376.644,,413.555,1861.769,,,Dhanbad,,,
2020-03-08,,9070.441,,386.054,1698.819,,,Dhanbad,,,
2020-03-09,,9038.876,,435.792,1688.31,,,Dhanbad,,,
2020-03-10,,8333.995,,679.117,1658.89,,,Dhanbad,,,
2020-03-11,,8705.173,,0.0,1776.701,,,Dhanbad,,,
2020-03-12,,9267.636,,0.0,1844.369,,,Dhanbad,,,
2020-03-13,,9357.386,,147.48,1850.788,,,Dhanbad,,,
2020-03-14,,9291.119,,147.48,1915.731,,,Dhanbad,,,
2020-03-15,,8974.048,,525.445,1860.893,,,Dhanbad,,,
2020-03-16,,9296.648,,421.763,1725.913,,,Dhanbad,,,
2020-03-17,,9545.717,,458.398,1725.89,,,Dhanbad,,,
2020-03-18,,9537.65,,143.352,1717.611,,,Dhanbad,,,
2020-03-19,,10622.623,,260.318,1717.42,,,Dhanbad,,,
2020-03-20,,10472.225,,410.978,1665.164,,,Dhanbad,,,
2020-03-21,,10127.999,,134.914,1719.907,,,Dhanbad,,,
2020-03-22,,9987.786,,0.705,1815.288,,,Dhanbad,,,
2020-03-23,,9913.122,,451.132,1762.655,,,Dhanbad,,,
2020-03-24,,10213.178,,460.49,1748.636,,,Dhanbad,,,
2020-03-25,,10547.97,,441.437,1762.614,,,Dhanbad,,,
2020-03-26,,10660.779,,411.714,1704.239,,,Dhanbad,,,
2020-03-27,,10631.654,,0.0,1719.689,,,Dhanbad,,,
2020-03-28,,10568.184,,419.292,1756.734,,,Dhanbad,,,
2020-03-29,,10273.915,,400.859,1690.615,,,Dhanbad,,,
2020-03-30,,10020.244,,376.046,1679.753,,,Dhanbad,,,
2020-03-31,,9979.808,,355.414,1680.881,,,Dhanbad,,,
2020-04-01,,10356.546,,18.589,1693.043,,,Dhanbad,,,
2020-04-02,,10615.762,,24.32,1724.756,,,Dhanbad,,,
2020-04-03,,10654.872,,29.197,1693.213,,,Dhanbad,,,
2020-04-04,,10630.054,,460.165,1702.686,,,Dhanbad,,,
2020-04-05,,10188.202,,343.263,1689.175,,,Dhanbad,,,
2020-04-06,,10704.441,,393.536,1712.234,,,Dhanbad,,,
2020-04-07,,10782.869,,0.0,1740.27,,,Dhanbad,,,
2020-04-08,,10720.291,,77.053,1727.444,,,Dhanbad,,,
2020-04-09,,10760.935,,417.698,1721.932,,,Dhanbad,,,
2020-04-10,,10863.469,,472.297,1740.925,,,Dhanbad,,,
2020-04-11,,10668.272,,464.342,1724.738,,,Dhanbad,,,
2020-04-12,,10464.138,,0.0,1742.66,,,Dhanbad,,,
2020-04-13,,11004.814,,0.0,1757.59,,,Dhanbad,,,
2020-04-14,,10829.247,,453.419,1779.308,,,Dhanbad,,,
2020-04-15,,10763.406,,437.998,1831.048,,,Dhanbad,,,
2020-04-16,,10503.012,,487.022,1774.422,,,Dhanbad,,,
2020-04-17,,10440.037,,43.798,1789.352,,,Dhanbad,,,
2020-04-18,,10336.634,,100.591,1780.119,,,Dhanbad,,,
2020-04-19,,9924.256,,488.803,1764.473,,,Dhanbad,,,
2020-04-20,,10613.838,,295.754,1758.762,,,Dhanbad,,,
2020-04-21,,10658.078,,446.039,1852.924,,,Dhanbad,,,
2020-04-22,,10390.885,,0.0,1872.719,,,Dhanbad,,,
2020-04-23,,10540.402,,317.972,1896.519,,,Dhanbad,,,
2020-04-24,,10643.677,,452.341,1875.704,,,Dhanbad,,,
2020-04-25,,10533.849,,222.733,1882.786,,,Dhanbad,,,
2020-04-26,,10319.676,,418.954,1896.605,,,Dhanbad,,,
2020-04-27,,10774.035,,468.87,1901.581,,,Dhanbad,,,
