date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,,3501.297,,0.985,519.701,,,Erode,,,
2020-01-02,,3528.134,,104.414,519.304,,,Erode,,,
2020-01-03,,3613.492,,126.44,517.534,,,Erode,,,
2020-01-04,,3627.945,,135.561,527.394,,,Erode,,,
2020-01-05,,3509.679,,0.0,526.284,,,Erode,,,
2020-01-06,,3493.185,,0.0,516.401,,,Erode,,,
2020-01-07,,3577.002,,127.916,509.235,,,Erode,,,
2020-01-08,,3573.716,,120.937,500.693,,,Erode,,,
2020-01-09,,3516.704,,137.19,498.198,,,Erode,,,
2020-01-10,,3485.482,,128.089,492.838,,,Erode,,,
2020-01-11,,3505.558,,115.317,475.249,,,Erode,,,
2020-01-12,,3503.07,,134.643,488.99,,,Erode,,,
2020-01-13,,3572.871,,140.769,493.419,,,Erode,,,
2020-01-14,,3484.41,,115.324,487.985,,,Erode,,,
2020-01-15,,3359.702,,132.887,465.087,,,Erode,,,
2020-01-16,,3348.982,,132.523,479.612,,,Erode,,,
2020-01-17,,3509.648,,129.126,491.489,,,Erode,,,
2020-01-18,,3492.186,,0.0,515.111,,,Erode,,,
2020-01-19,,3337.859,,114.329,500.085,,,Erode,,,
2020-01-20,,3504.1,,141.048,496.455,,,Erode,,,
2020-01-21,,3529.337,,0.0,483.378,,,Erode,,,
2020-01-22,,3463.535,,115.291,495.502,,,Erode,,,
2020-01-23,,3508.85,,130.405,500.577,,,Erode,,,
2020-01-24,,3578.957,,107.984,474.395,,,Erode,,,
2020-01-25,,3631.758,,128.732,471.722,,,Erode,,,
2020-01-26,,3457.75,,113.407,475.311,,,Erode,,,
2020-01-27,,3585.839,,119.415,482.509,,,Erode,,,
2020-01-28,,3659.17,,132.454,496.127,,,Erode,,,
2020-01-29,,3707.865,,122.411,487.188,,,Erode,,,
2020-01-30,,3748.849,,118.971,481.817,,,Erode,,,
2020-01-31,,3708.064,,119.191,482.778,,,Erode,,,
2020-02-01,,3594.181,,119.191,496.548,,,Erode,,,
2020-02-02,,3422.317,,134.486,489.838,,,Erode,,,
2020-02-03,,3549.308,,123.176,475.108,,,Erode,,,
2020-02-04,,3637.421,,111.519,482.137,,,Erode,,,
2020-02-05,,3637.198,,129.926,494.754,,,Erode,,,
2020-02-06,,3649.178,,0.0,489.325,,,Erode,,,
2020-02-07,,3667.432,,144.523,490.626,,,Erode,,,
2020-02-08,,3576.361,,124.786,490.332,,,Erode,,,
2020-02-09,,3467.592,,119.96,492.756,,,Erode,,,
2020-02-10,,3536.37,,126.216,491.929,,,Erode,,,
