date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,,42081.375,,0.0,2700.424,,,Ghaziabad,,,
2020-01-02,,42359.106,,651.085,2698.041,,,Ghaziabad,,,
2020-01-03,,43083.436,,577.754,2738.536,,,Ghaziabad,,,
2020-01-04,,43039.218,,462.12,2710.703,,,Ghaziabad,,,
2020-01-05,,41427.623,,657.33,2649.397,,,Ghaziabad,,,
2020-01-06,,41600.764,,239.136,2704.376,,,Ghaziabad,,,
2020-01-07,,42519.213,,5.291,2820.537,,,Ghaziabad,,,
2020-01-08,,42629.588,,652.496,2909.595,,,Ghaziabad,,,
2020-01-09,,41668.919,,572.145,2701.527,,,Ghaziabad,,,
2020-01-10,,41094.43,,620.927,2698.652,,,Ghaziabad,,,
2020-01-11,,41713.629,,647.101,2664.537,,,Ghaziabad,,,
2020-01-12,,41925.684,,0.0,2681.37,,,Ghaziabad,,,
2020-01-13,,42272.545,,0.0,2765.776,,,Ghaziabad,,,
2020-01-14,,41838.435,,479.829,2817.04,,,Ghaziabad,,,
2020-01-15,,40778.72,,582.004,2668.387,,,Ghaziabad,,,
2020-01-16,,40659.852,,219.515,2819.655,,,Ghaziabad,,,
2020-01-17,,42557.22,,564.056,2869.564,,,Ghaziabad,,,
2020-01-18,,42248.51,,593.97,2822.401,,,Ghaziabad,,,
2020-01-19,,40780.016,,618.746,2793.899,,,Ghaziabad,,,
2020-01-20,,42006.776,,0.0,2788.527,,,Ghaziabad,,,
2020-01-21,,42557.511,,628.726,2776.772,,,Ghaziabad,,,
2020-01-22,,41343.235,,660.574,2730.781,,,Ghaziabad,,,
2020-01-23,,41819.799,,568.045,2551.328,,,Ghaziabad,,,
2020-01-24,,42964.762,,546.782,2527.218,,,Ghaziabad,,,
2020-01-25,,43434.427,,653.218,2682.939,,,Ghaziabad,,,
2020-01-26,,41466.206,,660.283,2733.59,,,Ghaziabad,,,
2020-01-27,,42485.916,,0.0,2710.39,,,Ghaziabad,,,
2020-01-28,,43060.568,,436.062,2823.679,,,Ghaziabad,,,
2020-01-29,,43172.269,,316.152,2758.099,,,Ghaziabad,,,
