date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,,2128.66,,179.669,763.955,,,Guntur,,,
2020-01-02,,2143.245,,66.592,782.152,,,Guntur,,,
2020-01-03,,2183.723,,195.216,788.428,,,Guntur,,,
2020-01-04,,2189.111,,177.053,788.49,,,Guntur,,,
2020-01-05,,2107.834,,0.0,776.119,,,Guntur,,,
2020-01-06,,2119.865,,42.195,753.611,,,Guntur,,,
2020-01-07,,2165.975,,197.11,768.592,,,Guntur,,,
2020-01-08,,2168.854,,195.377,763.952,,,Guntur,,,
2020-01-09,,2125.499,,175.278,748.18,,,Guntur,,,
2020-01-10,,2101.724,,192.524,760.431,,,Guntur,,,
2020-01-11,,2140.134,,100.179,765.526,,,Guntur,,,
2020-01-12,,2140.967,,143.087,745.829,,,Guntur,,,
2020-01-13,,2167.08,,204.165,742.177,,,Guntur,,,
2020-01-14,,2128.547,,182.748,742.176,,,Guntur,,,
2020-01-15,,2066.597,,192.428,725.794,,,Guntur,,,
2020-01-16,,2055.398,,187.282,733.683,,,Guntur,,,
2020-01-17,,2151.295,,176.224,744.192,,,Guntur,,,
2020-01-18,,2141.788,,163.983,750.541,,,Guntur,,,
2020-01-19,,2055.124,,172.087,758.465,,,Guntur,,,
2020-01-20,,2142.639,,175.336,749.134,,,Guntur,,,
2020-01-21,,2158.196,,41.491,745.926,,,Guntur,,,
2020-01-22,,2110.054,,182.166,745.883,,,Guntur,,,
2020-01-23,,2133.732,,183.797,746.754,,,Guntur,,,
2020-01-24,,2185.341,,184.066,751.844,,,Guntur,,,
2020-01-25,,2209.042,,191.204,746.226,,,Guntur,,,
2020-01-26,,2108.104,,196.421,740.419,,,Guntur,,,
2020-01-27,,2175.919,,110.194,750.574,,,Guntur,,,
2020-01-28,,2207.744,,135.924,748.195,,,Guntur,,,
2020-01-29,,2224.564,,187.905,761.533,,,Guntur,,,
2020-01-30,,2239.492,,177.115,760.026,,,Guntur,,,
2020-01-31,,2221.121,,181.465,748.92,,,Guntur,,,
2020-02-01,,2165.779,,181.465,748.618,,,Guntur,,,
2020-02-02,,2061.847,,212.623,749.064,,,Guntur,,,
2020-02-03,,2127.808,,178.799,737.748,,,Guntur,,,
2020-02-04,,2182.925,,183.962,751.357,,,Guntur,,,
2020-02-05,,2183.23,,168.198,739.987,,,Guntur,,,
2020-02-06,,2181.341,,161.489,743.799,,,Guntur,,,
2020-02-07,,2205.712,,196.718,747.536,,,Guntur,,,
2020-02-08,,2129.846,,186.504,751.366,,,Guntur,,,
2020-02-09,,2083.042,,188.141,748.876,,,Guntur,,,
2020-02-10,,2118.745,,173.998,761.921,,,Guntur,,,
2020-02-11,,2128.554,,218.581,743.252,,,Guntur,,,
2020-02-12,,2150.569,,68.804,749.755,,,Guntur,,,
2020-02-13,,2226.714,,20.121,733.483,,,Guntur,,,
2020-02-14,,2223.086,,178.384,697.483,,,Guntur,,,
2020-02-15,,2244.968,,178.384,716.278,,,Guntur,,,
2020-02-16,,2150.914,,183.56,728.481,,,Guntur,,,
2020-02-17,,2203.678,,183.582,729.003,,,Guntur,,,
2020-02-18,,2248.743,,187.419,734.827,,,Guntur,,,
2020-02-19,,2239.488,,201.905,736.531,,,Guntur,,,
2020-02-20,,2190.751,,201.146,720.93,,,Guntur,,,
2020-02-21,,2114.707,,166.547,707.526,,,Guntur,,,
2020-02-22,,2132.714,,180.315,714.378,,,Guntur,,,
2020-02-23,,2076.577,,231.791,727.71,,,Guntur,,,
2020-02-24,,2146.352,,207.058,733.662,,,Guntur,,,
2020-02-25,,2184.432,,211.994,739.519,,,Guntur,,,
2020-02-26,,2208.286,,218.594,756.555,,,Guntur,,,
2020-02-27,,2181.707,,233.711,726.323,,,Guntur,,,
2020-02-28,,2168.922,,207.269,752.629,,,Guntur,,,
2020-02-29,,2144.321,,195.071,721.701,,,Guntur,,,
2020-03-01,,2108.545,,196.289,731.072,,,Guntur,,,
2020-03-02,,2168.544,,210.471,739.604,,,Guntur,,,
2020-03-03,,2192.518,,223.528,727.276,,,Guntur,,,
2020-03-04,,2158.048,,0.0,731.881,,,Guntur,,,
2020-03-05,,2124.006,,210.811,745.338,,,Guntur,,,
2020-03-06,,2137.039,,214.838,762.488,,,Guntur,,,
2020-03-07,,2166.011,,12.416,775.985,,,Guntur,,,
2020-03-08,,2102.489,,192.519,751.518,,,Guntur,,,
2020-03-09,,2086.741,,190.221,742.179,,,Guntur,,,
2020-03-10,,1935.152,,82.79,736.643,,,Guntur,,,
2020-03-11,,2010.578,,0.0,738.719,,,Guntur,,,
2020-03-12,,2132.974,,189.283,742.938,,,Guntur,,,
2020-03-13,,2145.962,,180.234,750.664,,,Guntur,,,
2020-03-14,,2132.146,,180.234,741.884,,,Guntur,,,
2020-03-15,,2050.13,,0.0,737.922,,,Guntur,,,
2020-03-16,,2121.612,,193.704,729.973,,,Guntur,,,
2020-03-17,,2189.115,,184.168,737.811,,,Guntur,,,
2020-03-18,,2179.903,,171.508,738.839,,,Guntur,,,
2020-03-19,,2416.235,,181.17,746.6,,,Guntur,,,
2020-03-20,,2380.873,,204.967,746.874,,,Guntur,,,
2020-03-21,,2296.58,,197.068,763.011,,,Guntur,,,
2020-03-22,,2259.641,,197.068,760.258,,,Guntur,,,
2020-03-23,,2219.632,,201.424,750.182,,,Guntur,,,
2020-03-24,,2309.769,,170.328,751.334,,,Guntur,,,
2020-03-25,,2391.765,,194.704,752.841,,,Guntur,,,
2020-03-26,,2418.245,,0.0,750.419,,,Guntur,,,
2020-03-27,,2408.615,,188.486,732.23,,,Guntur,,,
2020-03-28,,2395.993,,208.318,720.038,,,Guntur,,,
2020-03-29,,2321.519,,204.414,730.322,,,Guntur,,,
2020-03-30,,2260.708,,195.041,735.27,,,Guntur,,,
2020-03-31,,2255.755,,0.0,727.952,,,Guntur,,,
2020-04-01,,2358.832,,131.901,729.294,,,Guntur,,,
2020-04-02,,2411.05,,237.773,751.227,,,Guntur,,,
2020-04-03,,2427.641,,203.631,756.972,,,Guntur,,,
2020-04-04,,2412.161,,209.115,748.324,,,Guntur,,,
2020-04-05,,2318.557,,191.504,748.102,,,Guntur,,,
2020-04-06,,2435.284,,208.318,769.014,,,Guntur,,,
2020-04-07,,2447.071,,206.315,769.096,,,Guntur,,,
2020-04-08,,2434.505,,0.0,773.653,,,Guntur,,,
2020-04-09,,2450.331,,0.0,785.798,,,Guntur,,,
2020-04-10,,2468.747,,174.834,760.121,,,Guntur,,,
2020-04-11,,2422.774,,2.608,751.39,,,Guntur,,,
2020-04-12,,2365.141,,198.224,746.743,,,Guntur,,,
2020-04-13,,2499.807,,202.439,747.767,,,Guntur,,,
2020-04-14,,2454.017,,206.285,756.76,,,Guntur,,,
2020-04-15,,2436.543,,250.131,748.482,,,Guntur,,,
2020-04-16,,2365.439,,0.0,756.23,,,Guntur,,,
2020-04-17,,2348.063,,218.096,759.972,,,Guntur,,,
2020-04-18,,2325.223,,211.68,761.654,,,Guntur,,,
2020-04-19,,2247.219,,192.802,755.478,,,Guntur,,,
2020-04-20,,2387.747,,221.754,760.076,,,Guntur,,,
2020-04-21,,2400.318,,107.41,755.714,,,Guntur,,,
2020-04-22,,2341.174,,199.138,761.002,,,Guntur,,,
2020-04-23,,2378.365,,192.502,767.524,,,Guntur,,,
2020-04-24,,2403.153,,212.076,775.535,,,Guntur,,,
2020-04-25,,2379.913,,219.354,785.412,,,Guntur,,,
2020-04-26,,2333.551,,195.557,774.437,,,Guntur,,,
2020-04-27,,2419.733,,191.12,780.371,,,Guntur,,,
2020-04-28,,2422.259,,199.726,778.003,,,Guntur,,,
2020-04-29,,2426.664,,187.293,758.327,,,Guntur,,,
2020-04-30,,2384.836,,152.081,765.32,,,Guntur,,,
2020-05-01,,2244.98,,206.912,763.18,,,Guntur,,,
2020-05-02,,2250.202,,205.286,765.707,,,Guntur,,,
2020-05-03,,2217.446,,217.894,763.078,,,Guntur,,,
2020-05-04,,2282.316,,218.301,757.673,,,Guntur,,,
2020-05-05,,2273.653,,195.664,754.538,,,Guntur,,,
2020-05-06,,2301.551,,202.714,760.406,,,Guntur,,,
2020-05-07,,2362.689,,229.008,760.862,,,Guntur,,,
2020-05-08,,2359.901,,215.373,753.033,,,Guntur,,,
2020-05-09,,2345.331,,198.126,756.596,,,Guntur,,,
2020-05-10,,2252.273,,206.768,738.039,,,Guntur,,,
2020-05-11,,2216.196,,197.815,743.739,,,Guntur,,,
2020-05-12,,2235.035,,144.829,733.903,,,Guntur,,,
2020-05-13,,2226.658,,0.0,744.843,,,Guntur,,,
2020-05-14,,2208.64,,201.089,747.75,,,Guntur,,,
2020-05-15,,2221.212,,212.681,739.115,,,Guntur,,,
2020-05-16,,2195.367,,190.974,746.405,,,Guntur,,,
2020-05-17,,2202.402,,28.976,752.705,,,Guntur,,,
2020-05-18,,2061.716,,0.0,727.633,,,Guntur,,,
2020-05-19,,2158.752,,0.072,735.449,,,Guntur,,,
2020-05-20,,2223.553,,202.59,733.636,,,Guntur,,,
2020-05-21,,2154.903,,197.193,729.102,,,Guntur,,,
2020-05-22,,2125.61,,221.248,725.43,,,Guntur,,,
2020-05-23,,2181.338,,0.0,739.279,,,Guntur,,,
2020-05-24,,2215.506,,162.177,759.391,,,Guntur,,,
2020-05-25,,2118.038,,220.625,755.866,,,Guntur,,,
2020-05-26,,2168.432,,204.936,762.794,,,Guntur,,,
