date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25,industrial_scope2
2020-01-01,8792.92082817037,8792.292,,0.0,1590.489,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-02,9223.70882817037,8842.563,,380.517,1642.467,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-03,9383.967828170371,8982.275,,401.064,1646.79,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-04,9351.32982817037,8978.611,,372.09,1631.308,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-05,8921.096828170372,8637.556,,282.912,1564.595,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-06,8727.93582817037,8683.105,,44.202,1527.693,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-07,9170.854828170372,8863.019,,307.207,1538.381,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-08,8900.61182817037,8893.514,,6.469,1639.086,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-09,9024.310828170372,8690.859,,332.823,1541.681,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-10,8908.344828170371,8572.034,,335.682,1546.114,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-11,9066.041828170371,8718.231,,347.182,1507.308,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-12,9061.58282817037,8756.27,,304.684,1490.215,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-13,9208.664828170371,8836.813,,371.223,1541.87,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-14,9117.425828170371,8735.264,,381.533,1600.109,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-15,8879.76882817037,8504.114,,375.026,1622.7,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-16,8438.373828170372,8437.727,,0.018,1689.29,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-17,9191.300828170371,8870.588,,320.084,1628.463,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-18,9173.596828170372,8820.096,,352.872,1613.094,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-19,8843.647828170371,8488.554,,354.465,1571.581,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-20,8745.253828170371,8744.625,,0.0,1560.112,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-21,9163.77882817037,8869.87,,293.28,1600.968,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-22,8969.811828170372,8621.395,,347.788,1579.927,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-23,9010.971828170372,8708.498,,301.845,1478.29,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-24,9236.98182817037,8943.047,,293.306,1453.004,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-25,9367.37782817037,9033.534,,333.215,1462.58,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-26,8994.994828170371,8634.005,,360.361,1509.775,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-27,9161.89582817037,8826.417,,334.85,1514.725,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-28,9317.596828170372,8960.435,,356.533,1565.967,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-29,9325.12782817037,8976.47,,348.029,1571.56,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-30,9346.873828170372,9023.531,,322.714,1494.72,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-01-31,9347.202828170372,8996.331,,350.243,1505.453,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-01,9162.96382817037,8812.092,,350.243,1514.952,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-02,8785.51782817037,8432.712,,352.177,1461.231,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-03,9021.495828170371,8652.455,,368.412,1466.368,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-04,9191.043828170372,8858.73,,331.685,1520.959,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-05,9234.93882817037,8860.434,,373.876,1482.107,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-06,9234.10782817037,8864.185,,369.294,1535.715,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-07,9357.238828170372,8992.939,,363.671,1515.222,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-08,9056.87582817037,8729.158,,327.089,1481.1,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-09,8827.15782817037,8517.738,,308.791,1479.354,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-10,9027.40482817037,8661.775,,365.001,1457.948,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-11,9134.62482817037,8743.72,,390.276,1439.503,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-12,9163.682828170371,8803.468,,359.586,1435.895,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-13,9424.53682817037,9091.185,,332.723,1402.153,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-14,9346.926828170372,9018.753,,327.545,1397.311,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-15,9416.87782817037,9088.704,,327.545,1403.921,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-16,9058.77982817037,8749.163,,308.988,1406.665,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-17,9268.14482817037,8968.029,,299.487,1399.25,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-18,9456.362828170371,9156.659,,299.075,1401.122,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-19,9082.82982817037,9082.201,,0.0,1391.532,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-20,9285.282828170371,8916.453,,368.201,1388.43,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-21,8969.72382817037,8573.614,,395.481,1432.402,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-22,9139.298828170371,8676.226,,462.444,1545.393,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-23,8813.254828170371,8450.214,,362.412,1525.719,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-24,9114.211828170372,8757.975,,355.608,1476.794,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-25,9254.656828170371,8889.616,,364.412,1439.093,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-26,9397.50982817037,9003.544,,393.337,1405.414,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-27,8872.85782817037,8868.738,,3.491,1400.93,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-28,8795.62482817037,8794.996,,0.0,1438.937,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-02-29,8782.794828170372,8689.065,,93.101,1562.544,0.6288281703705454,,Gwalior,,,,0.2759219614546584
2020-03-01,8942.44082817037,8590.617,,351.195,1569.464,0.6288281703705454,,Gwalior,,,,0.2759219614546584
